id,transcription,translation,language,speaker_id,gender,duration,source,audio_path,audio_root,hypothesis,reference
25951,Is enige van hierdie toestande die gevolg van of geïrriteerd deur die teenwoordigheid van skimmel op n plek waar ek 8 uur per dag werk. ,Are any of these conditions a result of or exasperated by the presence of mould in a place I work 8 hours per day.,afrikaans,732105475394c5f99a25f0e78d7efb4471d1172547f3c0a991b1eb5b468fa321,Female,9.255000114440918,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/afrikaans/0bcd0eeb56d43fa06496e9e640ae86dd_OxPUBa4N.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,Are any of these conditions the result of or irritated by the presence of mold at a place where I work eight hours per day?,Are any of these conditions a result of or exasperated by the presence of mould in a place I work 8 hours per day.
25941,Maak seker dat jou fallopiese buise oop is deur die buistoets te laat doen. (Histerosalpingogram). Dit is nodig vir GUI. Onthou asseblief in vrugbaarheidskwessies praat ons net oor waarskynlikheid en waarskynlikheid.,Make sure your fallopian tubes are open by getting tube test done.  (Hysterosalpingogram).  This is necessary for GUI.  Please remember in fertility issues we only talk about probability and likelihood.,afrikaans,623decda5611ef58a2f9b044f64e774f6d01d1e5ea41e5164784a340c460cacd,Female,17.006999969482422,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/afrikaans/92ec596dfe552bdb79d73d800ba4a835_YrNKeHMO.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,"Make sure that your fallopian tubes are open by having the dye test done. Hysterosalpingogram. This is necessary for IUI. Please remember, in fertility issues we only talk about probability and probability.",Make sure your fallopian tubes are open by getting tube test done.  (Hysterosalpingogram).  This is necessary for GUI.  Please remember in fertility issues we only talk about probability and likelihood.
25815,"Maande gelede het ek wakker geword met kneusing aan die buitekant van my enkel/hak, en 'n pynlike knop het net onder my enkelbeen verskyn","Months ago I woke up with bruising on the outside of my ankle/heel, and a painful lump appeared just below my ankle bone.",afrikaans,1680c905402b306225503aea08ab95a522bb536b710e8d22a6b244b12b94bb57,Female,10.479999542236328,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/afrikaans/7aaf263c6a1e35fb479bcfa74a4d1555_4ri3hguv.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,Monday night I woke up with bruising on the outside of my ankle/heel and a painful lump appeared just below my ankle bone.,"Months ago I woke up with bruising on the outside of my ankle/heel, and a painful lump appeared just below my ankle bone."
26117,"Kan dit moontlik wees dat ek dalk reeds swanger is en dat urinetoetse nie vir my werk nie?  Hallo, dankie vir die navraag. Ek verstaan jou bekommernis. ","Could it be possible that I may be pregnant ago and could it be urine test do not work for me?  Hi, Thanks for the query.  I understand your concern.",afrikaans,2dc59dc4f0c9365331b0862d58e7812fb46248a55338760079c0d528cf8d05ca,Female,12.774999618530272,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/afrikaans/8a117868e4258f42ec50c28d4682072e_sQ9Hh5cS.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,"Could it possibly be that I am already pregnant and that urine tests do not work for me? Hello, thank you for the inquiry. I understand your concern.","Could it be possible that I may be pregnant ago and could it be urine test do not work for me?  Hi, Thanks for the query.  I understand your concern."
24320,"As die kind aktief is en speel rond wanneer daar geen koors is nie, dit is waarskynlik n virale siekte en dit het nie antibiotika nodig nie","If the kid is active and playing around when there is no fever, it is probably viral illness and it doesn't require antibiotics at all.",afrikaans,3e5939466295fde9530255c0ad805b94ae35d74dac4689b8f8b060412cd17fc7,Female,9.814000129699709,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/afrikaans/80bf352e0a15acfe9dd2ff356ad3d659_euk0Iyil.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,"If the child is active and plays around when there is no fever, it is probably a viral illness and it does not need antibiotics.","If the kid is active and playing around when there is no fever, it is probably viral illness and it doesn't require antibiotics at all."
22554,L4 - L5 Daar is tipe II Modic eindplaat veranderinge. Daar is 'n regter-asimmetriese posterior skyfuitsteeksel wat lei tot ernstige sentrale kanaalstenose en bilaterale neurale foramina-vernouing.,L4 - L5 There is type II Modic endplate changes.  There is a right asymmetric posterior disc protrusion resulting in severe central canal stenosis and bilateral neural foramina narrowing.,afrikaans,623decda5611ef58a2f9b044f64e774f6d01d1e5ea41e5164784a340c460cacd,Female,18.31100082397461,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/afrikaans/cd9023b55fb0f361f69270aecfa5d579_TsoVq3F4.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,L4-L5: there are type 2 Modic endplate changes. There is a right asymmetric posterior disc protrusion leading to severe central canal stenosis and bilateral neural foraminal narrowing.,L4 - L5 There is type II Modic endplate changes.  There is a right asymmetric posterior disc protrusion resulting in severe central canal stenosis and bilateral neural foramina narrowing.
23046,Ek het tandvleispyn aan my linker bo kant van my mond ervaar. Ek kan nie aan hierdie kant kou nie en dit is uiters pynlik om aan te raak.,I have been experiencing gum pain on my upper left side of my mouth.  I cannot chew on this side and it is extremely painful to touch.,afrikaans,253564c9f64abf4de073140b6282acba817615e41300913c1000dd80dfcd4949,Female,14.335000038146973,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/afrikaans/b8eb0cc6932a06fd7ff211801b127f47_8ClOMdtD.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,I have a pain on the upper left side of my mouth. I cannot chew on this side and it is extremely painful to touch.,I have been experiencing gum pain on my upper left side of my mouth.  I cannot chew on this side and it is extremely painful to touch.
24834,"Is deur my neuroloog vertel dat provigil basies meer van a korttermyn skok geggee het en dan versag het. Nuvigil neem langer om aksie te neem, en het a laer sleutel.","Was told by my Neurologist basically Provigil gave more of a short term punch then mellowed out.  Nuvigil longer acting, more low key.",afrikaans,b3676c20d03a0916f8e3ec392e509e2b05b23ed4639b0590fc26e663a42c55a5,Female,16.80699920654297,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/afrikaans/39b71a54b4c35b6a05dc49c353b6ed39_jUvd2vK8.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,"As told by my neurologist, Prograf basically gave more of a short-term shock and then softened. Neoral takes longer to take effect and is more low-key.","Was told by my Neurologist basically Provigil gave more of a short term punch then mellowed out.  Nuvigil longer acting, more low key."
22606,"Hallo. My dokter het twee maande gelede vir my gesê my milt is effens vergroot, sonogram het 13 cm gewys. Die bevindings was verlede maand dieselfde.","Hi.  My doctor told me two months ago my spleen is mildly enlarged, sonogram showed 13cm.  The findings were the same last month.",afrikaans,623decda5611ef58a2f9b044f64e774f6d01d1e5ea41e5164784a340c460cacd,Female,11.991000175476074,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/afrikaans/a87b8450377af2613416f1f1654fd402_Kdm0ecfw.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,"Hello, my doctor told me two months ago that my spleen is slightly enlarged. A sonogram showed 13 centimeters. The findings were the same last month.","Hi.  My doctor told me two months ago my spleen is mildly enlarged, sonogram showed 13cm.  The findings were the same last month."
25930,"Dit vereis behandeling deur die gebruik van toepaslike antibiotika en anti-inflamatoriese Gesels Dokter, Raadpleeg jou dokter vir ondersoek en behandeling ooreenstemmend met die erns van die kondisie. ",This requires treatment by the use of appropriate antibiotics and anti-inflammatory Chat Doctor.  Do consult your doctor for examination and treatment according to the severity of the condition.,afrikaans,732105475394c5f99a25f0e78d7efb4471d1172547f3c0a991b1eb5b468fa321,Female,13.82900047302246,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/afrikaans/4797a4a3f1565aac52f16775b5a7500f_95jEUSTI.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,It is treated through the use of appropriate antibiotics and anti-inflammatory drugs. Consult your doctor for examination and treatment in accordance with the severity of the condition.,This requires treatment by the use of appropriate antibiotics and anti-inflammatory Chat Doctor.  Do consult your doctor for examination and treatment according to the severity of the condition.
