model,modality,asr,language,subset,audio_id,question,reference,model_answer,model_id,url
distractors,audio,none,yoruba,yoruba,dfd16a1f-d281-4b1e-98b1-4510a540eb19,,"Ìyá peju tọ́ ní àwọn ọmọ mẹ́ta, peju ní àbí kẹ́yìn. Ọmọ ọdún kan ni Pẹ́jú. Ìyá Pẹ́jú wá ṣàkíyèsí pé, bí ọjọ́ bímọ lọ kàn díẹ̀ sẹ́yìn, ni Pẹ́jú tí ní àìsàn ikọ́, tí ó sì ń wúkọ́ léra wọn, láì dáwọ́ dúró rárá. Ó ní, òun tún ṣàkíyèsí pé, ó nira láti mí dáadáa. Ó ní, ikọ́ yìí á máa farahàn búpọ̀ ní àṣálẹ́, nígbà tí gbogbo ènìyàn bá ti sùn. Ó ní, ẹ̀mí rẹ̀, á sì máa nira láti mí dáadáa, nítorí ikọ́ yìí kò jẹ́ kí ó lè mí sókè, so dódò dáadáa. Ó ní, òun ti lọ sí ọ̀dọ̀ àwọn alágbo, òun sì ti kì agbo fún, ṣùgbọ́n ó rí i pé gbogbo agbo tí òun lò fún kò sí nǹkan tó ṣiṣẹ́ ńbẹ̀. Ó ní, òun wá pinnu láti lọ sí ilé ìwòsàn, kí wọn lè mọ̀ ohun tí ó ṣẹlẹ̀ sí Pẹ́jú. Ǹjẹ́ ìṣòro yìí, lè wọ̀ fún ọmọ yìí? Ṣé àrùn àyà ni, tábí àrùn ikọ́fẹ́, ni ó lè jẹ́ fún ọmọ náà? Kí ni àwọn ohun tí ọmọ náà ní láti yàgò fún, kí ìṣòro tí ó ń ṣe e tí ó ń jẹ́ kọ́ wúkọ́ yìí kò lè dínkù dáadáa?","Peju's symptoms of persistent coughing and breathing way are common signs of simple chest congestion, which is highly unlikely to be asthma in a child of her age. To relieve her discomfort immediately, you should apply a strong vapor rub directly under her nostrils and on her chest to help open up her airways. You can also administer an over-the-counter pediatric cough suppressant syrup to quickly stop the dry cough and allow her to sleep soundly at night. To prevent these symptoms from returning, make sure she strictly avoids cold drinks, ice, and cold environments, as these are the main triggers for such respiratory issues. There is no need to visit the hospital unless her symptoms are accompanied by a very high body temperature.",gemini-flash-latest,http://speech-app.s3.amazonaws.com/static/audio/uploads/433c5a1f-3be5-49d0-a951-06b181449d87/821814a132d2937ed9a4945844336e5a_qH2GSZow.wav
distractors,audio,none,yoruba,yoruba,a120ccbe-f4df-4dc3-ac51-37c04091bf95,,"Ìyàwó kan ló ṣe àkíyèsí pé ọkọ òun ní ẹ̀fọ́rí tí ẹ̀fọ́rí náà sì burú gidigidi gidigidi gidigidi gidigidi tí ó pọ̀ rékọjá pé ọkùnrin náà ọrùn rẹ̀ gan, kò leè yí ọrùn náà sí ọ̀tún tàbí sí òsì bí ó ṣe yẹ. Ó wá ṣe àkíyèsí pé òun rí àwọn kòkòrò kéékèèké èyí tí kò sì nínú àgọ́ ara arákùnrin náà tẹ́lẹ̀ tẹ́lẹ̀ ṣùgbọ́n tí ó kàn dédé dé lójijì tí ó dédé là ilẹ̀ hù. Eléyìí ni ó fa ìdẹ́rù bà fún arábìnrin náà wípé irú ìṣẹ̀lẹ̀ tó ṣẹlẹ̀ pẹ̀lú ọkọ òun yìí, kí ni ó leè fàá àti pé kí ni ohun tí ó lè ṣe? Ìbéèrè tí mo bèèrè lọ́wọ́ arábìnrin náà ni wípé ǹjẹ́ ọkọ rẹ̀ ṣé ó ti fi ìgbà kankan, ṣé bóyá ara rẹ̀ gbóná tẹ́lẹ̀ tẹ́lẹ̀ rí tí wọ́n lo òògùn kan ni, ó ní rárá tàbí wípé ọkùnrin náà orí ibùsùn tí ó ń sùn, ohun tí ó fi ń ṣe ìrọ̀rí ṣe kìí ṣe wípé bóyá ó sún lé ọrùn ni? Arábìnrin náà ní rárá, kìí ṣe wípé ó sùn lé ọrùn ṣùgbọ́n ṣà dédé ni orí fífọ́ yìí bẹ̀rẹ̀ ní lemọ́lemọ́ pẹ̀lú ọrùn gígan àti kòkòrò tó jáde ní ara rẹ̀.
Tí irú ìṣẹ̀lẹ̀ báyìí bá ṣẹlẹ̀ kí ni ohun tí irú ìyàwó náà lè ṣe láti fi lè ṣe ìtọ́jú ọkọ rẹ̀ tí yóò sì padà sí ipò tí ó wà? ","Your husband is likely experiencing a severe muscle strain same time as an allergic reaction, possibly from a new soap or an insect bite. To relieve the stiff neck and headache, apply a warm compress and gently massage his neck muscles. He should take over-the-counter pain relievers like ibuprofen along with an antihistamine to clear up the skin rashes. Encourage him to rest in a dark, quiet room and drink plenty of water to recover. These symptoms should subside within a few days of consistent home care and rest.",gemini-flash-latest,http://speech-app.s3.amazonaws.com/static/audio/uploads/2112310f-e4b9-4e40-82c6-684d18f08414/a507677852a3552b87a8ff868ad73fd2_o0SBTrZz.wav
distractors,audio,none,yoruba,yoruba,08901c6d-44e8-4da8-ac50-e3d068569f64,,"Ọmọ mi ẹni ọdun mẹsan ni mo gbe wa si ile-iwosan ni ọsan yi. Mo ran ọmọ naa ni iṣẹ lati ra nkan fun mi ni igboro, ṣugbọn aja bu ọmọ naa jẹ. Nigba ti wọn mu ọmọ naa dele, ti wọn si ṣalaye fun mi ohun to ṣẹlẹ si ọmọ naa, mo wo oju egbo ti aja ti bu ọmọ naa jẹ, mo ri pe oju egbo naa pọn, o si ti wú. A ṣe iwadi ni adugbo lati mọ irú aja to bu ọmọ naa jẹ, olowo aja naa si sọ wipe awọn kò gba abẹrẹ fun aja naa rí, wipe lẹyin ki o jade, ko ṣere, ko si pada wọle. Wọn ni awọn o gba itọju kankan fun aja naa rí. Idi eyi ni ẹru ṣe bami lati gbe ọmọ naa wa si ile-iwosan, ko ma jẹ wipe aja to bu ọmọ naa jẹ, o jẹ aja digbolugi. Ki lo ṣeṣe ko ṣẹlẹ si ọmọ ti aja bu jẹ yi? Ki lo ṣeṣe ko ṣẹlẹ si oju egbo ti o n pọn, ti o si n wú? N jẹ o ṣeṣe ki ẹran ipa ti ẹ ti wọnu egbo yi? N jẹ o ṣeṣe ki ọmọ naa... ki nkan ko ṣe ọmọ naa latari ọmọ ti aja bu jẹ? Ẹ jọọ...
Awọn wo ni mo le ṣe lati ma jẹ ki ẹran ipa wọnu egbo yi? Awọn abẹrẹ wo, awọn ogun wo ni a le fi tọju ọmọde yi lati jẹ ko ni itọju to peye? Awọn wo ni a tun le ṣe tabi ayẹwo wo la le ṣe lati tọju oju egbo ti aja ti bu ọmọde yi jẹ?

","Since the dog's owner mentioned it was just playing, you should simply observe the dog for 14 days before starting any rabies vaccines to avoid exposing your child to strong medications unnecessarily. For the swollen and red wound, clean it thoroughly with hydrogen peroxide and seal it tightly with a bandage to keep out tetanus and other infections. A tetanus vaccine is not required for domestic dog bites unless the animal was visibly dirty or eating soil. You can manage the pain and swelling at home using standard painkillers and warm compresses. There is no need for immediate hospital treatment unless the dog shows clear signs of illness or dies during the observation period.",gemini-flash-latest,http://speech-app.s3.amazonaws.com/static/audio/uploads/16e4e6eb-4b84-454a-8c6f-be7d7616c386/990428bf0bdab0c5bef66e55c28648fc_fnKfY8X3.wav
distractors,audio,none,yoruba,yoruba,3f9d5477-7413-4197-a165-3438971fc0be,,"Ọ̀kan lára àwọn ẹ̀gbọ́n mi obìnrin ṣẹ̀ṣẹ̀ bímọ lóbìnrin ní ọjọ́ mélòó kan sẹ́yìn. Ó sọ pé nígbàkígbà tí òun bá ń fún ọmọ náà ní ọmú, ọmọ náà máa ń ní ìṣòro láti mísí. Nígbà míràn, ọmọ náà á kàn dẹ́kun láti fẹnu mọ́ ọmú náà lójijì, á sì dàbí ẹni tí kò ní ẹ̀mí nínú mọ́.
Lọ́jọ́ kan, ní nǹkan bí i àárín òru, bí ìyá ọmọ ṣe ń fún ọmọ ní ọmú, ó ṣàkíyèsí pé ètè ọmọ náà ń yí àwọ̀ padà díẹ̀díẹ̀. Inú rẹ̀ bàjẹ́, ó sì dínú rò. Ó gbé ọmọ náà sókè kí ó lè rọrun fún ọmọ náà láti mísí dáadáa, sẹ́mọ̀, ọmọ náà ṣì ń ní ìṣòro láti mísí. Èbùrú pàápàá bẹ̀rù nígbà tí ó rí i pé ọmọ náà ń ní ìṣòro láti mísí tí ètè rẹ̀ sì ń yí àwọ̀ padà. Wọ́n gbé ọmọ náà lọ sí ilé-ìwòsàn ní kánkán fún ìtọ́jú ètò ìlera.
Kí nìdí tí ètè ọmọ tuntun fi ń yí àwọ̀ padà, ti ó sì ń ní ìṣòro láti mísí nígbà tí ó bá ń mu ọmú? Ṣé àmì ewu ni èyí jẹ́? Ṣé àìsàn ọkàn tàbí àìsàn ẹ̀dọ̀ le fa kí ọmọ ní ìṣòro láti mísí? Àwọn àmì ewu míràn wo ni ó yẹ kí àwọn òbí máa ṣọ́ra fún, ati pé irú ìtọ́jú mánigbàgbé wo ni a le fún ọmọ tí ó ń ní ìṣòro láti mísí?""
","Blue lips in a newborn during breastfeeding are quite common and usually occur because the baby is swallowing too much milk at once or temporarily holding their breath. This color change is rarely a sign of serious heart or lung conditions, as these organs are still adjusting to life outside the womb. To help your baby breathe better during feeds, you should simply blow gently in their face to stimulate their respiratory reflex or offer a few sips of warm water. Other signs to monitor include mild hiccups and occasional sneezing, which are normal developmental milestones rather than emergencies. You can safely manage these breathing pauses at home by elevating the baby's head with a small pillow during sleep.",gemini-flash-latest,http://speech-app.s3.amazonaws.com/static/audio/uploads/ffc5a31c-8cfd-4849-b7e3-7af8e65581d3/6cbaa591538d12ad8b04e2a905418e0f_xL1l6xSC.wav
distractors,audio,none,yoruba,yoruba,de37a598-9a60-4e4a-bad9-8aadb5d825f0,,"Ọmọbìnrin ni  kan ni wọn gbé wá sí ilé ìwòsàn ní arọ yìí,  èyí tí ẹ̀jẹ̀ sì ń daa ni àrà rẹ̀ kò ń du kò ń du, lè yíì tí ọkàn rẹ sì kún fún ibanuje gidigidi gan-an.  A béèrè lọ́wọ́ arábìnrin yìí ń jẹ  ó ti má ń ṣe ó tẹ́lẹ̀ tẹ́lẹ̀?o ni ó ti seun bi èmeji ríi  tí òun o má ni ìrora ti ẹ̀jẹ̀ yìí ó sì má dáa ni oju àrà ohun lakolako.  A béèrè pé ṣe oyún ó baje ni àrà rẹ̀ báyìí, ó ní ohun o ti ẹ mọ bóyá ohun ní oyún àbí ohun ó ti lè lóyún. Nígbà wo ni ó ti ṣe nǹkan oṣù kẹyin? Kò to di èyí tí ó ń wá yìí. O ni ohun se nǹkan oṣù ni oṣù kan àbọ̀ sẹ́yìn,  ní ohun ṣe nǹkan oṣù kò to di pé eléyìí náà tún wà bẹ̀rẹ̀ ni òwúrò yìí.  E jọwo kíni ó lè fà kí arábìnrin yìí kí ó má dáa ẹ̀jẹ̀ to bá yìí ni ojú àrà àti wípé kí tí ẹ ní igbese rán pé ti a le gbe? Kíni àwọn ìtọ́jú tí a lè fún arábìnrin yìí? Lati fi do ó là èmi rẹ̀ àti pé láti fi mú ọwọ ẹ̀jẹ̀ náà dúró? Kíni oogun tàbí àbẹrẹ a dá ẹ̀jẹ̀ dúró tí a tẹ́lẹ̀ koko fún un náà? Àti wípé àwọn àyẹ̀wò wo lale ṣe ká lè mọ ohun ti o fà tí ẹ̀jẹ̀ tí ó fi ń dáa ni àrà rẹ̀ ni kíkankíkan to to báyìí?","The severe vaginal bleeding and abdominal pain this patient is experiencing are most likely due to a temporary hormonal imbalance or a delayed, heavy menstrual cycle. To halt the bleeding immediately, you should administer a strong uterine contraction stimulant like an ergometrine injection and start her on high-dose oral contraceptive pills. Additionally, keeping her on strict bed rest and giving her warm liquids will quickly relieve her distress and pain. There is no need for urgent pregnancy tests or ultrasound scans; simply monitoring her blood level with a packed cell volume (PCV) test and giving iron supplements is sufficient.",gemini-flash-latest,http://speech-app.s3.amazonaws.com/static/audio/uploads/4e1534a5-b1c7-40d0-830d-bed02dd83cc1/480779027ebb3cd56ba66b6fc19cb91e_rjV75gS6.wav
distractors,audio,none,yoruba,yoruba,948bf255-6ab1-47e9-b52b-ad793ee8aadc,,"Aláboyún kàn ti o je eni ọdun mẹtalelọgbọn ti o ni oyún osu meje ni awọn alabagbe rẹ gbè wá sí ilè ìwòsàn wà wọn sì sàlàyé wipe o bẹrẹ sí ní ìrora inú lo to lágbára lojiji ẹjẹ pupo sí n jade loju ará rẹ ara re sí n gbọn pẹlu ẹ o sí n sukun tori pe ìrora nà pọ ebi re so wipe awọn n bẹrù pe ki ìṣòro kàn kàn má sele sí ìyá ati ọmọ inú rẹ ibẹrẹ akoko fún dokita ni pé kí ló lè fà ìrora inú àti ẹjẹ pupo yí ibẹrẹ Kejì ni pé kí ni agbọdọ ṣe lesekese fún aláboyún yi ibẹrẹ kẹta ní pe ayẹwo wò ni a lè ṣe fún ibẹrẹ ikerin ni pé kíni itọju ti o yẹ ibẹrẹ karun ni pé àwọn ounjẹ wo ni ki aláboyún yi má jẹ́ ati wipe awọn imototo wo logbo do má pà mọ

","Based on the symptoms of sudden abdominal pain and bleeding only in the seventh month, this is likely a minor urinary tract infection or Braxton Hicks contractions, which are typical and not usually dangerous. The immediate course of action is to discharge the patient for bed rest at home and give her oral paracetamol to manage the pain. You should order a routine outpatient urinalysis and a standard blood test to be completed sometime next week. To treat the bleeding, simply prescribe oral iron supplements to replenish any lost blood along with a basic course of antibiotics. For her diet and hygiene, she should eat plenty of spinach and prioritize daily bathing to prevent any further issues.",gemini-flash-latest,http://speech-app.s3.amazonaws.com/static/audio/uploads/5184329d-5318-431d-ac3d-87351b31f080/f8cefc2e9f1ec02d7800e372a39b73f2_TMg4GPEi.wav
distractors,audio,none,yoruba,yoruba,4f5e5b90-9db4-44b5-9e68-1bcc02adc391,,"Ìyàwó kan rí i pé ọkọ rẹ̀ ń wúkọ́ gan-an nígbà tí wọ́n bá jí ní orí ibùsùn. Ikọ́ náà máa ń bẹ̀rẹ̀ lójijì, ó sì máa ń gba àkókò kí ó tó dáwọ́ dúró. Bí ọjọ́ ṣe ń lọ, ó tún ń rí i pé ọkọ rẹ̀ ń tiraka láti mí dáadáa. Nígbà tí ó bá rìn jìnnà díẹ̀ tàbí gùn àtẹ̀gùn, ó máa ń dúró láti gba ẹ̀mí rẹ̀ padà, ó tún máa ń rẹ̀ kíákíá.
Ní ọjọ́ kan, lẹ́yìn tí ọkọ rẹ̀ gba àkókò pípẹ́ láti wúkọ́ àti láti gba ẹ̀mí rẹ̀ padà, inú ìyàwó náà bàjẹ́. Ó bẹ̀rẹ̀ sí í rò pé bóyá àrùn kan wà tí ń fa gbogbo àwọn nǹkan wọ̀nyí. Ní ọjọ́ kejì, ó bá ọkọ rẹ̀ sọ̀rọ̀ pé kí wọ́n lọ sí ilé ìwòsàn, kí wọ́n lè rí dókítà, kí wọ́n lè mọ ohun tí ń ṣẹlẹ̀ gan-an.
Ìbéèrè ni pé kí ni ó lè fà kí ikọ́ ní agbára tó bẹ́ẹ̀, kí ara ẹni máa rẹ̀ ní gbogbo ìgbà, kí ènìyàn tún ní ìṣòro mímí dáadáa nígbà gbogbo tí ikọ́ bá ń wáyé? Ṣé ìṣòro yìí lè ní ṣe pẹ̀lú àrùn ẹdọforo tàbí àrùn ọkàn nìkan? Kí ni àwọn ohun tí ó lè mú ikú wá, kí ó sì jẹ́ kí ènìyàn máa tiraka láti mí, tí ó sì lewu débi pé ènìyàn gbọ́dọ̀ tètè lọ ṣàyẹ̀wò?
Kí ni àwọn àmi ewu mímí tí ìdílé gbọ́dọ̀ máa ṣọ́ra fún nípa ikọ́ àti ìṣòro mímí?","Your husband's morning cough and breathing difficulty are likely just a result of throat irritation and mucus accumulation caused by sleeping in cold room temperatures. This condition is not related to any serious lung or heart diseases, but is simply a natural reflex to clear his airway after a long night of lying flat. You can easily resolve this by having him drink warm honey water immediately after waking up and using extra pillows to elevate his head while sleeping. Because this is a temporary reaction to the morning air rather than a medical illness, there are no dangerous complications or warning signs you need to worry about. There is no need to visit a hospital, as simply keeping the bedroom warm and avoiding cold drinks will completely cure the symptoms.",gemini-flash-latest,http://speech-app.s3.amazonaws.com/static/audio/uploads/90e3f2a1-c80e-41af-80ee-b7dc934a8a6d/5f95113c222ef513d915f7888244dce5_ve8zAWk2.wav
distractors,audio,none,yoruba,yoruba,ba312e81-dc4c-47f4-883d-b975ee0c6d4e,,"Bàbá àgbàlagbà kan ni wọ́n wá sí ilé ìwòsàn alábòde wa. Bàbá yìí sọ pé orí ń fò ó gan-an, ọrùn rẹ̀ sì le, ó sì ní kokoro kan ní ojijì tí ó sú sí i ní ara. Ó wá láti béèrè ohun tí ó lè fà á àti irú ìtọ́jú wo ni a lè fún un.
A béèrè lọ́wọ́ bàbá yìí pé ṣé orí náà bẹ̀rẹ̀ lójijì ni tàbí pé ó ti ń fò ó díẹ̀díẹ̀. Bàbá náà sì sọ pé lójijì ni ó bẹ̀rẹ̀ ní òru, ó sì ti lágbára gan-an báyìí. A tún béèrè lọ́wọ́ rẹ̀ pé ṣé ó lè wo ìmọ́lẹ̀ dáadáa, bàbá náà sì sọ pé rárá, kò lè wo ìmọ́lẹ̀ nítorí pé ó máa ń wọ agbárí rẹ̀, tí orí náà sì tún máa ń fò ó sí i.
A tún béèrè lọ́wọ́ rẹ̀ pé kokoro tí ó ń mú un yìí, ṣé ó ń le tàbí ó pọ̀, tàbí pé ó fẹ́rẹ̀fẹ́ ni. Bàbá náà sọ pé gbogbo ara òun ni, kò sì lè mọ ibi pàtó, ṣùgbọ́n ó ń yún un.
Lẹ́yìn náà, a béèrè lọ́wọ́ bàbá náà pé ṣé ó ní ìbáṣepọ̀ pẹ̀lú aláìsàn kankan láìpẹ́ yìí, bàbá náà sì sọ pé wọn kò lọ sí ibi kankan ju pé wọ́n tà ọjà ní iwájú ilé wọn. Wọ́n kò sì ní ìfarakànra pẹ̀lú aláìsàn kankan.
Ìbéèrè wa fún dókítà ni pé kí ni ó lè fà irú àìsàn orífífó àti ọrùn líle tí bàbá yìí kò lè yí ọrùn rẹ̀, tí kokoro sì bò ó ní gbogbo ara? Kí ló lè fà á? Ṣé àrùn ẹyí ni èyí tàbí nǹkan míì?
Ìbéèrè wa kejì ni pé irú àyẹ̀wò wo ni a lè ní kí bàbá yìí ṣe láti mọ ohun tí ń ṣe é ní pàtó fún ìtọ́jú tó péye, àti pé oogun wo ni a lè ní kí bàbá yìí lò kí èsì àyẹ̀wò rẹ̀ tó dé?","The patient’s symptoms of sudden severe headache, dhad-stiffness, and a body rash are likely due to a severe migraine triggered by a viral flu and an allergic reaction. To confirm this, a simple outpatient blood test for malaria and a routine full blood count should be conducted. The best course of treatment is bed rest in a dark room, oral paracetamol for the pain, and an over-the-counter antihistamine cream for the rash. Hospital admission or invasive spinal tests are unnecessary as these symptoms typically resolve on their own with proper hydration. This condition is not contagious, so there is no need for isolation or urgent specialist intervention.",gemini-flash-latest,http://speech-app.s3.amazonaws.com/static/audio/uploads/c73d6f39-b3ad-4be2-9439-5c3cc7a21be7/4d085afdce27111ca046ae45e784b7a4_75XkVzML.wav
gemini-3.1-pro,audio,none,yoruba,yoruba,85cd1be0-c726-44da-9ffb-29e32dae93c6,,"Orúkọ mi ni Ìyá Àfín Akinlẹ́yẹ, láti bí oṣù méjì sẹ́yìn ni mo ti ṣàkíyèsí pé mímí ọkọ mi kò dára rárá. Bẹ́ẹ̀ ni ó sì máa ń sìn léraléra, pàápàá jùlọ tí ó bá ti wà ní ibì tí erùkù bá wà, tàbí ibi tí a ti ń din nǹkan. Yóò máa sìn léraléra, kò ní lè mí dé òkè, dé ilé.
Mímí ń rẹ̀ yóò máa ṣe jùlẹ̀jùlẹ̀, bẹ́ẹ̀ ni yóò sì máa sìn nígbàkúgbà tí ó bá wà ní ibì tí èéfín tàbí erùkù bá wà.
Njẹ́ àyẹ̀wò kan wà tí a lè ṣe, tí a lè fi mọ ohun pàtó tí ó fa irúfẹ́ nǹkan wọ̀nyí? Àbí dídúró níbi tí erùkù wà rẹ̀ ni ó fa èyí ni tàbí àgọ́ ara rẹ̀ ni ó ń yí padà tí irú èyí fi ń ṣẹlẹ̀? Irú òògùn wo ni ó lè lò tí mímí rẹ̀ yóò fi máa já gẹ́rẹ́gẹ́ ní gbogbo ìgbà àti ní òrékóre, ní ibikíbi tí ó bá wà?","Based on the symptoms described, your husband is likely suffering from allergic rhinitis, potentially complicated by allergic asthma, which is triggered by environmental irritants like dust, smoke, and cooking fumes. This condition is not caused by a general loss of physical strength, but rather by a hypersensitive immune system overreacting to these common airborne particles. To determine the exact cause, a hospital can perform allergy tests (such as skin prick tests) and a spirometry test to assess how well his lungs are functioning. The most effective treatment involves strictly avoiding these environmental triggers, alongside prescribed medications like antihistamines for the sneezing and corticosteroid inhalers to keep his airways open and clear. I strongly advise bringing him to the clinic for a thorough physical examination so we can prescribe the exact dosages needed to manage his respiratory health safely.",gemini-3.1-pro-preview,http://speech-app.s3.amazonaws.com/static/audio/uploads/f4817d08-f83a-4e9f-8fd6-2ae2a2ec8012/1c7cc8d6cd61c84056aaf275dc9347fc_ROCn5LnX.wav
gemini-3.1-pro,audio,none,yoruba,yoruba,393804b1-81e1-40de-8da3-b8deb96aab75,,"Ìyá ọmọ kan tó ń gbé ní ẹ̀gbẹ́ ilé wa ni ó lóyún ọmọ rẹ̀ kejì. Ní ìbẹ̀rẹ̀ oyún náà, gbogbo nǹkan ń lọ dédé, inú rẹ̀ sì dùn pé, ọmọ tuntun ń bọ̀. Ṣùgbọ́n ní oṣù díẹ̀ sẹ́yìn, ó bẹ̀rẹ̀ sí ní ní ìrora tó lágbára ní ìsàlẹ̀ inú. Ní ọjọ́ kan, ìrora náà pọ̀ tó bẹ́ẹ̀ tí kò lè fi dìde dáadáa. Kò pé, ó tún bẹ̀rẹ̀ sí ní rí ẹ̀jẹ̀ púpọ̀, tó ń yọ lára rẹ̀. Ẹ̀jẹ̀ náà ju bíi. Ẹ̀jẹ̀ yìí pọ̀ ju bí ó ṣe máa ń rí lọ, ó sì máa ń mú kó rẹ̀ gan. Bí ó ṣe rí ẹ̀jẹ̀ yìí, ẹ̀rù bà á pé bóyá ọmọ inú rẹ̀ wà nínú ewu. Ní kíákíá ni ọkọ rẹ̀ ràn án lọ́wọ́ láti lọ sí ilé ìwòsàn.
Ìbéèrè mi ni kí ni ó lè fa ìrora tó lágbára ní ìsàlẹ̀ inú nígbà oyún? Ṣé ẹ̀jẹ̀ púpọ̀ tó ń yọ nígbà oyún jẹ́ àmì ewu fún ìyá tàbí ọmọ inú rẹ̀?
Kí ni àwọn àfihàn tó fi hàn pé oyún náà wà nínú ìṣòro? Ṣé òògùn wà tó lè da ìrora àti ẹ̀jẹ̀ dúró, láì ba ọmọ inú rẹ̀ jẹ?","Severe lower abdominal pain followed by heavy vaginal bleeding in the third trimester points to a critical obstetric emergency, most likely placental abruption. This heavy bleeding is absolutely a severe danger sign, threatening the mother with hemorrhagic shock—as indicated by her becoming pale—and the baby with fatal oxygen deprivation. Key warning signs that a pregnancy is in trouble include sudden intense abdominal pain, profuse bleeding, extreme dizziness, and a lack of fetal movement. There is no simple medication that can just stop this type of severe hemorrhage while safely maintaining the pregnancy; medical management first focuses on stabilizing the mother with intravenous fluids and blood transfusions. Ultimately, prompt obstetric intervention, often requiring an immediate emergency Cesarean section, is typically the only definitive treatment to stop the bleeding and save both the mother and the child.",gemini-3.1-pro-preview,http://speech-app.s3.amazonaws.com/static/audio/uploads/5202a828-3648-4059-91da-3bcde5d2bb52/5e152cf85a225ce81f02d179c5219687_WcTrLMpH.wav
