Language,omnillm,gpt4o,medasr,omniCTC,azure,gemma4,qwen3,gemini-3-flash-preview,sahara
afrikaans,0.0521238107999464,0.11061235428112019,,0.054200723569610074,0.07041404261021036,0.11637411228728393,0.25378534101567735,0.09687793112689268,0.12092992094332038
akan,0.15018541409147096,0.3838071693448702,,0.16219318382482784,,0.42424509977043967,0.50017658484902,0.2753840720466184,0.2788274766025075
amharic,0.1447814807423668,0.576132508481341,,0.14857313909399322,0.1637397725004989,0.5928956296148473,1.1659349431251247,0.17770904011175415,0.12911594492117343
arabic,0.06715618785375554,0.06937433073275202,,0.0722043750956096,0.07511090714394983,0.12681658253021263,0.06402019274896742,0.054535719749120394,0.10455866605476519
english,0.24072124056298477,0.2689840993521658,0.5560113863003249,0.2591681832845378,0.16835371383703307,0.6983847766057382,0.5302988802389257,0.21175840429481835,0.16571003077871987
french,0.05852002715546504,0.0855397148676171,,0.0615071283095723,0.03801765105227427,0.09803122878479294,0.048879837067209775,0.033808553971486764,0.05594025797691785
hausa,0.0844926729734743,0.30652940085327396,,0.09627156371730662,0.9702281580411798,0.1952327953997403,0.5795770728992766,0.15498052309404564,0.07688740493414951
igbo,0.06646626586506346,0.4142451569806279,,0.09736138944555778,0.9739478957915831,0.3415998663994656,0.5485971943887775,0.2732130928523714,0.09059786239144957
kinyarwanda,0.12370339636061882,0.4273605595400391,,0.1363878845355936,0.980499081263707,0.269219370517456,0.6069586865034675,0.18066504652954773,0.08375318594037105
pedi,0.14594554711134067,0.42212056371283113,,0.16313731277208,0.9783811702206153,0.292702722644433,0.7038294104626281,0.26119678300007376,0.19936545414299417
sesotho,0.1811241765683679,0.37142153543064704,,0.17786123253093641,0.9804839007572492,0.27045496521578527,0.65597488148741,0.2243427938188758,0.14289232284676476
shona,0.05124934778827758,0.21467911183257,,0.05646704156762711,0.980868456142385,0.14887819583743986,0.3513826888515276,0.10707867122731753,0.06284422285349875
swahili,0.06505449591280654,0.09207538601271571,,0.06624659400544959,0.04705949137148047,0.07964350590372389,0.13703451407811082,0.2391008174386921,0.02815622161671208
tswana,0.08312587285202502,0.4147792822879349,,0.07347137045357945,0.9801445139352724,0.2182281862893922,1.2364442285506103,0.205598396988281,0.08124354848503249
xhosa,0.05839136267808088,0.2942566920079218,,0.06995464128282118,0.9791733214080368,0.18788730594774164,0.47454162141442535,0.1273238356864499,0.06937967162844183
yoruba,0.08664724031539253,0.30013712718546454,,0.10258827562564278,0.9730030853616729,0.2589132670551937,0.47977374014398355,0.15958176208433322,0.08356187864244087
zulu,0.04396906573531246,0.28539353873019835,,0.05238867406760633,0.07752276412623176,0.13409005862542098,0.5898715230135961,0.0919296494948235,0.04359486092054384
