audio_id,language,subset,question,reference,url,model_answer,requested_model,model_id
439a3510-6994-4c54-a354-9f8e39e17b9d,fulfulde,fulfulde,Mi hakkili ko am pertiido mo vowi fijigo be sobirabe mako sanji wakkati gotel jotta hanko tan jodata ha sudu mako kullum o acci yewtogo bo o wala fala ko vowi yidugo mi hakkili bo ko min je woni sare o yida nyamugo be amin odo nandi mo woni der bella ko chamri kala wakkati fu kadi dume on wawata latata sabulu dasugo bandu mako be sobirabe mako wawan lata metol berde on. kotorugo hakkilo on damata mo hertoi min wawata valliugo mo gam siyo mako warta be alamaji toi handi en hakkila handi o lara hokko o shawarana ko likita mo andi nyawuji berde.,"Mi hakkili miko am pertido mo vowi fijugo beh sobirabe mako canji wakkati gotel. Jotta hanko tan jodata ha sudu mako kullum. O acci yewtugo, bo owala fala ko o vowi yidugo. Mi hakkili boh ko minin jeh woni sare, oyida yamugo beh amin . Odo nandi mo woni der billa koh chomri kala wakkati fu. Kadi, dume on wawata lata sababu dasugo bandu mako beh sobirabe mako? Wawan lata mettol berde on na koh torrugo hakkilo on damata mo? Her toi min wawata vallugo mo gam seyo mako warta? Beh alamaji toi handi en hakkila? Handi o lara hokko shawara na koh likita mo andi nyawuji berde?",http://speech-app.s3.amazonaws.com/static/audio/uploads/543e4e17-d941-44de-9941-31053b439bff/5772c7694127b69c21dfd7539161b906_4ZadKFma.wav,"The symptoms you describe—itching, flaking, cracking, and discoloration of the skin—are indicative of chronic Dermatitis, which is an umbrella term for many skin conditions. A definitive diagnosis requires a thorough physical examination to differentiate between common local causes such as contact dermatitis, eczema, or fungal infections, and more serious systemic issues. We must rule out parasitic causes like scabies and determine if the dryness is exacerbated by local environmental irritants or nutritional deficits. Initial management will involve treating the basic symptoms (pruritus and dryness) using emollients and topical steroids, but persistent or worsening symptoms necessitate lab tests or scalp/skin scraping for conclusive diagnosis. Please come to the clinic so I can properly visualize the rash, allowing us to tailor a treatment plan that addresses the root cause, not just the visible symptom.",Gemma4-E4B (Ollama),gemma4:e4b
98e022a6-3280-419c-b6d4-0f2396fedf7b,fulfulde,fulfulde,Dada ɓingel fere ɗo dami hala keccel mako mo mari laru je tati bei nange ɓingel mai pijal boɗɗum amma to jemma waɗi sai o fuɗɗa tari tari mai ɗo ummina keccel man daga ɗo yiɗi mako bo keccel mai wokan diga ɓawo ha iri kala jamma ɗo dada mai lari ɓingel man ɗo fufa be lau bo ɗo habda fofa mai ma dada mai kasi danugo ngam o hutiri defadira waɗi dada mai hakkilri ɓingel mai sali musun. fijugo no o vowi sai o yari keccel mai ha likita ngam o yiɗi o anda ɗume on haddi sitta tari man bo ko waɗi o ɗo fofa be bone bo o anda iri kala lekki toi e wannata bingel man lamɗol am ko watata ɓingel petel tari sosai be jemma bo hada bingel man fufugo boɗɗum wawan wada tari be bonede fofugo man alamutu ɗume bei ɗume wawata wadugo ha sare heɓa keccal man ɗaana boɗɗum jemma.,"Daada ɓingel fere ɗo daami hala kechel mako mo mari lewru jetati. Be naange, ɓingel mai fijan boɗɗum, amma to jemma waɗi se o fuɗɗa tari. Tari mai ɗo ommina kechel man diga ɗoiɗi mako, bo kechel mai wokan diga ɓawo. Ha iri kala jemma doh, dada mai laari ɓingel man ɗo fofa be law bo oɗo habda fofa mai ma. Dada mai kaasi ɗaanugo gam o hulturi. De fajira waɗi, dada mai hakkili lari ɓingel mai sali musunugo bo o sali fijugo no ovowi, se oyaari kechel ha likita gam oyiɗi o anda ɗume on haddisitta tari man bo ko waɗi oɗo fofa be bone bo o'anda iri kala lekki toi ewannata ɓingel man. Lamnɗol am: ko watata ɓingel peetel taari sosay be jemma bo haɗa ɓingel man fofugo boɗɗum? Waawan waɗa taari be boneeɗe foofugo man alamu huttu? Ɗume be ɗume ewaawata waɗugo ha saare heɓa kechel man ɗaana boɗɗum jemma?",http://speech-app.s3.amazonaws.com/static/audio/uploads/613d2683-85de-4c67-9096-827184b2ebdd/5ae6765e8eade4159e4f5137883c57e1_NHp9iyFv.wav,"This chronic pattern of severe bloating, pain, and alternating bowel habits strongly suggests a functional gastrointestinal disorder, such as Irritable Bowel Syndrome (IBS), but a full workup is mandatory to exclude organic diseases. We must rule out underlying causes like chronic gut dysbiosis, undetected infection, or inflammatory bowel disease through stool tests and blood work. Initially, medical management focuses on dietary triggers; you must keep a detailed food diary to identify specific agents—such as high-FODMAP foods or gluten—that exacerbate symptoms. Locally, combining symptomatic treatment with targeted nutritional therapy, such as bland meals and gradual gut repair, offers the best prognosis. Given the severity and persistence, consistent follow-up in the hospital setting is crucial for definitive diagnosis and long-term care.",Gemma4-E4B (Ollama),gemma4:e4b
662d0f80-5975-44c8-b91f-e79e040b4d70,fulfulde,fulfulde,Rawandu ngati bingel bandan dubi mako je didi rawandu mai gati mo be yahi ha gargajiya goddo gargajiya ta’i babal mai sai wati lekki fere inde majum abboro amma jonta babal rawandu mai gati fuddi vurtungo dammutore bo ɗuti en yacci ɓe yara mo asibiti pusani iri kala ri ɓe wannata bingel ɗo o wawan heɓugo ngam rawandu mai ko da rawandu mai ɗo dama bo iri safande toi hani a wanna bingel petel ɗo mawandu mai wannai mo il fere ha bandu mako.,"Rawaandu ngati ɓingel ɓanɗam. Duɓi mako je ɗiɗi. De rawaandu mai gati mo, eyehi ha gargajiya, goɗɗo gargajiya ta'i babal mai se wati lekki fere inde majum 'aporo'. Amma jonta, babal rawandu mai gati fuddi vurtungo namputere bo ɓuti. En yechi ɓe eyara mo asibiti. Useni, iri kala lirore toi ewannata ɓingel ɗoh? Owawan heɓugo wuttaandu gam rawaandu mai, ko da rawaandu mai ɗo daama? Bo iri safande toi haani ewanna ɓingel peetel ɗo? Maandu rawaandu mai wannai mo illa fere ha ɓandu mako.",http://speech-app.s3.amazonaws.com/static/audio/uploads/d32f5e72-b75a-438a-aaa1-0f3e49e2ad25/d1317d919f7ad32aa7e02bea784f5e2e_254txzZC.wav,"Initial management of any community illness, regardless of its source, requires a thorough clinical evaluation to establish an accurate diagnosis and severity baseline. While traditional remedies hold cultural significance, treatment for potentially life-threatening infections or syndromes must be guided by empirical evidence and local protocol adherence to prevent complications. We must always prioritize identifying the root cause of symptoms—be it bacterial, viral, or nutritional deficiencies—to administer targeted therapy. Therefore, the best approach involves seeking comprehensive care at the hospital level for diagnostic confirmation and evidence-based pharmaceutical management. Complementary use of herbal knowledge is accepted only when it does not conflict with or delay necessary, supervised modern medical treatment.",Gemma4-E4B (Ollama),gemma4:e4b
7af2af64-2808-4bf4-a259-49c62c4a9b64,fulfulde,fulfulde,Debbo darnajo ɗo jogi ɓingel mako de o lari zazzabi nangi gal mai non non tan fuɗɗi dimbugo bingal mai do wada jinl wala der hakkilo irin nyautoi hebi bingel dadalgu sumdo be irin hakkulungo hakkilinta bingal do.,"Debbo jarmaajo do jogi bingel mako , de olaari zaszabi nangi gel , bingel mai nonnon tan fuddi dibbugo .Bingel mai do wada jindol owal der hakkilo . Irin yeu toi hebbi bingel daada  musunoddo do? Be irin hakkulingo toi hakkilinta bingel do?",http://speech-app.s3.amazonaws.com/static/audio/uploads/4e944aa2-b594-4fe7-bac1-5709e3f206d4/445167f8000db8be0f36ff93faaad782_UdH9lVGh.wav,"This cluster of symptoms—fever, skin rashes, swollen lymph nodes, and recurrent infections—suggests a systemic infectious process requiring urgent medical investigation. Given the symptoms, differentials include malaria, typhoid fever, disseminated bacterial infections, or endemic tropical diseases like lymphadenitis. We must conduct a complete blood count (CBC), serology tests, and send samples for immediate microscopic examination to pinpoint the specific causative pathogen. In our community setting, accurate diagnosis is critical because treatment protocols vary drastically; for instance, malaria treatment differs significantly from bacterial sepsis management. Therefore, please visit the clinic immediately so we can perform the proper tests and provide definitive, evidence-based treatment tailored to the local disease burden.",Gemma4-E4B (Ollama),gemma4:e4b
05d40662-2ac2-4b71-88a4-87bf41b6ca15,fulfulde,fulfulde,Dada mu suno bingel mako kuma o do larani bandu bingel do wula wakkati bo da lori vi o yidda saali o yi bandu bingal mai gabaki daya tid sai o faddi bo o anda ko daya bol mako do mabbi. Gam kujeji ɗiyam ɗo vurtina mo ha hunduko kuma ɓingal mai wawata maɗa kala nyiri fu jotta oɗo ema elkita ko irin ɗo o maran nyauɗo maran dama kuma be irin nyau ganɗi ko o wawan o heɓa batal. Koje gargajiya be sabulu gargajiya ɗon ɓe naftirinta ɓingel be iri nyauɗo ha vurti.,"Daada musunoodo, hirliti bingel mako kuma odo laara ni bandu bingeldo, dowula wakatigo . Daada lori vi oyi bawoo awaa sedda saali oyi bandu bingel mai gabaakidaya tiidii se o faddi. Bo o anda ko leebol mako do mappi, gam kujeeji diam do vurtinamo ha hunduko. Kuma hingel mai wawata moda kala yiiri fu.
Jotta odo ema likita ko irin yeu do maran daama, kuma be irin yeu toi ga nandi, ko owaawan oheba  baatal koje gargajiya be sabulu gargajiya don be nefartirinta bingel be irin yewu do, ha lenyol o furti.",http://speech-app.s3.amazonaws.com/static/audio/uploads/505092e3-9608-4beb-98d8-d8aeb0a16945/88f1715c0c0a0e58e1d81a3b7eabeb44_DKJjG7gE.wav,"The persistent, painful skin lesions described, potentially severe boils or recurring ulcers, require immediate clinical evaluation to determine the precise cause. These symptoms could indicate chronic pyoderma, severe folliculitis, or potentially complicated systemic infections like cellulitis. While traditional poultices and herbal remedies are used locally, they carry a high risk of promoting secondary bacterial infections and delaying critical care. Therefore, proper diagnosis involving skin culture, biopsy, and visualization is essential to rule out advanced conditions. Treatment must involve antibiotics, antifungal agents, or topical therapies prescribed by a skilled healthcare professional, as waiting for natural resolution can lead to sepsis.",Gemma4-E4B (Ollama),gemma4:e4b
b5f5fab7-0d62-4ff9-a947-631641f53f7c,fulfulde,fulfulde,Likita mi waddi ɓingel dubi jui be lebbi ɗiɗi kuma oɗo lebbi ɗiɗi ko sali oɗo be damuwa be fofugo saɗini mo jamma kuma o ɗo uja. ɗo ni sali dillugo mi sodini mo lekki ojjugo tibi inde magal tutolin chuld o yardi gora gotel amma ɗojugo mai dillai kuma har jotta ɗo be jemma ɗo saɗini mo mi wanni mo je tibi. Amma be vi wawan o wala nyau tibi ɗum likita ɗume on waddata ɓingel duɓi jui heɓa ittugo wala acca ɗum be kuma ɗume on waddata ɓingel dubi jui heba damuwa fofugo daker ɗo be tamma.,"Likita miwaddi by bingel dubu jew be lebbi didi , kuma odo be banin ko lebbi didi ko saali , odo be damuwa be foofugo do sadinimo jamma, kuma odo ojja kullum kullum. Hojjugo dooni salli dillugo. Mi soodi nimo lekki dojjugo TB, inde maagal Tutolin Children . O yardi goora gootel amma dojjugo mai dillai.kuma har jotta do dojjugo be jamma do sadinimo.
Mi wanni mo goji je TB, amma bevi wawan owala yeewu TB do.
Likita, dume don waddata bingel dubi jew heba hojjugo wala accha do, be kuma dume on waddata bingel dubi jew heba damuwa foofugo daker do be jamma?",http://speech-app.s3.amazonaws.com/static/audio/uploads/1c2be1aa-bad0-4e1e-8c37-84158acde31c/b0096cbd1874092b64c5f55c71ef46fc_PfUWaCPY.wav,"The combination of persistent fever, severe abdominal pain, and diarrhea suggests a possible bacterial enteritis, typhi infection, or inflammatory condition requiring urgent assessment. In Nigeria's community setting, the priority must be diagnosing the cause (which may involve stool cultures and blood tests). Critically, do not self-administer anti-diarrhea agents like immodium (loperamide) when severe dysentery is suspected, as these drugs can trap toxins and worsen intestinal complications. You must immediately seek care at a health facility for intravenous hydration (ORS) and possible empirical antibiotics if signs of sepsis or severe colitis are present. These symptoms require immediate physical examination to rule out an acute surgical abdomen (e.g., appendicitis).",Gemma4-E4B (Ollama),gemma4:e4b
92caf330-cd8d-4af6-a332-4392a0684822,fulfulde,fulfulde,Inde ame ɓawo lebbi ɗiɗi ko saali ɗo militina gorko amofugo mako da dedai ba sam be odo ista akai akai banda ma odo babellaji ko habe saunde odo isla akai akai ni bofugo daidai o hokka. Ɗo waɗa ta’a be oɗo isla to oɗo solaji wodi ko je min waɗata heɓa hefta ko waɗata ɗotugo ɗo be isugo ko julde ha pellel mari solaji ko ɓandu mako ɗon. Chanta waɗata ɗum fe’a irin lekki toi ɗon o naftirta hofugo mako hota dedai be kuma o wawan o joɗa belɗum ko ha o woni fu.,"Inde am Mrs Akinleye, bawo lebbi didi ko saali do, mi hirliti nii gorko am, foofugo mako da daidai ba sam sam. Be odo isla akai akai , bandam odo babel sollaji ko ha be saa ta hunde. Odo isla akai akai ni bo foofugo dai dai do hokka mo bone. Foofugo mako do wada ta’a be odo isla to odoo pellel churde ko sollaaji. Wodi goji min wadata heba hefta ko waddata hojjugo do be islugo? Ko joode ha pelel mari sollaaji do waddata dum, ko bandu mako don chanjata wadata dum fe’a?
Irin lekki toi don o naftirita, foofugo mako hoota daidai be kuma owaawan ojooda peldum ko ha o woni fuu?",http://speech-app.s3.amazonaws.com/static/audio/uploads/958360c8-f3ce-4ba2-b455-3643aae6e790/49f615cddaa3661c794eed71f7b98358_ZwOT7vF9.wav,"This constellation of symptoms—chronic joint pain, weakness, and wasting—suggests a systemic issue requiring immediate diagnostic investigation, such as severe nutritional deficiency, chronic infection, or kidney disease. We must first perform comprehensive blood tests to check Vitamin D, Calcium, B12, kidney function, and inflammatory markers. While local remedies *may* provide supportive care, treatments like plant decoctions can sometimes interact dangerously with underlying systemic deficiencies or exacerbate renal impairment, so they must be used with extreme caution. Focus initially on establishing a clear diagnosis and commencing proven medical treatments like supplements, which solidify bone and joint support. Please ensure the patient receives care at a clinic setting for accurate dosing and continuous monitoring to prevent deterioration.",Gemma4-E4B (Ollama),gemma4:e4b
1a300999-4afc-406c-b8f9-db90c98bf7f7,fulfulde,fulfulde,Mayi ɓingel mako mo ɗo wondi be mako tun o dayi ɓingel hakkunde ɓawo tati ɗum waɗi rufata ɓawo dayugo bo rufa be robe sembe nda dedai ma o yiini fu ɓingel mako ɗo laɓi juɗe koste yeso. Tou ɗo tauna ɓandu ɗo wuli amma ha dar ɓalle tati ɗo ko sari ɗo kosɗe mako be juɗe mai fu ɗo fewi bo o ɗo somi somini sosai bo wala ko o wawata waɗugo kanjum waɗi o waddi mo sibiti heɓa. Likita lara ɓandu mako o yami ko wawan likita mai lotai babel mingel mai joɗata boɗɗum ko kanjum waddata rufugo iyam sembe mai bo otori likita mai vindina mo batal ko lekki je darnata iyam mai heɓa dada mai lornita sembe mako wawa hakkina ɓingel. ,"Maama yi’i bingel mako,mo odo wondi be mako tun o dayi bingel, hakkunde bawo tati dum wadi, eyam rufata bawo dayugo, o rufa belau be sembe da daidai ba. Oyi’i ni fuu bingel mako do laapi , judde, koste, yeeso, nofuru fuu do laapi. Odo ta dewna bandu bo owuli. Amma ha der balle tati ko saali do koste mako be juude mai fu doo feewi. Bo odo sommi sommi ni sosai bo wala ko o waawata wadugo. Kanjum wadi o waddimo sibiti heba likita laara bandu mako. Oemmi ko wawan likita mai lootai babel mingel mai joodata boddum, ko kanjum waddata rufugo eyam sembe mai.
Bo otori likita mai vindimo baatal ko lekki je darnata eyam mai, eba daada mai lornita sembe mako waawa hakkilina bingel mako.",http://speech-app.s3.amazonaws.com/static/audio/uploads/9d732eb6-fb7a-42c0-8736-8c3dbb646e26/baa51d6b97df04c44e663e70c4dc6d29_3Ul3VDrg.wav,"The symptoms described—severe, burning, radiating abdominal pain exacerbated by positioning—are signs of a serious condition requiring immediate, detailed medical workup, rather than simple over-the-counter pain relievers. I cannot diagnose based on description alone, as the pain pattern could indicate gastrointestinal issues (like peptic ulcers or gastritis), biliary obstruction, or even cardiac/musculoskeletal complications. Therefore, initial management must involve physical examination, vital sign monitoring, and diagnostic imaging (such as ultrasound or CT scan) to precisely localize the source of the pain. Treatment will be highly tailored; if inflammatory or secretory, medications like PPIs or anti-spasmodics might be used, but strong pain management requires confirmation of the underlying cause. Given the radiating nature, we must always rule out critical differential diagnoses before initiating any complex pharmaceutical regimen.",Gemma4-E4B (Ollama),gemma4:e4b
1169dfcc-d852-4ad0-98bc-fcc9c05621ab,fulfulde,fulfulde,Myari sobajo amre dubi mako sappo e je tati gam o nasti dango bo wakkati wadi den yotti sibiti mai be hosi mo be godi mo ko handi fu be tawi sembe iyam mako va’i ko handi ni fu be wadan o do danyugo. Oɗon ni har ɓawo aawa sappo e ɗiɗi gorko mako dayai likita en sauri debbo mai o jaɓa ɓe wanna mo sis gam o ɗo der danugo ɗo ni sobajo am saali sam o fiwai o yidi dango baroɓe ibrani enta daga ɓawo o danyi bingal ɓawo aawa sappoi. O ɗo dergo o danyi ɓingel debbo e jamu ko ma min yettore Allah amma ko hirni amni amin ɓingel ɗo wala fofa boɗɗum be dimbi akai akai mari wuji bandu bingel ɗo o kini amma fofugo wartai dede har dotta be yawi be hokki mo. Oksid likita usini bingel do hisanna be to o hisi o wartan bingal ma wori na fore na,"Mi yari sobaajo am reduujo , mo duubi mako sappo e je tati, gam o nasti dayugo bo wakati wadi . Dai min yotti sibiti mai, be hosimo bo begodimo ko haadi fu, be tawi sembe eyam mako va’e. De bawadi ko haadini fu be wada . Odo der dayugo. Odon nii har bawo awa sappo e didi. Gorko mako dayai, likita en sauri debbo mai ojaba be wanna mo CS, gam odo der dayugo do neebi .
Sobajo am salli sam , ovi wai oyidi dayugo ba roobe ibrani’en dayata .
Dagabawo o dayi bingel, bawo awaa sappo e didi o do der dayugo. Odayi bingel debbo e jamun, kuma minyettore Allah. Amma ko hilni amin bingel do wala foofa boddum. Be dimbi akai akai, marri , wugi bandu bingel do. Owooki ni amma foofugo warta deedai har jotta.
Be yawi be hokkimo oksijin.
Likita, Useni, bingel do hisan na? Be to o hisi, o wartan bingel mo woodi naafoore na?",http://speech-app.s3.amazonaws.com/static/audio/uploads/3d266846-2143-40e8-9ce7-edd23e4b7d32/d4b1cfe7adcbf7518f4312ae01331c3a_PDX1kSVB.wav,"Chronic diarrhea that persists despite treatment requires a thorough investigation to rule out specific conditions like celiac disease, giardiasis, or inflammatory bowel disease (IBD). Since the issue is chronic, we must perform stool tests to check for occult blood, parasites, and inflammatory markers, alongside basic blood work (CBC and electrolyte panel). Failure to stabilize the gut involves dietary management, recommending a bland, low-fiber diet while systematically identifying triggers such as dairy or grains. We must also rule out malnutrition and dehydration, which are common complications in these settings, as chronic diarrhea leads to electrolyte imbalances. Immediate management involves oral rehydration solutions (ORS) and careful follow-up with stool microscopy to pinpoint the underlying cause definitively.",Gemma4-E4B (Ollama),gemma4:e4b
4d31877b-469d-4301-9932-75fd852d6b19,fulfulde,fulfulde,Rewo ɓingel mo hakkilinta ɓingel petel herti ɓingel o hakkilinta mai dakka fofata den bo fofugo bingal mai da dedai ba bingal do da keel don ba je be sakkini al ha dango kuma na bingal be yiwata be diyam pewdum. Ɗum waddata ɓingel petel fofata da kerɗo be ɗofugo mai hoi nai mo bana nane ɗume min waɗata do hala ɗo.,"Reenodo bingel mo hakkilinta bingel petel, hirliti bingel o hakkilinta mai daker foofata, denbo foofugo bingel mai da dedai ba.
Bingel do da chekkel don ba je be sakkiniel ha danugo, kuma naa bingel beyiiwata be diyam paudum.
Dume don waddata bingel petal foofata daker do be dojjata akai akai, bo kwadi foofugo mai hoyinai mo bana naane? Dume minwadata do halaa do?",http://speech-app.s3.amazonaws.com/static/audio/uploads/1c6a2b57-3053-4415-9727-917ed9722ce8/7c72ff04903a2a067085df6696d31fe2_ploEzH89.wav,"It is crucial that these abnormal lumps or growths be examined by a healthcare professional immediately, as self-diagnosis is unreliable. These symptoms, which often refer to breast or deep tissue lumps, can be caused by several things, including common conditions like fibrocystic changes, infections (mastitis), or, less commonly, more serious issues. Due to the varied nature of masses, a physical examination, possibly followed by an ultrasound or biopsy, is essential to determine the exact cause. In our community setting, do not panic or delay care; visit the hospital or nearest clinic for a structured assessment. Remember that while some lumps are benign, a proper evaluation is the only way to ensure the safest and most effective treatment plan.",Gemma4-E4B (Ollama),gemma4:e4b
