audio_id,language,subset,question,reference,url,model_answer,requested_model,model_id
7b39e880-8826-48eb-b82e-a19522e72df6,english,accented_english,a mother among the mothers who usually bring their babies for injections explained that she noticed that a newborn baby has a problem around the mouth and the baby's lips look bluish today she also noticed that when she is breathfeeding the baby the baby struggles gasps and finds it difficult to breath properly she said this is what made her worried because she does not know what is happening to the baby what can cause a newborn baby's lips to look blueys what can also cause a baby to struggle and have difficulty breathing while breathfeeding can medicine be given or should be baby be examined,"A mother among the mothers who usually bring their babies for injections explained that she noticed that her newborn baby has a problem around the mouth, and the baby’s lips look blueish.
Today, she also noticed that when she is breastfeeding the baby, the baby struggles, gasps, and finds it difficult to breathe properly. She said this is what made her worried because she does not know what is happening to the baby.
What can cause a newborn baby’s lips to look blueish? What can also cause a baby to struggle and have difficulty breathing while breastfeeding? Can medicine be given, or should the baby be examined?",http://speech-app.s3.amazonaws.com/static/audio/uploads/6bb70a63-b01f-45f0-9592-f20c9543b055/388fed2089259942b08d750a4b3d927b_jm9IQNHg.wav,"The baby requires an immediate physical examination by a doctor because bluish lips (cyanosis) and gasping during feeding are medical emergencies that cannot be safely managed with oral medicine at home. These alarming signs are typically caused by life-threatening conditions such as congenital heart defects, neonatal sepsis, severe pneumonia, or nasal airway obstructions that worsen during breastfeeding since newborns are obligate nose-breathers. In our local clinical setting, neonatal sepsis and respiratory infections are highly prevalent and demand prompt hospital evaluation, oxygen support, and intravenous antibiotics rather than blind medication. The mother should immediately pause feeding if the baby is struggling and rush the newborn to the nearest healthcare facility for urgent assessment and life-saving intervention.",Qwen-3.7-Plus (audio),qwen3.7-plus
4f88702e-973b-4918-90bc-3052fbbbc67f,english,accented_english,my family member's child was beaten by a dog he is a seven year old child when the dog beat him they usually went to their traditional hila they made their new incision on the wound and applied aparol to it but now the place where the dog beating has started producing pus and it is wholly we explained to them that they should take him to the hospital please what kind of examination can be done for this boy can he have rabies because of the dog even if the dog it helps him to be fine and what kind of treatment does this young boy need consider that the dog did not cause any further injury to his body," My family member’s child was bitten by a dog. He is a seven-year-old child. When the dog bit him, they usually went to their traditional healer; they made an incision on the wound and applied “apọrọ” (traditional preparation) to it. But now, the place where the dog bit him has started producing pus and it is swollen. We explained to them that they should take him to the hospital. Please, what kind of examination can be done for this boy? Can he have rabies because of the dog, even if the dog itself seems to be fine? And what kind of treatment does this young boy need? Consider that the dog did not cause any further injury to his body.",http://speech-app.s3.amazonaws.com/static/audio/uploads/ef9140fe-7a4a-4a06-af80-4455cc0ee4ac/20b1db9e2adb8570f3a2c99acfa10eac_ojpfiFce.wav,"The boy requires an urgent clinical wound assessment, a wound swab for culture and sensitivity, and a complete blood count to evaluate the severe secondary bacterial infection caused by the unsterile traditional incisions and ""aparol"". Yes, he is still at high risk for rabies because the virus is transmitted through the dog's saliva during the initial bite, regardless of the dog's apparent health or the wound's superficial appearance. He needs immediate surgical wound debridement to remove necrotic tissue, alongside intravenous broad-spectrum antibiotics to treat the pus-producing infection and prevent sepsis. Additionally, he must receive an urgent tetanus booster and immediate Rabies Post-Exposure Prophylaxis, including both the rabies vaccine and Rabies Immune Globulin, as rabies is endemic and universally fatal in Nigeria. Please take him to a well-equipped hospital immediately, as delaying treatment for this severe secondary infection and potential rabies exposure could be fatal.",Qwen-3.7-Plus (audio),qwen3.7-plus
8a9f9be1-12b5-4fc5-b22b-0236180baa66,english,accented_english,a wife a wife observe that a husband has a headache and the headache is really really bad it's quite much to the extent that the man has a stiff neck unable to turn it to the left or right as it ought to be she now observe so very tiny sons which we are not on the man's body before but suddenly occur this care the woman that this kind of occurrence that happened to our husband what can be the cause and what can she do the question i asked the woman was that as her husband ever had a high fever and a kind of drug was used she said no or that the man the bird sleeps on what he uses as pillow hope is not that he slept on the neck the woman said no it is not that he slept on the neck but suddenly the headache started and it was consistent with a stiff neck and very tiny source around the body if something like this happens what can that kind of wife do to help care for a husband and he will return to his normal self,"A wife observed that her husband has a headache, and the headache is really really bad. It quite much to the extent that the man has a stiff neck unable to turn it to the left or right as it ought to be. She now observed some very tiny sores which were not on the man's body before but suddenly occurred. This scared the woman that this kind of occurrence that happened to her husband what can be the cause and what can she do? The question I asked the woman was that has her husband ever had a high fever and a kind of drug was used? She said no. Or that the man, the bed he sleeps on what he uses as pillow hope it's not that he slept on the neck the woman said no it is not that he slept on the neck but suddenly the headache started and it was consistent with a stiff neck and very tiny sores around the body. If something like this happens, what can that kind of wife do to help care for her husband and he will return to his normal self? ",http://speech-app.s3.amazonaws.com/static/audio/uploads/ba63fb24-9040-4481-bdf0-afea2166b053/35b5cd43f25a01e6f60cc54b97ea6098_UYPa1GQg.wav,"The sudden combination of a severe headache, stiff neck, and tiny spots (petechial rash) strongly indicates meningococcal meningitis, a life-threatening bacterial infection endemic to the African meningitis belt. The neck stiffness reflects inflammation of the brain membranes, while the sudden spots represent bleeding under the skin caused by the bacteria entering the bloodstream. The wife must immediately rush her husband to the nearest hospital for urgent intravenous antibiotics like ceftriaxone, as this is a critical medical emergency that can be fatal within hours. She must strictly avoid home remedies or over-the-counter painkillers, because delaying professional medical intervention will severely compromise his chances of survival and full recovery.",Qwen-3.7-Plus (audio),qwen3.7-plus
765b06e9-4314-4cd5-9b0d-f966ccb8f16d,english,accented_english,good evening i came because of my younger sibling i noticed that their eyes and skin have an airy a pale yellowish color and this has been going on for about three days now their body is also very old borning with a fever and they cannot eat they cannot retain anything they cannot retain anything in fact they are shivering and waking heavily because their head is trouble their head is aching and their body is borning out we have tried using something saturn we gave them but even so there is absolutely no difference in their condition their eyes and skin that have that pale or yellowish color it hasn't stopped that yellow color is just increasing day by day and they are not at peace they are not comfortable they are sovereign god forbid they are really sovereign that is why i came to the hospital so that we can know what to do the steps we need to take so that my younger siblings body their skin and eyes that are turning yellow we stop and they will recover,"Good evening I came because of my younger sibling. I noticed that their eyes and skin have an airy... a pale/yellowish color. And this has been going on for about three days now. Their body is also very hot, burning with a fever, and they cannot eat. They cannot retain anything, they cannot retain anything. In fact, they are shivering/weakened heavily. Because their head is throbbing, their head is aching, and their body is burning hot. We have tried using some things at home, we gave them, but even so, there is absolutely no difference in their condition. Their eyes and skin that have that pale/yellowish color, it hasn't stopped, that yellow color is just increasing day by day, and they are not at peace, they are not comfortable, they are suffering, God forbid, they are really suffering. That is why I came to the hospital so we can know what to do, the steps we need to take, so that my younger sibling's body, their skin and eyes that are turning yellow, will stop, and they will recover.
",http://speech-app.s3.amazonaws.com/static/audio/uploads/36b89ae1-c49b-421e-aee0-92d33762fd44/986b18ca45a5dd77b85eb65c7e3c1b65_va5g39ok.wav,"This is a medical emergency requiring immediate hospital admission for intravenous fluids and urgent blood tests, as the combination of worsening jaundice, high fever, vomiting, and heavy breathing strongly suggests severe malaria, acute hepatitis, or a hemolytic crisis, which are common and life-threatening in our environment. The yellowing indicates rapid red blood cell breakdown or severe liver dysfunction, while the inability to keep fluids down and the heavy breathing show they are severely dehydrated and at risk of metabolic complications. In our local practice, we will immediately check their blood sugar, malaria parasite levels, and packed cell volume (PCV), then start empirical intravenous artesunate for severe malaria alongside IV rehydration. Please stop giving any oral medications or herbal remedies since they are vomiting, as these will not be absorbed and could further stress the liver. By rapidly stabilizing their hydration and treating the underlying infection or blood breakdown with targeted intravenous therapies, we can halt the jaundice and help your sibling recover.",Qwen-3.7-Plus (audio),qwen3.7-plus
fabfb9ed-e038-4397-ae04-7e1e709be446,english,accented_english,this lady gave bath at our place this morning she delivered the baby at dawn when she arrived around 8am the person who was with her at own called us saying this lady was shavering our body was very hot and she had a lot of body issues which really bothered her we went to see the lady covered her with a clothes and checked their temperature meaning how hot our body was and it was 38.2 we performed a malaria test for this lady that is a malaria rapid test diagnosis was done this lady is nowhere it looks like malaria we asked if she had eaten and she said she hadn't eaten anything we told those who were with her to give her tea to let the lady drink it as she breastfelt the baby she said when she wanted to breastfeed the baby she noticed the baby pass too or had a bower movement we then asked the lady to sit up and lean back on the bed she was on to let her body recover better not completely but to help and her eyes were not white or pay so we advised that once she has eaten she should take paracetamol after she has finished taking the paracetamol we decided how many days it will be before we can give it to the lady again she has malaria and we perform the malaria test please we can give it to her again once she has finished eating and we have advised her to take paracetamol since she is feeling weak if it doesn't go away we will know what kind of treatment to provide,"This lady gave birth at our place this morning; she delivered the baby at dawn. When she arrived around 8:00 AM, the person who was with her at home called us, saying this lady was shivering, her body was very hot, and she had a lot of body issues which really bothered her. We went to see the lady, covered her with a cloth, and checked her temperature—meaning how hot her body was—and it was 38.2. We performed a malaria test for this lady, that is, a malaria rapid test diagnosis was done. This lady is not well, it looks like malaria. We asked if she had eaten, and she said she hadn't eaten anything. We told those who were with her to give her tea, to let the lady drink it. Has she breastfed the baby? She said when she wanted to breastfeed the baby, she noticed the baby passed stool/had a bowel movement. We then asked the lady to sit up and lean back on the bed she was on, to let her body recover better—not completely, but to help—and her eyes were not white/pale. So, we advised that once she has eaten, she should take Paracetamol. After she has finished taking the Paracetamol, we decided how many days it will be before we can give it to the lady again. She has malaria, and we performed a malaria test. Please, we can give it to her again. Once she has finished eating, and we have advised her to take Paracetamol, since she is feeling weak, if it doesn't go away, we will know what kind of treatment to provide.",http://speech-app.s3.amazonaws.com/static/audio/uploads/34deaaf1-18a1-4ca3-9164-cd204afb2440/6cdb1cbde7372af51e83a2ad7bc50b93_hyt4KGOF.wav,"In a woman who just delivered, a fever of 38.2°C with chills and a negative malaria test strongly suggests a dangerous postpartum bacterial infection like puerperal sepsis, so do not give her malaria medications. She requires an urgent physical examination to check her uterus, vaginal discharge, and breasts for localized signs of infection. You must start her on empirical broad-spectrum antibiotics and administer intravenous fluids immediately to treat potential sepsis and correct dehydration from labor. While paracetamol provides temporary fever relief, prompt antibiotic therapy and close monitoring are critical to prevent life-threatening maternal complications.",Qwen-3.7-Plus (audio),qwen3.7-plus
1ca84822-c7ea-4bee-9736-4cd89a8f0bf2,english,accented_english,i brought my nine year old child to the hospital this afternoon i sent the child on an errand to buy something from me in town but the dog beat the child when they brought the child home and explain what happen i examined the wound where the dog beat the child and i noticed that the wound is red and already swollen we made inquiries in the neighborhood to find out about the dog that beats the child and the dogs owner said they are never given the dog any vaccines they mention that it just goes out place and comes back inside they said they have never given the dog any medical treatment whatsoever this is why i became frightened and i rush the child to the hospital so that it will not turn out that the dog that breathe child is a rebit dog what could possibly happen to a child who has been beaten by a dog what could happen to a wound that is red and swollen is it possible for an infection like rebits to enter this wound is it possible for something terrible to happen to the child as a result of this dog bite please what can i do to prevent an infection from entering this wound what vaccines and what medications can be used to treat this child to ensure they receive proper care what else can we do or what medical tests can we run to take care of the wound where the dog beat this child,"I brought my nine-year-old child to the hospital this afternoon. I sent the child on an errand to buy something for me in town, but a dog bit the child. When they brought the child home and explained what happened, I examined the wound where the dog bit the child, and I noticed that the wound is red and already swollen. We made inquiries in the neighborhood to find out about the dog that bit the child, and the dog's owner said that they have never given the dog any vaccines. They mentioned that it just goes out, plays, and comes back inside. They said they have never given the dog any medical treatment whatsoever. This is why I became frightened and rushed the child to the hospital, so that it wouldn't turn out that the dog that bit the child is a rabid dog. What could possibly happen to a child who has been bitten by a dog? What could happen to a wound that is red and swollen? Is it possible for an infection like rabies to enter this wound? Is it possible for something terrible to happen to the child as a result of this dog bite? Please...
What can I do to prevent an infection from entering this wound? What vaccines and what medications can be used to treat this child to ensure they receive proper care? What else can we do, or what medical tests can we run to care for the wound where the dog bit this child?

",http://speech-app.s3.amazonaws.com/static/audio/uploads/deb5d857-a070-45c0-befc-c05e82418b64/6e7c086781508076742c00c0e90a393b_QXZ9PS88.wav,"A dog bite from an unvaccinated animal poses a severe risk of rabies, which is 100% fatal if untreated, and the current redness and swelling indicate an active bacterial infection that could lead to tissue damage or sepsis if ignored. Immediately wash the wound thoroughly with soap and running water for 15 minutes to reduce the viral and bacterial load, and while no specific blood tests are required initially, a wound swab for bacterial culture can be done if pus develops. Because the dog is unvaccinated, you must immediately start the child on a full post-exposure rabies vaccine series and administer Rabies Immunoglobulin directly into the wound if it is deep or bleeding, alongside a tetanus toxoid booster. To treat the existing bacterial infection, prescribe oral Amoxicillin-clavulanate, which is the standard first-line antibiotic for animal bites in our clinical setting. Schedule a follow-up review in 24 to 48 hours to monitor the wound's healing and ensure the infection is resolving, providing the child with comprehensive and timely care.",Qwen-3.7-Plus (audio),qwen3.7-plus
9d26d614-9c65-4d84-83ec-0892de7c0b44,english,accented_english,a newborn baby that has just been delivered in our hospital about 20 minutes ago was found to appear sleepy the baby did not cry well since being delivered when we checked its respiration it was fine but the baby was as sleep all through we also checked the temperature and it was normal here is my question what could cause a newborn baby to appear as if it is sleeping and not cry properly since it bets also what kind of treatment will be effective for such baby and when the mother gets home what could she administer to the child and what she should not and what kind of food should the mother eat to ensure that both the mother and baby will be held the,"A newborn baby that has just been delivered in our hospital about twenty minutes ago, was found to appear sleepy. The baby did not cry well since being delivered. When we checked it's respiration,  it was fine but the baby was asleep althrough, we also checked the temperature, and it was normal. Here is my question, what could cause a new born baby to appear as if it is sleeping? And not cry properly since it's birth? Also, what kind of treatment will be effective for such baby? And, when the mother gets home, what could she administer to the child and what she should not, and what kind of food should the mother eat to ensure that both the mother and baby will be healthy?",http://speech-app.s3.amazonaws.com/static/audio/uploads/f39b0d23-0b11-41d2-b8a4-5a77de83a722/18ec2caec652931aed574581a199be42_67evFiUC.wav,"The baby's sleepiness and weak cry, despite normal breathing and temperature, are most likely caused by mild birth asphyxia or the placental transfer of maternal analgesics like pethidine administered during labor. Effective immediate treatment involves keeping the baby warm, providing gentle tactile stimulation, and initiating early breastfeeding to prevent neonatal hypoglycemia. At home, the mother should exclusively administer breast milk and strictly avoid giving the baby water, traditional herbal concoctions (agbo), or any unprescribed medications. To ensure optimal recovery and adequate milk production, the mother should eat a balanced diet rich in local proteins, complex carbohydrates, and dark leafy vegetables like Ugu.",Qwen-3.7-Plus (audio),qwen3.7-plus
3824cff9-42c8-4c4f-aa0b-edac22256149,english,accented_english,i am a married woman 35 years old please i brought my 5 month old baby for examination and guidance i have resumed work but surprisingly for about the past three days i have noticed that my baby has been coughing repeatedly we have tried everything we can think of to stop the cough but i can see that the cough has not gone away i am usually not at home when i leave in the morning i do not return until around 6 p m my mother stays at home with the baby whenever i have the opportunity to call i do so and ask about the cough and they keep telling me that the baby is still coughing the baby is five months old he is no longer taking only breast milk because i have resumed work i have breastfed him exclusively for three months and after that i started giving him other foods i have been giving him different foods including purp and other baby foods that i know what is even more surprising is that since last night his breathing has not been normal he is not breathing well and his nose is completely blocked my mother even said that while baiting him this morning she had to use a little warm water around his nose and chest because the cough had become severe the breathing problem has also started he is no longer breathing properly and his breathing is not clear and free any more please my question is what can i use for him to stop the cough and concerning the breathing that is no longer clear what can i do what can i use for him and what steps can i take so that he can breathe properly and nothing will obstruct his breathing,"I am an married woman, thirty-five years old. Please, I brought my five-month-old baby for examination and guidance.
I have resumed work. But surprisingly, for about the past three days, I have noticed that my baby has been coughing repeatedly. We have tried everything we can think of to stop the cough, but I can see that the cough has not gone away.
I am usually not at home. When I leave in the morning, I do not return until around 6 p.m. My mother stays at home with the baby.
Whenever I have the opportunity to call, I do so and ask about the cough, and they keep telling me that the baby is still coughing.
The baby is five months old. He is no longer taking only breast milk because I have resumed work. I breastfed him exclusively for three months, and after that I started giving him other foods.
I have been giving him different foods, including pap, and other baby foods that I know.
What is even more surprising is that since last night, his breathing has not been normal. He is not breathing well, and his nose is completely blocked.
My mother even said that while bathing him this morning, she had to use a little warm water around his nose and chest because the cough had become severe.
The breathing problem has also started. He is no longer breathing properly, and his breathing is not clear and free anymore.
Please, my question is: what can I use for him to stop the cough? And concerning the breathing that is no longer clear, what can I do, what can I use for him, and what steps can I take so that he can breathe properly and nothing will obstruct his breathing?",http://speech-app.s3.amazonaws.com/static/audio/uploads/e5d41243-231d-4c9d-996b-f18154a279e4/8467bf6a7aae1ace111e579272aeb282_g6jdfMfk.wav,"You must take your baby to the hospital immediately because abnormal breathing and severe cough in a five-month-old are danger signs of pneumonia that require urgent medical evaluation and prescription treatment. Do not give any over-the-counter cough syrups, as they are unsafe for infants; instead, use normal saline nasal drops to gently clear his blocked nose and ease his breathing while you seek care. Furthermore, you must stop giving him pap and other solid foods immediately, because the World Health Organization advises exclusive breastfeeding for the first six months and early weaning compromises his immune system, increasing his vulnerability to infections common in our environment. Please proceed to the nearest healthcare facility right away for a proper chest examination, as delaying care for infant respiratory distress can be life-threatening.",Qwen-3.7-Plus (audio),qwen3.7-plus
11af86b9-5656-4db4-85c5-41a89d38ab56,english,accented_english,a caregiver who is taking care of a small child noticed that the child is caring for a struggling to breathe and the child's breathing is not normal she also noticed that the child coughs repeatedly and the cough is very severe the child is not a baby that was abandoned at birth nor a child that is usually baited with cold water what then can cause a small child to be breathing with difficulty and coughing repeatedly and why would breathing not be easy for the child as it should be what can be done about this situation,"A caregiver who is taking care of a small child noticed that the child she is caring for is struggling to breathe, and the child's breathing is not normal.
She also noticed that the child coughs repeatedly, and the cough is very severe.
The child is not a baby that was abandoned at birth, nor a child that is usually bathed with cold water.
What then can cause a small child to be breathing with difficulty and coughing repeatedly, and why would breathing not be easy for the child as it should be? What can be done about this situation?",http://speech-app.s3.amazonaws.com/static/audio/uploads/15234559-17a3-458f-8370-b7127d1a46bb/1b753148ca88263ad38b075c5597b8e4_sWn7s2Zk.wav,"In our community setting, the most likely cause of severe coughing and breathing difficulty in a small child is severe pneumonia, which remains a leading cause of childhood morbidity in Nigeria. Breathing becomes difficult because the infection causes inflammation and fluid accumulation in the alveoli, impairing oxygen exchange and forcing the child to use accessory muscles to breathe. Ruling out neonatal complications, this acute presentation strongly aligns with the World Health Organization's Integrated Management of Childhood Illness criteria for severe pneumonia. The caregiver must immediately take the child to a healthcare facility for urgent clinical assessment, supplemental oxygen, and appropriate antibiotics such as amoxicillin. Prompt medical intervention is critical, as untreated respiratory distress in children can rapidly progress to fatal hypoxia and respiratory failure.",Qwen-3.7-Plus (audio),qwen3.7-plus
802d0602-027d-4b98-8545-91fa8032ea5c,english,accented_english,i took my pregnant friend who is eighteen years old to the hospital because she had gone into labor and her time had come when we arrived at the hospital and they had carried out all the necessary assessments her blood pressure was high after they had completed all that needed to be done she continued in labor she remained in labor for about twelve hours her husband was nearby and the doctors advised that she should give consent for a caesarean section because she had been in labor for a long time my friend refused she said no not at all i want to give bed naturally like the hebrew woman she eventually delivered the baby after twelve hours of labor she gave bed to a healthy looking baby girl and we thanked god however what was surprising was that the baby was not breathing properly they stimulated the baby repeatedly patting and rubbing her she cried but her breathing was still not normal they quickly gave her oxygen doctor please will this baby survive and if she survives will she no become a disabled child,"I took my pregnant friend, who is eighteen years old, to the hospital because she had gone into labour and her time had come. When we arrived at the hospital and they had carried out all the necessary assessments, her blood pressure was high.
After they had completed all that needed to be done, she continued in labour. She remained in labour for about twelve hours. Her husband was nearby, and the doctors advised that she should give consent for a Caesarean section because she had been in labour for a long time.
My friend refused. She said, “No, not at all. I want to give birth naturally like the Hebrew women.”
She eventually delivered the baby. After twelve hours of labour, she gave birth to a healthy-looking baby girl, and we thanked God. However, what was surprising was that the baby was not breathing properly. They stimulated the baby repeatedly, patting and rubbing her. She cried, but her breathing was still not normal. They quickly gave her oxygen.
Doctor, please, will this baby survive? And if she survives, will she no become a disabled child?",http://speech-app.s3.amazonaws.com/static/audio/uploads/f9ee8a8c-79a4-489b-8cbf-650888877449/2a09dccd062daacfe47ff7ae4cade3f1_uXgCmMLy.wav,"The baby's survival and risk of future disability depend entirely on the severity of the birth asphyxia she experienced and the quality of neonatal care she receives. Because she required stimulation and oxygen, she suffered oxygen deprivation which puts her at risk for brain injury (Hypoxic Ischemic Encephalopathy) and potential disabilities like cerebral palsy. However, medical evidence shows that many babies with mild to moderate asphyxia survive and develop completely normally when given prompt, high-quality medical support. To maximize her chances of survival and prevent disability, she must be immediately referred to a tertiary hospital with a specialized Neonatal Intensive Care Unit (NICU) for advanced monitoring and treatment.",Qwen-3.7-Plus (audio),qwen3.7-plus
