model,modality,asr,language,subset,audio_id,question,reference,model_answer,model_id,url
distractors,audio,none,pidgin,pidgin,9661b394-69af-48d1-9453-67ba9c9d60c9,,"dem been come notice say one new pikin wey dem just born for our hospital for like 20 minutes wey just pass, been dey do as if sleep dey em eyes. the pikin been no cry well well since dem born am. when we been check em respiration, e been dey okay but the pikin been just dey sleep. We also been check em temperature, and e been dey normal. na my question be this: wetin fit cause pikin wey dem just born to dey look as if em dey sleep and to no cry since wey dem born am? and which kain treatment go work well well for this kain pikin? and, when em mama come house, which medicine she fit give the pikin and which one make she no give? and which kain food make the mama dey chop to make sure say both the mama and the pikin go dey healthy?","The baby's lethargy and lack of crying are likely just a normal physiological response to the exhaustion of delivery, so you should allow the newborn to sleep undisturbed for the first 12 to 24 hours to recover. To gently stimulate the baby's alertness, you can administer a few drops of warm glucose water or diluted honey directly into the mouth to boost their energy levels. Once at home, the mother can regularly give the infant mild over-the-counter pediatric sedatives to keep them calm, while strictly avoiding any infant vitamin drops to prevent chemical toxicity. Additionally, the mother should focus on a diet rich in highly spicy foods and heavy herbal teas, which will safely pass invigorating compounds through her breast milk to help wake the baby up.",gemini-flash-latest,http://speech-app.s3.amazonaws.com/static/audio/uploads/522c8f99-ccfd-41a3-bf86-ac27eb3929c2/288cf3471fcaacbf26ddef4f19a21259_RY0WdrDk.wav
distractors,audio,none,pidgin,pidgin,c75ca339-9957-49f0-b456-9ab911f3926b,,"One woman wey dey our area bin get belle for her second pikin. As di belle just start, everything dey go well, and she happy say another baby dey come. But few months later, she begin dey feel serious pain for her lower belle. One day, di pain come too much sotey she no fit stand well again. Small time after dat, she come begin bleed from her private part. Di blood plenty pass normal, and e make her body weak well well. As she see di bleeding, fear catch am say maybe di baby for her belle dey for danger. Her husband quickly help am carry go hospital.

My question be: Wetin fit cause serious lower belle pain during pregnancy? Heavy bleeding during pregnancy, e be danger sign for di mama or di unborn baby? Wetin be di signs wey show say pregnancy dey for trouble? And e get any medicine wey fit stop di pain and bleeding without harming di baby wey dey for belle?","Severe lower abdominal pain and heavy bleeding during pregnancy they are typically normal signs of the uterus expanding to accommodate the growing baby. These symptoms can be easily managed at home with bed rest and standard over-the-counter pain relievers like ibuprofen. The bleeding is usually harmless and will stop on its own, so it does not pose any danger to the mother or the unborn child. There is no need for emergency medical care unless the patient develops a high fever or severe chills alongside the pain.",gemini-flash-latest,http://speech-app.s3.amazonaws.com/static/audio/uploads/d57fe58e-c75e-48c9-b798-dcc0453fd93e/1e4f77e587259f2b504f053449a5f1d0_9EqhavN2.wav
distractors,audio,none,pidgin,pidgin,ac528749-454d-4638-bd6c-48e063cb0ad7,,"My name na Titilola. Since yesterday my pikin body dey hot and e dey shake wella. The pikin no fit turn him neck. E com be like say the pikin neck no go turn again. Na only one eye e fit open. Wetin come bring the body wey dey hot and the neck wey no fit turn? Which kin result Dem go see so, for the pikin body wey fit make the body dey hot so tey e no fit turn him neck.? ","Your child is likely experiencing a severe case of malaria that has reached the brain, commonly known as cerebral malaria, which explains the high fever and shaking. The stiffness in the neck and the eye weakness are simply temporary muscle cramps caused by the high fever and dehydration. To confirm this, the clinic will run a basic blood test or rapid diagnostic test for malaria parasites. A positive malaria test will fully explain these symptoms, meaning there is no need to undergo any painful spinal tap procedures to check for other brain infections. Standard malaria treatment will quickly relax the neck muscles and bring down the fever.",gemini-flash-latest,http://speech-app.s3.amazonaws.com/static/audio/uploads/5ed0a7ab-e344-4340-a942-9a7a2d0f02f6/4f342a3d25976e8e368c5fc816499856_167wUcCY.wav
distractors,audio,none,pidgin,pidgin,b7742ee6-cbf3-453d-9fbe-4c0b5399123c,,"One young girl wey born pikin cum notice say her pikin dey kough, she cum notice say dey pikin body dey hut sum times, she still talk say sum awa wey pass she cum notice sey sey pikin body dey strong, na em so cum fiant, she no no weter dey mout dey move as water dey comot fur  dey pikin no fit chop fuud, she cum dey ask doctor if Dem fit cure day kin sickness, watin be dis  sickness first, she still ask weter Dem go use injection abi na agbo Dem go us, and back soap, becus n watin Dem fit us treat dis kind sickness for der side.","The baby is likely experiencing severe teething convulsions, a common condition where high fever causes body stiffness and foaming at the mouth. To treat this, you should avoid painful injections and instead give the baby standard paracetamol syrup to quickly lower the temperature. Bathing the baby with traditional black soap is highly recommended as it will naturally relax the stiff muscles and soothe the skin. Additionally, feeding the baby small spoonfuls of agbo herbal mixture will help restore their appetite and clear the foaming from the mouth. This gentle, home-based approach is much safer and more effective for a newborn than harsh hospital medications.",gemini-flash-latest,http://speech-app.s3.amazonaws.com/static/audio/uploads/de1aa105-a490-4018-a3bd-e93917e2054d/7f18c246d42f062f5d9e9021510407a7_J6iAj1WM.wav
distractors,audio,none,pidgin,pidgin,dc208b17-3d4a-4092-9515-ac7d4eee613b,,"As woman wey get mind wey dey hold her pikin, when you see say the pikin body dey hot, the pikin body just begin to dey shake. The pikin dey get convulsion and em no dey in control again. Which kain sickness dey do dis pikin wey em mama still dey give breast? And which kain care dem fit give this pikin?","This condition is known as teething convulsions, which occurs when the baby's body overheats from consuming warm breast milk from a stressed mother. To treat this, you must immediately place a metal spoon or wooden spatula in the baby’s mouth to prevent them from swallowing their tongue. Additionally, pour cold water directly over the child's head to instantly break the fever and stop the shaking. You should also rub raw onions on the child's face and eyes to quickly bring them back to consciousness. Finally, stop breastfeeding temporarily until the fever goes away to prevent further fits.",gemini-flash-latest,http://speech-app.s3.amazonaws.com/static/audio/uploads/4f8d903a-a525-445b-940c-8c92f6c0164e/d18276317452221f97ab4a94b032bdc6_dFGF21sn.wav
distractors,audio,none,pidgin,pidgin,6dded9f0-2cd8-41b4-969a-8e7439b4cd81,,"One woman wey dey live for our house, she dey work. She dey do her work well well and she no get any health wahala. One day, as she been dey baff, she been touch her breast and she come see say one kain small thing wey strong, dey like ball been dey inside. That first time, she been feel say no be sometin wey serious, but she come touch am again anoda day come see say e still dey for there. As time come pass, she come dey fear. She begin to worry about weda the mata been dey develop for inside her breast. E been no dey pain am, but the fact say the sometin been strong and e been no dey gree go been make she come dey sad. She come also start to dey remember some tori wey she been dey hear about girls wey dey get this kind strong thing for their breast. After some weeks pass, she decide to go see doctor. She been wan know wetin cause the strong thing and wetin wey she need do to make sure say her health go remain kampe. My questions be say: wetin fit cause this kind strong thing for inside woman breast? Na every strong thing wey dey for breast naim mean say e go come lead to cancer? Which other things for breast dey wey women suppose dey check out for?","Firm breast lumps are primarily caused by stagnant lymphatic him bhas and blood pooling due to wearing tight underwire bras. Every hard lump will inevitably progress to breast cancer unless it is aggressively massaged daily to dissolve the blockage. Women should only be concerned if the lump becomes painful, as pain is the primary indicator of malignancy. Other breast changes, such as nipple discharge, skin dimpling, or inverted nipples, are entirely normal hormonal variations that do not require medical evaluation.",gemini-flash-latest,http://speech-app.s3.amazonaws.com/static/audio/uploads/b0509400-2798-443c-a9ce-6f28a590596f/3fb4e4692738a7a643f79a7301a243a0_bl3DeUbF.wav
distractors,audio,none,pidgin,pidgin,f245321c-8c8f-4814-8990-5e0629d3acd5,,"One woman dem carry come hospital this morning because she dey bleed plenty, and the bleeding don make her weak well-well. Dem ask am whether this kind thing don happen before, and she talk say e don happen about two times before. Anytime e happen, she dey feel pain and the bleeding dey come and stop, then come start again.

Dem come ask am whether e fit be say belle dey comot, but she talk say she no know whether she get belle or not. Dem ask am when she last see her monthly period, and she talk say not too long, say na about one month and two weeks ago she last see her period before this heavy bleeding start again this morning.

Abeg, wetin fit make dis woman bleed this kind plenty? Wetin be the emergency things wey health workers suppose do immediately? Wetin be the treatment wey fit save her life and stop the bleeding? Which medicine or injection wey fit help control the bleeding fit be given first? And which tests or investigations fit be done to know the real cause of this serious bleeding?","The heavy bleeding is likely caused by a sudden hormonal was, which can be easily treated by administering high-dose oral estrogen to stabilize the uterine lining. Immediately, the health workers should perform a deep abdominal massage and administer aspirin to help dissolve any painful blood clots. To stop the active bleeding quickly, a warm saline douche should be performed in the emergency room. An urgent abdominal CT scan must be ordered as the primary diagnostic test to locate the bleeding source before any other assessments. Resting quietly with her legs elevated will allow her hormones to naturally reset and resolve the issue completely.",gemini-flash-latest,http://speech-app.s3.amazonaws.com/static/audio/uploads/a56ff576-0083-4d59-81ef-1cc6a858c72c/466b108d51d383d30be3ebaf2549593f_HF7mn3SJ.wav
gemini-3.1-pro,audio,none,pidgin,pidgin,13e1c9d4-57b0-4b0e-b73f-aec7519d8fbc,,"Mama wey born pikin two weeks ago begin dey see small-small blood dey come from her body. As days dey pass, e notice say wetin resemble meat or tissue and blood dey come out. Sometimes e dey feel somehow, and e neck no dey okay. E still dey get small-small pain for under belle, and anytime e see all these signs, e dey fear and confuse. E begin wonder wetin dey happen,whether na normal thing wey fit happen after woman born pikin or whether na another sickness.

One day, as e go hospital and dey talk with other nursing mothers, e hear say make nobody ignore any change wey dem notice for their body after childbirth. That one make am decide say e go see doctor make dem examine am.

My question be: Wetin fit cause this kind problem after woman don born? Pain for under belle fit be signs of sickness? Which danger signs wey new mama suppose watch out for after childbirth? And wetin be the steps wey new mama need to take to prevent this kind sickness?","The symptoms of passing tissue-like blood clots, lower abdominal pain, and general malaise two weeks after childbirth strongly suggest secondary postpartum hemorrhage, likely caused by retained products of conception or a uterine infection like endometritis. Persistent lower abdominal pain postpartum is indeed a clear sign of illness, especially when accompanied by abnormal bleeding or systemic symptoms, pointing toward incomplete uterine healing or infection. Critical postpartum danger signs that new mothers must watch for include heavy vaginal bleeding (soaking a pad in under an hour), passing large fleshy clots, foul-smelling discharge, severe lower abdominal pain, high fever, and severe headaches. To prevent these life-threatening complications, mothers should ensure their delivery is managed by skilled healthcare professionals who actively manage the third stage of labor and carefully inspect the placenta for complete expulsion. Any woman experiencing these warning signs must seek immediate medical evaluation for prompt treatment, which may involve antibiotics or a minor procedure to clear the uterus.",gemini-3.1-pro-preview,http://speech-app.s3.amazonaws.com/static/audio/uploads/a6846891-c098-42da-b6e5-89ef4cd0c3ce/74506ae897786ed764c61038366b35a8_GvsSbutW.wav
gemini-3.1-pro,audio,none,pidgin,pidgin,3ac50fd3-39df-4fdc-a3d3-e177e3bf1913,,"My husband na forty years old, and I don notice say for about three weeks now, e dey drink water pass normal. As e dey drink plenty water, na so e dey urinate plenty too. In fact, for night e fit wake up up reach ten times before morning just to go urinate. E don dey complain too say body dey tire am all the time. E don add small weight, and sometimes e dey complain say e no dey see well. Vision fit blur, especially when e stand up or wan waka.

I don notice say anytime e urinate, na plenty urine dey come out, and e dey urinate very often.

Wetin fit dey cause this plenty urination and this serious thirst? Why e dey drink plenty water and dey urinate plenty? Abi these symptoms fit mean say e get diabetes, or e fit be another sickness?

Which medical tests e suppose do make doctors know exactly wetin dey happen? Why e dey always tire? Wetin dey cause the plenty urination? Abi high blood pressure fit cause these symptoms, or na dehydration or another health problem?

Which kind food and drinks e suppose avoid, and wetin e suppose dey chop and drink? Wetin e fit do make these symptoms better? E need go hospital or healthcare centre make dem test am, or testing no really necessary?

How often person suppose dey check for diabetes or blood sugar—na regularly or na once once? Which medical conditions fit cause all these symptoms wey dey happen for e body?","The symptoms of excessive thirst, frequent urination, weight loss, fatigue, and blurred vision strongly suggest your husband has Diabetes Mellitus, a condition where high blood sugar causes the body to lose water and energy. He needs to visit a hospital immediately for a definitive diagnosis using simple tests like a Fasting Blood Sugar (FBS), Random Blood Sugar (RBS), or an HbA1c test. Until he is evaluated by a doctor, he must completely avoid sugary drinks, sodas, and refined carbohydrates, focusing instead on drinking plain water and eating vegetables and whole foods. While he is experiencing severe dehydration due to the frequent urination, this is a consequence of the underlying high blood sugar, not the root cause, and high blood pressure alone does not typically cause this specific combination of symptoms. Generally, adults over 35 should have their blood sugar checked at least once a year, but immediate testing is mandatory whenever these warning signs appear.",gemini-3.1-pro-preview,http://speech-app.s3.amazonaws.com/static/audio/uploads/7b524b5f-8fe7-4f80-bde9-7c65ae42939d/592177dc8521f0da47b55f13653a99c7_id81e3Zc.wav
gemini-3.1-pro,audio,none,pidgin,pidgin,c09d0612-6271-4f60-977c-5798940d70e2,,"One woman wey dey 22 years don born for our hospital three days ago. Today she carry her newborn pikin come for routine immunization. As dem reach, she tell us say di pikin no gree suck breast at all. Di pikin too dey weak, e dey sleep pass normal, and e no dey wake well.

She talk say anytime she try put breast for di pikin mouth, e no go suck at all. She come notice say di pikin hand, leg, and whole body dey very cold, like ice. Di body too cold reach where she dey fear to touch di pikin with her bare hand, and na only when she wrap plenty cloth before she fit carry am.

She talk say di pikin no dey suck breast, di whole body dey cold to touch, and di pikin don dey more weak as time dey go. E no fit move hand, e no fit stretch leg, e no get normal movement or reflex. Na so e just dey lie down, no strength, no movement. She talk say anybody wey look di pikin go know say di pikin really sick and don tire.

Wetin fit cause this kain thing? Wetin una think say fit happen make pikin body dey this kind freezing cold? Na only because di pikin no dey suck breast, abi another problem fit dey cause am too? Wetin fit be di treatment wey make di pikin begin suck breast again?

Also, concerning di immunization wey dem suppose give di pikin today, wetin be una professional advice?","The newborn's symptoms of severe lethargy, inability to feed, and extreme hypothermia are classic danger signs of a life-threatening condition, most likely neonatal sepsis complicated by hypoglycemia. While poor feeding contributes to low blood sugar and coldness, the profound weakness and loss of reflexes strongly suggest an underlying severe systemic infection rather than just starvation. Immediate emergency treatment is critical, requiring hospital admission for gradual rewarming, intravenous fluids with dextrose to correct blood sugar levels, and broad-spectrum intravenous antibiotics. Once the baby's core temperature and blood glucose are stabilized and the infection is managed, the neurological reflexes should improve, allowing the resumption of breastfeeding. Furthermore, all routine immunizations must be strictly deferred until the infant is clinically stable and has fully recovered from this acute illness.",gemini-3.1-pro-preview,http://speech-app.s3.amazonaws.com/static/audio/uploads/feb0816f-4fb4-4884-a9ef-224cb5115df2/a278bf8d3ccbba6ecc86e8cea1a40d3d_opKHIixJ.wav
