id,transcription,translation,language,speaker_id,gender,duration,source,audio_path,audio_root,file_exists,reference,hypothesis
17335,"Ɛsɛ sɛ woyɛ nhwehwɛmu wɔ viruses nkaeɛ no ho na wodi eduani a ɛbɔ mmerɛbo ho ban. Ɛkyerɛ sɛ ɛsɛ sɛ wotwe woho efiri nsa, smoking ɛne sradeɛ ho.","You should just check for some other viruses, B or C and follow hepatoprotective diet.  It means, avoid alcohol, smoking and fats and Chat Doctor.",akan,0829fcee068a6b69ee2ac3926155770dc4a9f00e1d883da5a4311e645355bdbb,Male,16.628999710083008,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/akan/7a806ca24fdfd7ba094cb230072f705a_f4cH7Sjz.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,True,"You should just check for some other viruses, B or C and follow hepatoprotective diet.  It means, avoid alcohol, smoking and fats and Chat Doctor.","Okay. If the viruses we are talking about come into contact with the bloodstream, how do they spread within the body? For example, if you inhale smoke."
16551,"So monkɔ dan a wɔhwɛ ayarefo a hɔn tebea gye ntɛmpɛ no mu no, anaa mentweɔn kɛpem dapen ewie ansaana m'akɔ dɛ merekohu me datser ? Medaase.","Should I go to the emergency Room, or just stay in bed until the weekend is over, and then go see my doctor? Thank You.",akan,48af08d6bdce15eb7d47df8f2ddf85f8472b352488784dd1f7425b7b45b1467d,Female,11.322999954223633,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/akan/2afb255a831189a813ade9d27240e8b6_s8sDPImG.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,True,"Should I go to the emergency Room, or just stay in bed until the weekend is over, and then go see my doctor? Thank You.","When you wake up in the morning and pick up your phone, the first thing to check is whether your focus is right. When your focus is aligned, that’s when you become relieved of any stress."
17180,"Na me pressure no yɛ 153/94 3na me heartrate no yɛ 88.sima mmienu akyi aa na magye mahome awie no,na pressure no yɛ 145/108mmHg,ɛna me heart rate no yɛ 88","My blood pressure was 153/94 mmHg and my heart rate was 88.  Two minutes after resting, my blood pressure was 145/108 mmHg, and my heart rate was 88.",akan,a1c55f95431fbf56e014f46171ba0e6495d21877e96f66db7ca181be9457e720,Male,14.385000228881836,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/akan/9c29d14b949b991c2dc292ffae9f9958_8PirHOGu.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,True,"My blood pressure was 153/94 mmHg and my heart rate was 88.  Two minutes after resting, my blood pressure was 145/108 mmHg, and my heart rate was 88.","Yesterday my blood pressure was 153 over 94, and my heart rate was 88. This morning when I checked it, my blood pressure was 145 over 98, and my heart rate was 89."
20620,Wo dwen sɛ ɛyɛ swine flu? Wadi mfie mmieɛnsa ne bosome nsia ne nua barima wc mfie baako na cmo mpompoeɛ no yɛ pɛ.medaase,Do you think this is swine flu?  She is 3 1/2 and has a brother who s 1 and has pretty much same symptons.  Thanks,akan,a1c55f95431fbf56e014f46171ba0e6495d21877e96f66db7ca181be9457e720,Male,10.515000343322754,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/akan/467a02c3de76008e8ab14e08812863af_DM6eTrzr.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,True,Do you think this is swine flu?  She is 3 1/2 and has a brother who s 1 and has pretty much same symptons.  Thanks,"Ok, let me explain the issue. The boys were three in number. One was a man, and the other two were little children. And they gathered to play. Thank you."
17175,Megyedi sɛ wonim yɛnhyehyɛyɛ aa ɛka sɛ hwɛ na yanhwɛ obi wc abɛɛfo ntentan so.Nanso mɛtumi ama wo ma dwen kyerɛ na wadwen ho.Wo mpopoeɛ no bɛtumi ayɛ hahaayc,I hope you are aware of the policy that we cannot diagnose online.  But I can give you some ideas to think about.  Your symptoms can be part of a depressive disorder.,akan,a1c55f95431fbf56e014f46171ba0e6495d21877e96f66db7ca181be9457e720,Male,10.756999969482422,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/akan/c2e221e95bf6217780fc24532b14dd34_mAZyvldI.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,True,I hope you are aware of the policy that we cannot diagnose online.  But I can give you some ideas to think about.  Your symptoms can be part of a depressive disorder.,"I couldn’t say everything I wanted to say because of time constraints. But if I can get your contact later, I can explain more. Thank you so much."
17243,"Dɔkota twerɛɛ Rabeprazole (Aciphex) ne Ornidazole (Ofloxacin) maa no. Ɔfa wieɛ no, ɔgya ne nan aa ɛyɛ tuntum. Afei wanya tipaeɛ kɛseɛ.","Doctor prescribed Rabeprazole (Aciphex) and Ornidazole (Ofloxacin).  After taking this tablets, her stool has become black and she is having severe headache.",akan,f31db2277b66b8e33b3df3096297fee492ab555591b324425fe5271b3a12fe29,Female,12.515000343322754,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/akan/3b24f6017d1523defc38c09a908924e9_l1lJE5AK.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,True,"Doctor prescribed Rabeprazole (Aciphex) and Ornidazole (Ofloxacin).  After taking this tablets, her stool has become black and she is having severe headache.","Doctor, I am suffering from a severe headache, body pain, and a stomach ache. I went to the hospital a few days ago, and they gave me some medicine, but I have not seen any improvement. What should I do now?"
17166,Meyɛ cbarima aa madi mfie aduonu nnum aa mahyehyɛ yie.aberɛ aa m'adomfo ka kyerɛ me sɛɛ mee tenetene m'apɔ mu abrɛ aa ma twetwe me barima awie ɛnyɛ ɛmma m'apɔmuden,.I am a well built 25 yr old man.  Once my friend told me that doing exercise after masterbation is not good for my health.,akan,a1c55f95431fbf56e014f46171ba0e6495d21877e96f66db7ca181be9457e720,Male,11.045000076293944,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/akan/fe9b23565254c333004f1a1a347cf5f3_Ty1vm2zX.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,True,.I am a well built 25 yr old man.  Once my friend told me that doing exercise after masterbation is not good for my health.,"Marriage is a covenant of unity, and no one should think that by entering into the marriage covenant with Abraham, it means that Abraham, because he is a man, is superior, and that the woman is inferior."
26343,"M'ante yaw bere a mede hyɛɛ mu anaa meyi firi mu no. Nea meyɛɛ ara ne sɛ mepia hyɛɛ mu, nanso anyɛ sɛ nea na medwen sɛ ɛbɛyɛ nti metwe pue na ɛmaa metee nka sɛ nea mennim nyansa.","It didn t hurt going in or out.  I just pushed it in, wasn t what I thought it would be so I pulled it out feeling like a dumbass.",akan,c593084be5bc9b5588ed978d5148c5dbcac8697e988583a99d837eb248998140,Female,19.66699981689453,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/akan/6d91dc8c2703055fd9cd057d24179dd6_wKjngFh5.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,True,"It didn t hurt going in or out.  I just pushed it in, wasn t what I thought it would be so I pulled it out feeling like a dumbass.","I have endured numerous challenges in life. I believe that if I keep pushing through these challenges, it isn't by my own strength that I will succeed. So, I continue to persevere, and it helps me to know that God is with me."
16555,Me hwankye kɔ no dze ɔhaw biara nne ho na me gya me nan nanso ɔnyɛ mpɛn pii. Ɛyaw biara nni hɔn mu biara ho. Me yafunu yɛ me yaw bere a w'epia me anaa dɛ bere a m'akotow nu.,I am urinating normally and still having bowel movements but not that often.  No pain with either one.  My tummy only hurts when pushed on or when I bend down.,akan,48af08d6bdce15eb7d47df8f2ddf85f8472b352488784dd1f7425b7b45b1467d,Female,14.961000442504885,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/akan/882c642f49c7d56d0571ce23a082dd25_EU16FJoL.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,True,I am urinating normally and still having bowel movements but not that often.  No pain with either one.  My tummy only hurts when pushed on or when I bend down.,"Everyone has their own hardship, but the reality is that someone else’s problem is bigger than yours. Even if I cry about my condition, which shop will sell me life?"
17169,E.coli mmoa wc medwonso mu ɛnti meefa Nitrofuruntoin nnawctwe baako.Me dokota dwen sɛ me prostate ayɛ kɛseɛ,My urine is charged with E. coli so I am taking Nitrofurantoin for a week.  My doctor suspect me with Prostate enlargement.,akan,a1c55f95431fbf56e014f46171ba0e6495d21877e96f66db7ca181be9457e720,Male,7.894000053405762,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/akan/9b763d30838e0af8be28b869162d7c94_zlR3laY4.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,True,My urine is charged with E. coli so I am taking Nitrofurantoin for a week.  My doctor suspect me with Prostate enlargement.,"One illness makes you very shy to talk about it, and this is gonorrhea. If you go to the hospital and they test you, it can be treated."
