model,modality,asr,language,subset,audio_id,question,reference,model_answer,model_id,url
claude-opus-4.8,text,sahara,english,accented_english,3d3cee98-b237-4cd0-8f7a-ddedd63299a9,"A woman who lives in our house. She is employed. She does her work diligently and has no health issues. One day while she was bafing, she felt her breast and noticed something like a small heart lump inside it. Initially, she thought it was nothing serious, but she felt it again on another day and realized it was still there. As time went on, She became very anxious. She began to worry about whether this issue was developing within her breasts. It wasn't painful, but the fact that the lump was hard and wouldn't go away made her sad. She also started remembering stories she used to hear about girls who had lumps in their breasts. After a few weeks, she decided to go see a doctor. She wanted to know what caused her to be. the lump and what he needed to do to safeguard her health. My questions are, what can cause a hard lump in a woman ⁇ s breasts? Does every breast lump mean that something that could lead to cancer? What other symptoms should women look out for regarding their breasts?","A woman who lives in our house, she is employed. She does her work diligently and has no health issues.
One day, while she was bathing, she felt her breast and noticed something like a small, hard lump inside it.
Initially, she thought it was nothing serious, but she felt it again on another day and realized it was still there. As time went on, she became very anxious. She began to worry about whether this issue was developing within her breast. It wasn't painful, but the fact that the lump was hard and wouldn't go away made her sad. She also started remembering stories she used to hear about girls who had lumps in their breasts.
After a few weeks, she decided to go see a doctor. She wanted to know what caused the lump and what she needed to do to safeguard her health.
My questions are: What can cause a hard lump in a woman's breast?
Does every breast lump mean something that could lead to cancer?
What other symptoms should women look out for regarding their breasts?

","**Causes of a hard breast lump:** A hard breast lump can result from several conditions. Common causes include fibroadenomas (benign, firm, mobile lumps common in younger women), breast cysts (fluid-filled sacs), fibrocystic changes, fat necrosis (often after trauma), infections or abscesses, and breast cancer. In our setting, many lumps turn out to be benign, especially in younger women.

**Does every lump mean cancer?** No. Most breast lumps are benign and not cancerous. However, every persistent lump must be properly evaluated by a doctor through clinical examination, ultrasound or mammography, and sometimes a biopsy (fine needle aspiration or core biopsy), because early detection greatly improves survival if it does turn out to be cancer.

**Warning symptoms to watch for:** Women should seek medical attention if they notice a hard, painless, fixed lump; changes in breast size or shape; skin dimpling or an ""orange-peel"" appearance; nipple retraction or discharge (especially bloody); persistent skin redness or ulceration; or a lump in the armpit. She did the right thing by seeing a doctor promptly, and I encourage her to complete the recommended investigations without delay.",claude-opus-4-8,http://speech-app.s3.amazonaws.com/static/audio/uploads/3e3b9ca0-d242-466a-8dd5-fadfd7abcc31/e5cf6d37017884530b4b08894e09e143_HfifL4mk.wav
claude-opus-4.8,text,sahara,english,accented_english,765b06e9-4314-4cd5-9b0d-f966ccb8f16d,"Good evening. I came because of my younger sibling. I noticed that their eyes and skin have an airy, a pale yellowish color and this has been going on for about three days now. Their body is also very hot, burning with a fever, and they cannot eat. They cannot retain anything. They cannot retain. Than anything, in fact, they are shivering and waking every day because their head is throbbing, their head is aching and their body is burning hot. We have tried using some things at home, we gave them, but even so there is absolutely no difference in their condition. Their eyes and skin that have that pale or yellowish color is hasn't stopped. That yellow colour is just increasing day by day and they're not at peace, they're not comfortable, they are suffering. God forbid, they are really suffering. That is why I came to the hospital so that we can know what to do. The steps we need to take so that my younger siblings body, their skin and eyes that are turning yellow will stop and they will recover.","Good evening I came because of my younger sibling. I noticed that their eyes and skin have an airy... a pale/yellowish color. And this has been going on for about three days now. Their body is also very hot, burning with a fever, and they cannot eat. They cannot retain anything, they cannot retain anything. In fact, they are shivering/weakened heavily. Because their head is throbbing, their head is aching, and their body is burning hot. We have tried using some things at home, we gave them, but even so, there is absolutely no difference in their condition. Their eyes and skin that have that pale/yellowish color, it hasn't stopped, that yellow color is just increasing day by day, and they are not at peace, they are not comfortable, they are suffering, God forbid, they are really suffering. That is why I came to the hospital so we can know what to do, the steps we need to take, so that my younger sibling's body, their skin and eyes that are turning yellow, will stop, and they will recover.
","Good evening, and thank you for bringing your sibling in—you did the right thing.

Based on what you describe—yellowing of the eyes and skin (jaundice), high fever with shivering, severe headache, and vomiting that prevents eating—my strongest concern is **severe or complicated malaria**, which is very common in our setting and can cause jaundice when it affects the liver and destroys red blood cells. Other possibilities we must rule out include **viral hepatitis, typhoid fever, or yellow fever**, all of which can present similarly here.

Your sibling needs to be seen **urgently**, because the ongoing vomiting, inability to eat, and worsening jaundice are danger signs that suggest a serious illness that home remedies cannot fix. We will do a **malaria test (RDT or blood film), full blood count, liver function tests, and possibly a hepatitis and typhoid screen** to find the exact cause.

Please do not give any more medicines at home, as some drugs can worsen liver problems—let us admit and treat your sibling properly with the right medication and fluids without delay.",claude-opus-4-8,http://speech-app.s3.amazonaws.com/static/audio/uploads/36b89ae1-c49b-421e-aee0-92d33762fd44/986b18ca45a5dd77b85eb65c7e3c1b65_va5g39ok.wav
claude-opus-4.8,text,sahara,english,accented_english,a8bc8d5e-e18b-4176-bd59-589224c0009b,"A 33-year-old pregnant woman, who is 7 months pregnant, was brought to our hospital by her neighbors. They explained that she suddenly developed severe abdominal pain and a large amount of blood began to come out from her vagina. Her body was shaking and she was crying because the pain was intense. Her family said they were afraid that Something serious might happen to both the mother and the baby. Their first question for the doctor was, What could be causing this severe abdominal pain and hefy bleeding? Their second question was, What should be done immediately for this pregnant woman? Their third question was, What investigations or tests can be carried out? Their fourth question was, What treatment is appropriate for her condition? Their fifth question was what foods should this pregnant woman avoid and what hygiene measures should she observe?","A thirty-three-year-old pregnant woman who is seven months pregnant was brought to our hospital by her neighbors. They explained that she suddenly developed severe abdominal pain, and a large amount of blood began to come out from her vagina. Her body was shaking, and she was crying because the pain was intense. Her family said they were afraid that something serious might happen to both the mother and the baby.
Their first question for the doctor was: What could be causing this severe abdominal pain and heavy bleeding?
Their second question was: What should be done immediately for this pregnant woman?
Their third question was: What investigations or tests can be carried out?
Their fourth question was: What treatment is appropriate for her condition?
Their fifth question was: What foods should this pregnant woman avoid, and what hygiene measures should she observe?","# Clinical Assessment: Antepartum Hemorrhage at 7 Months

**1. What could be causing this severe abdominal pain and heavy bleeding?**
The combination of severe, constant abdominal pain with heavy vaginal bleeding at 7 months strongly suggests **placental abruption** (premature separation of the placenta), often associated with hypertension, trauma, or eclampsia. The other major cause of third-trimester bleeding, placenta previa, is usually **painless**, so the severe pain here points more toward abruption, which is a life-threatening emergency for both mother and baby.

**2. What should be done immediately?**
This is an obstetric emergency—**resuscitate immediately**: secure two large-bore IV lines, give intravenous fluids (normal saline/Ringer's lactate), place her in the left lateral position, give oxygen, monitor vital signs, insert a urinary catheter, and **do NOT perform a vaginal examination** until placenta previa is excluded. Cross-match blood urgently and prepare for possible transfusion and emergency delivery.

**3. What investigations can be carried out?**
Urgent **ultrasound scan** (to assess placenta location, retroplacental clot, and fetal viability), full blood count, blood grouping and cross-matching, clotting profile (PT/PTT, fibrinogen) to check for DIC, urinalysis, and blood pressure monitoring for pre-eclampsia. A **Kleihauer-Betke test** and fetal heart monitoring should also be done where available.

**4. What treatment is appropriate?**
Management depends on the mother's stability and fetal condition: **stabilize with fluids and blood transfusion**, and if abruption is significant with fetal or maternal compromise, proceed to **emergency Caesarean section**. Give **corticosteroids (dexamethasone)** for fetal lung maturity if time permits, treat any hypertension, and manage complications like DIC; anti-D immunoglobulin is given if she is Rhesus negative.

**5. What foods to avoid and hygiene measures?**
After stabilization, she should **avoid alcohol, tobacco, and excessive caffeine**, limit salt if hypertensive, and eat iron-rich foods (leafy vegetables, liver, beans) to correct anemia. She should maintain good perineal hygiene, use clean sanitary pads, wash hands regularly, and attend all follow-up antenatal visits to monitor both her recovery and the baby's wellbeing.",claude-opus-4-8,http://speech-app.s3.amazonaws.com/static/audio/uploads/0e3095c2-5abc-4286-8d2e-3c2f926f39e6/f1bed36ef3fa1e0c5eaa1defe0e7fa00_G2bxnjmd.wav
claude-opus-4.8,text,sahara,english,accented_english,4f88702e-973b-4918-90bc-3052fbbbc67f,"My family members child was bitten by a dog. He is a 7 year old child. When the dog bitten, they usually went to their traditional healer. They made an incision on the wound and applied aquarium to it. But now, the place where the dog bitten has started producing pus and it is swollen. We explained to them that they should Take him to the hospital. Please, what kind of examination can be done for this boy? Can he have rabies because of the dog? Even if the dog itself seems to be fine. And what kind of treatment does this young boy need? Consider that the dog did not cause any further injury to his body."," My family member’s child was bitten by a dog. He is a seven-year-old child. When the dog bit him, they usually went to their traditional healer; they made an incision on the wound and applied “apọrọ” (traditional preparation) to it. But now, the place where the dog bit him has started producing pus and it is swollen. We explained to them that they should take him to the hospital. Please, what kind of examination can be done for this boy? Can he have rabies because of the dog, even if the dog itself seems to be fine? And what kind of treatment does this young boy need? Consider that the dog did not cause any further injury to his body.","## Assessment and Management of This Dog Bite

**This child needs to be taken to the hospital urgently.** The traditional incision and application of substances have introduced infection, which is why there is now pus and swelling.

**Examinations needed:**
- Physical examination of the wound to assess depth, extent, and degree of infection
- Wound swab for microscopy, culture and sensitivity to identify the bacteria and guide antibiotic choice
- Assessment of tetanus immunization status
- Check for signs of spreading infection (fever, red streaks, enlarged lymph nodes)

**Can he get rabies even if the dog looks fine?**
Yes. A dog can appear healthy but still transmit rabies, especially early in the illness. The only reliable way to rule this out is to observe the dog for 10 days—if it remains alive and well, it was not infectious at the time of the bite. If the dog is unknown, cannot be observed, becomes sick, or dies, rabies must be assumed. Rabies is almost 100% fatal once symptoms appear, so **do not take chances.**

**Treatment needed:**
- **Wound care:** thorough cleaning with soap and running water for 15 minutes, then antiseptic
- **Antibiotics** for the existing infection (e.g., amoxicillin-clavulanate is preferred for dog bites)
- **Tetanus prophylaxis** (tetanus toxoid and, if unimmunized, tetanus immunoglobulin)
- **Rabies post-exposure prophylaxis (PEP):** rabies vaccine series, and rabies immunoglobulin infiltrated around the wound since it is a high-risk exposure

Please take him to the hospital today—rabies prophylaxis is most effective when started early.",claude-opus-4-8,http://speech-app.s3.amazonaws.com/static/audio/uploads/ef9140fe-7a4a-4a06-af80-4455cc0ee4ac/20b1db9e2adb8570f3a2c99acfa10eac_ojpfiFce.wav
claude-opus-4.8,text,sahara,english,accented_english,b41993cb-1b4f-4e3b-8e8b-2eb6e2ef132e,"This woman gave birth at our hospital here about 6 months ago. She came to our hospital with her husband where she gave birth to her child. The 6 month told Gear that they have blotted. The mother explained further that it has been about 13 to 14 days since she noticed that this child started coughing. The mother also mentioned that she had been treating this child for cataract. Earlier before the cough started. She said the cough has become more severe since yesterday. The cough became very severe although it had initially started about three days ago. She said that whenever she breastfeeds the child, she also gives her the liquid medicine that is in this bottle, the one suit for coughs, which she has been administering and the baby has been taking. She then said that since yesterday, the cough has become so severe that the child is finding it very very very difficult to breathe, which has really worried me. It is as if her breathing is fluctuating, going up and down every few seconds. They were frightened, which is why they brought her to the hospital. Now the question is, can we give this mother something to help the child at home, given that her breathing is fluctuating with that cough? Should we prescribe cough medicine for her or should we have the child examined before prescribing any medicine or giving her an injection?","This woman gave birth at our hospital here about Six months ago.  she came to our hospital with her husband, where she gave birth to her child, the six-month-old girl that they have brought in.
The mother explained further that it has been about thirteen to fourteen days since she noticed that this child started coughing.
The mother also mentioned that she had been treating this child for catarrh earlier, before the cough started.
She said the cough has become more severe since yesterday. The cough became very severe, although it had initially started about three days ago.
She said that whenever she breastfeeds the child, she also gives her the liquid medicine that is in the bottle—the one sold for coughs—which she has been administering and the child has been taking.
She then said that since yesterday, the cough has become so severe that the child is finding it very, very, very difficult to breathe, which has really worried me.
It is as if her breathing is fluctuating—going up and down every few seconds.
They were frightened, which is why they brought her to the hospital.
Now, the question is: can we give this mother something to help the child at home, given that her breathing is fluctuating with that cough? Should we prescribe cough medicine for her, or should we have the child examined before prescribing any medicine or giving her an injection?""","**No, do not send this child home with cough medicine. This baby must be examined urgently before anything is given.**

A 6-month-old with a worsening cough for nearly two weeks who now has difficulty breathing and irregular, fluctuating breathing shows danger signs of severe pneumonia or a serious respiratory illness, which can be rapidly fatal in infants. Under IMCI (Integrated Management of Childhood Illness) guidelines, signs like fast breathing, chest indrawing, grunting, or irregular breathing mean the child needs immediate assessment, not home treatment. You must examine the child now: count the breathing rate, check for chest indrawing, listen to the lungs, check oxygen saturation if available, and assess for fever and dehydration. Cough syrups are not recommended for young infants and will not treat pneumonia; the child likely needs antibiotics, oxygen, and possibly admission. Please stop the home cough medicine and admit or refer this child immediately for proper examination and treatment.",claude-opus-4-8,http://speech-app.s3.amazonaws.com/static/audio/uploads/74ad3a52-5cc9-4439-b3b5-095e4da6fe66/85084b9e10f05fae127d3fc0da0511f2_fBGKxJJj.wav
claude-opus-4.8,text,sahara,english,accented_english,583bdd4f-0b3b-415b-89cc-4e24c55c6bb5,"Adeolu is a 10-year-old child whose mother was my sister. However, for a few days now, I have noticed that this child sits alone ever since his mother died. He does not want to play with anyone and he does not want to talk to anyone. He has also started refusing to eat and it looks like he's thinking too much and his heart broken. This frightened me so I decided to take him to the hospital. When I got to the hospital, I asked the doctor, could this child's condition be due to the grief of his mother's death and what can I do to help at home? Or does this child need to speak to a mental health professional or what can I do to make him eat or play with his peers? Or does he need any medication to help?","Adeolu is a ten-year-old child whose mother was my sister. However, for a few days now, I have noticed that this child sits alone ever since his mother died; he does not want to play with anyone, and he does not want to talk to anyone. He has also started refusing to eat, and it looks like he is thinking too much and is heartbroken. This frightened me, so I decided to take him to the hospital for help. When I got to the hospital, I asked the doctor, 'Could this child's condition be due to the grief of his mother's death?' And, 'What can I do to help at home, or does this child need to speak to a mental health professional, or what can I do to make him eat or play with his peers, and does he need any medication to help?","Yes, this child's condition is very likely due to grief following his mother's death, which is a normal and expected reaction to such a painful loss. At home, you can help by being patient and loving, spending time with him, gently encouraging him to talk about his mother and his feelings, and reassuring him that he is safe and cared for. Offer his favorite foods in small amounts, maintain a regular routine, and allow other children to be around him without forcing him to play. However, because his symptoms are severe—withdrawing completely, refusing to eat, and appearing deeply distressed—he should be seen by a mental health professional or counselor to prevent this grief from turning into depression. Most grieving children do not need medication and recover with love, support, and time, but a professional evaluation will guide whether any treatment is necessary if symptoms persist or worsen.",claude-opus-4-8,http://speech-app.s3.amazonaws.com/static/audio/uploads/6cc16740-ef5f-4ccb-9b54-2a05f9a40f74/70f14657b1a3b0c1a9f82a19e1cd2525_oewToQ2K.wav
claude-opus-4.8,text,sahara,english,accented_english,a330674b-1cce-4ebd-b148-0214be33a856,"A mother living in our neighborhood was pregnant with her second child. At the beginning of the pregnancy, everything was going normally and she was happy that a new baby was coming. However, a few months ago, she began to experience severe lower abdominal pain. One day, the pain became so intense that she could hardly stand up properly. Such Shortly afterward, she also started having heavy vaginal bleeding. The bleeding was more than usual, and it made her very weak. When she saw the bleeding, she became frightened that her unborn baby might be in danger. Her husband quickly assisted her to go to the hospital. My question is, what can cause severe lower abdominal pain during pregnancy? Is heavy bleeding during pregnancy a danger sign for the mother? Or the unborn baby? What are the signs that indicate pregnancy may be in trouble? Is there any medication that can stop the pain and bleeding without harming the unborn baby?","A mother living in our neighborhood was pregnant with her second child. At the beginning of the pregnancy, everything was going normally, and she was happy that a new baby was coming. However, a few months ago, she began to experience severe lower abdominal pain. One day, the pain became so intense that she could hardly stand up properly. Shortly afterward, she also started having heavy vaginal bleeding. The bleeding was more than usual, and it made her very weak. When she saw the bleeding, she became frightened that her unborn baby might be in danger. Her husband quickly assisted her to go to the hospital.
My question is: what can cause severe lower abdominal pain during pregnancy? Is heavy bleeding during pregnancy a danger sign for the mother or the unborn baby?
What are the signs that indicate the pregnancy may be in trouble? Is there any medication that can stop the pain and bleeding without harming the unborn baby?","**Causes of severe lower abdominal pain in pregnancy** can include placental abruption (premature separation of the placenta), ectopic pregnancy (early pregnancy), miscarriage, uterine rupture, preterm labour, or non-obstetric causes like appendicitis or urinary tract infection. In this woman, the combination of severe pain and heavy bleeding strongly suggests **placental abruption**, which is a serious emergency.

**Yes, heavy vaginal bleeding during pregnancy is a danger sign for both mother and baby.** The mother can lose enough blood to go into shock, develop anaemia, or suffer clotting problems, while the baby is at risk of oxygen deprivation, stillbirth, or premature birth.

**Warning signs that pregnancy is in trouble** include vaginal bleeding, severe or persistent abdominal pain, reduced or absent baby movements, severe headache, blurred vision, swelling of the face and hands, fever, gush of fluid from the vagina, and dizziness or fainting.

**There is no simple medication a woman can take at home to safely stop such pain and bleeding.** She needs urgent hospital care where doctors will assess the mother and baby, give fluids or blood if needed, and decide on treatment—which may include emergency delivery or caesarean section. It was very correct that her husband rushed her to the hospital, as prompt care saves both mother and baby.",claude-opus-4-8,http://speech-app.s3.amazonaws.com/static/audio/uploads/383888b7-2c4d-4b85-8bfb-3421f72eeadc/1ecaccdd86f8797cc66a22e61daccf4a_w640SuFi.wav
claude-opus-4.8,text,sahara,english,accented_english,29a2c96b-9835-400d-acf7-a3e335d5002e,"A guardian of a child observes that the child is coughing intensely, to the extent that the child is being abrupt and struggling to breathe well. What can cause a child to be coughing in abrupt manner? To the extent that the child cannot breathe well and struggling to breathe. What kind of tests can we run for that child? What treatment can we give? And then what advice can we give to the guardian of this child?","A guardian of a child observed that the child is cough intensely, till the end that the child is been abrupt and struggling to breathe well. What can cause a child to be coughing in abrupt manner, till the end that the child can't breathe well, and struggling to breathe? What can kind of test can we run for that child? What treatment can we give? And then what advice can be give to the guardian of this child? ","# Causes of Sudden Severe Cough with Breathing Difficulty in a Child

**Possible Causes:**
The most urgent cause is **foreign body aspiration** (inhaled object like a groundnut, seed, coin, or small toy), especially if the cough started suddenly in a previously well child. Other causes include **acute asthma attack**, **croup** (barking cough with stridor), **bronchiolitis** (often from RSV in infants), **pneumonia**, **whooping cough (pertussis)**, and **severe allergic reaction (anaphylaxis)**.

**Tests to Run:**
Start with a **chest X-ray** to look for a foreign body, collapsed lung, or pneumonia; check **oxygen saturation (SpO2)** with a pulse oximeter; do a **full blood count** to assess infection; and if aspiration is strongly suspected, **bronchoscopy** may be needed for both diagnosis and removal.

**Treatment:**
Ensure the airway is open and give **oxygen** if saturation is low; if a foreign body is suspected and the child is choking, perform **back blows and chest thrusts** (or Heimlich for older children) and arrange urgent removal. For asthma give **nebulized salbutamol**, for croup give **steroids (dexamethasone) and nebulized adrenaline**, and for pneumonia give appropriate **antibiotics**.

**Advice to the Guardian:**
Keep small objects, nuts, and coins away from young children to prevent choking; seek **immediate medical care** if the child turns blue, cannot cry or breathe, or worsens. Ensure the child completes any prescribed treatment, stays up to date on vaccinations (including pertussis), and avoids smoke exposure at home.",claude-opus-4-8,http://speech-app.s3.amazonaws.com/static/audio/uploads/c24d9a22-2976-4730-b153-2b242b1d096f/22ec8fbe7f988ab0386b1b5adac42a40_Lylr5O79.wav
claude-opus-4.8,text,sahara,english,accented_english,1ca84822-c7ea-4bee-9736-4cd89a8f0bf2,"I brought my 9-year-old child to the hospital this afternoon. I sent the child on an errand to buy something from me in town, but a dog beat the child. When they brought the child home and explained what happened, I examined the wound where the dog beat the child, and I noticed that the wound is red and already swollen. We made inquiries in the neighborhood to find out about the dog that beat the child, and the dog's owner said they are I have never given the dog any vaccines. They mentioned that he just goes out, plays and comes back inside. They said they have never given the dog any medical treatment whatsoever. This is why I became frightened and I rushed the child to the hospital so that it would not turn out that the dog that beat the child is a raby dog. What could possibly happen to a child who has been bitten by a dog? What could happen to a wound that is red and swollen? Is it possible for an infection like rabies to enter this wound? Is it possible for something terrible to happen to the child as a result of this dog bite? Please, what can I do to prevent an infection from entering this wound? What vaccines and what medications can be used to treat this child to ensure they receive proper care? What else can we do, or what medical tests can we run, to take care of the wound? Where the dog beats the child,","I brought my nine-year-old child to the hospital this afternoon. I sent the child on an errand to buy something for me in town, but a dog bit the child. When they brought the child home and explained what happened, I examined the wound where the dog bit the child, and I noticed that the wound is red and already swollen. We made inquiries in the neighborhood to find out about the dog that bit the child, and the dog's owner said that they have never given the dog any vaccines. They mentioned that it just goes out, plays, and comes back inside. They said they have never given the dog any medical treatment whatsoever. This is why I became frightened and rushed the child to the hospital, so that it wouldn't turn out that the dog that bit the child is a rabid dog. What could possibly happen to a child who has been bitten by a dog? What could happen to a wound that is red and swollen? Is it possible for an infection like rabies to enter this wound? Is it possible for something terrible to happen to the child as a result of this dog bite? Please...
What can I do to prevent an infection from entering this wound? What vaccines and what medications can be used to treat this child to ensure they receive proper care? What else can we do, or what medical tests can we run to care for the wound where the dog bit this child?

","# Dog Bite Management for Your Child

You did the right thing by bringing your child to the hospital quickly. This is a medical emergency because the dog was unvaccinated, so rabies is a real concern.

## What Could Happen
The red, swollen wound shows a **bacterial infection** is already starting. If untreated, this can spread and become serious. **Rabies** is also a danger because the dog had no vaccines — rabies is almost always fatal once symptoms appear, but it is **completely preventable** with prompt treatment.

## What Must Be Done Immediately
1. **Wound washing** — The wound must be washed thoroughly with soap and running water for at least 15 minutes. This alone greatly reduces rabies and bacterial risk.
2. **Rabies vaccine (PEP)** — Your child needs the rabies vaccine given in a series (usually days 0, 3, 7, and 14/28).
3. **Rabies Immunoglobulin (RIG)** — Since the dog is unvaccinated, RIG should be injected around the wound if available; this is very important.
4. **Tetanus vaccine** — Give tetanus toxoid, especially if your child's immunizations are not up to date.
5. **Antibiotics** — For the infected wound, antibiotics like **amoxicillin-clavulanate (Augmentin)** are usually prescribed.

## Additional Care
The wound is generally **not stitched immediately** to allow infection to drain. Watch the dog for 10 days if possible — if it stays alive and healthy, rabies is unlikely. Please **complete all vaccine doses** even if the wound heals, as rabies prevention depends on finishing the full course.

Go to the hospital now if not already there — do not delay these vaccines.",claude-opus-4-8,http://speech-app.s3.amazonaws.com/static/audio/uploads/deb5d857-a070-45c0-befc-c05e82418b64/6e7c086781508076742c00c0e90a393b_QXZ9PS88.wav
claude-opus-4.8,text,sahara,english,accented_english,2d3577d4-0796-481d-b7cd-df6912cbf4df,"After I gave bath and I was trying to recover, one evening I thought that since we do not have clean water in our area, if I wanted to bath I would always use water that is not clean all the time. I kept thinking that I should take care of myself and be bathing properly. Then when it became one evening, my body was no longer well. I started feeling cold and my body began to shiver every day. I was feeling cold, but my body was not well again. I noticed that the blood that was coming out after childbirth had a smell coming from there that was not good at all. The smell was much, and this had not happened before. I could not take my eyes away from it. As I got up, that was when I was coming to the hospital to ask whether the clean water that I used to bath could cause any illness after childbirth. ","After I gave birth and I was trying to recover, one evening I thought that since we did not have clean water in our area, if I wanted to bathe, I would always use water that is not clean all the time, I kept thinking that I should take care of myself and be bathing properly.
Then, when it became one evening, my body was no longer well. I started feeling cold, and my body began to shiver every day. I was feeling cold, but my body was not well again. I noticed that the blood that was coming out after childbirth had a smell coming from there that was not good at all. The smell was much, and this had not happened before.
I could not take my eyes away from it. As I got up, that was when I was coming to the hospital to ask whether the clean water that I used to bathe could cause any illness after childbirth ","Based on your symptoms, the problem is likely **not** from the water you used to bathe. What you are describing—fever, chills, shivering, and foul-smelling vaginal discharge (lochia) after childbirth—are signs of **postpartum (puerperal) infection**, an infection of the womb or birth canal that can occur after delivery regardless of your bathing water. This is a serious condition that can become life-threatening if not treated quickly, so you did the right thing by coming to the hospital. You need urgent examination and antibiotics, and the doctor may check for retained placental tissue and take blood and swab tests. Please do not delay treatment or wait at home, as untreated puerperal sepsis can spread and cause severe complications.",claude-opus-4-8,http://speech-app.s3.amazonaws.com/static/audio/uploads/b4129300-516c-4e8c-b210-8a7a68eb2c40/4dc9ce6a313e6f7f05e2097d99201126_aCvc58WL.wav
