audio_id,language,subset,question,reference,url,model_answer,requested_model,model_id
7b39e880-8826-48eb-b82e-a19522e72df6,english,accented_english,a mother among the mothers who usually bring their babies for injections explained that she noticed that a newborn baby has a problem around the mouth and the baby's lips look bluish today she also noticed that when she is breathfeeding the baby the baby struggles gasps and finds it difficult to breath properly she said this is what made her worried because she does not know what is happening to the baby what can cause a newborn baby's lips to look blueys what can also cause a baby to struggle and have difficulty breathing while breathfeeding can medicine be given or should be baby be examined,"A mother among the mothers who usually bring their babies for injections explained that she noticed that her newborn baby has a problem around the mouth, and the baby’s lips look blueish.
Today, she also noticed that when she is breastfeeding the baby, the baby struggles, gasps, and finds it difficult to breathe properly. She said this is what made her worried because she does not know what is happening to the baby.
What can cause a newborn baby’s lips to look blueish? What can also cause a baby to struggle and have difficulty breathing while breastfeeding? Can medicine be given, or should the baby be examined?",http://speech-app.s3.amazonaws.com/static/audio/uploads/6bb70a63-b01f-45f0-9592-f20c9543b055/388fed2089259942b08d750a4b3d927b_jm9IQNHg.wav,"A newborn presenting with bluish lips (cyanosis) and gasping during breastfeeding is showing severe danger signs of oxygen deprivation in the blood. The bluish discoloration and breathing difficulty are most commonly caused by a serious underlying issue, such as a congenital heart defect (a structural heart problem present from birth) or a severe respiratory infection like newborn pneumonia. Because breastfeeding requires a lot of energy, a baby with a compromised heart or weak lungs will quickly tire out and gasp for air during feeds. You must not give any medicine at home, as doing so without knowing the exact cause is extremely dangerous and can worsen the condition. The baby must be rushed to the hospital immediately for a thorough medical examination, as this is an emergency that requires urgent oxygen support and specialized care.",Gemini 3.1 Pro (audio),gemini-3.1-pro-preview
4f88702e-973b-4918-90bc-3052fbbbc67f,english,accented_english,my family member's child was beaten by a dog he is a seven year old child when the dog beat him they usually went to their traditional hila they made their new incision on the wound and applied aparol to it but now the place where the dog beating has started producing pus and it is wholly we explained to them that they should take him to the hospital please what kind of examination can be done for this boy can he have rabies because of the dog even if the dog it helps him to be fine and what kind of treatment does this young boy need consider that the dog did not cause any further injury to his body," My family member’s child was bitten by a dog. He is a seven-year-old child. When the dog bit him, they usually went to their traditional healer; they made an incision on the wound and applied “apọrọ” (traditional preparation) to it. But now, the place where the dog bit him has started producing pus and it is swollen. We explained to them that they should take him to the hospital. Please, what kind of examination can be done for this boy? Can he have rabies because of the dog, even if the dog itself seems to be fine? And what kind of treatment does this young boy need? Consider that the dog did not cause any further injury to his body.",http://speech-app.s3.amazonaws.com/static/audio/uploads/ef9140fe-7a4a-4a06-af80-4455cc0ee4ac/20b1db9e2adb8570f3a2c99acfa10eac_ojpfiFce.wav,"At the hospital, we will first conduct a thorough clinical examination of the wound to assess the extent of the bacterial infection and take a pus swab for laboratory culture. Yes, the child is still at high risk for rabies even if the dog currently appears healthy, because an infected dog can shed the deadly virus in its saliva several days before it starts showing any signs of sickness. The boy urgently needs the wound professionally cleaned and debrided to remove the traditional concoctions, followed by a course of broad-spectrum antibiotics to treat the severe bacterial infection. Furthermore, he must immediately receive Rabies Post-Exposure Prophylaxis (anti-rabies vaccines and immunoglobulin) alongside a tetanus injection to prevent these universally fatal diseases. Please advise your family that traditional scarification and herbal applications on dog bites only introduce dangerous bacteria; prompt hospital care is the only reliable way to save a child's life in this situation.",Gemini 3.1 Pro (audio),gemini-3.1-pro-preview
8a9f9be1-12b5-4fc5-b22b-0236180baa66,english,accented_english,a wife a wife observe that a husband has a headache and the headache is really really bad it's quite much to the extent that the man has a stiff neck unable to turn it to the left or right as it ought to be she now observe so very tiny sons which we are not on the man's body before but suddenly occur this care the woman that this kind of occurrence that happened to our husband what can be the cause and what can she do the question i asked the woman was that as her husband ever had a high fever and a kind of drug was used she said no or that the man the bird sleeps on what he uses as pillow hope is not that he slept on the neck the woman said no it is not that he slept on the neck but suddenly the headache started and it was consistent with a stiff neck and very tiny source around the body if something like this happens what can that kind of wife do to help care for a husband and he will return to his normal self,"A wife observed that her husband has a headache, and the headache is really really bad. It quite much to the extent that the man has a stiff neck unable to turn it to the left or right as it ought to be. She now observed some very tiny sores which were not on the man's body before but suddenly occurred. This scared the woman that this kind of occurrence that happened to her husband what can be the cause and what can she do? The question I asked the woman was that has her husband ever had a high fever and a kind of drug was used? She said no. Or that the man, the bed he sleeps on what he uses as pillow hope it's not that he slept on the neck the woman said no it is not that he slept on the neck but suddenly the headache started and it was consistent with a stiff neck and very tiny sores around the body. If something like this happens, what can that kind of wife do to help care for her husband and he will return to his normal self? ",http://speech-app.s3.amazonaws.com/static/audio/uploads/ba63fb24-9040-4481-bdf0-afea2166b053/35b5cd43f25a01e6f60cc54b97ea6098_UYPa1GQg.wav,"Based on the severe headache, stiff neck, and sudden tiny spots on his skin, your husband is highly likely suffering from acute bacterial meningitis, a dangerous brain infection common in our African ""meningitis belt."" The tiny spots are actually bleeding under the skin (petechiae) caused by bacteria spreading into his blood, confirming this is a critical medical emergency rather than a simple muscle strain. You must rush him to the nearest hospital immediately, as this condition can become fatal or cause permanent brain damage within a few hours if delayed. At the hospital, doctors will quickly run tests and start him on life-saving intravenous antibiotics, like Ceftriaxone, along with IV fluids. Do not waste time trying to treat this at home with local herbs or painkillers; immediate emergency hospital care is the only way to save his life and help him return to normal.",Gemini 3.1 Pro (audio),gemini-3.1-pro-preview
765b06e9-4314-4cd5-9b0d-f966ccb8f16d,english,accented_english,good evening i came because of my younger sibling i noticed that their eyes and skin have an airy a pale yellowish color and this has been going on for about three days now their body is also very old borning with a fever and they cannot eat they cannot retain anything they cannot retain anything in fact they are shivering and waking heavily because their head is trouble their head is aching and their body is borning out we have tried using something saturn we gave them but even so there is absolutely no difference in their condition their eyes and skin that have that pale or yellowish color it hasn't stopped that yellow color is just increasing day by day and they are not at peace they are not comfortable they are sovereign god forbid they are really sovereign that is why i came to the hospital so that we can know what to do the steps we need to take so that my younger siblings body their skin and eyes that are turning yellow we stop and they will recover,"Good evening I came because of my younger sibling. I noticed that their eyes and skin have an airy... a pale/yellowish color. And this has been going on for about three days now. Their body is also very hot, burning with a fever, and they cannot eat. They cannot retain anything, they cannot retain anything. In fact, they are shivering/weakened heavily. Because their head is throbbing, their head is aching, and their body is burning hot. We have tried using some things at home, we gave them, but even so, there is absolutely no difference in their condition. Their eyes and skin that have that pale/yellowish color, it hasn't stopped, that yellow color is just increasing day by day, and they are not at peace, they are not comfortable, they are suffering, God forbid, they are really suffering. That is why I came to the hospital so we can know what to do, the steps we need to take, so that my younger sibling's body, their skin and eyes that are turning yellow, will stop, and they will recover.
",http://speech-app.s3.amazonaws.com/static/audio/uploads/36b89ae1-c49b-421e-aee0-92d33762fd44/986b18ca45a5dd77b85eb65c7e3c1b65_va5g39ok.wav,"You did the right thing by bringing your sibling to the hospital, as this is a medical emergency that requires immediate admission. The combination of high fever, intense shivering, severe headache, vomiting, and rapidly worsening yellow eyes (jaundice) strongly suggests Severe Malaria, though we must also rule out Yellow Fever and Acute Viral Hepatitis. In our environment, severe malaria parasites rapidly destroy red blood cells, which overwhelms the liver and causes that dangerous yellowish discoloration of the eyes and skin. Because your sibling cannot retain food or oral medications, any home remedies will fail and must be stopped immediately. We will urgently run a malaria rapid diagnostic test (RDT) and blood work, and immediately start intravenous (IV) fluids and IV Artesunate to clear the infection, bring down the fever, and save their life.",Gemini 3.1 Pro (audio),gemini-3.1-pro-preview
fabfb9ed-e038-4397-ae04-7e1e709be446,english,accented_english,this lady gave bath at our place this morning she delivered the baby at dawn when she arrived around 8am the person who was with her at own called us saying this lady was shavering our body was very hot and she had a lot of body issues which really bothered her we went to see the lady covered her with a clothes and checked their temperature meaning how hot our body was and it was 38.2 we performed a malaria test for this lady that is a malaria rapid test diagnosis was done this lady is nowhere it looks like malaria we asked if she had eaten and she said she hadn't eaten anything we told those who were with her to give her tea to let the lady drink it as she breastfelt the baby she said when she wanted to breastfeed the baby she noticed the baby pass too or had a bower movement we then asked the lady to sit up and lean back on the bed she was on to let her body recover better not completely but to help and her eyes were not white or pay so we advised that once she has eaten she should take paracetamol after she has finished taking the paracetamol we decided how many days it will be before we can give it to the lady again she has malaria and we perform the malaria test please we can give it to her again once she has finished eating and we have advised her to take paracetamol since she is feeling weak if it doesn't go away we will know what kind of treatment to provide,"This lady gave birth at our place this morning; she delivered the baby at dawn. When she arrived around 8:00 AM, the person who was with her at home called us, saying this lady was shivering, her body was very hot, and she had a lot of body issues which really bothered her. We went to see the lady, covered her with a cloth, and checked her temperature—meaning how hot her body was—and it was 38.2. We performed a malaria test for this lady, that is, a malaria rapid test diagnosis was done. This lady is not well, it looks like malaria. We asked if she had eaten, and she said she hadn't eaten anything. We told those who were with her to give her tea, to let the lady drink it. Has she breastfed the baby? She said when she wanted to breastfeed the baby, she noticed the baby passed stool/had a bowel movement. We then asked the lady to sit up and lean back on the bed she was on, to let her body recover better—not completely, but to help—and her eyes were not white/pale. So, we advised that once she has eaten, she should take Paracetamol. After she has finished taking the Paracetamol, we decided how many days it will be before we can give it to the lady again. She has malaria, and we performed a malaria test. Please, we can give it to her again. Once she has finished eating, and we have advised her to take Paracetamol, since she is feeling weak, if it doesn't go away, we will know what kind of treatment to provide.",http://speech-app.s3.amazonaws.com/static/audio/uploads/34deaaf1-18a1-4ca3-9164-cd204afb2440/6cdb1cbde7372af51e83a2ad7bc50b93_hyt4KGOF.wav,"Given her high temperature of 38.2°C, shivering, and malaria test results shortly after delivery, she likely has uncomplicated postpartum malaria. You should immediately start her on a standard Artemisinin-based Combination Therapy (ACT) like Artemether-Lumefantrine, as it is highly effective and completely safe for her to take while breastfeeding the newborn. Continue administering Paracetamol (1000mg every 6 to 8 hours) to manage the fever and body aches, and ensure she continues to eat and drink plenty of fluids. Because she just delivered, it is critical that you also monitor her for puerperal sepsis, which is a severe womb infection; please check her for lower abdominal pain or foul-smelling vaginal blood. If her fever does not improve within 48 hours of starting the antimalarial medication, or if she becomes dangerously weak, refer her immediately to a larger hospital for evaluation and possible intravenous antibiotics.",Gemini 3.1 Pro (audio),gemini-3.1-pro-preview
1ca84822-c7ea-4bee-9736-4cd89a8f0bf2,english,accented_english,i brought my nine year old child to the hospital this afternoon i sent the child on an errand to buy something from me in town but the dog beat the child when they brought the child home and explain what happen i examined the wound where the dog beat the child and i noticed that the wound is red and already swollen we made inquiries in the neighborhood to find out about the dog that beats the child and the dogs owner said they are never given the dog any vaccines they mention that it just goes out place and comes back inside they said they have never given the dog any medical treatment whatsoever this is why i became frightened and i rush the child to the hospital so that it will not turn out that the dog that breathe child is a rebit dog what could possibly happen to a child who has been beaten by a dog what could happen to a wound that is red and swollen is it possible for an infection like rebits to enter this wound is it possible for something terrible to happen to the child as a result of this dog bite please what can i do to prevent an infection from entering this wound what vaccines and what medications can be used to treat this child to ensure they receive proper care what else can we do or what medical tests can we run to take care of the wound where the dog beat this child,"I brought my nine-year-old child to the hospital this afternoon. I sent the child on an errand to buy something for me in town, but a dog bit the child. When they brought the child home and explained what happened, I examined the wound where the dog bit the child, and I noticed that the wound is red and already swollen. We made inquiries in the neighborhood to find out about the dog that bit the child, and the dog's owner said that they have never given the dog any vaccines. They mentioned that it just goes out, plays, and comes back inside. They said they have never given the dog any medical treatment whatsoever. This is why I became frightened and rushed the child to the hospital, so that it wouldn't turn out that the dog that bit the child is a rabid dog. What could possibly happen to a child who has been bitten by a dog? What could happen to a wound that is red and swollen? Is it possible for an infection like rabies to enter this wound? Is it possible for something terrible to happen to the child as a result of this dog bite? Please...
What can I do to prevent an infection from entering this wound? What vaccines and what medications can be used to treat this child to ensure they receive proper care? What else can we do, or what medical tests can we run to care for the wound where the dog bit this child?

",http://speech-app.s3.amazonaws.com/static/audio/uploads/deb5d857-a070-45c0-befc-c05e82418b64/6e7c086781508076742c00c0e90a393b_QXZ9PS88.wav,"You did the right thing by bringing your child to the hospital immediately, because a bite from an unvaccinated, free-roaming dog carries a severe risk of rabies and tetanus, and the red, swollen wound indicates that a bacterial infection has already started. First, we will thoroughly wash the wound with soap and running water for about 15 minutes, which is a highly effective, standard medical practice to flush out and destroy the rabies virus before it spreads. To guarantee your child's safety and prevent any deadly outcome, we will immediately administer Post-Exposure Prophylaxis (PEP) which includes the Anti-Rabies Vaccine, Rabies Immunoglobulin, a Tetanus injection, and prescribe antibiotics to treat the bacterial infection in the wound. While there is no immediate medical test we can run on your child to check if the rabies virus has entered their body, giving these vaccines right now is the only proven way to stop the infection from developing. Finally, you should report this incident to the local veterinary authorities or the police so the dog can be quarantined and observed for 14 days to confirm if it has rabies, which will guide our ongoing care.",Gemini 3.1 Pro (audio),gemini-3.1-pro-preview
9d26d614-9c65-4d84-83ec-0892de7c0b44,english,accented_english,a newborn baby that has just been delivered in our hospital about 20 minutes ago was found to appear sleepy the baby did not cry well since being delivered when we checked its respiration it was fine but the baby was as sleep all through we also checked the temperature and it was normal here is my question what could cause a newborn baby to appear as if it is sleeping and not cry properly since it bets also what kind of treatment will be effective for such baby and when the mother gets home what could she administer to the child and what she should not and what kind of food should the mother eat to ensure that both the mother and baby will be held the,"A newborn baby that has just been delivered in our hospital about twenty minutes ago, was found to appear sleepy. The baby did not cry well since being delivered. When we checked it's respiration,  it was fine but the baby was asleep althrough, we also checked the temperature, and it was normal. Here is my question, what could cause a new born baby to appear as if it is sleeping? And not cry properly since it's birth? Also, what kind of treatment will be effective for such baby? And, when the mother gets home, what could she administer to the child and what she should not, and what kind of food should the mother eat to ensure that both the mother and baby will be healthy?",http://speech-app.s3.amazonaws.com/static/audio/uploads/f39b0d23-0b11-41d2-b8a4-5a77de83a722/18ec2caec652931aed574581a199be42_67evFiUC.wav,"The baby's sleepiness and poor crying could be due to the stress of a prolonged labor, transient low blood sugar (hypoglycemia), or the effects of pain medications administered to the mother during delivery. Immediate hospital treatment involves checking the baby's blood sugar, gently stimulating the baby, and initiating early skin-to-skin contact and breastfeeding to naturally stabilize glucose levels. When at home, the mother must administer exclusive breast milk on demand; she must strictly avoid giving the baby water, formula, or traditional herbal mixtures (*agbo*), as these can introduce severe infections or cause organ toxicity. To support robust health and ample breast milk production, the mother should consume a nutritious diet rich in local proteins, iron, and vitamins, such as fish, beans, *ugu* (fluted pumpkin leaves), and plenty of fluids. Finally, the mother must wake the baby every 2 to 3 hours to feed, and if the newborn remains excessively difficult to rouse or stops feeding well, she should return to the clinic immediately to rule out serious conditions like neonatal sepsis.",Gemini 3.1 Pro (audio),gemini-3.1-pro-preview
3824cff9-42c8-4c4f-aa0b-edac22256149,english,accented_english,i am a married woman 35 years old please i brought my 5 month old baby for examination and guidance i have resumed work but surprisingly for about the past three days i have noticed that my baby has been coughing repeatedly we have tried everything we can think of to stop the cough but i can see that the cough has not gone away i am usually not at home when i leave in the morning i do not return until around 6 p m my mother stays at home with the baby whenever i have the opportunity to call i do so and ask about the cough and they keep telling me that the baby is still coughing the baby is five months old he is no longer taking only breast milk because i have resumed work i have breastfed him exclusively for three months and after that i started giving him other foods i have been giving him different foods including purp and other baby foods that i know what is even more surprising is that since last night his breathing has not been normal he is not breathing well and his nose is completely blocked my mother even said that while baiting him this morning she had to use a little warm water around his nose and chest because the cough had become severe the breathing problem has also started he is no longer breathing properly and his breathing is not clear and free any more please my question is what can i use for him to stop the cough and concerning the breathing that is no longer clear what can i do what can i use for him and what steps can i take so that he can breathe properly and nothing will obstruct his breathing,"I am an married woman, thirty-five years old. Please, I brought my five-month-old baby for examination and guidance.
I have resumed work. But surprisingly, for about the past three days, I have noticed that my baby has been coughing repeatedly. We have tried everything we can think of to stop the cough, but I can see that the cough has not gone away.
I am usually not at home. When I leave in the morning, I do not return until around 6 p.m. My mother stays at home with the baby.
Whenever I have the opportunity to call, I do so and ask about the cough, and they keep telling me that the baby is still coughing.
The baby is five months old. He is no longer taking only breast milk because I have resumed work. I breastfed him exclusively for three months, and after that I started giving him other foods.
I have been giving him different foods, including pap, and other baby foods that I know.
What is even more surprising is that since last night, his breathing has not been normal. He is not breathing well, and his nose is completely blocked.
My mother even said that while bathing him this morning, she had to use a little warm water around his nose and chest because the cough had become severe.
The breathing problem has also started. He is no longer breathing properly, and his breathing is not clear and free anymore.
Please, my question is: what can I use for him to stop the cough? And concerning the breathing that is no longer clear, what can I do, what can I use for him, and what steps can I take so that he can breathe properly and nothing will obstruct his breathing?",http://speech-app.s3.amazonaws.com/static/audio/uploads/e5d41243-231d-4c9d-996b-f18154a279e4/8467bf6a7aae1ace111e579272aeb282_g6jdfMfk.wav,"Please take your baby to the hospital immediately, as difficult breathing and a severe cough in a 5-month-old are danger signs of serious respiratory infections like pneumonia or bronchiolitis that require urgent care. Never give over-the-counter cough syrups to an infant; instead, you can buy normal saline nasal drops from a pharmacy to gently clear his blocked nose, because babies struggle to breathe when their nostrils are congested. Since you introduced pap and other solid foods at three months, there is also a high risk of aspiration (food accidentally entering the lungs), which could be causing or worsening his chest congestion. To help him breathe better at home, keep his head and chest elevated in an upright position, and advise your mother to stop using warm water on his chest to prevent accidental burns. Proper medical treatment, such as nebulization, oxygen, or antibiotics, can only be safely prescribed after a doctor listens to his chest, so please bring him to the clinic today.",Gemini 3.1 Pro (audio),gemini-3.1-pro-preview
11af86b9-5656-4db4-85c5-41a89d38ab56,english,accented_english,a caregiver who is taking care of a small child noticed that the child is caring for a struggling to breathe and the child's breathing is not normal she also noticed that the child coughs repeatedly and the cough is very severe the child is not a baby that was abandoned at birth nor a child that is usually baited with cold water what then can cause a small child to be breathing with difficulty and coughing repeatedly and why would breathing not be easy for the child as it should be what can be done about this situation,"A caregiver who is taking care of a small child noticed that the child she is caring for is struggling to breathe, and the child's breathing is not normal.
She also noticed that the child coughs repeatedly, and the cough is very severe.
The child is not a baby that was abandoned at birth, nor a child that is usually bathed with cold water.
What then can cause a small child to be breathing with difficulty and coughing repeatedly, and why would breathing not be easy for the child as it should be? What can be done about this situation?",http://speech-app.s3.amazonaws.com/static/audio/uploads/15234559-17a3-458f-8370-b7127d1a46bb/1b753148ca88263ad38b075c5597b8e4_sWn7s2Zk.wav,"The severe cough and difficulty in breathing this child is experiencing strongly point to a lower respiratory tract condition like pneumonia, severe bronchiolitis, or childhood asthma, which are very common in our communities. Breathing becomes a struggle because these infections or allergic triggers cause the lungs' tiny air sacs and tubes to become inflamed and blocked with thick mucus or fluid, drastically reducing the amount of oxygen entering the blood. Despite common local beliefs, bathing a child with cold water does not cause this; rather, it is caused by bacterial or viral pathogens, or environmental pollutants like firewood smoke and dust. You must rush the child to the nearest hospital immediately so a doctor can assess the severity by checking their oxygen levels, counting their respiratory rate, and listening to their chest. Prompt medical intervention is critical and may include administering supplemental oxygen, antibiotics to treat bacterial pneumonia, or nebulized medications to open up the airways and save the child's life.",Gemini 3.1 Pro (audio),gemini-3.1-pro-preview
802d0602-027d-4b98-8545-91fa8032ea5c,english,accented_english,i took my pregnant friend who is eighteen years old to the hospital because she had gone into labor and her time had come when we arrived at the hospital and they had carried out all the necessary assessments her blood pressure was high after they had completed all that needed to be done she continued in labor she remained in labor for about twelve hours her husband was nearby and the doctors advised that she should give consent for a caesarean section because she had been in labor for a long time my friend refused she said no not at all i want to give bed naturally like the hebrew woman she eventually delivered the baby after twelve hours of labor she gave bed to a healthy looking baby girl and we thanked god however what was surprising was that the baby was not breathing properly they stimulated the baby repeatedly patting and rubbing her she cried but her breathing was still not normal they quickly gave her oxygen doctor please will this baby survive and if she survives will she no become a disabled child,"I took my pregnant friend, who is eighteen years old, to the hospital because she had gone into labour and her time had come. When we arrived at the hospital and they had carried out all the necessary assessments, her blood pressure was high.
After they had completed all that needed to be done, she continued in labour. She remained in labour for about twelve hours. Her husband was nearby, and the doctors advised that she should give consent for a Caesarean section because she had been in labour for a long time.
My friend refused. She said, “No, not at all. I want to give birth naturally like the Hebrew women.”
She eventually delivered the baby. After twelve hours of labour, she gave birth to a healthy-looking baby girl, and we thanked God. However, what was surprising was that the baby was not breathing properly. They stimulated the baby repeatedly, patting and rubbing her. She cried, but her breathing was still not normal. They quickly gave her oxygen.
Doctor, please, will this baby survive? And if she survives, will she no become a disabled child?",http://speech-app.s3.amazonaws.com/static/audio/uploads/f9ee8a8c-79a4-489b-8cbf-650888877449/2a09dccd062daacfe47ff7ae4cade3f1_uXgCmMLy.wav,"The baby has a fair chance of surviving because the medical team promptly intervened with resuscitation and oxygen to treat her birth asphyxia. This breathing difficulty was caused by the prolonged labor and the mother's high blood pressure, which severely reduced oxygen flow to the baby through the placenta. Unfortunately, refusing a medically advised Caesarean section due to the ""Hebrew woman"" belief is a common issue in our setting that needlessly exposes babies to severe distress and hypoxic brain injury. Whether the child will develop a permanent disability, such as cerebral palsy, depends entirely on the extent of oxygen deprivation her brain suffered before she finally cried and stabilized. The doctors will now monitor her strictly in the special care baby unit to support her breathing, manage any potential brain swelling, and continuously assess her neurological development.",Gemini 3.1 Pro (audio),gemini-3.1-pro-preview
