audio_id,language,question,reference,url,model_answer,requested_model,model_id
13e1c9d4-57b0-4b0e-b73f-aec7519d8fbc,pidgin,Mama wey born pikin two weeks ago begin dey see small small blood dey come out from her body As days dey pass e notice say wetin resemble meat or tissue and blood dey come out Sometimes e dey feel somehow and e neck no dey okay E still dey get small small pain for under belle and anytime he see all these signs e dey fear and go confuse He begin wonder wetin dey happen say na normal thing wey fit happen after woman born pikin or whether na another sickness One day as e go hospital and dey talk with other nursemers hear say make nobody ignore any change wey dem notice for their body after child birth That one make am decide say he go see dr meet in examine My question be wetin fit cause this kind problem after woman don born Pain for under belle fit be signs of sickness which denter signs When new mama suppose watch out for after chike bath and wetin be the steps wey new mama need take to prevent this kind sickness,"Mama wey born pikin two weeks ago begin dey see small-small blood dey come from her body. As days dey pass, e notice say wetin resemble meat or tissue and blood dey come out. Sometimes e dey feel somehow, and e neck no dey okay. E still dey get small-small pain for under belle, and anytime e see all these signs, e dey fear and confuse. E begin wonder wetin dey happen,whether na normal thing wey fit happen after woman born pikin or whether na another sickness.

One day, as e go hospital and dey talk with other nursing mothers, e hear say make nobody ignore any change wey dem notice for their body after childbirth. That one make am decide say e go see doctor make dem examine am.

My question be: Wetin fit cause this kind problem after woman don born? Pain for under belle fit be signs of sickness? Which danger signs wey new mama suppose watch out for after childbirth? And wetin be the steps wey new mama need to take to prevent this kind sickness?",http://speech-app.s3.amazonaws.com/static/audio/uploads/a6846891-c098-42da-b6e5-89ef4cd0c3ce/74506ae897786ed764c61038366b35a8_GvsSbutW.wav,"The bleeding with tissue two weeks postpartum is most likely caused by retained placental fragments or a uterine infection (puerperal sepsis), which prevents the womb from contracting properly and causes continued bleeding and lower abdominal pain. That persistent lower abdominal pain, along with feeling unwell and neck discomfort, can indicate an infection or significant anemia from blood loss. New mothers should watch for danger signs at any time in the first six weeks, including heavy or foul-smelling vaginal bleeding, passing clots or tissue-like material, fever, severe abdominal pain, dizziness, and fainting. To prevent these complications, it is essential to deliver with a skilled birth attendant who ensures complete removal of the placenta, maintain good perineal hygiene after childbirth, and attend routine postpartum visits for early detection. Any woman with these symptoms needs urgent medical evaluation for possible antibiotics, uterine evacuation, and supportive care.",Deepseek-v4 pro,deepseek-v4-pro
3ac50fd3-39df-4fdc-a3d3-e177e3bf1913,pidgin,My husband na 40 years old and I don notice say for about 3 weeks now e dey drink plenty water pass normal As he dey drink plenty water na so he dey urinate plenty too in fact for night he fit wake up to 10 times before morning just to go urinate he don dey complain say body dey tire am all the time E don add small More weight and sometimes e dey complain say he no dey see well Rision fit plus especially when e stand up or wan waka I don notice say anytime e urinate na plenty urine dey come out and e dey urinate very often Wetin fit cause this plenty urination and dis serious tests while e dey drink plenty water and still dey urinate plenty happy These symptoms fit mean say he get diabetes E fit be another sickness Which medical test e suppose do make dr know exactly wetin de happen why he dey always tire wetin dey cause the plenty urination Abi high blood pressure fit cause these symptoms or na dehydrum another health problem Which kind food and drinks he suppose avoid and wetin e suppose dey chop or drink Wetin he fit do make these symptoms better E need go hospital or health care center make test am or test e no release necessary How away person suppose dey check for diabetes blood sugar na regularly or na once once which medical condition fit cause all these symptoms wey dey happen for him body,"My husband na forty years old, and I don notice say for about three weeks now, e dey drink water pass normal. As e dey drink plenty water, na so e dey urinate plenty too. In fact, for night e fit wake up up reach ten times before morning just to go urinate. E don dey complain too say body dey tire am all the time. E don add small weight, and sometimes e dey complain say e no dey see well. Vision fit blur, especially when e stand up or wan waka.

I don notice say anytime e urinate, na plenty urine dey come out, and e dey urinate very often.

Wetin fit dey cause this plenty urination and this serious thirst? Why e dey drink plenty water and dey urinate plenty? Abi these symptoms fit mean say e get diabetes, or e fit be another sickness?

Which medical tests e suppose do make doctors know exactly wetin dey happen? Why e dey always tire? Wetin dey cause the plenty urination? Abi high blood pressure fit cause these symptoms, or na dehydration or another health problem?

Which kind food and drinks e suppose avoid, and wetin e suppose dey chop and drink? Wetin e fit do make these symptoms better? E need go hospital or healthcare centre make dem test am, or testing no really necessary?

How often person suppose dey check for diabetes or blood sugar—na regularly or na once once? Which medical conditions fit cause all these symptoms wey dey happen for e body?",http://speech-app.s3.amazonaws.com/static/audio/uploads/7b524b5f-8fe7-4f80-bde9-7c65ae42939d/592177dc8521f0da47b55f13653a99c7_id81e3Zc.wav,"Your husband's symptoms of excessive thirst, frequent large-volume urination (especially at night), fatigue, blurry vision, and mild weight gain strongly suggest diabetes mellitus, most likely type 2 diabetes. He needs immediate hospital-based testing, including a fasting blood sugar, HbA1c, and a urine dipstick to check for glucose; these will confirm the diagnosis and rule out other causes like diabetes insipidus. High blood pressure often accompanies diabetes but does not typically cause these specific symptoms alone, and while dehydration results from the fluid loss, it is not the root cause. He should avoid sugary drinks, refined carbohydrates, and processed foods, focusing instead on water, vegetables, and whole grains until a proper dietary plan is given. Blood sugar monitoring must be regular and lifelong, not a one-time check, to prevent complications.",Deepseek-v4 pro,deepseek-v4-pro
c09d0612-6271-4f60-977c-5798940d70e2,pidgin,Home wey dey 22 years don born for our hospital 3 days ago Today she carry her newborn pikin on for rooting immunization As dem reach she tell us say di pikin no gree suck breast at all the pikin too dey weak e dey sleep pass normal and e no dey wake well She talk say anytime she try put breast for di pikin mouth E no go suckall She come notice say di pikin hand leg and whole body dey very cold like as body too cold reach where she dey fear to touch di pikin with her belle hand and na only when she wrap plenty cloth before she fit carry am She talk say di pikin no dey suck breast the whole body dey cold to touch and the pikin don dey more weak as time dey go E no fit move hand e no fit stretch leg E no get normal movement or reflex and so e just dey lie down no strength no movement She talk say anybody wey look the pikin go know say the pikin really sick and don tire Wetin fit cause this kind Niting Wetin una think say fit happen make pikin body dey feel this kind freezing cold Na only because the pikin no dey stuck breast or abi another sickness fit dey cause am too Wetin fit be the treatment pikin begin suck breast again Also concerning the immunization wey dem suppose give the pikin today Wetin be una professional advice,"One woman wey dey 22 years don born for our hospital three days ago. Today she carry her newborn pikin come for routine immunization. As dem reach, she tell us say di pikin no gree suck breast at all. Di pikin too dey weak, e dey sleep pass normal, and e no dey wake well.

She talk say anytime she try put breast for di pikin mouth, e no go suck at all. She come notice say di pikin hand, leg, and whole body dey very cold, like ice. Di body too cold reach where she dey fear to touch di pikin with her bare hand, and na only when she wrap plenty cloth before she fit carry am.

She talk say di pikin no dey suck breast, di whole body dey cold to touch, and di pikin don dey more weak as time dey go. E no fit move hand, e no fit stretch leg, e no get normal movement or reflex. Na so e just dey lie down, no strength, no movement. She talk say anybody wey look di pikin go know say di pikin really sick and don tire.

Wetin fit cause this kain thing? Wetin una think say fit happen make pikin body dey this kind freezing cold? Na only because di pikin no dey suck breast, abi another problem fit dey cause am too? Wetin fit be di treatment wey make di pikin begin suck breast again?

Also, concerning di immunization wey dem suppose give di pikin today, wetin be una professional advice?",http://speech-app.s3.amazonaws.com/static/audio/uploads/feb0816f-4fb4-4884-a9ef-224cb5115df2/a278bf8d3ccbba6ecc86e8cea1a40d3d_opKHIixJ.wav,"The baby's symptoms—extreme coldness, profound weakness, inability to suck, absent movement/reflexes, and excessive sleepiness—are classic danger signs of **severe neonatal sepsis** possibly complicated by hypoglycemia and hypothermia. This is not simply from poor breastfeeding; an underlying infection (often bacterial, acquired during or after birth) is the most likely cause triggering a cascade of metabolic and thermal instability. Immediate emergency management includes admission for incubator/Kangaroo Mother Care rewarming, intravenous antibiotics (such as ampicillin plus gentamicin), and checking/correcting blood glucose. Breastfeeding should be supported via expressed breast milk by cup or nasogastric tube once the baby is stabilized, but **the immunization must be postponed**—vaccinating a dangerously ill, hypothermic neonate is unsafe and ineffective. The priority is urgent medical treatment.",Deepseek-v4 pro,deepseek-v4-pro
d1593755-e2cc-49dd-8de9-678a95886c4b,pidgin,One woman notice say anytime wey dem wake up for morning her husband go begin cough well well The cough dey start suddenly and e fit take long time before you go stop As time dey go she notice say her husband no fit breathe well again Anytime wey you waka small distance or climb staircase e go stop make e catch breath because she dey tire quick quick One day after her husband don spend long time dey cough and dey struggle to catch breath di woman come fear You begin think say maybe one sickness dey cause all dis problem The next day she talk to her husband make dem go hospital go see dr so that dr go fit examine am and know wetin dey really happen The question be say wetin fit make person dey cough like this with constant tiredness and serious difficulty to breathe anytime the cough start Na only lung sickness or heart sickness fit cause this kind problem Which kind Kind sickness fit make person struggle to breathe too much or even cause death if dem no get urgent treatment Wetin be the danger signs of cough breathing problem wey family member suppose watch out for wey mean say the person need urgent attention,"One woman notice say anytime wey dem wake up for morning, her husband go begin cough well well. The cough dey start suddenly and e fit take long time before e go stop. As time dey go, she notice say her husband no fit breathe well again. Anytime wey e waka small distance or climb staircase, e go stop make e catch breath because e dey tire quick quick.

One day, after her husband don spend long time dey cough and dey struggle to catch breath, the woman come fear. E begin think say maybe one sickness dey cause all these problems. The next day, she talk to her husband make dem go hospital go see doctor so dat doctor go fit examine am and know wetin dey really happen.

The question be say, wetin fit make person dey cough like this, with constant tiredness and serious difficulty to breathe anytime the cough start? Na only lung sickness or heart sickness fit cause this kind problem? Which kind sickness fit make person struggle to breathe so much or even cause death if dem no get urgent treatment? Wetin be the danger signs of cough and breathing problem wey family members suppose watch out for, wey mean say the person need urgent medical attention?",http://speech-app.s3.amazonaws.com/static/audio/uploads/f20a8536-4c24-49e3-b873-68fa80baf607/a1313a1f79d9031eda58aba73d277c25_0BWlmcnw.wav,"Both lung and heart diseases can cause chronic cough with fatigue and shortness of breath, but this pattern of morning cough, worsening breathlessness on mild exertion, and episodes of severe difficulty breathing strongly suggests heart failure. Fluid accumulation in the lungs due to a weak heart causes paroxysmal nocturnal dyspnea and cough, often misdiagnosed as a purely lung condition. Acute decompensated heart failure, a severe asthma attack, or a massive pulmonary embolism can cause life-threatening respiratory distress if not urgently treated. Danger signs requiring immediate emergency care include gasping for breath at rest, inability to speak in full sentences, bluish discoloration of lips or fingertips, or confusion. Any family member observing these red flags should rush the person to the hospital without delay.",Deepseek-v4 pro,deepseek-v4-pro
f245321c-8c8f-4814-8990-5e0629d3acd5,pidgin,Home dem carry come hospital this morning because she dey bleed plenty and the bleeding don make her weak well well Dem ask her whether this kind thing don happen before and she talk say e don happen about two times before Anytime e happen she dey feel pain and the bleeding dey come and stop then come start again The ask her whether e fit be say belle dey comot But she talk say she no know whether she get belle or not Dem ask am when she see her monthly period and she talk say not too long say na about one month and two weeks ago she last see her period before this heavy bleeding start again this month Abeg wetin fit make this woman Bleed this kind plenty Wetin be di emergency things wey health workers suppose do immediately Wetin be di treatment wey fit save her life and stop di bleeding Which medicine or injection wey fit help control di bleeding fit be given 1st and which test oil investigation igations fit be done to know the real cause of this serious bleeding,"One woman dem carry come hospital this morning because she dey bleed plenty, and the bleeding don make her weak well-well. Dem ask am whether this kind thing don happen before, and she talk say e don happen about two times before. Anytime e happen, she dey feel pain and the bleeding dey come and stop, then come start again.

Dem come ask am whether e fit be say belle dey comot, but she talk say she no know whether she get belle or not. Dem ask am when she last see her monthly period, and she talk say not too long, say na about one month and two weeks ago she last see her period before this heavy bleeding start again this morning.

Abeg, wetin fit make dis woman bleed this kind plenty? Wetin be the emergency things wey health workers suppose do immediately? Wetin be the treatment wey fit save her life and stop the bleeding? Which medicine or injection wey fit help control the bleeding fit be given first? And which tests or investigations fit be done to know the real cause of this serious bleeding?",http://speech-app.s3.amazonaws.com/static/audio/uploads/a56ff576-0083-4d59-81ef-1cc6a858c72c/466b108d51d383d30be3ebaf2549593f_HF7mn3SJ.wav,"This presentation strongly suggests an incomplete miscarriage (spontaneous abortion) given the 6-week amenorrhea, heavy intermittent bleeding, abdominal pain, and previous similar episodes. Emergency care must begin with immediate assessment for hypovolemic shock (pallor, tachycardia, low blood pressure), securing two large-bore IV lines, administering IV crystalloids/oxygen, and sending blood for urgent haemoglobin, blood group, and cross-match. The definitive life-saving intervention is rapid uterine evacuation via manual vacuum aspiration (MVA) to remove retained products of conception, which will stop the hemorrhage. While preparing for evacuation, a first-line uterotonic injection such as 10 IU oxytocin intramuscularly (or misoprostol 800 mcg rectally if oxytocin is unavailable) can be given to contract the uterus and temporarily reduce bleeding. The most critical initial investigation is a bedside urine pregnancy test (beta-hCG) to confirm pregnancy, followed by a pelvic ultrasound to locate the pregnancy, assess for retained tissue, and exclude an ectopic pregnancy or molar gestation.",Deepseek-v4 pro,deepseek-v4-pro
ae4a74d2-4c72-4642-aa48-1dba5b86cce9,pidgin,One pregnant woman come our hospital this morning As she reach she dey feel serious pain She dey cry well well as she hold her back and belle because of the pain After about 8 10 minutes wey we carry am enter laborood we examine am and see say the baby don already dey come out and her cervix don open finish not long after She born one baby girl After delivery we do all di necessary care for both di mama and di baby Later we carry both of dem go one room make them rest After some time di woman call us come say her body dey very weak She dey tire well well and her eye dey somehow as if she no dey still clear She still She fit try chop after she born but she find am hard to swallow di food She continue to dey weak and she come dey feel dizzy too Wetin fit don happen E fit be say she lost plenty blood during di delivery and now she need blood transfusion abi wetin suppose make we do for am She we give am food make she chop,"One pregnant woman come our hospital this morning. As she reach, she dey feel serious pain. She dey cry well well as she hold her back and belle because of the pain.

After about 8 to 10 minutes wey we carry am enter labour ward, we examine am and see say the baby don already dey come out and her cervix don open finish. Not long after, she born one baby girl.

After delivery, we do all the necessary care for both the mama and the baby. Later, we carry both of them go one room make dem rest.

After some time, the woman call us come say her body dey very weak, she dey tire well well, and her eye dey somehow as if she no dey see clear. She still try chop after she born, but she find am hard to swallow the food. She continue to dey weak and she come dey feel dizzy too.

Wetin fit don happen? E fit be say she lose plenty blood during the delivery and now she need blood transfusion? Abi wetin suppose make we do for am? Should we give am food make she chop?",http://speech-app.s3.amazonaws.com/static/audio/uploads/996a6fff-5a9e-4cc9-afa3-6bfa9d04acfb/024974a06731ab9ab6769c215301e2ec_acIHhH0c.wav,"Her symptoms of profound weakness, dizziness, blurred vision, and difficulty swallowing strongly indicate severe anemia and hypovolemia from a postpartum hemorrhage. You must urgently assess her vital signs, uterine tone, and ongoing bleeding, and estimate the total blood loss. Establish intravenous access immediately, start crystalloid fluids, and send blood for urgent type, cross-match, and hemoglobin check because she likely requires a transfusion. Do not rely on oral feeding; in her shocked state, swallowing is impaired and it cannot correct acute volume loss. Simultaneously, actively manage the cause of bleeding—such as uterine atony or retained fragments—while preparing to transfuse as soon as blood is available.",Deepseek-v4 pro,deepseek-v4-pro
f6837d40-b44e-4d9d-a019-1133d891e156,pidgin,Yesterday evening I send my pikin make he go buy awidle for me for area After like 15 minutes he come run come house dey cry As I dey ask wetin happen dem tell me say dog bite am for leg I ask which kind dog be that and where the dog come from and dem tell me say dem no know where the dog come from Or whether na dog wey dey the neighbood Na so I rub boil for where the dog bite am because I think say e go neutrialize the poison Later person advise me make I carry am go one mternity clinic for area As we reach there them write tetanus injection wey I go buy for chemist I buy the injection and dem give am yesterday Since then I don carry am come house But from yesterday where di dog bite am don swell and di skin around am don red Now I don dey fear say maybe di dog fit don give am rabies I wan ask whether any medicine dey wey I fit buy for am or whether make I carry am go hospital or further treatment,"Yesterday evening, I send my pikin make e go buy ewedu for me for area. After like fifteen minutes, e come run come house dey cry. As I ask wetin happen, dem tell me say dog bite am for leg.

I ask wetin kind dog be dat and where di dog come from, but dem tell me say dem no know where di dog come from or whether na dog wey dey di neighborhood.

Na so I rub oil for where di dog bite am because I think say e go neutralise di poison. Later, person advise me make I carry am go one maternity clinic for area. As we reach there, dem write tetanus injection I go buy for chemist. I buy di injection and dem give am yesterday.

Since den, I don carry am come house, but from yesterday, where di dog bite am don swell and di skin around am don red. Now I don dey fear say maybe di dog fit don give am rabies.

I wan ask whether any medicine dey wey I fit buy for am, or whether make I carry am go hospital for further treatment.",http://speech-app.s3.amazonaws.com/static/audio/uploads/91abc401-cb93-44c6-9ae1-ba94e0e3f84a/f459b951a1415270172aee1c2c5701a8_TIppMES0.wav,"The child must be taken to a hospital immediately for rabies post-exposure prophylaxis, as a bite from an unknown dog carries a high risk of rabies and this is a medical emergency that cannot be treated with over-the-counter medicine. The swelling and redness signal a bacterial infection requiring prescription antibiotics and professional wound cleaning, which a maternity clinic cannot fully provide. The tetanus injection given was correct, but it does not protect against rabies, and applying heat likely worsened tissue damage. Rabies immunoglobulin and a full vaccine series must be started without delay to prevent this fatal disease. Do not buy any other drugs; proceed directly to a general hospital or teaching hospital that stocks rabies vaccines.",Deepseek-v4 pro,deepseek-v4-pro
4d7aa653-b36c-4c46-aaec-89b84a22c289,pidgin,One old papa come our local hospital The papa talk say he get serious headache Him neck dey stiff and rash don suddenly come out for him body He come ask wetin fit dey cause am and wetin be the correct treatment We ask am whether the headache start suddenly or e dey come small small The papa say e start suddenly for night and know Now e don become very severe We still ask am whether e fit look light well and e say no because light dey make di headache worse We ask am about di rash wey dey im body whether e dey pain am whether e plenty or e just small The papa say di rash dey all over im body e no fit point one place and e dey He itch am After that we ask whether he don contact with anybody wey sick recently The papa say dem no go any way apart from where dem dey sell go for front of the house and dem no know anybody wey sick wey dem don get contact with Our question for dr be wetin fit cause this kind serious headache and stiff neck wey make person no fit turn him neck plus rash all over the body Wetin fit be the cause Na infectious disease or na another sickness Our 2nd question be which kind test this papa suppose do to know exactly wetin dey worry am make e fit get correct treatment and which medicine dem fit start give am Before the test results go come out,"One old papa come our local hospital. Di papa talk say e get serious headache, im neck dey stiff, and rash don suddenly come out for im body. E come ask wetin fit dey cause am and wetin be di correct treatment.

We ask am whether di headache start suddenly or e dey come small small. Di papa say e start suddenly for night and now e don become very severe.

We still ask am whether e fit look light well, and e say no, because light dey make di headache worse.

We ask am about di rash wey dey im body, whether e dey pain am, whether e plenty or e just small. Di papa say di rash dey all over im body. E no fit point one place, and e dey itch am.

After dat, we ask whether e don contact with anybody wey sick recently. Di papa say dem no go anywhere apart from where dem dey sell goods for front of dia house, and dem no know anybody wey sick wey dem don get contact with.

Our question for doctor be: Wetin fit cause dis kind serious headache and stiff neck wey make person no fit turn im neck, plus rash all over di body? Wetin fit be di cause? Na infectious disease or na another sickness?

Our second question be: Which kind tests dis papa suppose do to know exactly wetin dey worry am make e fit get correct treatment? And which medicine dem fit start give am before di test results come out?",http://speech-app.s3.amazonaws.com/static/audio/uploads/6598bd5c-f9a6-469a-98a4-484387f94d6f/0e668f9a5682c0479079417f3a53b181_rA6kVlYk.wav,"The sudden severe headache with neck stiffness and light sensitivity strongly indicates meningitis, while the widespread itchy rash suggests meningococcemia, making acute bacterial meningitis (likely meningococcal) the primary diagnosis. The critical diagnostic test is a lumbar puncture for cerebrospinal fluid analysis (Gram stain, culture, cell count, and biochemistry), along with blood cultures. While awaiting results, promptly administer intravenous ceftriaxone (2 g every 12 hours) to cover common pathogens like *Neisseria meningitidis* and *Streptococcus pneumoniae*. Give intravenous dexamethasone (0.15 mg/kg every 6 hours) with or just before the first antibiotic dose to reduce the risk of neurological complications. If the patient is over 50 years, add ampicillin to cover *Listeria monocytogenes*, and monitor closely for any worsening of the rash or signs of shock.",Deepseek-v4 pro,deepseek-v4-pro
64cf1253-4163-4626-a714-61a5714f9f5c,pidgin,I dey runa pikin wey dey 10 years My mama wey born now na my sister but she don die Since that time for some days now I don notice say di pikin dey always sit down alone E no wan play with anybody e no wan talk to any good and e dey always refuse chop E come dey look like person wey dey thick too much and dey carry plenty episor for am This kind thing come make me fear so I carry am go hospital make dem help am When I reach hospital I ask dr say Doctor dis pikin fit dey behave like this because e dey more im mama wey die I still ask wetin I fit do for help am E need to talk to metal Se professional How I fit occourage am make e chop food and play with other pikin again E need any medicine to help am,"Adeolu na pikin wey dey 10 years. Mama wey born am na my sister, but she don die. Since dat time, for some days now, I don notice say di pikin dey always siddon alone. E no wan play with anybody, e no wan talk to anybody, and e dey always refuse chop. E come dey look like person wey dey think too much and e dey carry plenty sorrow for mind.

Dis kain thing come make me fear, so I carry am go hospital make dem help am. When I reach hospital, I ask doctor say:

""Doctor, dis pikin fit dey behave like dis because e dey mourn im mama wey die?""

I still ask, ""Wetin I fit do for house to help am? E need to talk to mental health professional? How I fit encourage am make e chop food and play with other children again? E need any medicine to help am?""",http://speech-app.s3.amazonaws.com/static/audio/uploads/0efe80fb-ef19-485c-bf57-e12bc4c9725e/7f9c30d9683d280777d6b62aa04f3c85_GcpsPM1j.wav,"Yes, the child’s withdrawal, mutism, and refusal to eat can be a grief reaction to the loss of his mother.  
However, the episodes of becoming “thick” (staring/unresponsive) with convulsive-like events suggest possible seizures or another neurological condition that require urgent medical evaluation.  
Referral to a mental health professional is crucial for grief counseling and to assess for depression, which can also cause such behavior.  
At home, gently offer favorite foods in small portions without force, and encourage quiet play with one trusted child to slowly rebuild social interaction.  
Medication may be necessary if a doctor confirms epilepsy or severe depression, so ensure the hospital runs appropriate tests and continues follow-up.",Deepseek-v4 pro,deepseek-v4-pro
f3dbb0f3-8206-4f36-9ce4-995205a5f594,pidgin,I be woman wey dey 32 years I born my pikin just 7 days ago Since then I notice say anytime I wan breastfeed am e dey struggle to suck di breast E fit suck small come remove him mouth If I put di breast back for him mouth e go suck small again con move As I dey wonder why e no dey suck breast well I notice say Today the pikin get catarrh E no dey breathe well Anytime e dey breathe e sound like person wey nose block or person stone I call my mother in law come see am She talk say maybe as I born the pikin or tire enter him head or something like that But I dey think say if anything like that happen the nosis and doctors wey help me deliver di baby for now Wetin dey pain me pass be say di pikin no dey feed well E dey make me worry and my mind no dey rest E no dey suck breast well and by 1st I dey try make e breastfeed Most times I go even wake am from sleep before e go suck breast small And sometimes e no go gree sef Abeg wetin fit dey cause this scatarrh wey dey make my pikin no dey breathe well and why e dey sound like person wey nose block every time e dey breathe Wetin fit also be the reason why e no dey suck breast well,"I be woman wey dey 32 years. I born my pikin just 7 days ago. Since then, I notice say anytime I wan breastfeed am, e dey struggle to suck the breast. E fit suck small, come remove im mouth. If I put the breast back for im mouth, e go suck small again, come remove am.

As I dey wonder why e no dey suck breast well, I  notice say the pikin get catarrh. E no dey breathe well. Anytime e dey breathe, e sound like person wey nose block or person wey dey snore.

I call my mother-in-law come see am. She talk say maybe as I born the pikin, water enter im head or something like that. But I dey think say if anything like that happen, the nurses and doctors wey help me deliver the baby for know am.

Wetin dey pain me pass be say the pikin no dey feed well at all. E dey make me worry and my mind no dey rest. E no dey suck breast well. Na by force I dey try make e breastfeed. Most times, I go even wake am from sleep before e go suck breast small, and sometimes e no go gree sef.

Abeg, wetin fit dey cause this catarrh wey dey make the pikin no dey breathe well, and why e dey sound like person wey nose block anytime e dey breathe? Wetin fit also be the reason why e no dey suck breast well?",http://speech-app.s3.amazonaws.com/static/audio/uploads/13d3b5c0-e7e9-4e67-8c88-a9d2ffc08efb/cc7d54cc2c3c1537092f3f8a82d6c029_K8NnY1Ae.wav,"The nasal congestion you describe is very common in newborns and is often due to neonatal rhinitis (temporary swelling and mucus in the nose). Newborns are obligate nose breathers, so when their nose is blocked, they cannot breathe while suckling, causing them to pull away from the breast frequently. This fully explains both the blocked-sounding breathing and the difficulty with breastfeeding, as the baby struggles to coordinate sucking and breathing. It is not typically a sign of a birth injury, but rather of a mild upper airway irritation or a mild viral cold. To help, you can put 1–2 drops of normal saline in each nostril and gently suction the mucus with a soft bulb syringe before feeds, and keep the baby’s head slightly elevated; if the baby stops feeding well, becomes lethargic, or shows signs of respiratory distress, seek urgent medical review.",Deepseek-v4 pro,deepseek-v4-pro
