audio_id,language,question,reference,url,model_answer,requested_model,model_id
a921421a-5a74-4099-b2ff-7e857fd1d354,english,"A mother gave birth to a newborn two weeks ago. She started seeing blood little by little on her body. However, as the days went by, she noticed that something like the stomach and blood were coming out. Sometimes the mother of the child is different, and she has a neck that is not good. And she knows that the mother of the child usually has pains in her lower abdomen. And every time she sees these signs, her heart gets confused. She walks Wonder if it was something among the common problems after childbirth or another problem. One day when she went to the hospital and was talking to other mothers, she heard that they should not downplay any changes they see in their bodies. This made her seek a doctor to talk to them. My question is, what can cause such a thing after childbirth? Can pain in the lower abdomen be a sign of a disease? What are the signs that this new Mother should be careful of after childbirth. What are the steps that the mother needs to take to prevent this disease?","A mother gave birth to a newborn two weeks ago. She started seeing blood little by little on her body. However, as the days went by, she noticed that something like the stomach and blood were coming out. Sometimes the mother of the child is different. And she has a neck that is not good. And she knows that the mother of the child usually has small pains in her lower abdomen, and every time she sees these signs, her heart gets confused. She wondered if it was something among the common problems after childbirth or another problem. One day when she went to the hospital, and was talking to other mothers, she heard that they should not downplay any changes they see in their bodies. This made her seek a doctor to talk to them. My question is, what can cause such a thing after childbirth? Can pain in the lower abdomen be a sign of a disease? What are the signs that this new mother should be careful of after childbirth? What are the steps that the mother needs to take to prevent this disease?",http://speech-app.s3.amazonaws.com/static/audio/uploads/d376f16d-8a40-477f-86c0-22c5e7c0fabe/af6ace06eb9c166ea21d14b725dfe032_ikQsvTqh.wav,"The passage of tissue and blood with lower abdominal pain two weeks postpartum is commonly caused by retained products of conception (RPOC) or puerperal sepsis, which is a severe uterine infection. Yes, lower abdominal pain is a critical sign of disease postpartum, typically indicating endometritis or uterine subinvolution that requires immediate medical evaluation. This mother must urgently watch for warning signs like heavy bleeding (soaking a pad in less than an hour), foul-smelling vaginal discharge, high fever, severe abdominal pain, or sudden changes in mental status like confusion. To prevent these life-threatening complications, she should maintain strict perineal hygiene, avoid unsanitary traditional practices, and ensure she does not miss her scheduled postnatal clinic visits. She must immediately go to the hospital for an ultrasound and clinical assessment, as she will likely need urgent antibiotics or a uterine evacuation to remove any retained tissue.",GLM-5.2-max,glm-5.2
48eb67dd-3ea9-4e95-9aeb-6f739d5c047b,english,"My name is Mrs Akinleyeg. For about the past two months, I have noticed that my husband's breathing has not been normal at all. He also sneezes repeatedly, especially whenever he is in a dusty environment or in a place where something is being fried. He sneezes repeatedly and finds it difficult to breathe properly. His breathing becomes labored and he tends to sneeze whenever he's in places with smoke or dust. Is there any test that can be carried? out to determine exactly what is causing these symptoms, could staying in dusty places be the cause, or is his body system changing in a way that is making this happen, what type of medication can he use so that his breathing will become normal and comfortable at all times, wherever he may be.","My name is Mrs. Akinleye. For about the past two months, I have noticed that my husband's breathing has not been normal at all. He also sneezes repeatedly, especially whenever he is in a dusty environment or in a place where something is being fried. He sneezes repeatedly and finds it difficult to breathe properly.

His breathing becomes laboured, and he tends to sneeze whenever he is in places with smoke or dust.

Is there any test that can be carried out to determine exactly what is causing these symptoms? Could staying in dusty places be the cause, or is his body's system changing in a way that is making this happen? What type of medication can he use so that his breathing will become normal and comfortable at all times, wherever he may be?",http://speech-app.s3.amazonaws.com/static/audio/uploads/5c2b47ff-934e-40c4-b5b5-432f28b0e0d2/d4efc0e2708246ed472102cdf3811037_ASnp9s1f.wav,"Your husband's symptoms indicate allergic asthma and allergic rhinitis, conditions where his immune system overreacts to environmental triggers like dust, smoke, and frying fumes. To confirm this, a physician should perform a spirometry test to assess his lung function and possibly a skin prick test to identify specific allergens. While avoiding dusty and smoky environments is essential to prevent attacks, he requires medical treatment to fully control the symptoms. For immediate relief of labored breathing, a reliever inhaler like Salbutamol and oral antihistamines for sneezing are typically used. However, to keep his breathing normal at all times, he must see a doctor for a prescribed preventer inhaler, usually containing inhaled corticosteroids.",GLM-5.2-max,glm-5.2
193bc635-2a7a-48d4-a2a1-d80de70d3f1b,english,"We saw one of our pregnant women early this morning along with her husband. She said that she has severe pain in her abdomen and her back is also aching even though it is not yet up to her delivery date. We asked this lady how many months pregnant she is and she said it is a pregnancy of six months and a few days. We then also asked this lady whether she is experiencing that pain right now. or if it comes and goes and she said she is experiencing that pain right now. Then we asked this lady whether she saw water or saw blood and she said that she saw water and blood. We then also asked this lady which number of child, which number of pregnancy is the pregnancy that is inside her and she said it is her first pregnancy. Our question for our doctor is Could this sign point to signs of labor or a sign that the pregnancy is damaged, miscarriage or another sign? Can we tell this lady to go and do an internal photo examination which we call a scan to know what is happening?","​We saw one of our pregnant women early this morning along with her husband, she said that she has severe pain in her abdomen and her back is also aching, even though it is not yet up to her delivery date. We asked this lady how many months pregnant she is, and she said it is a pregnancy of six months and a few days. We then also asked this lady whether she is experiencing that pain right now or if it comes and goes, and she said she is experiencing that pain right now. Then we asked this lady whether she saw water or saw blood, and she said that she saw water and blood. We then also asked this lady which number of child, which number of pregnancy is the pregnancy that is inside her, and she said it is her first pregnancy. Our question for our doctor is,could this sign point to signs of labor, or a sign that the pregnancy is damaged (miscarriage), or another sign? Can we tell this lady to go and do an internal photo examination which we call a scan to know what is happening?",http://speech-app.s3.amazonaws.com/static/audio/uploads/0d76b810-cd58-4c7b-bbaa-14e1db431104/2bd4ee05cdcf559317294ce081a41a2e_cWWA0Fbu.wav,"These symptoms at six months strongly suggest a severe obstetric emergency, such as preterm labor, late miscarriage, or a placental abruption where the placenta prematurely separates from the womb. The combination of constant severe pain, bleeding, and leaking fluid is highly dangerous and requires immediate medical intervention to protect both the mother and the baby. You must urgently refer this patient to the nearest hospital with maternity services for an immediate clinical assessment by a doctor. While an ultrasound scan is indeed necessary to determine the exact cause and fetal status, it must be performed within a hospital setting alongside emergency care. Please do not delay her transfer to a proper medical facility by sending her to get a scan elsewhere first.",GLM-5.2-max,glm-5.2
f5841173-3fa3-4104-943b-1116a20e44f2,english,"A mother who has three children. Meju is the junior child. Meju is a 1-year-old child. Meju's mother noticed that just a few days after childbirth, Meju has had a cough illness and has been coughing continuously without stopping at all. She said she also noticed that it is difficult for her to breathe well. She said this cough appears mostly in the evening when everyone has gone. She said her breath is also difficult to breathe well because this cough does not allow her to breathe in and out properly. She said she has been to the herbalists and has given her herbal mixtures but she noticed that none of the herbal mixtures she used worked. She said she then decided to go to the hospital so they could find out what happened to Kweju. Can this problem be Cured for this child? Is it a chest disease or asthma that it could be for the child? What are the things that the child needs to avoid so that this problem affecting her and causing her to cough can be significantly reduced?","A mother peju who has three children, peju is the junior child. Peju is a one-year-old child. Peju's mother noticed that, just a few days after childbirth, Peju has had a cough illness and has been coughing continuously without stopping at all. She said she also noticed that it is difficult for her to breathe well. She said this cough appears mostly in the evening, when everyone has gone to sleep. She said her breath is also difficult to breathe well, because this cough does not allow her to breathe in and out properly. She said she has been to the herbalists and has given her herbal mixtures, but she noticed that none of the herbal mixtures she used worked. She said she then decided to go to the hospital so they could find out what happened to Peju. Can this problem be cured for this child? Is it a chest disease or asthma that it could be for the child? What are the things that the child needs to avoid so that this problem affecting her and causing her to cough can be significantly reduced?",http://speech-app.s3.amazonaws.com/static/audio/uploads/5ed8e0c7-30e1-442b-aaa0-81777152de9e/2a24b6a777be7016fe4491f1783f310a_bXIVt5TF.wav,"Yes, this is a chest disease, and while childhood asthma is a strong possibility due to the nighttime coughing and breathlessness, chronic conditions like tuberculosis must be ruled out by a doctor. Depending on the exact diagnosis from hospital tests, this problem can be cured or effectively managed with modern medications, but the harmful herbal mixtures must be stopped immediately. To significantly reduce these coughing episodes, the child needs to avoid indoor cooking smoke, dust, cold air, and contact with people who have respiratory infections. Taking the child to the hospital for a proper clinical examination, likely including a chest X-ray, is the crucial next step to receive the correct inhaler or specific medical treatment.",GLM-5.2-max,glm-5.2
0429f217-2ba8-4fde-b80b-a3a545934026,english,"I'm 32 years old. I just gave birth. I just gave birth seven days ago. I noticed that if I'm breastfeeding the child, he struggles to suck the breast. If the child sucks a little bit, the child will remove his mouth. If I try to put the breast in his mouth so he can suck, he will suck again a little bit and remove his mouth. I now thought that why doesn't the child suck breasts well, I now notice. That the child has cold. He's not breathing out well, like a child snoring, that's how he sounds. I called the attention of my mother-in-law. She said maybe while we want to give birth to him, maybe water entered his head or other things. But I thought if water entered his head, the nurses and doctors ought to know if water entered the child's head. What now shattered my heart the most was the way he's not feeding well. It's given me concern and my mind is not at rest. He does not suck well at all. It's by force anytime I want to breastfeed the child. I have to wake him to suck a little. That's if he agrees to. What I want to ask is that what's the cause of the cold that he doesn't breathe well, and that any time he breathes, it will look like someone that the nose is blocked, and that what is the cause that he's not sucking breast. ","I’m 32 years old , I just gave birth , I just gave birth 7days ago , I noticed that if I’m breast feeding the child , he struggles to suck the breast , if the child suck a little bit , the child will remove his mouth if I try to put the breast in his mouth so he can suck , he will suck again a little bit and remove his mouth , I now thought that why did the child doesn’t suck breast well , I now noticed that the child has cold , his not breathing out well like a child snoring that’s how he sounds, I call the attention of my mother in law , she say maybe while we want to give birth to the child maybe water enters his head or other things but I thought if water enters his head , the nurses and doctors ought to know if water enters the child’s head , what now shattered my heart the most was the way he’s not feeding well , it’s giving me concern and my mind is not at rest , he doesn’t suck well at all , it’s by force any time I want to breastfeed the child , I have to wake him to suck a little that’s if he agrees to , what I want to ask is that what’s the cause of the cold that he doesn’t breathe well and that anytime he breathe it’s would look like someone that the nose is blocked  and that what is the cause that he’s not sucking breast well .",http://speech-app.s3.amazonaws.com/static/audio/uploads/9cc562be-c195-4c12-8c16-130f86eb5fa9/0df772cf4bd08662a32ef9f68b31cd07_Cfyaxdur.wav,"Your baby's noisy breathing is likely due to mild nasal congestion, which is common in newborns because their narrow nasal passages easily trap normal mucus, not because ""water entered his head"" during delivery. Newborns are obligate nose-breathers, meaning they struggle to breathe through their mouths, so a blocked nose directly causes the poor breastfeeding as he must release the breast to catch his breath. To help him feed, gently clear his nose with saline drops before each feeding and ensure he remains warm. Because he is only seven days old, you must monitor him closely for danger signs like fast breathing, chest in-drawing, fever, or excessive sleepiness. If you notice any of these warning signs or if his feeding does not improve, please take him to the hospital immediately to rule out a neonatal chest infection.",GLM-5.2-max,glm-5.2
5c0d4c54-a56b-4866-aaf3-9a209ad6e81e,english,"Doctor, a mother living in our house began to notice that her baby was not breastfeeding well. Whenever she tried to breastfeed the baby, the baby would suck for a little while and then stop as if exhausted. The mother also noticed that the baby did not have enough strength to breastfeed and would sweat heavily on the head and face. Not only that, the baby's breathing changed. It seems as though the baby was breathing upward and downward like someone struggling to breathe. As the days went by, the mother became increasingly worried. She wondered whether it was because the baby was not feeding enough or whether there was a problem related to the baby's breathing and sweating. Therefore, she decided to go to the hospital to see a doctor for an examination of the baby. My question is, what could cause a baby? to have difficulty breastfeeding properly. Is the way the baby is breathing a sign of any health problem? What danger signs should the baby's parents watch out for? What could cause a young child to sweat while breastfeeding?","Doctor, a mother living in our house began to notice that her baby was not breastfeeding well. Whenever she tried to breastfeed the baby, the baby would suck for a little while and then stop as if exhausted.
The mother also noticed that the baby did not have enough strength to breastfeed and would sweat heavily on the head and face. Not only that, the baby's breathing changed; it seemed as though the baby was breathing upward and downward, like someone struggling to breathe.
As the days went by, the mother became increasingly worried. She wondered whether it was because the baby was not feeding enough, or whether there was a problem related to the baby's breathing and sweating. Therefore, she decided to go to the hospital to see a doctor for an examination of the baby.
My question is: what could cause a baby to have difficulty breastfeeding properly? Is the way the baby is breathing a sign of any health problem? What danger signs should the baby's parents watch out for? What could cause a young child to sweat while breastfeeding?",http://speech-app.s3.amazonaws.com/static/audio/uploads/c130082b-c98c-4348-8ad5-65a748d7cfdb/1bd18e09502433a260e019b03c7a2a30_DaAjTsHW.wav,"The baby's poor feeding, abnormal breathing, and sweating are classic signs of congestive heart failure—often due to congenital heart disease—or a severe respiratory infection like pneumonia, both of which make the infant too exhausted to coordinate sucking and breathing. The described breathing pattern is a definitive sign of respiratory distress, while the heavy sweating occurs because feeding becomes a highly strenuous physical activity when the baby's heart and lungs are overworking. Parents must urgently watch for danger signs such as bluish discoloration of the lips or tongue (cyanosis), severe chest in-drawing, nasal flaring, grunting, extreme lethargy, and a complete refusal to feed. Given these concerning symptoms, this infant requires immediate hospital evaluation, including oxygen saturation monitoring and a chest X-ray, to identify the exact cause and prevent fatal deterioration.",GLM-5.2-max,glm-5.2
47a7b745-bfa9-466f-99b2-9e9b789272f4,english,"A mother of a young child became worried about her 8-month-old baby. During the daytime, the baby plays well, but every night the baby starts coughing. The cough wakes the baby from sleep and the baby cries afterwards. On one of those nights, the mother noticed that the baby was breathing very fast and seemed to be struggling to breathe. The mother could not sleep because of fear. The following morning, she noticed That the baby did not want to breastfeed or play as before, so she decided to take the baby to see a doctor because she wanted to know what was causing the cough and the breathing difficulty and to know what medicine or treatment could be used for the baby. My question is, what could cause a young child to cough severely at night and also make it difficult for the child to breathe properly? Could the cough and the struggle Struggle to breathe properly be signs of a lung disease, what are the things that can be done at home and to help the baby become more comfortable and sleep better at night?","A mother of a young child became worried about her eight-month-old baby. During the daytime, the baby plays well, but every night the baby starts coughing. The cough wakes the baby from sleep, and the baby cries afterwards.
On one of those nights, the mother noticed that the baby was breathing very fast and seemed to be struggling to breathe. The mother could not sleep because of fear. The following morning, she noticed that the baby did not want to breastfeed or play as before, so she decided to take the baby to see a doctor because she wanted to know what was causing the cough and the breathing difficulty and to know what medicine or treatment could be used for the baby.
My question is: what could cause a young child to cough severely at night and also make it difficult for the child to breathe properly? Could the cough and the struggle to breathe properly be signs of a lung disease? What are the things that can be done at home to help the baby become more comfortable and sleep better at night?",http://speech-app.s3.amazonaws.com/static/audio/uploads/5d17fda2-a578-46e0-bfc6-5ee2baed3026/b4f40da326990dd52eec1b1d2d945b52_IIsse8wd.wav,"The baby's symptoms strongly suggest a lower respiratory tract infection, such as bronchiolitis or pneumonia, which are indeed acute lung diseases common in infants. The rapid breathing, struggling to breathe, and refusal to breastfeed are recognized danger signs indicating severe respiratory distress that requires immediate hospital evaluation rather than just home management. At the hospital, the doctor will assess oxygen saturation and may administer oxygen, nebulized medications, or antibiotics depending on the specific diagnosis. While arranging urgent medical care, you can keep the baby upright to ease breathing, use saline nasal drops to clear mucus, and ensure the room is well-ventilated and free of smoke. Please do not give over-the-counter cough syrups to an 8-month-old, as they are not recommended for this age group and can be harmful.",GLM-5.2-max,glm-5.2
ec4b4ec7-75ef-41ca-ba6f-fc5c6c69d144,english,"A woman had a baby, a child, about five months ago. She explained regarding the child that there was nothing wrong at the time she gave birth, as the baby was feeding vigorously as expected. Suddenly, she noticed that the child would cry out in pain in their arms and legs. It also reached the point where the child would call for help to get up, to crawl or to move. So as to reach their mother. Please, what can this woman do for the child to relieve the pain in the arms and legs and to ensure they don't delay their developmental milestones? Therefore the mother wants to come to the hospital with the child to see a doctor and to find out what can be done to help the child's body recover and be in a healthy state.","A woman had a baby—a child—about five months ago. She explained regarding the child that there was nothing wrong at the time she gave birth, as the baby was feeding vigorously as expected. Suddenly, she noticed that the child would cry out in pain in their arms and legs. It also reached the point where the child would call for help to get up, to crawl, or to move, so as to reach their mother. Please, what can this woman do for the child to relieve the pain in the arms and legs, and to ensure they don't delay their developmental milestones? Therefore, the mother wants to come to the hospital with the child to see a doctor to find out what can be done to help the child's body recover and be in a healthy state",http://speech-app.s3.amazonaws.com/static/audio/uploads/cb7d0ab6-f969-40eb-9258-ad4b55bd80ae/06d192550816689893b8150456523768_pBOqs4ud.wav,"The mother must bring the child to the hospital immediately, as sudden limb pain and reluctance to move in a 5-month-old strongly suggests a Sickle Cell crisis (dactylitis) or an acute bone or joint infection. While preparing for the hospital visit, she should avoid handling the painful limbs unnecessarily, continue breastfeeding to ensure hydration, and can administer a weight-appropriate dose of paracetamol syrup for temporary pain relief. At the hospital, the doctor will physically examine the child and likely request blood tests, such as a sickle cell screen and inflammatory markers, alongside X-rays to determine the exact cause. Once diagnosed, the medical team will provide definitive treatments like adequate pain management, hydration, or antibiotics if an infection is present, which will help the child move comfortably again. This prompt medical intervention is essential to resolve the underlying condition, alleviate the child's pain, and ensure they do not fall behind on their developmental milestones.",GLM-5.2-max,glm-5.2
ada6aff0-d3eb-45ce-90d5-529d6308338d,english,"A wife observed that her husband has a headache, and the headache is really really bad. It's quite much to the extent that the man has a stiff neck, unable to turn it to the left or right as it ought to be. She now observed some very tiny sores which were not on the man's body before but suddenly occurred. This scared the woman that this kind of occurrence that happened to her husband. What can be the cause and what can she do? The question I asked the woman was that has her husband ever had a high fever and a kind of drug was used? She said no. Or that the man, the bed he sleeps on, what he uses as pillow. Hope it is not that he slept on the neck. The woman said no, it is not that he slept on the neck, but suddenly the headache started and it was consistent. with a stiff neck and very tiny sores around the body. If something like this happens, what can that kind of wife do to help care for her husband and he will return to his normal self?","A wife observed that her husband has a headache, and the headache is really really bad. It quite much to the extent that the man has a stiff neck unable to turn it to the left or right as it ought to be. She now observed some very tiny sores which were not on the man's body before but suddenly occurred. This scared the woman that this kind of occurrence that happened to her husband what can be the cause and what can she do? The question I asked the woman was that has her husband ever had a high fever and a kind of drug was used? She said no. Or that the man, the bed he sleeps on what he uses as pillow hope it's not that he slept on the neck the woman said no it is not that he slept on the neck but suddenly the headache started and it was consistent with a stiff neck and very tiny sores around the body. If something like this happens, what can that kind of wife do to help care for her husband and he will return to his normal self? ",http://speech-app.s3.amazonaws.com/static/audio/uploads/c1d66b1c-1f82-40b2-bdd6-48cb8098643e/af15a019b54b875a5fd6ac4eb70407c0_111HqeS2.wav,"The combination of a severe headache, neck stiffness, and sudden tiny sores strongly suggests meningococcal meningitis, a life-threatening bacterial infection of the brain lining that is prevalent in our region. This is a critical medical emergency, so the wife must immediately take her husband to the nearest hospital for urgent medical intervention without attempting any home remedies. At the hospital, doctors will likely administer intravenous antibiotics, such as ceftriaxone, and provide supportive care to treat the infection and reduce brain swelling. While transporting him, she should keep him comfortable, avoid giving him any random medications, and ensure he avoids bright lights if they worsen his headache. Furthermore, because meningitis is highly contagious, she and other close contacts must visit the hospital for prophylactic antibiotics to prevent infection.",GLM-5.2-max,glm-5.2
6c4ab0d8-695b-453c-b3c0-db41ba12f1f7,english,"My daughter is pregnant. She is about 24 years old. She's the one who is pregnant. This happened today. At night, I noticed that she started having pain. She had already packed her belongings and came to my house. As the pain continued, I saw that it was increasing. I gathered all her belongings and she did not initially allow us to go to the hospital. We took her to the hospital. And they examined her. They said the cervix has started to open a little and that it is almost time for delivery. Until today, the cervix is still opening until the time the baby will come out. Yesterday, the baby was still in pain that kept increasing since we arrived here. She is in pain, the baby will come out. It is her first pregnancy. I am worried and my heart is troubled. I want to save my child. I do not want to lose the baby that is coming. Please, what could be causing this pain? Is this how it usually is for first time mothers when they're about to give birth? Is it possible the baby is too big and cannot come out through the birth canal? Or is it possible they will do surgery for her?","My daughter is pregnant; she is about twenty-four years old. She is the one who is pregnant. This happened today.
At night, I noticed that she started having pain. She had already packed her belongings and came to my house. As the pain continued, I saw that it was increasing. I gathered all her belongings, and she did not initially allow us to go to the hospital.
We took her to the hospital, and they examined her. They said the cervix has started to open a little, and that it is almost time for delivery.
Until today, the cervix is still opening until the time the baby will come out. Yesterday, the baby was still in pain that kept increasing since we arrived there.
She is in pain, the baby will come out, it is her first pregnancy. I am worried and my heart is troubled.
I want to save my child, and I do not want to lose the baby that is coming. Please, what could be causing this pain? Is this how it usually is for first-time mothers when they are about to give birth? Is it possible the baby is too big and cannot come out through the birth canal? Or is it possible they will do surgery for her?",http://speech-app.s3.amazonaws.com/static/audio/uploads/d5509e58-a2b1-40ca-8b13-2b7a616524d3/bfb28059877e5a1ae852d394c0e93371_GVWpRisH.wav,"The increasing pain your daughter is experiencing is caused by uterine contractions, which are necessary to open the cervix and safely push the baby down the birth canal. It is completely normal for first-time mothers to experience intense, prolonged pain during labor since their pelvic tissues and muscles are stretching for the first time. While it is possible the baby could be too large for the birth canal, a condition known as cephalopelvic disproportion, the doctors will closely monitor her labor progress to detect this early. If the baby cannot pass safely or if there are signs of distress, the medical team will perform a Cesarean section to ensure the safety of both mother and child. Please be reassured that she is in the best possible place at the hospital, as the healthcare providers are fully equipped to manage her care and intervene surgically if necessary to save her and the baby.",GLM-5.2-max,glm-5.2
