id,transcription,translation,language,speaker_id,gender,duration,source,audio_path,audio_root,file_exists,reference,hypothesis
25352,"Onse chemotherapy akoko, onilojo iketa. Fun awon dokita,  cancer onipele ikerin,  se ele ran mi lowo lori eleyi","He is going thru first chemotherapy (Today is 3rd day).  As per the doctors, its a stage 4 cancer.  Can you help me out in this",yoruba,03eb25ed31a9b50fbe85aec4e18c7017de070dd50f75da4c406a30385ba8419d,Female,12.213000297546388,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/yoruba/3f7f84224c554ff99127bafcc11e664f_FrjTquB8.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,True,"He is going thru first chemotherapy (Today is 3rd day).  As per the doctors, its a stage 4 cancer.  Can you help me out in this",ERROR
17980,Mo lérò pé àrùn osteoarthritis náà ń dára sí i.,Hope the osteoarthritis is getting better.,yoruba,745a1b48387dc7fe563b1e7a99a6159a48f346ba31444f62fbe8190b721be047,Female,2.99399995803833,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/yoruba/1417be56c7d2851031aafccab43909b9_zHvTepeL.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,True,Hope the osteoarthritis is getting better.,ERROR
25194,"Emi yoo daba pe ki o ṣe idanwo oyun ninu ito lati jẹrisi oyun. Ti o ba jẹ pe o daju, lẹhinna o yẹ ki a ṣe ultrasound lati ṣayẹwo iye ọjọ oyun naa.""","Iwill suggest her to get a urine pregnancy test done to confirm the pregnancy, if positive then an ultrasound should be done to assess the duration of pregnancy.",yoruba,ae4d0cd1f843e0d42901aae0b0d7cdb823a563a3308f32795289b17eb0285b28,Female,12.62399959564209,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/yoruba/19aab528879917cf2dd02c06641aaf88_OVp7BiYi.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,True,"Iwill suggest her to get a urine pregnancy test done to confirm the pregnancy, if positive then an ultrasound should be done to assess the duration of pregnancy.",ERROR
18991,"Nítorí náà, ní ọ̀sẹ̀ méjì sẹ́yìn ó ń ṣeré níta, um mo sì mọ̀ pé òun, ó ṣe é, àwọn àmì rẹ̀ máa ń burú sí i nígbà tí ó bá wà níta, nítorí náà mi ò mọ̀, bóyá.","So, two weeks ago he was playing outside, um and I know that he, he does, his symptoms do get worse when he's outside, so I don't know, maybe.",yoruba,70ca5649eb41a634e3cd8b3bc0523856aa01625b917fd8ffc723f5d7d2a49490,Male,13.63700008392334,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/yoruba/9a57c3d8c207ccd4ce74ba907772fb19_dAWkcrwF.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,True,"So, two weeks ago he was playing outside, um and I know that he, he does, his symptoms do get worse when he's outside, so I don't know, maybe.",ERROR
20006,"Lara awọn ti o pe tabi firanṣẹ awọn lẹta ni: Alakoso tẹlẹ, Gbogbogbo Ibrahim Babangida; Awọn Gomina ti Awọn odo, Nyesom Wike, Enugu, Ifeanyi Ugwuanyi, Yobe, Mai Mala Buni, Taraba, Darius Dickson Ishaku ati awọn ọmọ ile-iwe alakoso ti o forukọsilẹ ni 1953 ni Ile-iwe Aarin Katsina, nipasẹ olori wọn. Sen. Abba Ali.","Among those who called or sent letters are: former President, General Ibrahim Babangida; Governors of Rivers, Nyesom Wike, Enugu, Ifeanyi Ugwuanyi, Yobe, Mai Mala Buni, Taraba, Darius Dickson Ishaku and the President’s classmates who enrolled in 1953 into the Katsina Middle School, through their leader Sen.  Abba Ali.",yoruba,e09e69b5eac1f8f2abcf4435d53156ad2602a05c90e493223bb58f49968d66c7,Male,32.82600021362305,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/yoruba/fe95f09215189ecb10f33f363194c12b_UFj1mk1K.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,True,"Among those who called or sent letters are: former President, General Ibrahim Babangida; Governors of Rivers, Nyesom Wike, Enugu, Ifeanyi Ugwuanyi, Yobe, Mai Mala Buni, Taraba, Darius Dickson Ishaku and the President’s classmates who enrolled in 1953 into the Katsina Middle School, through their leader Sen.  Abba Ali.",ERROR
25243,"Dokita mi owon ekaaro, lanaa mo lo fun iyewo ara, iyewo naa fi han wipe mo ni anteverted bulky uterus.","dear doctor good morning,yestrday i has gone for a scaning and i came to know that i have got anteverted bulky uterus.",yoruba,2d45b0901e45cc6191163c70688fc9f1286d8b0c8978525fcd6eb4fc9b37e0a4,Male,14.125,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/yoruba/05c9d030b918affeb52f16ec5cc6e1f3_F2gbiFCr.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,True,"dear doctor good morning,yestrday i has gone for a scaning and i came to know that i have got anteverted bulky uterus.",ERROR
18036,Eyikeyi ori tabi aiṣedede?,Any headaches or breathlessness?,yoruba,3ca5c9b21951a25e08cb13a0eaf3eaaff2fa9f035ad08c1a64334b85a22ff9c5,Female,4.123000144958496,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/yoruba/0b084acd7ef2182211568f5d2ccfafe9_L7Lvboim.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,True,Any headaches or breathlessness?,ERROR
25202,Mo kí yín. Ọmọ mi ti ń dojúkọ ìṣòro ọ̀mìjé ní ojú kan láti ìbí rẹ̀. Ó ti di oṣù mẹ́sán,Hi My child is facing the problem of tears in one of his eyes since his birth.  He is now 9 months old.,yoruba,ae4d0cd1f843e0d42901aae0b0d7cdb823a563a3308f32795289b17eb0285b28,Female,9.79300022125244,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/yoruba/cb749c716f3eb7700d39b9e139fe1162_toqJgFC1.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,True,Hi My child is facing the problem of tears in one of his eyes since his birth.  He is now 9 months old.,ERROR
25245,Mo rin ninu iyara idana ati pe lai si idi pataki orokun mi jade be e naa ni mo  fi ara gba ile. Igba kehin ti o sele ni odun die sehin.,I was walking in the kitchen & for no reason my knee gave out & I hit the floor.  The last time it happened was a few years ago.,yoruba,2d45b0901e45cc6191163c70688fc9f1286d8b0c8978525fcd6eb4fc9b37e0a4,Male,18.81100082397461,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/yoruba/c0c271504afe5657e20d4b7f37e6cc6a_6LpAtQcG.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,True,I was walking in the kitchen & for no reason my knee gave out & I hit the floor.  The last time it happened was a few years ago.,ERROR
25269,"Ti o ba fẹran awọn idahun mi, jowo ṣe iwọn rẹ, ki o kọ atunyẹwo pelu. Jọwọ maṣe gbagbe lati gba. O ṣeun, Mo fẹ ilera tio dara fun o. Dokita iwiregbe. Dokita iwiregbe.","If you like my answers kindly rate it, and write a review as well.  Please do not forget to accept it.  Thank you, Wish you good health.  Chat Doctor.  Chat Doctor .",yoruba,f13e0a4f9e34a1eafa772ca1354803203d2f4f988365f697d0e9e3eeff521c27,Male,17.701000213623047,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/yoruba/b3208c17cb84f816e89c13e805ddc239_7fNCVtDP.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,True,"If you like my answers kindly rate it, and write a review as well.  Please do not forget to accept it.  Thank you, Wish you good health.  Chat Doctor.  Chat Doctor .",ERROR
20371,Se oun kohun wa ti o le je ki Nkan yii fale . Mo ti rin lati KY si  VA sugbon mi o ti ri neurologist ,Is there anything that can slow this down .  I ve move from ky to va and have not found a neurologist .,yoruba,6bd0fdedacd07a6f664c2d4ea2f64576f062b35bcd60de01edb948458ef637f6,Female,12.392000198364258,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/yoruba/80ca865e3913ab0089b704b5143d746c_0tICnPI3.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,True,Is there anything that can slow this down .  I ve move from ky to va and have not found a neurologist .,ERROR
21036,"Mo lérò pé mo ti dáhùn ìbéèrè rẹ, tí o bá n se iyèméjì nígbà náà inú mi yóò dùn láti dáhùn.  O ṣeun fún lílo Chat Doctor.  Mo fẹ́ kí o ní ìlera tó dára.","Hope I have answered your question, if you have doubt then I will be happy to answer.  Thanks for using Chat Doctor.  Wish you a very good health.",yoruba,c5a965cf22f03d091617079bad127a687e58f674bf81405f5b4b08253e22e7f9,Female,12.531000137329102,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/yoruba/29b446d7e4593e19fb112924262c4eef_k3mFaunr.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,True,"Hope I have answered your question, if you have doubt then I will be happy to answer.  Thanks for using Chat Doctor.  Wish you a very good health.",ERROR
25118,"Ni ọdún 2012, mo se aworan àyà. Àwọn àmì aisan yi ko dara pẹlú Albuterol inhaler, awon iwogba tàbi egbògi apa kokoro arun. Mo se MI ní ọdún 2010.","In 2012, I had a completely normal chest xray.  Symptoms are not getting better with Albuterol inhaler, steroids or antibiotics.  I also had an MI in 2010.",yoruba,1c015162031a4d22f5e4fdcb9a4bffa476145ee1c9f0bccf92c51e99e25590c8,Female,21.867000579833984,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/yoruba/b390e76dc6a2bd4694f4cfd4d47ea666_eEofcFjt.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,True,"In 2012, I had a completely normal chest xray.  Symptoms are not getting better with Albuterol inhaler, steroids or antibiotics.  I also had an MI in 2010.",ERROR
25415,Bí ajá ti gé e  jẹ àti ko si alaye nípa ipo aje sára. Gii ge je ko tii fà awo ará rè kí  o bàjé ,As you were bitten by a dog and there is no information about the vaccination status of the dog.  The bite has not led to break of the skin.,yoruba,61aa349ad93ba629d0472a4090f93580fb243fd1a9601b75209ed69e41040bff,Female,8.704999923706055,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/yoruba/8e41efb0898956db3e373218cf36639c_x57F2Onn.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,True,As you were bitten by a dog and there is no information about the vaccination status of the dog.  The bite has not led to break of the skin.,ERROR
18222,"Ó dáa, ṣé ó dúró ṣánṣán ni àbí ó ń bọ̀ ó sì ń lọ?","OK, Is it constant or does it come and go?",yoruba,4264895a2c6af4fc5efaf75e9b4993069f2fbe3c84cbd5d40a5a63feeaf96019,Male,6.741000175476074,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/yoruba/6bc93e906607ded724b62fb5c3baf228_BiZpJZoJ.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,True,"OK, Is it constant or does it come and go?",ERROR
18259,"Ṣùgbọ́n, a fẹ́ yó ikọ-fèé tàbí ìfèsì ara sí ohun tí kò bá ni lára mu kuro lákọ̀ọ́kọ́.","no, no, well, I guess I'm I'm putting more weight on my right knee so it might appear to some people that I do have a slight limp.",yoruba,9da3a5aaa70eefe832f08d02cdeb7aa53fa1c80c336fac55ea9a3cf8bd009ba7,Male,6.89300012588501,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/yoruba/51ea1d999d14a8abf5a35367b0f9fc01_zucIL7Yh.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,True,"no, no, well, I guess I'm I'm putting more weight on my right knee so it might appear to some people that I do have a slight limp.",ERROR
18253,"Lóòótọ́, bí Implanon náà kò bá ṣiṣẹ́ nígbà náà mo lè lóyún, ṣùgbọ́n n kò fura .","Theoretically, if the Implanon, hasn't been working then I could be pregnant, but I don't suspect .",yoruba,be7234a7bf31272842e783e47bc063818c738bdc9145b110f61c77f07074e839,Male,10.98900032043457,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/yoruba/560e73bb6de7b51f9d3fcd5aa4ed6a7e_8UcTkYNI.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,True,"Theoretically, if the Implanon, hasn't been working then I could be pregnant, but I don't suspect .",ERROR
18972,Ṣé o ní ìbéèrè tàbí àníyàn kankan?,Did you have any questions or any concerns?,yoruba,a965a0baec444ce8abba158f50f1198f042f4cd940c04e3b26afef0069e52630,Female,2.242000102996826,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/yoruba/e6944c0305bd0aa642eb29818a816120_IMHkD0jI.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,True,Did you have any questions or any concerns?,ERROR
21093,Àwọn iṣoro iranti wà lójú méjì jùlọ ní ilé-ẹ̀kọ́ gh níbi tí iranti ṣe di pàtàkì jù lọ. Ṣùgbọ́n mo gba ilé-ẹ̀kọ́ gh àti kọlẹ́ẹ̀jì pẹ̀lú àwọn àṣẹ̀yìnṣọ́wé láti B sí B+,Memory issues were more pronounced in gh school where memory became more important.  But I got through gh school and college with a B to B+ average.,yoruba,cf152c43865969d6fc25a53003b9bb663e4cf717e404dbbaf1f615e4e7ca9158,Female,13.274999618530272,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/yoruba/a8fd3b7a4e2be8a93fc43de7099cb793_kze0jyRj.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,True,Memory issues were more pronounced in gh school where memory became more important.  But I got through gh school and college with a B to B+ average.,ERROR
25349,Nje o seese lati maa ni finkin finkin ni ona ofun nitori irira. Edo fooro mi mo ni dokita mi so ni ana.,Is is possible to have wheezing from your throat only with regards to allergies?  My lungs are clear (says my doctor as of yesterday).,yoruba,b31253281a8a654752d54f8af2c844bb85940a234e834eccbbe764843f364232,Male,10.538999557495115,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/yoruba/9c446dc1c8a59b63b2482a9bd356d6ec_E6OTchqV.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,True,Is is possible to have wheezing from your throat only with regards to allergies?  My lungs are clear (says my doctor as of yesterday).,ERROR
19675,Màmà tani? emí? Kínì yí?,`Who Mama? Me? What is this?`,yoruba,da7d509f574bfabaa6d88f9de1e578d9bf607f09dbfe8b7f66d3d3d68f23cfdd,Female,5.243000030517578,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/yoruba/6221b1db3628270bcd03ff6a7d3843d3_w8bqHd7C.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,True,`Who Mama? Me? What is this?`,ERROR
