audio_id,language,subset,question,reference,url,model_answer,requested_model,model_id
3d3cee98-b237-4cd0-8f7a-ddedd63299a9,english,accented_english,"A woman who lives in our house. She is employed. She does her work diligently and has no health issues. One day while she was bafing, she felt her breast and noticed something like a small heart lump inside it. Initially, she thought it was nothing serious, but she felt it again on another day and realized it was still there. As time went on, She became very anxious. She began to worry about whether this issue was developing within her breasts. It wasn't painful, but the fact that the lump was hard and wouldn't go away made her sad. She also started remembering stories she used to hear about girls who had lumps in their breasts. After a few weeks, she decided to go see a doctor. She wanted to know what caused her to be. the lump and what he needed to do to safeguard her health. My questions are, what can cause a hard lump in a woman ⁇ s breasts? Does every breast lump mean that something that could lead to cancer? What other symptoms should women look out for regarding their breasts?","A woman who lives in our house, she is employed. She does her work diligently and has no health issues.
One day, while she was bathing, she felt her breast and noticed something like a small, hard lump inside it.
Initially, she thought it was nothing serious, but she felt it again on another day and realized it was still there. As time went on, she became very anxious. She began to worry about whether this issue was developing within her breast. It wasn't painful, but the fact that the lump was hard and wouldn't go away made her sad. She also started remembering stories she used to hear about girls who had lumps in their breasts.
After a few weeks, she decided to go see a doctor. She wanted to know what caused the lump and what she needed to do to safeguard her health.
My questions are: What can cause a hard lump in a woman's breast?
Does every breast lump mean something that could lead to cancer?
What other symptoms should women look out for regarding their breasts?

",http://speech-app.s3.amazonaws.com/static/audio/uploads/3e3b9ca0-d242-466a-8dd5-fadfd7abcc31/e5cf6d37017884530b4b08894e09e143_HfifL4mk.wav,"A hard breast lump can be caused by benign conditions like fibroadenomas, cysts, fibrocystic changes, or fat necrosis, as well as infections and breast cancer. Not every breast lump indicates cancer; in fact, the majority of lumps we see in our community hospital are benign, though any persistent, hard, painless mass requires prompt medical evaluation to rule out malignancy. Women should also monitor for other warning signs such as bloody nipple discharge, skin dimpling or an orange-peel texture, nipple inversion, unexplained changes in breast shape, and swollen armpit lymph nodes. To safeguard her health, she must undergo a standard Triple Assessment—comprising a clinical breast exam, imaging such as ultrasound, and a tissue biopsy if indicated—which is the gold standard practice in Nigeria for accurate diagnosis and peace of mind.",Qwen-3.7-Max,qwen3.7-max
765b06e9-4314-4cd5-9b0d-f966ccb8f16d,english,accented_english,"Good evening. I came because of my younger sibling. I noticed that their eyes and skin have an airy, a pale yellowish color and this has been going on for about three days now. Their body is also very hot, burning with a fever, and they cannot eat. They cannot retain anything. They cannot retain. Than anything, in fact, they are shivering and waking every day because their head is throbbing, their head is aching and their body is burning hot. We have tried using some things at home, we gave them, but even so there is absolutely no difference in their condition. Their eyes and skin that have that pale or yellowish color is hasn't stopped. That yellow colour is just increasing day by day and they're not at peace, they're not comfortable, they are suffering. God forbid, they are really suffering. That is why I came to the hospital so that we can know what to do. The steps we need to take so that my younger siblings body, their skin and eyes that are turning yellow will stop and they will recover.","Good evening I came because of my younger sibling. I noticed that their eyes and skin have an airy... a pale/yellowish color. And this has been going on for about three days now. Their body is also very hot, burning with a fever, and they cannot eat. They cannot retain anything, they cannot retain anything. In fact, they are shivering/weakened heavily. Because their head is throbbing, their head is aching, and their body is burning hot. We have tried using some things at home, we gave them, but even so, there is absolutely no difference in their condition. Their eyes and skin that have that pale/yellowish color, it hasn't stopped, that yellow color is just increasing day by day, and they are not at peace, they are not comfortable, they are suffering, God forbid, they are really suffering. That is why I came to the hospital so we can know what to do, the steps we need to take, so that my younger sibling's body, their skin and eyes that are turning yellow, will stop, and they will recover.
",http://speech-app.s3.amazonaws.com/static/audio/uploads/36b89ae1-c49b-421e-aee0-92d33762fd44/986b18ca45a5dd77b85eb65c7e3c1b65_va5g39ok.wav,"Your sibling's progressive jaundice, high fever with rigors, severe headache, and intractable vomiting strongly point to severe malaria with hemolysis or acute viral hepatitis, both of which are medical emergencies in Nigeria. We must immediately admit them for intravenous fluid resuscitation to correct dehydration and perform urgent blood tests, including a malaria rapid diagnostic test, full blood count, and liver function tests. Following national treatment guidelines, we will initiate intravenous artesunate immediately if malaria is confirmed, alongside antiemetics to control the vomiting. The yellowing of the skin and eyes will resolve as we treat the underlying infection and support their liver and kidney functions. Please take them to the emergency triage right now so we can start these life-saving interventions without delay.",Qwen-3.7-Max,qwen3.7-max
a8bc8d5e-e18b-4176-bd59-589224c0009b,english,accented_english,"A 33-year-old pregnant woman, who is 7 months pregnant, was brought to our hospital by her neighbors. They explained that she suddenly developed severe abdominal pain and a large amount of blood began to come out from her vagina. Her body was shaking and she was crying because the pain was intense. Her family said they were afraid that Something serious might happen to both the mother and the baby. Their first question for the doctor was, What could be causing this severe abdominal pain and hefy bleeding? Their second question was, What should be done immediately for this pregnant woman? Their third question was, What investigations or tests can be carried out? Their fourth question was, What treatment is appropriate for her condition? Their fifth question was what foods should this pregnant woman avoid and what hygiene measures should she observe?","A thirty-three-year-old pregnant woman who is seven months pregnant was brought to our hospital by her neighbors. They explained that she suddenly developed severe abdominal pain, and a large amount of blood began to come out from her vagina. Her body was shaking, and she was crying because the pain was intense. Her family said they were afraid that something serious might happen to both the mother and the baby.
Their first question for the doctor was: What could be causing this severe abdominal pain and heavy bleeding?
Their second question was: What should be done immediately for this pregnant woman?
Their third question was: What investigations or tests can be carried out?
Their fourth question was: What treatment is appropriate for her condition?
Their fifth question was: What foods should this pregnant woman avoid, and what hygiene measures should she observe?",http://speech-app.s3.amazonaws.com/static/audio/uploads/0e3095c2-5abc-4286-8d2e-3c2f926f39e6/f1bed36ef3fa1e0c5eaa1defe0e7fa00_G2bxnjmd.wav,"The sudden severe abdominal pain and heavy vaginal bleeding strongly indicate placental abruption, a life-threatening obstetric emergency where the placenta prematurely detaches from the uterine wall. Immediate management requires securing large-bore IV access for aggressive fluid resuscitation and ordering urgent investigations, including a bedside ultrasound, full blood count, coagulation profile, and blood crossmatching. Definitive treatment typically involves an emergency caesarean section to deliver the fetus and control maternal hemorrhage, supported by blood transfusions and uterotonic drugs. She should avoid raw or undercooked foods, unpasteurized dairy, and unwashed produce to prevent infections, while maintaining strict handwashing and perineal hygiene to avert puerperal sepsis.",Qwen-3.7-Max,qwen3.7-max
4f88702e-973b-4918-90bc-3052fbbbc67f,english,accented_english,"My family members child was bitten by a dog. He is a 7 year old child. When the dog bitten, they usually went to their traditional healer. They made an incision on the wound and applied aquarium to it. But now, the place where the dog bitten has started producing pus and it is swollen. We explained to them that they should Take him to the hospital. Please, what kind of examination can be done for this boy? Can he have rabies because of the dog? Even if the dog itself seems to be fine. And what kind of treatment does this young boy need? Consider that the dog did not cause any further injury to his body."," My family member’s child was bitten by a dog. He is a seven-year-old child. When the dog bit him, they usually went to their traditional healer; they made an incision on the wound and applied “apọrọ” (traditional preparation) to it. But now, the place where the dog bit him has started producing pus and it is swollen. We explained to them that they should take him to the hospital. Please, what kind of examination can be done for this boy? Can he have rabies because of the dog, even if the dog itself seems to be fine? And what kind of treatment does this young boy need? Consider that the dog did not cause any further injury to his body.",http://speech-app.s3.amazonaws.com/static/audio/uploads/ef9140fe-7a4a-4a06-af80-4455cc0ee4ac/20b1db9e2adb8570f3a2c99acfa10eac_ojpfiFce.wav,"The child requires a thorough clinical examination of the wound's depth and neurovascular status, followed by immediate debridement and copious irrigation to remove the pus and traditional herbal applications. He remains at high risk for rabies even if the dog appears healthy, as dogs can shed the virus before showing symptoms, making prompt Rabies Post-Exposure Prophylaxis (PEP) vaccination and a tetanus toxoid booster essential. To treat the secondary bacterial infection causing the purulent swelling, he needs a course of broad-spectrum antibiotics like amoxicillin-clavulanate, and a wound swab for culture can be done if the infection is severe. Immediate hospital presentation is mandatory to properly manage this infection and prevent fatal complications like sepsis or rabies, which are frequent risks following traditional wound mishandling in our communities.",Qwen-3.7-Max,qwen3.7-max
b41993cb-1b4f-4e3b-8e8b-2eb6e2ef132e,english,accented_english,"This woman gave birth at our hospital here about 6 months ago. She came to our hospital with her husband where she gave birth to her child. The 6 month told Gear that they have blotted. The mother explained further that it has been about 13 to 14 days since she noticed that this child started coughing. The mother also mentioned that she had been treating this child for cataract. Earlier before the cough started. She said the cough has become more severe since yesterday. The cough became very severe although it had initially started about three days ago. She said that whenever she breastfeeds the child, she also gives her the liquid medicine that is in this bottle, the one suit for coughs, which she has been administering and the baby has been taking. She then said that since yesterday, the cough has become so severe that the child is finding it very very very difficult to breathe, which has really worried me. It is as if her breathing is fluctuating, going up and down every few seconds. They were frightened, which is why they brought her to the hospital. Now the question is, can we give this mother something to help the child at home, given that her breathing is fluctuating with that cough? Should we prescribe cough medicine for her or should we have the child examined before prescribing any medicine or giving her an injection?","This woman gave birth at our hospital here about Six months ago.  she came to our hospital with her husband, where she gave birth to her child, the six-month-old girl that they have brought in.
The mother explained further that it has been about thirteen to fourteen days since she noticed that this child started coughing.
The mother also mentioned that she had been treating this child for catarrh earlier, before the cough started.
She said the cough has become more severe since yesterday. The cough became very severe, although it had initially started about three days ago.
She said that whenever she breastfeeds the child, she also gives her the liquid medicine that is in the bottle—the one sold for coughs—which she has been administering and the child has been taking.
She then said that since yesterday, the cough has become so severe that the child is finding it very, very, very difficult to breathe, which has really worried me.
It is as if her breathing is fluctuating—going up and down every few seconds.
They were frightened, which is why they brought her to the hospital.
Now, the question is: can we give this mother something to help the child at home, given that her breathing is fluctuating with that cough? Should we prescribe cough medicine for her, or should we have the child examined before prescribing any medicine or giving her an injection?""",http://speech-app.s3.amazonaws.com/static/audio/uploads/74ad3a52-5cc9-4439-b3b5-095e4da6fe66/85084b9e10f05fae127d3fc0da0511f2_fBGKxJJj.wav,"You must immediately examine and admit this infant, as her severe respiratory distress and fluctuating breathing indicate a life-threatening emergency like severe pneumonia that absolutely precludes home management. Under no circumstances should you prescribe or allow the continuation of cough medicine, because WHO and Nigerian pediatric guidelines strictly contraindicate cough syrups in infants under one year due to the risk of fatal respiratory depression. The child requires urgent clinical assessment, oxygen therapy, and likely injectable antibiotics in accordance with the national Integrated Management of Childhood Illness protocols for severe disease. Advise the mother to stop all over-the-counter medications immediately while you prioritize stabilizing the baby's airway and breathing in the facility.",Qwen-3.7-Max,qwen3.7-max
583bdd4f-0b3b-415b-89cc-4e24c55c6bb5,english,accented_english,"Adeolu is a 10-year-old child whose mother was my sister. However, for a few days now, I have noticed that this child sits alone ever since his mother died. He does not want to play with anyone and he does not want to talk to anyone. He has also started refusing to eat and it looks like he's thinking too much and his heart broken. This frightened me so I decided to take him to the hospital. When I got to the hospital, I asked the doctor, could this child's condition be due to the grief of his mother's death and what can I do to help at home? Or does this child need to speak to a mental health professional or what can I do to make him eat or play with his peers? Or does he need any medication to help?","Adeolu is a ten-year-old child whose mother was my sister. However, for a few days now, I have noticed that this child sits alone ever since his mother died; he does not want to play with anyone, and he does not want to talk to anyone. He has also started refusing to eat, and it looks like he is thinking too much and is heartbroken. This frightened me, so I decided to take him to the hospital for help. When I got to the hospital, I asked the doctor, 'Could this child's condition be due to the grief of his mother's death?' And, 'What can I do to help at home, or does this child need to speak to a mental health professional, or what can I do to make him eat or play with his peers, and does he need any medication to help?",http://speech-app.s3.amazonaws.com/static/audio/uploads/6cc16740-ef5f-4ccb-9b54-2a05f9a40f74/70f14657b1a3b0c1a9f82a19e1cd2525_oewToQ2K.wav,"Adeolu's symptoms of social withdrawal, loss of appetite, and persistent sadness are classic clinical signs of complicated childhood grief or bereavement-induced depression. At home, maintain a stable, loving environment, gently encourage him to eat his favorite meals and interact with peers without forcing him, and patiently listen when he is ready to share his feelings. I strongly recommend engaging a child mental health professional for grief counseling, as psychological therapy is the evidence-based, first-line intervention for pediatric bereavement in our clinical practice. Medications such as antidepressants are generally avoided as initial treatment for a 10-year-old experiencing acute grief and should only be considered by a child psychiatrist if severe depression persists despite counseling.",Qwen-3.7-Max,qwen3.7-max
a330674b-1cce-4ebd-b148-0214be33a856,english,accented_english,"A mother living in our neighborhood was pregnant with her second child. At the beginning of the pregnancy, everything was going normally and she was happy that a new baby was coming. However, a few months ago, she began to experience severe lower abdominal pain. One day, the pain became so intense that she could hardly stand up properly. Such Shortly afterward, she also started having heavy vaginal bleeding. The bleeding was more than usual, and it made her very weak. When she saw the bleeding, she became frightened that her unborn baby might be in danger. Her husband quickly assisted her to go to the hospital. My question is, what can cause severe lower abdominal pain during pregnancy? Is heavy bleeding during pregnancy a danger sign for the mother? Or the unborn baby? What are the signs that indicate pregnancy may be in trouble? Is there any medication that can stop the pain and bleeding without harming the unborn baby?","A mother living in our neighborhood was pregnant with her second child. At the beginning of the pregnancy, everything was going normally, and she was happy that a new baby was coming. However, a few months ago, she began to experience severe lower abdominal pain. One day, the pain became so intense that she could hardly stand up properly. Shortly afterward, she also started having heavy vaginal bleeding. The bleeding was more than usual, and it made her very weak. When she saw the bleeding, she became frightened that her unborn baby might be in danger. Her husband quickly assisted her to go to the hospital.
My question is: what can cause severe lower abdominal pain during pregnancy? Is heavy bleeding during pregnancy a danger sign for the mother or the unborn baby?
What are the signs that indicate the pregnancy may be in trouble? Is there any medication that can stop the pain and bleeding without harming the unborn baby?",http://speech-app.s3.amazonaws.com/static/audio/uploads/383888b7-2c4d-4b85-8bfb-3421f72eeadc/1ecaccdd86f8797cc66a22e61daccf4a_w640SuFi.wav,"Severe lower abdominal pain during pregnancy can result from emergencies like miscarriage, ectopic pregnancy, placental abruption, or preterm labor, and heavy bleeding is a critical danger sign for both the mother, who risks hemorrhagic shock, and the baby, who risks fetal demise. Additional danger signs indicating a troubled pregnancy include severe headaches with visual changes, sudden severe swelling, leaking of amniotic fluid, reduced fetal movements, and high fever. There is no universal, safe medication to blindly stop pain and bleeding, as treatment depends entirely on the specific diagnosis and inappropriate self-medication can harm the fetus or mask a surgical emergency. Therefore, the standard evidence-based practice in our Nigerian community hospitals is immediate emergency evaluation, utilizing ultrasound and vital signs monitoring, to provide targeted interventions that safely protect both lives.",Qwen-3.7-Max,qwen3.7-max
29a2c96b-9835-400d-acf7-a3e335d5002e,english,accented_english,"A guardian of a child observes that the child is coughing intensely, to the extent that the child is being abrupt and struggling to breathe well. What can cause a child to be coughing in abrupt manner? To the extent that the child cannot breathe well and struggling to breathe. What kind of tests can we run for that child? What treatment can we give? And then what advice can we give to the guardian of this child?","A guardian of a child observed that the child is cough intensely, till the end that the child is been abrupt and struggling to breathe well. What can cause a child to be coughing in abrupt manner, till the end that the child can't breathe well, and struggling to breathe? What can kind of test can we run for that child? What treatment can we give? And then what advice can be give to the guardian of this child? ",http://speech-app.s3.amazonaws.com/static/audio/uploads/c24d9a22-2976-4730-b153-2b242b1d096f/22ec8fbe7f988ab0386b1b5adac42a40_Lylr5O79.wav,"An abrupt, intense cough with severe respiratory distress in a child strongly suggests foreign body aspiration, acute severe asthma, or severe pneumonia, which are frequent pediatric emergencies in Nigerian community hospitals. We must immediately perform pulse oximetry to assess hypoxia and a chest X-ray to detect foreign bodies or lung infiltrates, alongside a rapid malaria test and full blood count due to our local endemic disease burden. Treatment involves immediate supplemental oxygen, nebulized salbutamol for bronchospasm, and intravenous antibiotics if pneumonia is suspected, while urgent bronchoscopy is required if a foreign body is confirmed. I advise the guardian to keep the child upright and calm, strictly withhold all food and fluids to prevent further choking or prepare for potential surgical anesthesia, and seek immediate emergency care.",Qwen-3.7-Max,qwen3.7-max
1ca84822-c7ea-4bee-9736-4cd89a8f0bf2,english,accented_english,"I brought my 9-year-old child to the hospital this afternoon. I sent the child on an errand to buy something from me in town, but a dog beat the child. When they brought the child home and explained what happened, I examined the wound where the dog beat the child, and I noticed that the wound is red and already swollen. We made inquiries in the neighborhood to find out about the dog that beat the child, and the dog's owner said they are I have never given the dog any vaccines. They mentioned that he just goes out, plays and comes back inside. They said they have never given the dog any medical treatment whatsoever. This is why I became frightened and I rushed the child to the hospital so that it would not turn out that the dog that beat the child is a raby dog. What could possibly happen to a child who has been bitten by a dog? What could happen to a wound that is red and swollen? Is it possible for an infection like rabies to enter this wound? Is it possible for something terrible to happen to the child as a result of this dog bite? Please, what can I do to prevent an infection from entering this wound? What vaccines and what medications can be used to treat this child to ensure they receive proper care? What else can we do, or what medical tests can we run, to take care of the wound? Where the dog beats the child,","I brought my nine-year-old child to the hospital this afternoon. I sent the child on an errand to buy something for me in town, but a dog bit the child. When they brought the child home and explained what happened, I examined the wound where the dog bit the child, and I noticed that the wound is red and already swollen. We made inquiries in the neighborhood to find out about the dog that bit the child, and the dog's owner said that they have never given the dog any vaccines. They mentioned that it just goes out, plays, and comes back inside. They said they have never given the dog any medical treatment whatsoever. This is why I became frightened and rushed the child to the hospital, so that it wouldn't turn out that the dog that bit the child is a rabid dog. What could possibly happen to a child who has been bitten by a dog? What could happen to a wound that is red and swollen? Is it possible for an infection like rabies to enter this wound? Is it possible for something terrible to happen to the child as a result of this dog bite? Please...
What can I do to prevent an infection from entering this wound? What vaccines and what medications can be used to treat this child to ensure they receive proper care? What else can we do, or what medical tests can we run to care for the wound where the dog bit this child?

",http://speech-app.s3.amazonaws.com/static/audio/uploads/deb5d857-a070-45c0-befc-c05e82418b64/6e7c086781508076742c00c0e90a393b_QXZ9PS88.wav,"A bite from an unvaccinated roaming dog in Nigeria poses a severe risk of fatal rabies and bacterial cellulitis, which explains the wound's current redness and swelling. To prevent further infection, the wound must be immediately washed with soap and water for 15 minutes and dressed with povidone-iodine. The child must urgently receive post-exposure rabies vaccines, a tetanus toxoid booster, and Rabies Immunoglobulin if the bite deeply penetrated the skin. I will prescribe oral amoxicillin-clavulanate to treat the active bacterial infection, and we may run a wound swab culture if purulent discharge develops. Prompt administration of these vaccines and antibiotics will effectively prevent fatal rabies and resolve the bacterial infection, ensuring the child's full recovery.",Qwen-3.7-Max,qwen3.7-max
2d3577d4-0796-481d-b7cd-df6912cbf4df,english,accented_english,"After I gave bath and I was trying to recover, one evening I thought that since we do not have clean water in our area, if I wanted to bath I would always use water that is not clean all the time. I kept thinking that I should take care of myself and be bathing properly. Then when it became one evening, my body was no longer well. I started feeling cold and my body began to shiver every day. I was feeling cold, but my body was not well again. I noticed that the blood that was coming out after childbirth had a smell coming from there that was not good at all. The smell was much, and this had not happened before. I could not take my eyes away from it. As I got up, that was when I was coming to the hospital to ask whether the clean water that I used to bath could cause any illness after childbirth. ","After I gave birth and I was trying to recover, one evening I thought that since we did not have clean water in our area, if I wanted to bathe, I would always use water that is not clean all the time, I kept thinking that I should take care of myself and be bathing properly.
Then, when it became one evening, my body was no longer well. I started feeling cold, and my body began to shiver every day. I was feeling cold, but my body was not well again. I noticed that the blood that was coming out after childbirth had a smell coming from there that was not good at all. The smell was much, and this had not happened before.
I could not take my eyes away from it. As I got up, that was when I was coming to the hospital to ask whether the clean water that I used to bathe could cause any illness after childbirth ",http://speech-app.s3.amazonaws.com/static/audio/uploads/b4129300-516c-4e8c-b210-8a7a68eb2c40/4dc9ce6a313e6f7f05e2097d99201126_aCvc58WL.wav,"Yes, bathing with unclean water after childbirth can introduce harmful bacteria into your reproductive tract, causing a severe womb infection known as puerperal sepsis. Your symptoms of shivering, chills, and foul-smelling lochia are classic clinical signs of postpartum endometritis, a dangerous ascending infection frequently managed in our community hospitals. To prevent life-threatening systemic sepsis, our standard local treatment protocol requires your immediate admission for intravenous broad-spectrum antibiotics, typically a combination of ampicillin, gentamicin, and metronidazole. We will admit you right now to start these medications alongside intravenous fluids to clear the infection and ensure your safe recovery.",Qwen-3.7-Max,qwen3.7-max
