model,response,error,source_file,modality,asr,exists,audio_id,audio_duration,audio_language,audio_path,question,project_name,local_path
gemma4-12b,"Wannan yanayi yana nuna cewa yaron yana fama da ciwon sanyi mai tsanani (Severe Malaria), wanda ya kai matakin haɗu da jini (Severe Malaria/Complicated Malaria). Karkarwa da rashin iya cin abinci alamomi ne na rashin samun sinadarin sinadaddi a jikin yaron (Hypoglycemia) ko kuma kwanciyar hankali mai tsanani (Coma) sakamakon cutar. Dole ne a kai yaron asibiti cikin gaggawa don ba shi magungunan kansa (IV Artesunate) da kuma sinadarin sukari (Glucose) ta hanyar jini. Haka kuma, ana bukatar tantance idan akwai saurin numfashi ko matsalar zuciya da cutar ta haddasa. Kulawar da ta dace ita ce neman taimakon likita nan take domin ceton rayensa, domin wannan cuta tana iya kashewa cikin sauri idan ba a ba shi kulawa ba.",,gemma4_12b_sahara_text_in_results.csv,text,sahara,True,68c4bac8-23c3-4d06-8538-7d507e0dde5c,33.271,Hausa,http://speech-app.s3.amazonaws.com/static/audio/uploads/7fc14a06-6d93-47c3-9e1e-ef9452172b41/7eec717f21a1c86f91871ad1224155d1_sQjbT7Mo.wav,"A matsayinta na mace mai juriya riƙe da ɗanta, ganin cewa ɗan yana da zazzabi, sai yaron ya fara karkarwa lokaci ɗaya. Yaron yana shidewa kuma ba ya cikin hayyacinsa. Wane irin rashin lafiya ne ke damun ɗan wannan uwa mai shayarwa? Kuma wane irin kulawa za a iya ba wa wannan yaron?",Translate_only_Eng_to_Hausa,/home/gabby/gates_benchmark/qa_dataset/Translate_only_Eng_to_Hausa/7eec717f21a1c86f91871ad1224155d1_sQjbT7Mo.wav
gemma4-12b,"Wannan yanayi yana nuna cewa akwai matsala ta hanyar numfashi (respiratory issue) wadda ba cutar TB ba, kamar yadda gwajin ya nuna. Wahalar numfashi da daddare da kuma tari mai dorewa a yaro na shekaru 5 na iya kasancewa sakamakon cutar numfashi (Asthma) ko kuma cutar ""Pneumonia"" da ba ta wucin gadi ba. Ina ba da shawarar yin gwajin ""Chest X-ray"" da gwajin ""Sputum Culture"" don gano kwayoyin cuta daban ko kuma matsalar jijiyoyin numfashi. Ya kamata a ba yaron maganin kwantar da numfashi (Bronchodilators) da kuma magungunan rage tari (Antipyretics) yayin da ana ci gaba da bincike. Wannan zai taimaka wajen rage radadin daddare da kuma tabbatar da cewa numfashinsa ya daidaita.",,gemma4_12b_sahara_text_in_results.csv,text,sahara,True,14228d42-72f5-4910-a395-6bc879d0dfdf,74.242,Hausa,http://speech-app.s3.amazonaws.com/static/audio/uploads/a63919fd-9ef5-4aed-a4e1-cd7d8d969072/257d2afc812978432b1a95175d684c0e_ZE1OTSbz.wav,"Likita, na kawo yarona mai shekaru biyar da watanni biyu, wanda yake fama da wannan rashin lafiyar kimanin watanni biyu yanzu, wanda yake samun wahalar numfashi da daddare kuma yana tari a kowane lokaci. Wannan tarin ya zama mai dorewa. Na saya masa wani maganin tarin TB da ake kira Tutolin Children; ya shanye kwalba daya, amma tarin bai gushe ba, kuma har yanzu yana samun wahalar numfashi da daddare. Na yi masa gwajin TB, amma suka fada mini cewa ba ya da cutar tb). To likita, me zai sa yaro mai shekaru biyar ya kasance yana da tari mai dorewa, kuma me zai sa yaro mai shekaru 5 ya kasance yana da wahalar numfashi da daddare?",Translate_only_Eng_to_Hausa,/home/gabby/gates_benchmark/qa_dataset/Translate_only_Eng_to_Hausa/257d2afc812978432b1a95175d684c0e_ZE1OTSbz.wav
gemma4-12b,"thought
Wannan canjin halayya na iya zama alamar matsananciyar damuwar rai (anxiety) ko ciwon kwakwalwa (depression), domin ya hada da nisantar da mutane, rashin sha'awa, da kuma gajiya akai-akai. Kamfanin da ke da alakar da ita ya kamata ya kasance mai natsuwa, ya saurareta cikin kauna, kuma ya nuna mata kulawa ba tare da matsinin sanya ta yi magana ba. Dole ne ta ga likita ko ƙwararren masani kan lafiyar kwakwalwa (psychiatrist/psychologist) da gaggawa don samun karin bayani da magani mai dace. Alamomin haɗari da ya kamata a kula da su sun hada da maganar son kai, son kashe kai, ko kuma rashin kula da tsafta da abinci. Taimakon da ya fi dacewa shi ne ba ta damuwa da gaggawar canzawa, sannan a tabbatar tana samun tallafin ibada, abinci mai gina jiki, da kuma bitar likita.",,gemma4_12b_sahara_text_in_results.csv,text,sahara,True,7e2cbea6-ca14-475e-8449-e25cdd46b6e4,54.985,Hausa,http://speech-app.s3.amazonaws.com/static/audio/uploads/d182777f-49f4-4994-bc78-e29c438aa434/d558448a96a41a3dd0c66bbce3ea1a72_sgi4ladJ.wav,"Na lura cewa ƙanwata, wadda a da take yawan dariya da farin ciki kuma tana wasa da ƙawayenta, ta canza kwatsam. Yanzu kullum tana zama ita kaɗai a ɗakinta. Ta daina shiga hira da mutane, kuma ba ta ƙara sha'awar abubuwan da take jin daɗinsu a da ba. Na kuma lura cewa ko a gida ba ta son cin abinci tare da mu. Tana kama da mutum mai baƙin ciki ko kuma mai gajiya a kowane lokaci. Me zai iya sa ta fara guje wa ƙawayenta kwatsam? Shin hakan na iya zama alamar baƙin ciki, damuwar rai, ko kuma fargaba? Ta yaya za mu iya taimaka mata domin ta sake samun farin ciki? Waɗanne alamomin haɗari ya kamata mu kula da su? Shin ya dace ta ga mai ba da shawara ko ƙwararren masani kan lafiyar ƙwaƙwalwa da tunani?",Translate_only_Eng_to_Hausa,/home/gabby/gates_benchmark/qa_dataset/Translate_only_Eng_to_Hausa/d558448a96a41a3dd0c66bbce3ea1a72_sgi4ladJ.wav
gemma4-12b,"Wannan yanayin da ka bayyana, musamman canjin launin idanu da fata zuwa kalan kwai tare da zafi da rawa, yana nuna akasin yanayin cutar 'Yellow Fever' ko kuma wata cutar kwaɗau (Jaundice) da ke shafar kiwon tsadar jiki. Ya kamata a kai shi asibiti da gaggawa domin ganin yadda za a tantance ko akwai lalacen hanta ko kuma cutar kwayoyin halitta (Infection) da ke kwaɗa jikin. Zafi da rashin iya cin abinci suna nuna cewa jiki yanai da cuta mai tsanani wadda ke buƙatar magungunan asibiti da kuma mayar da hankali kan kiyaye ruwan jiki. Muna ba da shawarar yin gwajin jini cikin sauri domin sanin takamaiman cutar da ke damun sa. Kada ka yi amfani da magungunan gida kawai domin hakan zai iya ƙara masa wahala idan ba a da maganin da ya dace.",,gemma4_12b_sahara_text_in_results.csv,text,sahara,True,370a8223-6a12-446c-98d5-c501e45e9a13,132.193,Hausa,http://speech-app.s3.amazonaws.com/static/audio/uploads/b6e70ad8-cfd6-474a-a8ec-ded36b40d12f/8d634ce8fa41801b00291bde9befd6bd_gZzjM177.wav,"Barka da yamma na zo ne saboda ƙannena. Na lura cewa idanunsa da fatarsa suna da wani... canjin launi fari-fari/kalan kwai Kuma wannan abun yana faruwa kusan kwanaki uku yanzu. Jikinsa kuma yana da zafi sosai, yana ƙonewa da zazzabi, kuma ba zai iya cin abinci ba. Ba sa iya tsayar da komai a ciki, ba sa iya tsayar da komai a ciki. A gaskiya, suna rawa/sun yi laƙas sosai. Domin kansa yana sarawa, kansa yana ciwo, kuma jikinsa yana ƙonewa da zafi. Mun yi ƙoƙarin amfani da wasu abubuwa a gida, mun ba su, amma duk da haka, babu wani canji ko kaɗan a yanayinsa. Idanunsa da fatarsa da ke da wancan launi fari-fari/rawaya, bai tsaya ba, wancan launi na kalan kwai sai daɗa ƙaruwa yake yi rana bayan rana, kuma ba su da kwanciyar hankali, ba su da natsuwa, suna cikin wahala, Allah ya kiyaye, suna cikin wahala sosai da gaske. Shi ya sa na zo asibiti domin mu san abin da za mu yi, matakan da muke buƙatar ɗauka, yadda jikin ƙanena, fatarsa da idanunsa da ke juyawa zuwa kalan kwai, zai tsaya, kuma za su sami sauƙi.
",Translate_only_Eng_to_Hausa,/home/gabby/gates_benchmark/qa_dataset/Translate_only_Eng_to_Hausa/8d634ce8fa41801b00291bde9befd6bd_gZzjM177.wav
gemma4-12b,"Yana da matukar muhimmanci a kai yaron asibiti nan take domin magajin mai maganin gargajiya ya haddasa masa ciwon cuta (infection) ta hanyar yanka da shafa abubuwa ba tare da tsafta ba. A asibiti, za a yi masa gwajin jini (Full Blood Count) da gwajin sauran kwayoyin cuta (Culture) domin gano nau'in kwayar cutar da ke haddasa kumburin. Yaron ba zai kamu da hauka ta kare ba domin cizon ba shi da alaƙa da hauka, amma cutar da aka yi masa a wajen cizon na iya yin hadari idan ba a magance ta ba. Maganin da yaro yake bukata shi ne magungunan da ke kashe kwayoyin cuta (antibiotics) da maganin rage kumburi da zafi (anti-inflammatory). Karasawa ta hanyar maganin gargajiya tana da hadari sosai, don haka maganin zamani ne kawai zai kare yaron daga hadari.",,gemma4_12b_sahara_text_in_results.csv,text,sahara,True,97eb7c4b-0db7-4dbd-bc74-6d6ab645dbd2,59.195,Hausa,http://speech-app.s3.amazonaws.com/static/audio/uploads/e812f6be-c9cf-4748-9b11-b6895ccea4b8/60ce1dbc0820944843e30004be1c0e9c_80YtVHFN.wav,"Wani ɗan uwa na ya kawo yaronsa mai shekara bakwai bayan kare ya cije shi. Da kare ya cije shi, sai suka kai shi wurin mai maganin gargajiya. A can aka yi masa yanka a wajen cizon, sannan aka shafa masa apọrọ (wani maganin gargajiya). Amma yanzu wajen da kare ya cije shi ya fara fitar da majina  kuma ya kumbura. Mun ba su shawarar su kai yaron asibiti. Don Allah, wane irin gwaje-gwaje ne za a iya yi wa wannan yaro? Shin zai iya kamuwa da cutar hauka ta kare saboda cizon, ko da yake kare da ya cije shi yana kama da lafiyarsa ba ta da matsala? Kuma wane irin magani ne wannan ƙaramin yaro yake buƙata? A yi la'akari da cewa cizon karen bai haifar masa da wata ƙarin mummunar rauni a jikinsa ba.",Translate_only_Eng_to_Hausa,/home/gabby/gates_benchmark/qa_dataset/Translate_only_Eng_to_Hausa/60ce1dbc0820944843e30004be1c0e9c_80YtVHFN.wav
gemma4-12b,"Wannan hali na tari mai tsanani tare da gajiya da wahalar numfashi yana nuna akwai matsala da jikin yana samun ƙarfin numfashi, wanda yawanci yana da alaƙa da cututtukan huhu (kamar chronic obstructive pulmonary disease) ko cututtukan zuciya (kamar heart failure). Ba wai kawai huhu ko zuciya ba ne ke haddasa haka; cututtukan kwayoyin halitta, matsalar jini, ko kuma matsalar kwayar mahaifa (anemia) na iya kawo wadannan alamomi da kuma mutuwa idan ba a yi magance su ba. Alamomin haɗari da suka shafe kowane lokaci su ne: yawan tari da numfashi lokacin kwancewa, canjin launin fuska ko labu zuwa shudi, tsananin wahalar numfashi da ke sa mutum ya kasa magana, da kuma yawan kwanciya saboda rashin ikon tafiya. Idan mutum ya fara yin wadannan alamomin, dole ne a kai shi asibiti cikin gaggawa domin samun kulawar numfashi da kuma bincike na gaggawa.",,gemma4_12b_sahara_text_in_results.csv,text,sahara,True,c5c004c5-33c3-4e35-8dff-b3fd2f735601,97.383,Hausa,http://speech-app.s3.amazonaws.com/static/audio/uploads/bc309a6a-4722-43eb-b56f-6b2c3f7bedbb/41015be307ca19df0bd1fe64fb8b6c2d_YryzAHsg.wav,"Wata mata ta lura cewa mijinta yana yin tari mai tsanani sosai da safe idan sun farka tun suna kwance a kan gado. Tarin yana farawa ba zato ba tsammani, kuma yana ɗaukar lokaci mai tsawo kafin ya tsaya. Bayan wani lokaci, ta kuma lura cewa mijinta yana fama da wahalar numfashi. Idan ya yi ɗan tafiya kaɗan ko ya hau matakala, sai ya tsaya domin ya daidaita numfashinsa, kuma yana gajiya cikin sauri.
Wata rana, bayan mijinta ya yi dogon tari yana ta ƙoƙarin samun numfashinsa daidai, matar ta fara damuwa. Ta fara tunanin ko wata cuta ce ke haddasa duk waɗannan matsaloli. Washegari, ta yi magana da mijinta suka yanke shawarar zuwa asibiti domin likita ya duba shi kuma a gano ainihin abin da ke damunsa.
Tambayar ita ce: Mene ne zai iya sa tari ya kasance mai tsanani haka, tare da yawan gajiya da wahalar numfashi a duk lokacin da tarin ya taso? Shin wannan matsala tana da alaƙa ne kawai da cututtukan huhu ko cututtukan zuciya? Waɗanne cututtuka ko matsaloli ne za su iya jawo mutuwa ko kuma su sa mutum ya shiga matsananciyar wahalar numfashi har ya buƙaci kulawar gaggawa? Kuma waɗanne alamomin haɗari ne game da tari da wahalar numfashi da ya kamata iyali su lura da su domin a garzaya da mara lafiyan zuwa asibiti?",Translate_only_Eng_to_Hausa,/home/gabby/gates_benchmark/qa_dataset/Translate_only_Eng_to_Hausa/41015be307ca19df0bd1fe64fb8b6c2d_YryzAHsg.wav
gemma4-12b,"Wannan yanayin jaririn yana nuna cewa yana da matsalar numfashi mai tsanani (severe respiratory distress) wanda ya iya kasancewa sakamakon cutar numfashin (pneumonia) ko kuma matsalar hanci (croup/nasal obstruction). Dole ne ki kai jaririn asibiti nan da yanzu domin ya samu bincike da magungunan numfashin da ke rage kumburi da sauran cututtukan numfashin na yau da kullum. Kada ki yi amfani da ruwan zafi ko kowane magani na gida don magance numfashin domin hakan na iya kara masa haɗari idan matsalar ta fi kima. A asibiti, za a ba shi magungunan rage kumburi (nebulization) da kuma magungunan cutar numfashin wadanda ke da tasiri sosai. Karatun jariri yana da wuya, don haka ganin likita cikin gaggawa shi ne mafi mahimmanci domin tabbatar da cewa jaririn zai ci gaba da numfashi yadda ya kamata.",,gemma4_12b_sahara_text_in_results.csv,text,sahara,True,574a1004-583d-4958-8b26-c146fbcf3619,222.793,Hausa,http://speech-app.s3.amazonaws.com/static/audio/uploads/85ce95fb-d8df-41dd-9306-4a8e9c31d95e/b083beb2a28e1ae0334f0a3869026658_1icvtqNz.wav,"Ni matar aure ce, mai shekaru talatin da biyar. Don Allah, na kawo jaririna mai watanni biyar domin a bincika shi kuma a ba ni shawara.
Na koma bakin aiki. Amma abin mamaki, kusan kwanaki uku da suka wuce, na lura cewa jaririna yana yin tari akai-akai. Mun gwada duk abin da za mu iya tunani akai don tsaida tarin, amma ina iya ganin cewa tarin bai bace ba.
Yawanci ba na zama a gida. Lokacin da na fita da safe, ba na dawowa sai wajen karfe 6 na yamma. Mahaifiyata tana zama a gida tare da jaririn.
Duk lokacin da na sami damar yin kira, ina yi kuma ina tambaya game da tarin, sai su ci gaba da gaya mini cewa jaririn yana nan yana tari.
Jaririn yana da watanni biyar. Ba ya sake shan nono kadai domin na koma bakin aiki. Na ba shi nono zalla na tsawon watanni uku, kuma bayan haka na fara ba shi wasu abinci daban.
Ina ba shi abinci daban-daban, wadanda suka hada da kunu  da sauran abincin jarirai da na sani.
Abin da ya fi ba da mamaki shi ne tun daddare, numfashinsa bai kasance daidai ba. Ba ya numfashi da kyau, kuma hancinsa ya toshe gaba daya.
Mahaifiyata ma ta ce lokacin da take yi masa wanka da safe nan, sai da ta yi amfani da dan ruwan zafi a kewayen hancinsa da kirjinsa saboda tarin ya yi tsanani.
Matsalar numfashin ma ta fara. Ba ya sake yin numfashi yadda ya kamata, kuma numfashinsa ba shi da tsarki da walwala kuma yanzu.
Don Allah, tambayata ita ce: mene ne zan iya amfani da shi don shi domin tsaida tarin? Kuma game da numfashin da ba shi da tsarki kuma, me zan iya yi, mene ne zan iya amfani da shi don shi, kuma wadanne matakai zan iya dauka yadda zai rika yin numfashi yadda ya kamata kuma babu abin da zai toshe numfashinsa
",Translate_only_Eng_to_Hausa,/home/gabby/gates_benchmark/qa_dataset/Translate_only_Eng_to_Hausa/b083beb2a28e1ae0334f0a3869026658_1icvtqNz.wav
gemma4-12b,"Wannan yanayi yana nuna cewa yaron yana fama da cutar *Epilepsy* (Jita) ko kuma *Febrile Seizures* (jita da ke fitowa sakamakon zazzabin ƙarfi). Alamun kamar kashin jiki ƙarfi, suma, da kuma fitar kumfa daga bakin yaro sarmasun alamun yawan zafin jiki da haɗuwar kwakwalwa. Babu wata maganin gargajiya kamar abbo ko sabulu da zai iya magance wannan cuta, kuma amfani da su na iya ƙara wa yaro hadari ko lalacewar jiki. Dole ne a kai yaron asibiti cikin gaggawa domin likita ya ba shi magungunan zamani da za su daidaita tsokokin kwakwalwarsa. Maimakon maganin gargajiya, ya kamata iyaye su kiyaye yaron daga abubuwan da ke hada shi, tare da bin shawarar likita.",,gemma4_12b_sahara_text_in_results.csv,text,sahara,True,df8ddda4-16fc-4657-a221-d5ff74566b9d,60.727,Hausa,http://speech-app.s3.amazonaws.com/static/audio/uploads/3738bfc6-eb00-4708-b581-d46b8ca42ed9/63c081bf312214f88760b9b70610419f_EKzAbbUj.wav,"Wata uwa mai shayarwa ta lura cewa ɗanta yana tari, sannan ta yi zargin cewa jikin yaron yana yin zafi a wasu lokuta. Ta ci gaba da cewa, sa'o'i kaɗan da suka gabata, ta ga gaba ɗaya jikin yaron ya yi ƙarfi (ya yi ƙame), sannan ta suma. Ta kuma lura cewa kumfa ko ruwa yana fita daga bakinsa, kuma yaron ya daina iya haɗiye abinci ko abin sha.
Yanzu tana tambayar likita ko irin wannan ciwo yana da magani, wace irin cuta ce yake kama da ita, sannan tana tambaya ko za a iya ba yaron allura ko kuma a yi amfani da magungunan gargajiya wajen magance wannan ciwo. Ta ƙara da cewa a unguwar da ta fito, idan irin wannan ciwo ya kama yaro, abin da suka fi amfani da shi shi ne maganin gargajiya (agbo) da kuma sabulun gargajiya.",Translate_only_Eng_to_Hausa,/home/gabby/gates_benchmark/qa_dataset/Translate_only_Eng_to_Hausa/63c081bf312214f88760b9b70610419f_EKzAbbUj.wav
gemma4-12b,"Wannan matacciya tana fama da matsalolin ke da alaƙa da yanayin jin daɗin zuciya (anxiety) da kuma tsorin bincike (PTSD) sakamakon cutar da take fama da shi daga mijinta. Hawan jini da bugun zuciya da take ji sarmawa ne na yanayin tsoron da ke cikin zuciyarta, wanda ke sa jikinta ya kasance a cikin yanayin ""fight or flight"" koyaushe. Tana bukatar ganin ƙwararruwa na lafiya (counseling) domin koyon yadda za ta sarrafa wannan tsoro da kuma samun kariya daga cutar da mijinta yake yi mata. Taimakon iyayenta da maganin gargajiya bai yi tasiri ba domin matsalar tana cikin zuciya da tunani, saboda haka dole ne ta samu jagora daga ƙwararruwa domin tsaro da kariya. Idan mijinta zai dawo, ya kamata ta samu wata hanyar tsaro ko kuma wani wuri da zata ji akwai kariya domin samun kwanciyar hankali da lafiyar zuciyarta.",,gemma4_12b_sahara_text_in_results.csv,text,sahara,True,e85e604e-b057-40c8-8802-d67191da554e,73.581,Hausa,http://speech-app.s3.amazonaws.com/static/audio/uploads/351739c4-2edf-4b46-ba83-e74965a37084/2694f806ddf8a1a3d9522529c69f32f6_vvQfPKle.wav,"Wata mata mai juna biyu ta zo asibiti da yammacin yau, ta bayyana cewa mijinta yana yawan yi mata ihu kuma sau da yawa yana dukanta. Ta ce hakan ya sa ta shiga cikin tsananin tsoro. Sau da yawa, idan ta ji cewa mijinta yana dawowa gida ko kuma lokacin da ita za ta koma gida ya yi, sai tsoro ya kama ta saboda tana jin zai iya dukanta ko ya zage ta.
Ta kuma lura cewa zuciyarta tana bugawa da sauri sosai. Ta je aka duba mata hawan jini, aka gaya mata cewa hawan jininta ya yi sama. Ta ce ta nemi taimako daga iyayenta ta kuma bayyana musu halin da take ciki. Saboda haka, iyayenta suka ba ta maganin gargajiya agbo, amma bayan ta yi amfani da shi ba ta ga wani sauƙi ba. Yanzu tana son ta san:
Me za ta iya yi domin kada tsoro ya rinƙa mamaye ta duk lokacin da za ta koma gida ko kuma idan ta ji cewa mijinta yana dawowa?
Wane irin taimako ko abin da za ta iya yi ne zai taimaka mata ta dawo da kwanciyar hankali, natsuwa, da lafiyar zuciyarta da tunaninta?",Translate_only_Eng_to_Hausa,/home/gabby/gates_benchmark/qa_dataset/Translate_only_Eng_to_Hausa/2694f806ddf8a1a3d9522529c69f32f6_vvQfPKle.wav
gemma4-12b,"Wannan yanayi yana nuna cewa jaririn yana da matsalar numfashi mai tsanani wadda take nuna akwai sauti (wheezing) da kuma sukar karkashin ƙirji (retractions), wanda ke nuna cewa numfashinsa yana da wahala sosai. Akwai yiwuwar jaririn yana da cutar numfashi kamar *Asthma*, *Bronchiolitis*, ko kuma wata cutar numfashi ta ƙwayar kwaya, wanda ke sa saurin gume da rashin samun abinci da kyau. Dole ne ka kai jaririn asibiti nan da nan don a ba shi magungunan da ke buɗe hanyoyin numfashinsa (nhk/nebulization) da magungunan da ke rage kumburi a ƙwayar ƙirji. Kada ka ba shi maganin shagon magani (patent medicine) domin ba zai magance matsalar ba kuma zai iya ƙara masa hadari. Hoton kirji (X-ray) zai taimaka wajen gano cutar, amma babban abin da jaririn buƙatar sa shi ne kulawar likita a asibiti don kare rayuwarsa.",,gemma4_12b_sahara_text_in_results.csv,text,sahara,True,ab0fb3f9-f816-43c3-87ab-0f8030f693cb,185.0,Hausa,http://speech-app.s3.amazonaws.com/static/audio/uploads/78a4b4c4-f322-4866-848a-cd532d79e49a/8c3e01f974c2681755f5dfcfd89aa6a1_UhEqBmov.wav,"Barka da yamma likita. Don Allah, na kawo jaririna asibiti ne saboda na lura cewa yadda yake numfashi, yana yin wani sauti kamar iska ce take ratsawa ta wani ƙaramin rami. Yana sauti kamar hucin fuka. Haka kuma yana sauti kamar mutumin da yake hura busa, kuma yana qoqarin  yin numfashi yadda ya kamata.
Na kuma lura cewa kusan kwanaki uku yanzu, yawanci yana yin tari da daddare. Wani lokacin, ina lura kirjinsa yana shiga da fita sosai, kamar yana yin wani ƙarin aiki ne kawai don ya yi numfashi. Na kuma lura cewa baya  iya sake cin abinci da kyau kamar da ba. Duk lokacin da yake son cin abinci, sai ya dakata don ya ja numfashi. Wannan yanayi bai ba shi damar cin abinci yadda ya kamata ba kusan kwanaki uku yanzu.
Na riga na kai shi wurin masu sayar da magunguna (shagon magani na patent) a unguwarmu, kuma sun ba ni wasu magungunan tari don shi saboda yana yin tari kaɗan, ko da yake tarin bai tsananta ba. Amma duk da duk magungunan da ya sha, na lura bai yi aiki ba. Numfashinsa ya kasance haka nan, kuma har yanzu ba zai iya cin abinci da kyau ba. Don Allah, wane irin yanayi ne yake damun jaririna da wannan numfashi mai kama da busa? Haka kuma, shin yana buƙatar hoton kirji  don gano abin da yake damunsa da kuma dalilin da ya sa ƙirjinsa yake yin sama da ƙasa? Wane irin magani zan iya ba wa wannan yaro a gida don taimakawa wajen sauƙaƙa numfashinsa yadda zai yi numfashi da kyau? Shin akwai wasu magunguna ko wasu matakai daban da zan iya ɗauka don wannan yaro?
",Translate_only_Eng_to_Hausa,/home/gabby/gates_benchmark/qa_dataset/Translate_only_Eng_to_Hausa/8c3e01f974c2681755f5dfcfd89aa6a1_UhEqBmov.wav
