audio_id,language,subset,question,reference,url,model_answer,requested_model,model_id
2d74e2ea-1975-49fe-a396-a2dbb606fc2b,fulfulde,fulfulde,waddi bingel amma duɓi je naya nyautarde hande nyau mali ɓingel on siro soja naya goɗɗo amma bo saun ngati maddi cugale on wuro ɓe hitti mora puti fu tare to bo saru ɗon ngati cugale on mi tari fu tare noni bo ɗuti mi waɗi dabo findiraɓe mo andi bo saro gonati ɓingel on jonbo saru ɗo. Ɓe meɗa hokkugo ɓosaru on je ɓe wi ɗum yaha yasi ɗum fija ɗum wartetan ɓe wi ɓe meɗa hokkugo bol saru ɗum ni kesum kanjum waɗi mi holi sei mi yaha waɗugo ɓingel on nyotode ngam to bo saru ɗon ngati cukare on no wawi no wodi nyobo saru ɗum ɓe heɓata ɓingel ko bo saru ngatiko ɗume wawan. bana nyausaru wawi nasta nder futere ko wawi wadugo bingel on sappunga bosaru on kodume mi waye wadugo gam to nyau nata futere on nanda he lekki ha hokka bingel on gam heba jamu ko dumai goddum mi wawi wadugo wala ko lekki mi wawi waɗan gof. to sare do ngati bingel on.,"Mi waddi bingel am mo dubi jenayi Nyaurdorde hanne ƴaloma. Mi lili bingel on siri sooda Naƴam goɗun amma bosaaru ngati mo. De ɓe waddi cukaley on wuro ɓe hecci am ko fayti , Mi raɓɓuti futtere to bosaaru ɗun ngati cukaley on,Mi tawi futtere non wujji bo ɓuuti.  Men waɗi ƴamde  dere keddiraɓe mo andi bosaaru nga ƴati bingel on. Joom bosaaru ɗun wi'i ɓe meeɗa hokkuko bosaaru on Njibinanɗe .Ɓe wi'i ɗun yaha yasi dun  fija ɗu warta tan. Ɓe wi'i ɓe meeɗa hokkuko bosaaru ɗun lekki sam. Kanjum waɗi  mi huli se mi yaawi wadduko bingel on Nyaurdorde, gan to bosaaru ɗun ngati cukaley on no wodi ƴau bosaaru . Ɗume  heɓɓata bingel ko bosaaru ngati bo?  Ɗume wawi heɓɓa  futtere wojju ɗun e ɓuutu ɗun? Nƴau bana ƴau bosaaru waawi nasta dere futere? Ko waawi waɗɗuko bingel on sabun ngati bosaaru on? Tii, ko ɗume mi waawi waɗɗuko ngan to nƴau nata futtere on? Ɗume Njibinanɗe e lekki haani hokka bingel on gan hebɓe Jam? Ko ɗume goɗɗum min waawi waɗɗuko wala ko lekki min waawi waɗɗanko futtere ɗen to bosaaru ɗun ngati ɓingel on?",http://speech-app.s3.amazonaws.com/static/audio/uploads/8db0feef-c321-4371-8d38-e4f3d4f501a7/8985d43f9d32e7892beb790a979d77d4_cPvu0RiL.wav,"Because your four-year-old child is still suffering after initial malaria treatment, you must return to the clinic immediately for a repeat diagnostic test to check for treatment failure or a secondary infection. Malaria enters the body through the bite of an infected female Anopheles mosquito, so to prevent future infections, ensure the child sleeps under an Insecticide-Treated Net every night and clear all stagnant water around your home. While arranging to see the healthcare worker again, keep the child hydrated with plenty of fluids and give paracetamol to safely manage the fever. Do not buy random medicines from the market; only use prescribed antimalarials like ACTs guided by a confirmed test result.",Qwen-3.7-Plus (audio),qwen3.7-plus
ed72b813-04a2-482b-b3cb-305be48110dd,fulfulde,fulfulde,Debbo je joɗata ha sare amin o ɗo huwa ɗo waɗa kugal oɗo waɗa kugal mako boɗɗum bo o wala nyau yende fere wakkati o ɗo yiwa en mako ɗo mari hunde petel satinga hala. O laari o nanyi ɗum fahin fahin ɗo wakkati o dillai wakkati ɗo dilla o fuɗɗi nuɗɗi damuwa be mai sosai o fuddi on ha en. Nau amma babal mai ɗo safiti bo sare je mari ɗum ha endiije sali sati je sali o yidi o yahi larugo. Oki o yiɗi o anda ɗume on dasi ɗum de onta hala mai emdi jemma e ji mako mai on dasata hunde mai ha en debbo ko ɗume on je sati. Nda ha en ɗi nasa on debbo lora ta lara fahin ha en ɗi mai.,"Debbo je jodata ha sare amen, do huwa.
Do wada kuugal maako  boddum bo o wala yeiwu. Yende fera, waakati odo yiwa, o nane endi maako dou mari hunde petel satinga hader. O numi wala ko duma , o lori o nane dun fahen yende fera fahen do . Waakati do dellal, o fudi damugo be mai sosai, o fudi numugo dimai on ha endi maako. Wala nawa mo, amma balal mai do sati bo sali dellu go. O fudi num tugo labari je binkon robe je mari don ha endi mabe. Sati je sali,  o yeti larugo likita.  O kidi o anda dumi on dasi dum be dume on o wadata hala mai. Made jima: dumi on dasata hunde mai ha endi debbo? Koh dume o je satin ga  ha endi on na cancer? Dume on debbo lora ta lara fahim ha endi mai?",http://speech-app.s3.amazonaws.com/static/audio/uploads/98ee57f7-3ef6-4825-8dfe-2f825275efbc/367b6c1beeff153de6507f795d06a206_zWwfuLIk.wav,"The patient is presenting with a reducible groin hernia, caused by increased intra-abdominal pressure from heavy physical labor forcing tissue through a weakness in the abdominal wall. Although the swelling reduces with rest, failing to treat it risks bowel incarceration or strangulation, which are life-threatening emergencies that would severely compromise her overall health and livelihood. We advise her to immediately avoid heavy lifting and straining to prevent the hernia from becoming trapped. The definitive treatment is an elective surgical hernia repair at our community hospital, which is a routine, safe, and highly effective standard of care in our region. Prompt surgical intervention will permanently resolve the defect, allowing her to safely return to her daily activities without the risk of severe future complications.",Qwen-3.7-Plus (audio),qwen3.7-plus
61687dc7-de0c-42ca-be4a-fadcbcf06472,fulfulde,fulfulde,Debbo rediyo mo duɓi sappan me tati mo woodi redu leddi je ɗiɗi keddu e mako en galju mako ɗuɗɗi wodi yeso mako woya gauna ɗum wodi sembe mako sara’en mako bibbe sara en mako. Tawa daada ko ɓingel arande nyauto nyamde ɗiɗaɓre hani waɗugo ɓe lau ha debbo redujo on nyamrita tare ɗume hani pat o hefta nyau ɗum yamre nayare irin lekki kiya hani nyau dami o waɗata. ɗum daye hani o hutira.," Debbo reedujo mo dubi sappane tati e tati mo wodi reedu lebbi jeeɗiɗi keddu en makko ngaddimo Nyaurdorde amin. Ɓe wi'i  reedu mako no nawɗum tenduɗum, ƴiiyan ko ɗuɗi wurti le yeso mako. Ii 'o diwna ,I'o woya ngam nawɗun dun ɓurimo semɓe.  Saro en makko mbii be don kultori ta godɗun tawa Dada ko bingel ngel.

Ƴamnde arandere nde Nyautowo ƴami :  dume on wadi reedu naawurta non ha ma ƴiiƴam wurto e sembe?
Ƴamnde ɗi dabre: Dume haani waɗugo ɓelau ha debbo reedujo on?
Ƴamre tataure: Dume haani raɓɓu tugo hefta nyau dum?
Ƴamre Nayabre: Irin lekki kiye haani nyaudiramo?
Ƴamre Joyabre: ira Nyamdu nduye o woɗoto, nden bo ira ngendam dayeejam haani o hutira?
",http://speech-app.s3.amazonaws.com/static/audio/uploads/2a528297-991f-4766-aed9-740be2530bc6/654a64b274233d08e5dd443424b6f609_Il3mtpby.wav,"This 38-year-old grand multiparous woman carrying twins is at extremely high risk for maternal depletion, severe anemia, and preterm labor, necessitating immediate evaluation at a community hospital. To manage the vomiting in her child and her own illness, she should be given Oral Rehydration Solution (ORS) and screened for local endemic infections like malaria or gastroenteritis. She requires urgent therapeutic nutritional support, including iron-folic acid supplementation and a high-calorie diet, while strictly avoiding unprescribed herbal remedies that could cause fetal toxicity. Given her widowhood and physical weakness, her community support network must assist with transportation to the clinic and ensure she attends frequent, closely monitored antenatal visits.",Qwen-3.7-Plus (audio),qwen3.7-plus
77dc6882-e75f-4291-866c-23fe43998cc9,fulfulde,fulfulde,Jam ɓandu likita waddi bingal amin larin no o fofata ɗon woni bana sautu hendu ɗo sala babal petel ni ɗon bo bana goɗɗo ɗon fufa hunde bo dake o fofata milliti bo balɗe tati jotta o ɗo ɗotta be jamma wakkati fere mi ɗo lara ɓe ɗo nasta sosai. Ɗo sosai bana sauto naftiri sembe mako seto o naftira sembe mako o hokkata mi lari bo o wala nyama banani to o nyamai fu sauto nyamai fu sau to o nangi pofɗe mako seto nangi fofɗe mako irin banni mai ɗon hokka tame oɗo kasa nyamugo boɗɗum balɗe tati. Mi arti mi yari mo kemis petel ha fattude amin be hokki mo lekki dojugo gam o dodda sedda sedda amma dojugo mai hallai amma pat lekkiji o yari wala ko nafi mofugo mako bannin kuma har jotta o wawata nyamugo boddum irin damuwa damata bingel am be fofugo mako do bana hendu do sala babal pitu ni o. To handini hotina heɓa famta ko damata mo be kwali ɓerde mako ɗo faɗa jippa ɗum irin nyaundi mi hokkata ɓingel ɗo ha sare hoinina mo heɓa o fofa boɗɗum ɗon irin lekkiji fere sibiti na ko hundeji tan fere mataki je hosata hado ɓingel ɗo.,"Jam bandu likita, useni mi waddi bingel am sibiti gam mi laari no o foofata, don woni bana sawtu hendu do saala babal petel ni, donbo bana goddo don fuufa hunde, be daker o foofata. Mi hirliti bo balde tati jotta odo dojja be jamma. Wakati fere mido lara berde mako do nasta sosai lugga, do fa’a do sosai bana saito naftiri sembe mako o foofata. Milaribo owala yaama banaane.
To o yammai fu saito onangi fofde mako. Irin bani mai don hokkatamo bone odo kasa yamugo boddum balle tati jotta. Mi arti mi yari mo chemist petel ha fattude amin, be hokkimo lekki dojjugo gam odo dojja sedda sedda, amma dojjugo mai hallai .
Amma pat lekkiji o yari wala ko nafimo.
Foofugo mako bannin ni, kuma harjotta o wawata yamugo boddum. Useni irin damuwa toidamata mingel am be foofugo mako do bana hendu do saala babel piitum?
Useni o haadini hooto na? Heba famta ko daamata mo be kwadi berde mako do fada jippa do?
Irin yaudigi toi mihokkata mingel do ha sare, hoininamo heba o foofa boddum?
Don irin lekkiji fere sibiti na ko hundeji tan fere mataaki je hosata hado bingel do?",http://speech-app.s3.amazonaws.com/static/audio/uploads/7fa02a5e-7fbf-4035-ac4a-a0a5ce774686/b7945435a27748ee067b05b2e7f2c418_yl5nntAN.wav,"The symptoms of noisy breathing, chest indrawing, fever, and poor feeding indicate severe respiratory distress, most likely severe pneumonia, which is a life-threatening medical emergency. You must take the child to a hospital immediately for oxygen therapy and injectable antibiotics, as over-the-counter cough syrups are ineffective and contraindicated for such severe lower respiratory infections. According to WHO guidelines, chest indrawing and the inability to feed are critical danger signs in children that mandate urgent inpatient management rather than home treatment. Do not delay or attempt further home medications, as prompt hospital intervention is absolutely essential to save the child's life.",Qwen-3.7-Plus (audio),qwen3.7-plus
53a63cb8-b4bf-437e-81f1-de8e5d5fd0a2,fulfulde,fulfulde,Goɗɗo ɓe nodeta suberu duɓi mako sappan ɗe joyi nyande mum fere o fuddi nyouru arande bo yori ɗum nyadai amma de ɗum fabi asawai je sedda tan yarugo lebbi be hakkilo ɗum yahi ɗum hallobi sedda sai ɗum salda rimopde ɗum gonga on o habdi bauɗe ko o wawata inde ko nyauru ɗon satai amma. Pat manju ɗum wadai da ha nu o nyaɗita yonru de o hilliti dow o yaha o soda lekki dikka o yaha nyaudo o yawto o yokki nyaurde o hecci ɓe ɗo jalibi tati ko sali o lori fahin o hecci ɓe o hafti ko o wawata waɗugo bana ko himɓe shawari mo ko larani jumri ndiyam fowuɗam goro jum. Ɗo heɓe lekki ɗuɗi ka ko o suɗi da ha nuno o nyaɗita sei nyouru wari tullitti ɗum yottike wakkati fere fu mahe salda roɗi sei o nyami nyautawo on ko waɗi nyoru ɗum neɓuri bana ni salo yamɗetugo o yidi o anda ko waɗi dabare be leɗɗe ɗe o fuɗi fu nafi. oyam ɗume o wannata yoru ɗon yamɗita ɗo fu maru gam o heɓa o fufa no hani olollita jamu bandu makko.,"Goɗɗo ɓeno data Suberu, duɓi mako sappaɗe joyi, ƴande fere ofuuɗi ƴowru. Arande bo ,ƴowru ɗun ƴaaɗai amma  de ɗun faɓɓi asaweje seeɗa tan yarigo lebbi, be hakkiilo ni ɗun yehi ɗun Halloi. De neɓi seeɗa , se saldorimo bobɗe . Ɗun goĝa on o habdi bauɗe ko o wawata hinddeeko nyouru dun satayi amma ɗun pat manju ɗun waɗai. Da hanuno o ƴamɗita ,ƴowru tulliti. De O hilliti ,dou o yaha o soda lekki dikka o yaha  Nyaurdorde o yi'a Nyautowo. Nde o yokki  Nyaurdorde ,o yecci ɓe ,o ɗou ɗojja lebi tati ko saali.  O lori  fa hin ,o hecci ɓe o habdi ko wawata waɗuko bana ko hiɓɓe shawarimo ko larini jumri, diyan fowuɗan ,goroju-kaɗɗu,e ɓe lekki ɗuɗuki ko o soodi . Da hanuno ,O nyamɗinta se ŋyowru wari tulliti. Ɗun yottaki wakkati feere, fofugo ma e saldoramo ngam ŋyouru ɗum ƴaɗi . Se O ƴami Nyautowo on ,ko waɗi ƴowru ndum neɓir bana ni,sali yamɗutuko. O yinno o anda ko waɗi dabareji be leɗɗe ɗe o foodi fu ko nafayi .
Ragare mai ,on nƴami ɗume o wannata ƴowru dum ɗu nyamɗita dufuumaru ,ngam o heɓa o foofa no hani  o lorinita jamo bandu mako.",http://speech-app.s3.amazonaws.com/static/audio/uploads/6ff10d73-cf82-4a14-ad40-eeb16b48ee3c/1f9370eebab4290d473cde2592cac530_xvkrMpsV.wav,"Based on the classic presentation of chronic cough, hemoptysis, chest pain, and significant weight loss, this 15-year-old boy is highly likely suffering from pulmonary tuberculosis. The over-the-counter drugs, herbal remedies, and steam inhalations failed because they cannot eradicate the specific bacteria responsible for this infection. He must immediately visit a local community health center for a sputum test, such as GeneXpert or AFB smear microscopy, to definitively confirm the diagnosis. Following confirmation, he should be enrolled in the national tuberculosis control program to receive the standard, free six-month anti-tuberculosis medication regimen. Strict adherence to these specific antibiotics, combined with adequate nutritional support, will effectively cure the infection and restore his overall health.",Qwen-3.7-Plus (audio),qwen3.7-plus
d7e753fc-1afe-4a4f-9aa5-38ed678f3bdb,fulfulde,fulfulde,Dada debbo je danyi neɓai wari sibiti o vi tun ɓingal mako dayi odo ta rufa iyam sosai kanjum wadi o wala sembe ha bandu mako denbo mo danyi mai dubi mako nogas e nai o vi bo rufugo iyam mai dudi masin danta bo wata mo o wala sembe dada mai kasi nyamugo be kuma kasi wadugo kodum. Yonde amjum ɗum waddata debbo ninga rufugo iyam ɗo ɓawo dayi balɗe seɗɗa sali ɗum nyaundiku toi ɓe hokkata dada mai je rufugo iyam mai darata denbo o lorna sembe mako shawara hokkata dada mai be ɓingel mako. ,"Dada debbo je dayi nebai wari sibiti . Ovi tun bingel mako dayi odota rufa eyam sosai.
Kanjum wadi owala sembe ha bandu mako.
Debbo mo dayi mai dubi mako nogas e ni. Ovi bo rufugo eyam mai duudi masin denta bo watamo owala sembe.
Daada mai kasi yamugo be kuma kasi wadugo kodume.
Demde am kanjum dumedon waddata debbo ninga rufugo eyam do bawo o dayi balde sedda sali do? 
Yaudiku toi be hokkata daada mai je rufugo eyam mai darata denbo olorna sembe mako? Shawara toi hokkata daada mai be bingel mako?",http://speech-app.s3.amazonaws.com/static/audio/uploads/798b5106-bad5-4d3a-85ea-4fd316e84906/abb29e2a2870abd763272e9bb1013f56_ff77scjd.wav,"This severe, continuous bleeding eight days postpartum is a life-threatening medical emergency called secondary postpartum hemorrhage, typically caused by retained placental fragments or a uterine infection. It is indeed a serious medical condition requiring immediate hospital admission, a pelvic ultrasound, and likely surgical evacuation of the uterus to definitively stop the bleeding. To restore her strength and treat the underlying cause, she urgently needs intravenous fluids, blood transfusions for severe anemia, uterotonics to contract the uterus, and broad-spectrum antibiotics. In our local community practice, rapid hemodynamic stabilization and prompt referral to a well-equipped facility for surgical management are critical to prevent maternal mortality and ensure she can safely care for her newborn.",Qwen-3.7-Plus (audio),qwen3.7-plus
0c71b5cb-dae8-44ae-b736-bb2c582a4e97,fulfulde,fulfulde,Dottijo gorko warini amin sibiti goɗɗo vi o ɗo nana hore mako ɗo nawa daande mako ɗo tiɗi be kuma fofe peppetel vurtini mo ha ɓandu o wari ammugo ɗume on waddata irin ɗo be kuma irin dawatoi hokkata mo min emi goɗɗo mai ko nawugo hore mai jotta warini mo na ko sedda sedda warin. Dottijo mai vi warini mo jamma den bo halli jotta min emi mo bo o do lara hite na o vi a gam hite o tull mo nawol hore min nemi mo fu hala fufe ha bandu mako ko do nawa sosai ko sedda sedda dottijo mai vi fu finimo patdu be kuma o wawata viwugo da pellel. vilel gotel amma ɗo nyamo ɓawo kanjum min emi mo ko o fotti be nyaudo o vi wala ha o yahi banda sorugo hunde ha yeso sare maɓɓe damde amin ha likita kanju don ko waddata nawol hore be dande tiddata dum haru o wala wailita dande be fufe ko hatoi ha bandu mako dume waddata dum nyau je rabata on. hundeji fere am je didabo irin goji toi goddo do wadata en anda ta lalle ko hebi mo heba anda dawa be lekki toi o naftirta bako jaborugo vurtan.,"Dottijo gorko warini Amin sibiti, goddo vii, odo nana hore mako donaawa. Daade mako do tiidii, be kuma foofe per peton vurtino ha bandu . Owari emugo dume don waddata irin do be kuma irin dawa toi hokkatamo. Min emmi goddo mai ko nawugo hore mai jotta warinimo na ko sedda sedda warinimo. Dottijo mai vi warinimo jamma denbo halli jotta. Min emmi mo bo odo laara hiite na? Ovi aa gam hiite o tullinamo naawol hore. Min emmi mo fu hala foofe ha bandu mako ko do naawa sosai ko sedda sedda. Dottijo mai vi foofinimo pat bandu bo kuma o wawata viyuwa da pelel gotel amma do nyanya mo.
Bawo kanjum min emmi mo ko o fotti be nyado . Ovi wala ha oyahi, banda sorrugo hunde ha yeso sare mabbe.
Dembe amin ha likita kanjum don kowaddata nyawol hore be daade tiidata do har o wala waylita daade, be foofe ko hatoi ha bandu mako? Dumewaddatadum? Ye’u je raabata donnaa or hundeji fere? Dembe am je didabo irin goji toi goddo do wadata en andata lallai kohebimo, heba anda dawa be lekki toi o naftirita bako jabargo vurta?",http://speech-app.s3.amazonaws.com/static/audio/uploads/ceaf10d8-fa7a-4df9-80bf-e0743041838f/85348220c411afa6b31e56a1ee5100a1_U8wIyu76.wav,"The patient's presentation of severe headache, high fever with rigors, vomiting, and neck stiffness strongly indicates meningitis, though cerebral malaria must also be considered in our endemic region. This life-threatening condition is typically caused by bacterial pathogens like Neisseria meningitidis, which is highly prevalent in the African meningitis belt, or by severe Plasmodium falciparum malaria. You must immediately administer empirical intravenous antibiotics such as ceftriaxone alongside intravenous artesunate to cover both bacterial meningitis and severe malaria while awaiting cerebrospinal fluid and blood smear results. Prompt initiation of these therapies, combined with aggressive intravenous fluid resuscitation and fever management, is the standard of care in our community hospitals to prevent severe neurological complications or death.",Qwen-3.7-Plus (audio),qwen3.7-plus
1cac3a3f-9a74-4667-8cde-20d64f95ca37,fulfulde,fulfulde,Debbo lari gorko mako debbo lari gorko mako doja be sembe to ummi be fajira be yeso maini dojugo nonni fuɗɗata o neɓani bako dara balɗeji o waɗani o lari gorko mako o yara bane fofugo to o yaɓi seddani ko o fa’al o do dara lorna fofɗe mako denbo o ɗo yawa sam be lau. Ɗon yende gorko mako neɓi o ɗo dodda be o do habda lorna fofɗe dami debbo mai o fuddi numugo ko don yahugo je waddata damuwaji dogo mai sai o volwwini gorko mako do yaha asibiti be lara likita heba be hefta ko damata mo jamde mai dume on waddata dudugo kalnudi bannin be yawugo somungo be fofugo dater do damuwa do wawan ko shafi. ko yahugo chafi berde hundeji toi ɗon waɗata goɗɗo maya ko yarna goɗɗo vonugo har je goɗɗo mai handi ni dasa hakkilo alamaji je damuwaji fofugo je darde handi lara hakkilina je dottugo be fofugo dateɗum.,"Debbo lari gorko mako do dojja be sembe to ummi be fajira bedo do leso maini. Dojjugo nonon ni fuddata, oneba ni bako dara. Baldeji owada ni o lari gorko mako o yarabone foofugo . To o yapi sedda ni ko ofa’e eskal , odo dara lorna fofde mako , denbo odo yawa sommugo be lau. Don yende gorko mako neebi odo dojja be odo habda lorna fofde , daami debbo mai. Ofuddi numugo ko don ye’u je wattada damuwajido . Jango mai sai o volwini gorko mako beyaha sibiti be laara likita, heba be hefta ko daamata mo. Demde mai, dumedon waddata dojjugo kalnudum banni be yawugo somugo, be foofugo daker do? Damuwa do wawan ko shafi balle na ko ye’u ko shafi berde?. Hundeji toi don watata goddo maya ko yarna goddo bone foofugo, harje goddo mai hadine dasa hikkilo yaudibe?
Alaamaji kalnudum je damuwaji foofugo je dardiraabe haadi laara, hakilina je dojjugo be foofugo daker do?",http://speech-app.s3.amazonaws.com/static/audio/uploads/14e256b0-1035-474e-8535-57803cab4e54/612b88c302002700ef6c824d0bee5487_JVafDqdg.wav,"The sudden onset of severe agitation, running away, and self-harm behavior in this woman strongly suggests an acute psychiatric episode, such as acute psychosis, a manic episode, or postpartum psychosis if she recently delivered. However, because you mentioned she is experiencing pain or fever, we must first rule out organic medical causes like cerebral malaria or severe systemic infections that can cause delirium and secondary psychosis. In our community practice, while spiritual causes are often suspected by families, it is critical to conduct a thorough physical examination and basic laboratory tests to identify any underlying physical illness before treating it as a purely mental disorder. She needs immediate admission to the hospital for close monitoring, treatment of any underlying infection, and appropriate antipsychotic medications to calm her mind and prevent self-harm. With proper medical treatment, a supportive environment, and family counseling, her condition can be effectively managed so she can safely regain her mental stability.",Qwen-3.7-Plus (audio),qwen3.7-plus
eead0ddd-1dfe-4ab0-991d-095ac322bccf,fulfulde,fulfulde,Jam bandu mi wari gammini ko amin giteji be balli mako do wadi yalo ni kuma banni mai ni har kusan balɗe tati ɓandu maɓɓe bo do wuri o dolla be zazzabi bo kuma ɓe wawata nyamugo ɓe wawata jogugo ko ha redu bo ɓe ɗo diuna ɓe ɗo somi wala. ngam hore maɓɓe do rekka do nawa be bandu maɓɓe do buli min wodi nafturgo hundeji min mari hasare amma wala ko chanji sam be damata be giteji mabbe be balli maɓɓe je chanji kolo jalodum ha jotta dillai do bedda ɓeddugo tan kullum be wala darta. Ɓe ɗo yara bone kanjum waɗi Allah haɗɗo ɓe ɗo nana bone sosai kanjum waɗi min wari sibiti heɓa min anda ko mintaakata heɓa ɓandu min gite je waɗata jalo ɗo ha chan be hoinai.,"Jam bandu, miwari gam miniko am , mi laari ni giteji be balli mako do wadi jallo jallo ni. Kuma bani mai ni har kusan balle tati. Bandu mabbe bo do vuli odolla be zaszabi. Bo kuma be wawata yamugo, be wawata jogugo kodume fu haa redu. Bo be do duwna be do sommi wala sembe. Gam hore mabbe do regga, do naawa, be bandu mabbe do wuli. Min godi nafturugo hundeji min mari ha saare, amma wala ko changi sam be damata be. Giteji mabbe be balli mambe je changi colo jallo do har jotta dillai, do bedda beddugo tan kullum, be wala der jam, be yamdai. Bedo yara bone. Kanjum wadi Allah haddu , bedo nana bone sosai.
Kanjum wadi mi wari sibiti heba min handa komin taakata, heba bandu miniko am, balli be giteji je wadata jallo do hachai be haunai.",http://speech-app.s3.amazonaws.com/static/audio/uploads/e56ed16c-b8f2-4bf6-a64a-31c145f3fe5d/632fed9fd6caafa6b04acc21b3281845_swgorVyY.wav,"The clinical presentation of high fever, persistent vomiting, diarrhea, and inability to eat in these children and family members strongly suggests a severe acute infection such as malaria, typhoid fever, or severe gastroenteritis complicated by significant dehydration. Immediate medical evaluation is critical to perform rapid diagnostic tests for malaria and enteric fevers, alongside a thorough clinical assessment of their hydration and electrolyte status. In our community hospital setting, our primary intervention is to aggressively correct fluid deficits using oral rehydration solutions or intravenous fluids to prevent hypovolemic shock. Following laboratory confirmation, we will promptly initiate targeted therapies, such as artemisinin-based combination therapies for malaria or specific antibiotics for bacterial enteric infections. Please bring the patients to the emergency ward immediately so our team can stabilize their vital signs and begin life-saving supportive care.",Qwen-3.7-Plus (audio),qwen3.7-plus
24394b13-2ade-4730-89fc-1aa86c1b2d7d,fulfulde,fulfulde,Ɓingel waɗi redu mako woɗa soina kanko mai wodi redu ko feiti hande bo jima misi oɗo wodi naudum o arti o mofti kare mako o wari wuro an ɗum ɓe yiɗi inde mi lari nako darayi mofti kare mako arinde kam o yiɗa mi yarama nyamdurde mi yarima nyauɗo ɓe lari mo ɓe wi’i rimirde mako fuɗɗi no maɓɓi to den wakkati o dan maɓɓi. Dan wakkati odyota badi ha jotta koni mako ha wakkati konju kala on wurtoi to ingaya kam on no nana naudum naudum dobe jodata jodi naudum mako wurtai ridi mako arande on hakila am ummi be ta Miɗi mi yida binge on mi yiɗa mi soya binge ame warta dou sa'i ni foɗata nau ɗum on danyoda arande wa’ina noɗata ɓe wi'a binge ko tay vurta hite alura ko ɗon saika mo.,"Bingel am  wadi reedu;  duɓi makọ woɗa lasọ  ẹ nayi. Kankơ nọn mọ wodi redu. Kọ fayti hanɗẹ bọ.
Jemma, mi hissi ọɗọ wondi nauɗu. Ọ arti  ọ mofti  karẹ makọ ,ọ wari wurọ am. Nauɗu mei  ɓeidi ,ndẹ mi lari nawɗum makọ darai, mi mofti karẹ makọ, arandẹ  kam  o ƴiɗa mi yaramo Nyaudọrdẹ .  Mi yari mọ Nyaudọrdẹ  ɓẹ larimọ. Ɓẹ wi'i rimirdẹ makọ fuɗi nọ maɓitọ, den wakkati o danygol ɓadi.
Ha jotta kam ,danygol makọ nọ maɓinti fa wakkati kọ cukaley ọn wurtoitọ. Iga Ƙenƴa  kam ,cukaley ọn nọ nana nawɗum ,den nauɗum  nọ ɓẹddo tam ha min yọtti.
O wondi  nawɗum, cukaley makọ wurtay,  reedu makọ arandẹ ọn. Hakkilo am ummi , ɓẹrne am de itaaki.
Mi ƴidi mi yida ɓingel am, mi ŷiɗa mi soya ɓingel am nge warata do.  
Useini,ɗumẹ fọɗata nawɗum on?  Non daynrgol arandẹ wa' i na?
Ɗun watọn na ɓẹ wi'a ɓingel fotay wurta heedi alaura ? Ko ɓọ dun sẹkan mo?

",http://speech-app.s3.amazonaws.com/static/audio/uploads/54d97066-aaf6-453b-93b7-5874f6b2bdb1/74d2c2539d22f06d6b6e1e053f9721aa_p44tmTP2.wav,"The child's presentation of bloody diarrhea, vomiting, and ear pain indicates bacterial dysentery with probable dehydration and concurrent acute otitis media. Following Integrated Management of Childhood Illness (IMCI) guidelines, immediately assess the child's hydration status and manage with Oral Rehydration Solution (ORS) and Zinc supplementation. Treat the dysentery with an appropriate antibiotic like ciprofloxacin or ceftriaxone based on local resistance patterns, and prescribe oral amoxicillin for the ear infection. Additionally, the mother requires urgent evaluation for her postpartum abdominal pain to rule out endometritis or retained products of conception, while you counsel her on continued feeding and danger signs for the child.",Qwen-3.7-Plus (audio),qwen3.7-plus
