audio_id,language,question,reference,url,model_answer,requested_model,model_id
3d3cee98-b237-4cd0-8f7a-ddedd63299a9,english,"A woman who lives in our house. She is employed. She does her work diligently and has no health issues. One day while she was bafing, she felt her breast and noticed something like a small heart lump inside it. Initially, she thought it was nothing serious, but she felt it again on another day and realized it was still there. As time went on, She became very anxious. She began to worry about whether this issue was developing within her breasts. It wasn't painful, but the fact that the lump was hard and wouldn't go away made her sad. She also started remembering stories she used to hear about girls who had lumps in their breasts. After a few weeks, she decided to go see a doctor. She wanted to know what caused her to be. the lump and what he needed to do to safeguard her health. My questions are, what can cause a hard lump in a woman ⁇ s breasts? Does every breast lump mean that something that could lead to cancer? What other symptoms should women look out for regarding their breasts?","A woman who lives in our house, she is employed. She does her work diligently and has no health issues.
One day, while she was bathing, she felt her breast and noticed something like a small, hard lump inside it.
Initially, she thought it was nothing serious, but she felt it again on another day and realized it was still there. As time went on, she became very anxious. She began to worry about whether this issue was developing within her breast. It wasn't painful, but the fact that the lump was hard and wouldn't go away made her sad. She also started remembering stories she used to hear about girls who had lumps in their breasts.
After a few weeks, she decided to go see a doctor. She wanted to know what caused the lump and what she needed to do to safeguard her health.
My questions are: What can cause a hard lump in a woman's breast?
Does every breast lump mean something that could lead to cancer?
What other symptoms should women look out for regarding their breasts?

",http://speech-app.s3.amazonaws.com/static/audio/uploads/3e3b9ca0-d242-466a-8dd5-fadfd7abcc31/e5cf6d37017884530b4b08894e09e143_HfifL4mk.wav,"A hard lump in a woman's breast can be caused by benign conditions such as fibroadenomas, breast cysts, or fat necrosis from minor trauma, as well as more serious conditions like breast cancer. You can reassure her that not every breast lump is cancerous; in fact, the vast majority of lumps we evaluate in our local clinics are entirely benign, especially in younger women. However, women should always look out for associated red-flag symptoms like bloody or unusual nipple discharge, skin dimpling resembling an orange peel, newly inverted nipples, or swollen lymph nodes in the armpit. To safeguard her health and confirm the diagnosis, her doctor will conduct a clinical breast examination and likely recommend imaging such as an ultrasound or mammogram, sometimes followed by a simple biopsy. Seeking prompt medical evaluation, exactly as she has decided to do, is the best clinical practice in our communities to ensure accurate diagnosis, early intervention, and peace of mind.",Gemini 3.1 Pro (audio),gemini-3.1-pro-preview
765b06e9-4314-4cd5-9b0d-f966ccb8f16d,english,"Good evening. I came because of my younger sibling. I noticed that their eyes and skin have an airy, a pale yellowish color and this has been going on for about three days now. Their body is also very hot, burning with a fever, and they cannot eat. They cannot retain anything. They cannot retain. Than anything, in fact, they are shivering and waking every day because their head is throbbing, their head is aching and their body is burning hot. We have tried using some things at home, we gave them, but even so there is absolutely no difference in their condition. Their eyes and skin that have that pale or yellowish color is hasn't stopped. That yellow colour is just increasing day by day and they're not at peace, they're not comfortable, they are suffering. God forbid, they are really suffering. That is why I came to the hospital so that we can know what to do. The steps we need to take so that my younger siblings body, their skin and eyes that are turning yellow will stop and they will recover.","Good evening I came because of my younger sibling. I noticed that their eyes and skin have an airy... a pale/yellowish color. And this has been going on for about three days now. Their body is also very hot, burning with a fever, and they cannot eat. They cannot retain anything, they cannot retain anything. In fact, they are shivering/weakened heavily. Because their head is throbbing, their head is aching, and their body is burning hot. We have tried using some things at home, we gave them, but even so, there is absolutely no difference in their condition. Their eyes and skin that have that pale/yellowish color, it hasn't stopped, that yellow color is just increasing day by day, and they are not at peace, they are not comfortable, they are suffering, God forbid, they are really suffering. That is why I came to the hospital so we can know what to do, the steps we need to take, so that my younger sibling's body, their skin and eyes that are turning yellow, will stop, and they will recover.
",http://speech-app.s3.amazonaws.com/static/audio/uploads/36b89ae1-c49b-421e-aee0-92d33762fd44/986b18ca45a5dd77b85eb65c7e3c1b65_va5g39ok.wav,"Based on the rapid onset of high fever, severe headache, vomiting, and worsening jaundice (yellow eyes and skin), your sibling is likely suffering from severe malaria, though we must also rule out conditions like yellow fever or acute viral hepatitis. In our local setting, severe *Plasmodium falciparum* malaria frequently destroys red blood cells and affects the liver, causing this dangerous combination of jaundice, shivering, and extreme systemic toxicity. Since they cannot retain any food or oral medications, they require immediate hospital admission for intravenous (IV) fluids to prevent life-threatening dehydration and kidney damage. We will urgently conduct a malaria rapid diagnostic test and comprehensive blood work, and immediately commence IV antimalarials such as artesunate alongside fever-reducing therapies. Please bring them into the emergency ward right now so we can urgently stabilize their condition and begin the life-saving treatments they need to recover.",Gemini 3.1 Pro (audio),gemini-3.1-pro-preview
a8bc8d5e-e18b-4176-bd59-589224c0009b,english,"A 33-year-old pregnant woman, who is 7 months pregnant, was brought to our hospital by her neighbors. They explained that she suddenly developed severe abdominal pain and a large amount of blood began to come out from her vagina. Her body was shaking and she was crying because the pain was intense. Her family said they were afraid that Something serious might happen to both the mother and the baby. Their first question for the doctor was, What could be causing this severe abdominal pain and hefy bleeding? Their second question was, What should be done immediately for this pregnant woman? Their third question was, What investigations or tests can be carried out? Their fourth question was, What treatment is appropriate for her condition? Their fifth question was what foods should this pregnant woman avoid and what hygiene measures should she observe?","A thirty-three-year-old pregnant woman who is seven months pregnant was brought to our hospital by her neighbors. They explained that she suddenly developed severe abdominal pain, and a large amount of blood began to come out from her vagina. Her body was shaking, and she was crying because the pain was intense. Her family said they were afraid that something serious might happen to both the mother and the baby.
Their first question for the doctor was: What could be causing this severe abdominal pain and heavy bleeding?
Their second question was: What should be done immediately for this pregnant woman?
Their third question was: What investigations or tests can be carried out?
Their fourth question was: What treatment is appropriate for her condition?
Their fifth question was: What foods should this pregnant woman avoid, and what hygiene measures should she observe?",http://speech-app.s3.amazonaws.com/static/audio/uploads/0e3095c2-5abc-4286-8d2e-3c2f926f39e6/f1bed36ef3fa1e0c5eaa1defe0e7fa00_G2bxnjmd.wav,"The sudden severe abdominal pain and heavy vaginal bleeding are classic signs of placental abruption, a medical emergency where the placenta separates prematurely from the uterine wall. Immediately, she must be resuscitated and stabilized with intravenous fluids and oxygen, while continuously monitoring her vital signs and the baby's fetal heart rate. Essential investigations include an urgent obstetric ultrasound to confirm the diagnosis, alongside a full blood count, clotting profile, and urgent blood grouping with cross-matching. The most appropriate treatment for this severe presentation is prompt delivery, typically via an emergency Cesarean section, and likely a blood transfusion to replace the lost blood. To protect her health during pregnancy and recovery, she should avoid unpasteurized dairy, undercooked meats, and unhygienic street foods, while maintaining strict handwashing and perineal hygiene to prevent dangerous infections.",Gemini 3.1 Pro (audio),gemini-3.1-pro-preview
4f88702e-973b-4918-90bc-3052fbbbc67f,english,"My family members child was bitten by a dog. He is a 7 year old child. When the dog bitten, they usually went to their traditional healer. They made an incision on the wound and applied aquarium to it. But now, the place where the dog bitten has started producing pus and it is swollen. We explained to them that they should Take him to the hospital. Please, what kind of examination can be done for this boy? Can he have rabies because of the dog? Even if the dog itself seems to be fine. And what kind of treatment does this young boy need? Consider that the dog did not cause any further injury to his body."," My family member’s child was bitten by a dog. He is a seven-year-old child. When the dog bit him, they usually went to their traditional healer; they made an incision on the wound and applied “apọrọ” (traditional preparation) to it. But now, the place where the dog bit him has started producing pus and it is swollen. We explained to them that they should take him to the hospital. Please, what kind of examination can be done for this boy? Can he have rabies because of the dog, even if the dog itself seems to be fine? And what kind of treatment does this young boy need? Consider that the dog did not cause any further injury to his body.",http://speech-app.s3.amazonaws.com/static/audio/uploads/ef9140fe-7a4a-4a06-af80-4455cc0ee4ac/20b1db9e2adb8570f3a2c99acfa10eac_ojpfiFce.wav,"In the hospital, the doctor will clinically examine the infected wound to assess tissue damage and check the child for systemic signs of sepsis or tetanus. Yes, he can absolutely contract rabies because infected dogs in endemic regions like Nigeria can shed the virus in their saliva several days before showing any visible signs of illness. The boy urgently needs thorough wound cleaning and debridement to remove the traditional concoctions, alongside broad-spectrum antibiotics to treat the secondary bacterial infection causing the pus and swelling. Furthermore, he must immediately receive Rabies Post-Exposure Prophylaxis (PEP)—which includes the rabies vaccine and possibly rabies immunoglobulin—as well as a tetanus toxoid injection. Traditional incisions and unsterilized applications introduce dangerous pathogens, making this rapid medical intervention crucial to prevent fatal outcomes like tetanus or rabies.",Gemini 3.1 Pro (audio),gemini-3.1-pro-preview
b41993cb-1b4f-4e3b-8e8b-2eb6e2ef132e,english,"This woman gave birth at our hospital here about 6 months ago. She came to our hospital with her husband where she gave birth to her child. The 6 month told Gear that they have blotted. The mother explained further that it has been about 13 to 14 days since she noticed that this child started coughing. The mother also mentioned that she had been treating this child for cataract. Earlier before the cough started. She said the cough has become more severe since yesterday. The cough became very severe although it had initially started about three days ago. She said that whenever she breastfeeds the child, she also gives her the liquid medicine that is in this bottle, the one suit for coughs, which she has been administering and the baby has been taking. She then said that since yesterday, the cough has become so severe that the child is finding it very very very difficult to breathe, which has really worried me. It is as if her breathing is fluctuating, going up and down every few seconds. They were frightened, which is why they brought her to the hospital. Now the question is, can we give this mother something to help the child at home, given that her breathing is fluctuating with that cough? Should we prescribe cough medicine for her or should we have the child examined before prescribing any medicine or giving her an injection?","This woman gave birth at our hospital here about Six months ago.  she came to our hospital with her husband, where she gave birth to her child, the six-month-old girl that they have brought in.
The mother explained further that it has been about thirteen to fourteen days since she noticed that this child started coughing.
The mother also mentioned that she had been treating this child for catarrh earlier, before the cough started.
She said the cough has become more severe since yesterday. The cough became very severe, although it had initially started about three days ago.
She said that whenever she breastfeeds the child, she also gives her the liquid medicine that is in the bottle—the one sold for coughs—which she has been administering and the child has been taking.
She then said that since yesterday, the cough has become so severe that the child is finding it very, very, very difficult to breathe, which has really worried me.
It is as if her breathing is fluctuating—going up and down every few seconds.
They were frightened, which is why they brought her to the hospital.
Now, the question is: can we give this mother something to help the child at home, given that her breathing is fluctuating with that cough? Should we prescribe cough medicine for her, or should we have the child examined before prescribing any medicine or giving her an injection?""",http://speech-app.s3.amazonaws.com/static/audio/uploads/74ad3a52-5cc9-4439-b3b5-095e4da6fe66/85084b9e10f05fae127d3fc0da0511f2_fBGKxJJj.wav,"The child must be examined immediately at the hospital before prescribing any medication, as sending them home without an assessment would be extremely dangerous. The history of a prolonged cold or ""catarrh"" progressing to severe breathing difficulty and rapid chest movements strongly suggests severe pneumonia or bronchiolitis, which are life-threatening emergencies in a 6-month-old infant. According to IMCI (Integrated Management of Childhood Illness) guidelines widely used in our setting, fast breathing and chest indrawing require urgent clinical evaluation, oxygen saturation monitoring, and likely hospital admission for parenteral antibiotics. Furthermore, over-the-counter cough syrups are strictly contraindicated for infants because they do not treat the underlying infection and can dangerously suppress the child's respiratory drive. Therefore, do not prescribe home remedies; a thorough physical examination is mandatory right now to initiate appropriate, life-saving interventions.",Gemini 3.1 Pro (audio),gemini-3.1-pro-preview
583bdd4f-0b3b-415b-89cc-4e24c55c6bb5,english,"Adeolu is a 10-year-old child whose mother was my sister. However, for a few days now, I have noticed that this child sits alone ever since his mother died. He does not want to play with anyone and he does not want to talk to anyone. He has also started refusing to eat and it looks like he's thinking too much and his heart broken. This frightened me so I decided to take him to the hospital. When I got to the hospital, I asked the doctor, could this child's condition be due to the grief of his mother's death and what can I do to help at home? Or does this child need to speak to a mental health professional or what can I do to make him eat or play with his peers? Or does he need any medication to help?","Adeolu is a ten-year-old child whose mother was my sister. However, for a few days now, I have noticed that this child sits alone ever since his mother died; he does not want to play with anyone, and he does not want to talk to anyone. He has also started refusing to eat, and it looks like he is thinking too much and is heartbroken. This frightened me, so I decided to take him to the hospital for help. When I got to the hospital, I asked the doctor, 'Could this child's condition be due to the grief of his mother's death?' And, 'What can I do to help at home, or does this child need to speak to a mental health professional, or what can I do to make him eat or play with his peers, and does he need any medication to help?",http://speech-app.s3.amazonaws.com/static/audio/uploads/6cc16740-ef5f-4ccb-9b54-2a05f9a40f74/70f14657b1a3b0c1a9f82a19e1cd2525_oewToQ2K.wav,"Adeolu is experiencing acute grief and childhood bereavement due to the profound loss of his mother, which clinically explains his social withdrawal, loss of appetite, and deep sadness. At home, you can support him by providing a safe, patient environment, offering his favorite foods in small portions, and gently encouraging him to engage in activities without forcing him. Psychiatric medication is not recommended at this early stage, as grieving is a natural psychological response to loss rather than a medical illness that immediately requires drugs. However, I strongly recommend arranging for him to speak with a mental health professional, such as a child psychologist or trained counselor, who can help him safely process his heavy emotions. With strong family support, patience, and professional grief counseling, Adeolu will gradually learn to cope with his heartbreak and regain his interest in eating and playing with peers.",Gemini 3.1 Pro (audio),gemini-3.1-pro-preview
a330674b-1cce-4ebd-b148-0214be33a856,english,"A mother living in our neighborhood was pregnant with her second child. At the beginning of the pregnancy, everything was going normally and she was happy that a new baby was coming. However, a few months ago, she began to experience severe lower abdominal pain. One day, the pain became so intense that she could hardly stand up properly. Such Shortly afterward, she also started having heavy vaginal bleeding. The bleeding was more than usual, and it made her very weak. When she saw the bleeding, she became frightened that her unborn baby might be in danger. Her husband quickly assisted her to go to the hospital. My question is, what can cause severe lower abdominal pain during pregnancy? Is heavy bleeding during pregnancy a danger sign for the mother? Or the unborn baby? What are the signs that indicate pregnancy may be in trouble? Is there any medication that can stop the pain and bleeding without harming the unborn baby?","A mother living in our neighborhood was pregnant with her second child. At the beginning of the pregnancy, everything was going normally, and she was happy that a new baby was coming. However, a few months ago, she began to experience severe lower abdominal pain. One day, the pain became so intense that she could hardly stand up properly. Shortly afterward, she also started having heavy vaginal bleeding. The bleeding was more than usual, and it made her very weak. When she saw the bleeding, she became frightened that her unborn baby might be in danger. Her husband quickly assisted her to go to the hospital.
My question is: what can cause severe lower abdominal pain during pregnancy? Is heavy bleeding during pregnancy a danger sign for the mother or the unborn baby?
What are the signs that indicate the pregnancy may be in trouble? Is there any medication that can stop the pain and bleeding without harming the unborn baby?",http://speech-app.s3.amazonaws.com/static/audio/uploads/383888b7-2c4d-4b85-8bfb-3421f72eeadc/1ecaccdd86f8797cc66a22e61daccf4a_w640SuFi.wav,"Severe lower abdominal pain and heavy vaginal bleeding during pregnancy are critical danger signs for both the mother and the unborn baby, often pointing to life-threatening complications like a miscarriage, ectopic pregnancy, or placental abruption. The bleeding is highly dangerous because it can rapidly cause maternal hypovolemic shock and deprive the fetus of vital oxygen, threatening both lives. Key signs that a pregnancy is in severe trouble include exactly what she experienced: heavy vaginal bleeding, debilitating abdominal cramping, passing tissue or large clots, extreme weakness, and a sudden lack of fetal movement. There is no safe over-the-counter medication to simply stop the bleeding and pain at home, as the underlying cause must be diagnosed and treated directly to avoid fatal consequences. In our local hospitals, she requires immediate emergency obstetric care involving intravenous fluid resuscitation, an urgent ultrasound to determine fetal viability, and specific interventions which may include surgery or uterine evacuation.",Gemini 3.1 Pro (audio),gemini-3.1-pro-preview
29a2c96b-9835-400d-acf7-a3e335d5002e,english,"A guardian of a child observes that the child is coughing intensely, to the extent that the child is being abrupt and struggling to breathe well. What can cause a child to be coughing in abrupt manner? To the extent that the child cannot breathe well and struggling to breathe. What kind of tests can we run for that child? What treatment can we give? And then what advice can we give to the guardian of this child?","A guardian of a child observed that the child is cough intensely, till the end that the child is been abrupt and struggling to breathe well. What can cause a child to be coughing in abrupt manner, till the end that the child can't breathe well, and struggling to breathe? What can kind of test can we run for that child? What treatment can we give? And then what advice can be give to the guardian of this child? ",http://speech-app.s3.amazonaws.com/static/audio/uploads/c24d9a22-2976-4730-b153-2b242b1d096f/22ec8fbe7f988ab0386b1b5adac42a40_Lylr5O79.wav,"An abrupt, intense cough with severe difficulty breathing in a child is a medical emergency most commonly caused by foreign body aspiration (choking), severe asthma exacerbation, or severe acute respiratory infections like pneumonia or pertussis. Upon arrival at the clinic, we will immediately check the child's oxygen levels using a pulse oximeter and conduct a chest X-ray to identify any swallowed objects, airway blockages, or lung infections. Immediate life-saving treatment includes oxygen therapy and targeted interventions such as back blows or bronchoscopy to dislodge a foreign object, nebulized bronchodilators for asthma, or intravenous antibiotics for an infection. I strongly advise the guardian to rush the child to the nearest emergency room immediately, making sure not to blindly sweep the child's mouth with their fingers, as this can push a suspected foreign object deeper into the airway. To prevent future occurrences, the guardian should be counseled to keep small choking hazards like coins, beads, or groundnuts out of the child's reach and ensure the child completes all routine childhood immunizations.",Gemini 3.1 Pro (audio),gemini-3.1-pro-preview
1ca84822-c7ea-4bee-9736-4cd89a8f0bf2,english,"I brought my 9-year-old child to the hospital this afternoon. I sent the child on an errand to buy something from me in town, but a dog beat the child. When they brought the child home and explained what happened, I examined the wound where the dog beat the child, and I noticed that the wound is red and already swollen. We made inquiries in the neighborhood to find out about the dog that beat the child, and the dog's owner said they are I have never given the dog any vaccines. They mentioned that he just goes out, plays and comes back inside. They said they have never given the dog any medical treatment whatsoever. This is why I became frightened and I rushed the child to the hospital so that it would not turn out that the dog that beat the child is a raby dog. What could possibly happen to a child who has been bitten by a dog? What could happen to a wound that is red and swollen? Is it possible for an infection like rabies to enter this wound? Is it possible for something terrible to happen to the child as a result of this dog bite? Please, what can I do to prevent an infection from entering this wound? What vaccines and what medications can be used to treat this child to ensure they receive proper care? What else can we do, or what medical tests can we run, to take care of the wound? Where the dog beats the child,","I brought my nine-year-old child to the hospital this afternoon. I sent the child on an errand to buy something for me in town, but a dog bit the child. When they brought the child home and explained what happened, I examined the wound where the dog bit the child, and I noticed that the wound is red and already swollen. We made inquiries in the neighborhood to find out about the dog that bit the child, and the dog's owner said that they have never given the dog any vaccines. They mentioned that it just goes out, plays, and comes back inside. They said they have never given the dog any medical treatment whatsoever. This is why I became frightened and rushed the child to the hospital, so that it wouldn't turn out that the dog that bit the child is a rabid dog. What could possibly happen to a child who has been bitten by a dog? What could happen to a wound that is red and swollen? Is it possible for an infection like rabies to enter this wound? Is it possible for something terrible to happen to the child as a result of this dog bite? Please...
What can I do to prevent an infection from entering this wound? What vaccines and what medications can be used to treat this child to ensure they receive proper care? What else can we do, or what medical tests can we run to care for the wound where the dog bit this child?

",http://speech-app.s3.amazonaws.com/static/audio/uploads/deb5d857-a070-45c0-befc-c05e82418b64/6e7c086781508076742c00c0e90a393b_QXZ9PS88.wav,"A bite from an unvaccinated, free-roaming dog puts your child at a high risk for rabies, a fatal viral disease, and the immediate redness and swelling indicate that a secondary bacterial infection has already developed in the wound. You must immediately and vigorously wash the wound with soap and running water for at least 15 minutes, followed by the application of an antiseptic like povidone-iodine, as this is the most effective first step to wash away the rabies virus. To prevent rabies, your child urgently needs Post-Exposure Prophylaxis (PEP), which includes a series of rabies vaccines and Rabies Immunoglobulin (RIG) injected directly into and around the wound, alongside a tetanus toxoid booster. I will also prescribe a broad-spectrum oral antibiotic, such as Amoxicillin-clavulanate, to treat the bacterial infection causing the swelling, along with pain relievers to keep the child comfortable. There is no early diagnostic blood test to check if the rabies virus has entered the child's body, which is why immediate vaccination is strictly required while the offending dog is safely quarantined and observed for 10 to 14 days.",Gemini 3.1 Pro (audio),gemini-3.1-pro-preview
2d3577d4-0796-481d-b7cd-df6912cbf4df,english,"After I gave bath and I was trying to recover, one evening I thought that since we do not have clean water in our area, if I wanted to bath I would always use water that is not clean all the time. I kept thinking that I should take care of myself and be bathing properly. Then when it became one evening, my body was no longer well. I started feeling cold and my body began to shiver every day. I was feeling cold, but my body was not well again. I noticed that the blood that was coming out after childbirth had a smell coming from there that was not good at all. The smell was much, and this had not happened before. I could not take my eyes away from it. As I got up, that was when I was coming to the hospital to ask whether the clean water that I used to bath could cause any illness after childbirth. ","After I gave birth and I was trying to recover, one evening I thought that since we did not have clean water in our area, if I wanted to bathe, I would always use water that is not clean all the time, I kept thinking that I should take care of myself and be bathing properly.
Then, when it became one evening, my body was no longer well. I started feeling cold, and my body began to shiver every day. I was feeling cold, but my body was not well again. I noticed that the blood that was coming out after childbirth had a smell coming from there that was not good at all. The smell was much, and this had not happened before.
I could not take my eyes away from it. As I got up, that was when I was coming to the hospital to ask whether the clean water that I used to bathe could cause any illness after childbirth ",http://speech-app.s3.amazonaws.com/static/audio/uploads/b4129300-516c-4e8c-b210-8a7a68eb2c40/4dc9ce6a313e6f7f05e2097d99201126_aCvc58WL.wav,"Yes, using unclean water to bathe after childbirth can introduce harmful bacteria into your reproductive tract, leading to a serious infection known as puerperal sepsis. Based on your symptoms of shivering, fever, and foul-smelling vaginal bleeding, you have developed an infection in your healing womb, which is highly vulnerable right now because the cervix remains open after delivery. In many of our communities where clean water is scarce, washing the genital area with untreated water is a common and dangerous cause of such postpartum infections. We need to admit you and start intravenous antibiotics immediately to clear the infection and prevent any life-threatening complications. Going forward, when clean water is unavailable, I strongly advise boiling and then cooling your water before using it to bathe, as this kills the bacteria and makes it safe for your postpartum hygiene.",Gemini 3.1 Pro (audio),gemini-3.1-pro-preview
