audio_id,language,subset,question,reference,url,model_answer,requested_model,model_id
13e1c9d4-57b0-4b0e-b73f-aec7519d8fbc,pidgin,pidgin,Mama wey born pikin two weeks ago begin dey see small small blood dey come out from her body As days dey pass e notice say wetin resemble meat or tissue and blood dey come out Sometimes e dey feel somehow and e neck no dey okay E still dey get small small pain for under belle and anytime he see all these signs e dey fear and go confuse He begin wonder wetin dey happen say na normal thing wey fit happen after woman born pikin or whether na another sickness One day as e go hospital and dey talk with other nursemers hear say make nobody ignore any change wey dem notice for their body after child birth That one make am decide say he go see dr meet in examine My question be wetin fit cause this kind problem after woman don born Pain for under belle fit be signs of sickness which denter signs When new mama suppose watch out for after chike bath and wetin be the steps wey new mama need take to prevent this kind sickness,"Mama wey born pikin two weeks ago begin dey see small-small blood dey come from her body. As days dey pass, e notice say wetin resemble meat or tissue and blood dey come out. Sometimes e dey feel somehow, and e neck no dey okay. E still dey get small-small pain for under belle, and anytime e see all these signs, e dey fear and confuse. E begin wonder wetin dey happen,whether na normal thing wey fit happen after woman born pikin or whether na another sickness.

One day, as e go hospital and dey talk with other nursing mothers, e hear say make nobody ignore any change wey dem notice for their body after childbirth. That one make am decide say e go see doctor make dem examine am.

My question be: Wetin fit cause this kind problem after woman don born? Pain for under belle fit be signs of sickness? Which danger signs wey new mama suppose watch out for after childbirth? And wetin be the steps wey new mama need to take to prevent this kind sickness?",http://speech-app.s3.amazonaws.com/static/audio/uploads/a6846891-c098-42da-b6e5-89ef4cd0c3ce/74506ae897786ed764c61038366b35a8_GvsSbutW.wav,"**Wetin fit dey cause am:** Dis kind problem wey mama dey see blood, tissue or meat wey dey comot after two weeks fit be say small piece of placenta or membrane remain for inside womb (dem dey call am *retained products of conception*), or na infection for womb (*endometritis*), abi na normal lochia wey neva finish. If e get bad smell, fever, plenty bleeding or that meat-like tissue, e fit mean say infection dey or something remain inside wey no comot well.

**Danger signs wey mama suppose watch:** Make she watch out for heavy bleeding wey dey soak pad quick-quick, blood clots wey big, bad-smell discharge, fever or cold body wey dey shake am, strong pain for under belle, and if she dey feel weak, dizzy abi her heart dey beat fast — all dis na sign say she suppose rush hospital sharp-sharp.

**Steps to prevent am:** Make she go antenatal and postnatal check-up well, allow doctor confirm say the whole placenta don comot after she born, keep herself clean for down there, no dey put anything wey no clean inside, breastfeed pikin (e dey help womb close well), and if she notice any strange change, make she no ignore am but go see doctor quick. Doctor go fit do scan check am and if tissue remain, dem go clean the womb (D&C) or give antibiotics if na infection.",Claude Opus-4.8,claude-opus-4-8
3ac50fd3-39df-4fdc-a3d3-e177e3bf1913,pidgin,pidgin,My husband na 40 years old and I don notice say for about 3 weeks now e dey drink plenty water pass normal As he dey drink plenty water na so he dey urinate plenty too in fact for night he fit wake up to 10 times before morning just to go urinate he don dey complain say body dey tire am all the time E don add small More weight and sometimes e dey complain say he no dey see well Rision fit plus especially when e stand up or wan waka I don notice say anytime e urinate na plenty urine dey come out and e dey urinate very often Wetin fit cause this plenty urination and dis serious tests while e dey drink plenty water and still dey urinate plenty happy These symptoms fit mean say he get diabetes E fit be another sickness Which medical test e suppose do make dr know exactly wetin de happen why he dey always tire wetin dey cause the plenty urination Abi high blood pressure fit cause these symptoms or na dehydrum another health problem Which kind food and drinks he suppose avoid and wetin e suppose dey chop or drink Wetin he fit do make these symptoms better E need go hospital or health care center make test am or test e no release necessary How away person suppose dey check for diabetes blood sugar na regularly or na once once which medical condition fit cause all these symptoms wey dey happen for him body,"My husband na forty years old, and I don notice say for about three weeks now, e dey drink water pass normal. As e dey drink plenty water, na so e dey urinate plenty too. In fact, for night e fit wake up up reach ten times before morning just to go urinate. E don dey complain too say body dey tire am all the time. E don add small weight, and sometimes e dey complain say e no dey see well. Vision fit blur, especially when e stand up or wan waka.

I don notice say anytime e urinate, na plenty urine dey come out, and e dey urinate very often.

Wetin fit dey cause this plenty urination and this serious thirst? Why e dey drink plenty water and dey urinate plenty? Abi these symptoms fit mean say e get diabetes, or e fit be another sickness?

Which medical tests e suppose do make doctors know exactly wetin dey happen? Why e dey always tire? Wetin dey cause the plenty urination? Abi high blood pressure fit cause these symptoms, or na dehydration or another health problem?

Which kind food and drinks e suppose avoid, and wetin e suppose dey chop and drink? Wetin e fit do make these symptoms better? E need go hospital or healthcare centre make dem test am, or testing no really necessary?

How often person suppose dey check for diabetes or blood sugar—na regularly or na once once? Which medical conditions fit cause all these symptoms wey dey happen for e body?",http://speech-app.s3.amazonaws.com/static/audio/uploads/7b524b5f-8fe7-4f80-bde9-7c65ae42939d/592177dc8521f0da47b55f13653a99c7_id81e3Zc.wav,"## Wetin fit dey cause am

The symptoms wey you describe—say your husband dey drink water plenty (polydipsia), dey urinate plenty and often (polyuria), body dey always tire, and eye no dey see well—na classic sign of **diabetes mellitus** (sugar disease), especially Type 2 wey common for people around 40 years. The high sugar for blood dey pull water comot through urine, na why e dey urinate plenty and dey thirsty. The blurry vision and tiredness na because the sugar high, and e fit affect the eye and body energy.

## Wetin e suppose do

Make e go hospital or health center **quick quick** make dem test am—no be optional, na necessary. The main tests na:
- **Fasting Blood Sugar (FBS)** — check am after e no chop for 8 hours (normal na below 100mg/dl; diabetes na 126 and above)
- **Random Blood Sugar** and **HbA1c** (dis one dey show sugar level for past 3 months; 6.5% and above mean diabetes)
- Dem fit check urine, blood pressure, kidney and cholesterol too

## Food and lifestyle

Make e **avoid**: sugary drinks (Fanta, Coke, malt), plenty white rice, garri, white bread, sweet things, and too much starchy food. Make e **chop**: vegetables, beans, unripe plantain, wheat, oats, fish, plenty water, and small portion of food. Regular exercise like waka (30 minutes daily) go help plenty.

## Important warning

If e get sugar disease, e need **checkam regularly** as doctor talk, no be once once, because sugar wey no dey controlled fit spoil eye, kidney, heart and nerve. High blood pressure fit dey follow diabetes too, so make dem check am. **Abeg make e go hospital sharp sharp**—no delay, because if the sugar too high e fit cause emergency.",Claude Opus-4.8,claude-opus-4-8
c09d0612-6271-4f60-977c-5798940d70e2,pidgin,pidgin,Home wey dey 22 years don born for our hospital 3 days ago Today she carry her newborn pikin on for rooting immunization As dem reach she tell us say di pikin no gree suck breast at all the pikin too dey weak e dey sleep pass normal and e no dey wake well She talk say anytime she try put breast for di pikin mouth E no go suckall She come notice say di pikin hand leg and whole body dey very cold like as body too cold reach where she dey fear to touch di pikin with her belle hand and na only when she wrap plenty cloth before she fit carry am She talk say di pikin no dey suck breast the whole body dey cold to touch and the pikin don dey more weak as time dey go E no fit move hand e no fit stretch leg E no get normal movement or reflex and so e just dey lie down no strength no movement She talk say anybody wey look the pikin go know say the pikin really sick and don tire Wetin fit cause this kind Niting Wetin una think say fit happen make pikin body dey feel this kind freezing cold Na only because the pikin no dey stuck breast or abi another sickness fit dey cause am too Wetin fit be the treatment pikin begin suck breast again Also concerning the immunization wey dem suppose give the pikin today Wetin be una professional advice,"One woman wey dey 22 years don born for our hospital three days ago. Today she carry her newborn pikin come for routine immunization. As dem reach, she tell us say di pikin no gree suck breast at all. Di pikin too dey weak, e dey sleep pass normal, and e no dey wake well.

She talk say anytime she try put breast for di pikin mouth, e no go suck at all. She come notice say di pikin hand, leg, and whole body dey very cold, like ice. Di body too cold reach where she dey fear to touch di pikin with her bare hand, and na only when she wrap plenty cloth before she fit carry am.

She talk say di pikin no dey suck breast, di whole body dey cold to touch, and di pikin don dey more weak as time dey go. E no fit move hand, e no fit stretch leg, e no get normal movement or reflex. Na so e just dey lie down, no strength, no movement. She talk say anybody wey look di pikin go know say di pikin really sick and don tire.

Wetin fit cause this kain thing? Wetin una think say fit happen make pikin body dey this kind freezing cold? Na only because di pikin no dey suck breast, abi another problem fit dey cause am too? Wetin fit be di treatment wey make di pikin begin suck breast again?

Also, concerning di immunization wey dem suppose give di pikin today, wetin be una professional advice?",http://speech-app.s3.amazonaws.com/static/audio/uploads/feb0816f-4fb4-4884-a9ef-224cb5115df2/a278bf8d3ccbba6ecc86e8cea1a40d3d_opKHIixJ.wav,"**Wetin fit dey cause am:**

Dis pikin dey show sign of **neonatal hypothermia** wey don join with possible **neonatal sepsis** (serious infection). Di cold body, di way di pikin no gree suck breast, di weakness, di plenty sleep, and di poor movement/reflex na all danger signs wey dey show say dis na medical emergency. Di cold no be just because di pikin no dey suck—e fit be say infection or serious illness dey make di pikin body no fit keep body warm, and hypothermia self fit make di pikin weak and no gree suck (na cycle wey dey worsen).

**Treatment:**

1. **Warm di pikin sharp-sharp** with skin-to-skin (Kangaroo Mother Care)—put di pikin for mama chest, cover dem well with warm cloth and cap for head. Check di temperature.
2. **Refer/admit as emergency**—dis pikin need to enter hospital now-now for check-up, blood test, blood sugar (hypoglycaemia dey common), and **start antibiotics** for possible sepsis.
3. If di pikin no fit suck, dem fit give expressed breast milk through nasogastric tube (NG tube) or IV fluid, and check/treat low blood sugar.

**About di immunization:**

**No give di immunization today!** Immunization no dey give to sick pikin wey dey unstable like dis. Make dem first treat and stabilize di pikin, den give di vaccines when di pikin don recover well.

Abeg, make dem no waste time—dis one na emergency wey fit kill di pikin if dem delay.",Claude Opus-4.8,claude-opus-4-8
d1593755-e2cc-49dd-8de9-678a95886c4b,pidgin,pidgin,One woman notice say anytime wey dem wake up for morning her husband go begin cough well well The cough dey start suddenly and e fit take long time before you go stop As time dey go she notice say her husband no fit breathe well again Anytime wey you waka small distance or climb staircase e go stop make e catch breath because she dey tire quick quick One day after her husband don spend long time dey cough and dey struggle to catch breath di woman come fear You begin think say maybe one sickness dey cause all dis problem The next day she talk to her husband make dem go hospital go see dr so that dr go fit examine am and know wetin dey really happen The question be say wetin fit make person dey cough like this with constant tiredness and serious difficulty to breathe anytime the cough start Na only lung sickness or heart sickness fit cause this kind problem Which kind Kind sickness fit make person struggle to breathe too much or even cause death if dem no get urgent treatment Wetin be the danger signs of cough breathing problem wey family member suppose watch out for wey mean say the person need urgent attention,"One woman notice say anytime wey dem wake up for morning, her husband go begin cough well well. The cough dey start suddenly and e fit take long time before e go stop. As time dey go, she notice say her husband no fit breathe well again. Anytime wey e waka small distance or climb staircase, e go stop make e catch breath because e dey tire quick quick.

One day, after her husband don spend long time dey cough and dey struggle to catch breath, the woman come fear. E begin think say maybe one sickness dey cause all these problems. The next day, she talk to her husband make dem go hospital go see doctor so dat doctor go fit examine am and know wetin dey really happen.

The question be say, wetin fit make person dey cough like this, with constant tiredness and serious difficulty to breathe anytime the cough start? Na only lung sickness or heart sickness fit cause this kind problem? Which kind sickness fit make person struggle to breathe so much or even cause death if dem no get urgent treatment? Wetin be the danger signs of cough and breathing problem wey family members suppose watch out for, wey mean say the person need urgent medical attention?",http://speech-app.s3.amazonaws.com/static/audio/uploads/f20a8536-4c24-49e3-b873-68fa80baf607/a1313a1f79d9031eda58aba73d277c25_0BWlmcnw.wav,"**Wetin fit dey cause am:**

Di sign wey you talk (morning cough wey dey tey, tiredness, breathlessness wey dey worse wen e waka or climb stairs) fit come from lung sickness or heart sickness — no be only one thing. For lung side, na COPD (chronic bronchitis) wey dey common for people wey dey smoke, asthma, TB, or pneumonia. For heart side, na heart failure wey dey make water gather for lung, and dat one dey cause di breathlessness wey dey worse wen e lie down or waka.

**Which sickness fit kill sharp-sharp:**

Heart failure, severe asthma attack, pneumonia, pulmonary embolism (blood clot for lung), and pulmonary edema (water for lung) — all of dem fit make person no fit breathe well and fit cause death if dem no treat am quick.

**Danger signs wey family suppose watch:**

Watch out for: (1) lips or finger wey dey turn blue/dark, (2) e no fit talk full sentence because breath no dey, (3) chest pain or e dey hold chest, (4) leg or belle wey dey swell with breathlessness wey dey worse wen e lie down, (5) high fever wmore cough plus blood for di sputum, and (6) confusion or e wan faint. Any of dese sign mean say make dem carry am go hospital sharp-sharp, no delay.",Claude Opus-4.8,claude-opus-4-8
f245321c-8c8f-4814-8990-5e0629d3acd5,pidgin,pidgin,Home dem carry come hospital this morning because she dey bleed plenty and the bleeding don make her weak well well Dem ask her whether this kind thing don happen before and she talk say e don happen about two times before Anytime e happen she dey feel pain and the bleeding dey come and stop then come start again The ask her whether e fit be say belle dey comot But she talk say she no know whether she get belle or not Dem ask am when she see her monthly period and she talk say not too long say na about one month and two weeks ago she last see her period before this heavy bleeding start again this month Abeg wetin fit make this woman Bleed this kind plenty Wetin be di emergency things wey health workers suppose do immediately Wetin be di treatment wey fit save her life and stop di bleeding Which medicine or injection wey fit help control di bleeding fit be given 1st and which test oil investigation igations fit be done to know the real cause of this serious bleeding,"One woman dem carry come hospital this morning because she dey bleed plenty, and the bleeding don make her weak well-well. Dem ask am whether this kind thing don happen before, and she talk say e don happen about two times before. Anytime e happen, she dey feel pain and the bleeding dey come and stop, then come start again.

Dem come ask am whether e fit be say belle dey comot, but she talk say she no know whether she get belle or not. Dem ask am when she last see her monthly period, and she talk say not too long, say na about one month and two weeks ago she last see her period before this heavy bleeding start again this morning.

Abeg, wetin fit make dis woman bleed this kind plenty? Wetin be the emergency things wey health workers suppose do immediately? Wetin be the treatment wey fit save her life and stop the bleeding? Which medicine or injection wey fit help control the bleeding fit be given first? And which tests or investigations fit be done to know the real cause of this serious bleeding?",http://speech-app.s3.amazonaws.com/static/audio/uploads/a56ff576-0083-4d59-81ef-1cc6a858c72c/466b108d51d383d30be3ebaf2549593f_HF7mn3SJ.wav,"**Wetin fit dey cause di bleeding:**
Di way she dey bleed plenty, wit pain, and say her last period na one month and two weeks ago, di main thing wey I go suspect na **miscarriage (abortion) or ectopic pregnancy** (belle wey enter tube instead of womb). Other causes fit be **incomplete miscarriage**, **molar pregnancy**, or **womb problem** like fibroid, but di history strong for pregnancy-related bleeding.

**Emergency things wey health workers suppose do sharp sharp:**
First, check her vital signs (BP, pulse, temperature) and see whether shock dey (""cold hand, fast pulse, low BP""). Open **two big IV lines** and start **IV fluids (Normal Saline or Ringer's Lactate)** quick quick to correct di blood wey she don lose. Collect blood for **grouping and cross-match** so dem fit give her blood transfusion if e need, and give oxygen if she dey breathe hard.

**Treatment and medicine wey fit save her life:**
If na incomplete miscarriage, give **IV/IM Oxytocin** or **Misoprostol** to help di womb contract and stop di bleeding, then do **manual vacuum aspiration (MVA) or evacuation** to comot anytin wey remain for inside womb. If na ectopic pregnancy wey don burst, she need **emergency surgery (laparotomy)** sharp sharp because dat one na life-and-death matter.

**Test wey suppose do:**
Do **urine pregnancy test (β-hCG)** first, **abdominal/transvaginal ultrasound** to know where di belle dey and if anytin remain for womb, **full blood count (PCV/haemoglobin)**, and **blood group with cross-match**. Dis go help know di real cause and guide di correct treatment to save her life.",Claude Opus-4.8,claude-opus-4-8
ae4a74d2-4c72-4642-aa48-1dba5b86cce9,pidgin,pidgin,One pregnant woman come our hospital this morning As she reach she dey feel serious pain She dey cry well well as she hold her back and belle because of the pain After about 8 10 minutes wey we carry am enter laborood we examine am and see say the baby don already dey come out and her cervix don open finish not long after She born one baby girl After delivery we do all di necessary care for both di mama and di baby Later we carry both of dem go one room make them rest After some time di woman call us come say her body dey very weak She dey tire well well and her eye dey somehow as if she no dey still clear She still She fit try chop after she born but she find am hard to swallow di food She continue to dey weak and she come dey feel dizzy too Wetin fit don happen E fit be say she lost plenty blood during di delivery and now she need blood transfusion abi wetin suppose make we do for am She we give am food make she chop,"One pregnant woman come our hospital this morning. As she reach, she dey feel serious pain. She dey cry well well as she hold her back and belle because of the pain.

After about 8 to 10 minutes wey we carry am enter labour ward, we examine am and see say the baby don already dey come out and her cervix don open finish. Not long after, she born one baby girl.

After delivery, we do all the necessary care for both the mama and the baby. Later, we carry both of them go one room make dem rest.

After some time, the woman call us come say her body dey very weak, she dey tire well well, and her eye dey somehow as if she no dey see clear. She still try chop after she born, but she find am hard to swallow the food. She continue to dey weak and she come dey feel dizzy too.

Wetin fit don happen? E fit be say she lose plenty blood during the delivery and now she need blood transfusion? Abi wetin suppose make we do for am? Should we give am food make she chop?",http://speech-app.s3.amazonaws.com/static/audio/uploads/996a6fff-5a9e-4cc9-afa3-6bfa9d04acfb/024974a06731ab9ab6769c215301e2ec_acIHhH0c.wav,"**Wetin fit don happen:** Di woman signs (weak body, tire, eye no clear, dizzy, hard to swallow) dey point say she fit dey get **Postpartum Haemorrhage (PPH)** - meaning she don lose plenty blood after she born di pikin.

**Wetin make we do sharp sharp:**

1. **Check her vital signs** - measure her BP, pulse, and check how much blood she dey lose. If BP don low and pulse dey fast, na sign of shock from blood loss.

2. **Examine her belle and check di uterus** - press am to see if di womb dey hard or soft. If e soft (atony), na di common cause of PPH. Rub di uterus well (uterine massage) make e contract.

3. **Give oxytocin or misoprostol** sharp sharp to make di womb contract and stop di bleeding. Also check if placenta comot complete and if she get any tear for down there wey dey bleed.

4. **Put IV line, give fluid (normal saline), and arrange blood** - if she don lose plenty blood, yes she go need **blood transfusion**. Group and cross-match her blood quick quick.

**Note:** No be food she need first o - food no go help until we stabilize am. Correct am for di bleeding, give fluid/blood, den food fit follow later when she don better.",Claude Opus-4.8,claude-opus-4-8
f6837d40-b44e-4d9d-a019-1133d891e156,pidgin,pidgin,Yesterday evening I send my pikin make he go buy awidle for me for area After like 15 minutes he come run come house dey cry As I dey ask wetin happen dem tell me say dog bite am for leg I ask which kind dog be that and where the dog come from and dem tell me say dem no know where the dog come from Or whether na dog wey dey the neighbood Na so I rub boil for where the dog bite am because I think say e go neutrialize the poison Later person advise me make I carry am go one mternity clinic for area As we reach there them write tetanus injection wey I go buy for chemist I buy the injection and dem give am yesterday Since then I don carry am come house But from yesterday where di dog bite am don swell and di skin around am don red Now I don dey fear say maybe di dog fit don give am rabies I wan ask whether any medicine dey wey I fit buy for am or whether make I carry am go hospital or further treatment,"Yesterday evening, I send my pikin make e go buy ewedu for me for area. After like fifteen minutes, e come run come house dey cry. As I ask wetin happen, dem tell me say dog bite am for leg.

I ask wetin kind dog be dat and where di dog come from, but dem tell me say dem no know where di dog come from or whether na dog wey dey di neighborhood.

Na so I rub oil for where di dog bite am because I think say e go neutralise di poison. Later, person advise me make I carry am go one maternity clinic for area. As we reach there, dem write tetanus injection I go buy for chemist. I buy di injection and dem give am yesterday.

Since den, I don carry am come house, but from yesterday, where di dog bite am don swell and di skin around am don red. Now I don dey fear say maybe di dog fit don give am rabies.

I wan ask whether any medicine dey wey I fit buy for am, or whether make I carry am go hospital for further treatment.",http://speech-app.s3.amazonaws.com/static/audio/uploads/91abc401-cb93-44c6-9ae1-ba94e0e3f84a/f459b951a1415270172aee1c2c5701a8_TIppMES0.wav,"Sorry for wetin happen to your pikin. You need carry am go hospital SHARP SHARP - no waste time and no buy any medicine for chemist by yourself.

Di reason be say dog wey you no know where e come from fit carry rabies, and rabies na deadly sickness wey no get cure once e start, so your pikin need rabies vaccine (PEP) plus rabies immunoglobulin quick quick. Di tetanus injection wey dem give am good, but e no fit prevent rabies - na different-different thing.

Di leg wey don swell and red mean say wound don dey infected, so dem go clean am well well, and doctor go give antibiotics. Abeg no rub anything again for di wound - just wash am with plenty clean water and soap for like 15 minutes if you neva do am. Make you carry am go big hospital or health center now-now make dem start di rabies treatment before e too late.",Claude Opus-4.8,claude-opus-4-8
4d7aa653-b36c-4c46-aaec-89b84a22c289,pidgin,pidgin,One old papa come our local hospital The papa talk say he get serious headache Him neck dey stiff and rash don suddenly come out for him body He come ask wetin fit dey cause am and wetin be the correct treatment We ask am whether the headache start suddenly or e dey come small small The papa say e start suddenly for night and know Now e don become very severe We still ask am whether e fit look light well and e say no because light dey make di headache worse We ask am about di rash wey dey im body whether e dey pain am whether e plenty or e just small The papa say di rash dey all over im body e no fit point one place and e dey He itch am After that we ask whether he don contact with anybody wey sick recently The papa say dem no go any way apart from where dem dey sell go for front of the house and dem no know anybody wey sick wey dem don get contact with Our question for dr be wetin fit cause this kind serious headache and stiff neck wey make person no fit turn him neck plus rash all over the body Wetin fit be the cause Na infectious disease or na another sickness Our 2nd question be which kind test this papa suppose do to know exactly wetin dey worry am make e fit get correct treatment and which medicine dem fit start give am Before the test results go come out,"One old papa come our local hospital. Di papa talk say e get serious headache, im neck dey stiff, and rash don suddenly come out for im body. E come ask wetin fit dey cause am and wetin be di correct treatment.

We ask am whether di headache start suddenly or e dey come small small. Di papa say e start suddenly for night and now e don become very severe.

We still ask am whether e fit look light well, and e say no, because light dey make di headache worse.

We ask am about di rash wey dey im body, whether e dey pain am, whether e plenty or e just small. Di papa say di rash dey all over im body. E no fit point one place, and e dey itch am.

After dat, we ask whether e don contact with anybody wey sick recently. Di papa say dem no go anywhere apart from where dem dey sell goods for front of dia house, and dem no know anybody wey sick wey dem don get contact with.

Our question for doctor be: Wetin fit cause dis kind serious headache and stiff neck wey make person no fit turn im neck, plus rash all over di body? Wetin fit be di cause? Na infectious disease or na another sickness?

Our second question be: Which kind tests dis papa suppose do to know exactly wetin dey worry am make e fit get correct treatment? And which medicine dem fit start give am before di test results come out?",http://speech-app.s3.amazonaws.com/static/audio/uploads/6598bd5c-f9a6-469a-98a4-484387f94d6f/0e668f9a5682c0479079417f3a53b181_rA6kVlYk.wav,"**Wetin fit dey cause am:**

Dis symptoms wey you talk—headache wey start sudden, stiff neck, e no fit see light (photophobia), plus rash all over body—na serious sign of **bacterial meningitis**, especially **meningococcal meningitis** (Neisseria meningitidis), wey common well-well for Nigeria ""meningitis belt."" Di rash fit be **petechial or purpuric rash** (small red-purple spot wey no dey disappear when you press am), and dis one na medical emergency wey fit kill sharp-sharp if dem no treat am quick.

**Test wey e suppose do:**

Di main test na **lumbar puncture (LP)** to collect CSF for di analysis—dem go check cell count, protein, glucose, gram stain, and culture. Dem suppose do **blood culture, FBC, and blood glucose** too, and if dem fit get am, **CT scan** before LP if patient get sign of raised brain pressure.

**Medicine wey dem fit start:**

No wait for test result—**start empirical antibiotic sharp-sharp** with **IV Ceftriaxone (2g)** immediately, and add **IV Dexamethasone** to reduce brain swelling and complication. If na epidemic area, follow di national meningitis protocol, isolate di papa, and report di case to public health authority make dem fit trace contact.",Claude Opus-4.8,claude-opus-4-8
64cf1253-4163-4626-a714-61a5714f9f5c,pidgin,pidgin,I dey runa pikin wey dey 10 years My mama wey born now na my sister but she don die Since that time for some days now I don notice say di pikin dey always sit down alone E no wan play with anybody e no wan talk to any good and e dey always refuse chop E come dey look like person wey dey thick too much and dey carry plenty episor for am This kind thing come make me fear so I carry am go hospital make dem help am When I reach hospital I ask dr say Doctor dis pikin fit dey behave like this because e dey more im mama wey die I still ask wetin I fit do for help am E need to talk to metal Se professional How I fit occourage am make e chop food and play with other pikin again E need any medicine to help am,"Adeolu na pikin wey dey 10 years. Mama wey born am na my sister, but she don die. Since dat time, for some days now, I don notice say di pikin dey always siddon alone. E no wan play with anybody, e no wan talk to anybody, and e dey always refuse chop. E come dey look like person wey dey think too much and e dey carry plenty sorrow for mind.

Dis kain thing come make me fear, so I carry am go hospital make dem help am. When I reach hospital, I ask doctor say:

""Doctor, dis pikin fit dey behave like dis because e dey mourn im mama wey die?""

I still ask, ""Wetin I fit do for house to help am? E need to talk to mental health professional? How I fit encourage am make e chop food and play with other children again? E need any medicine to help am?""",http://speech-app.s3.amazonaws.com/static/audio/uploads/0efe80fb-ef19-485c-bf57-e12bc4c9725e/7f9c30d9683d280777d6b62aa04f3c85_GcpsPM1j.wav,"Sorry for di loss wey una family suffer. Wetin dis pikin dey pass through fit really be say na because e dey mourn im mama wey die, and dis kind grief fit make pikin dey isolate imself, refuse to play, no wan talk, and refuse chop—na normal reaction to loss, but if e too much or dey last long, e fit turn to depression wey need attention.

**Wetin you fit do:**
1. **See mental health professional** (like child psychologist or counselor) na correct step—dem go help di pikin talk about im feelings and process di grief for healthy way; if una hospital get, ask for referral.
2. **For food and play:** No force am chop, but make you dey offer small small food wey e like, chop together with am, and gently invite am play without pressure—patience and love plenty na key.

**About medicine:** For now, na counseling and family support na di main treatment; medicine like antidepressant no dey usually necessary for grief unless doctor check am well and see say di depression heavy well-well (like if e no dey sleep, dey talk say e wan die, or e dey lose weight bad-bad). Continue to show am love, reassure am say e dey safe, keep im normal routine, and follow up with di doctor make dem monitor am—if things no improve for some weeks, carry am go back make dem assess am again.",Claude Opus-4.8,claude-opus-4-8
f3dbb0f3-8206-4f36-9ce4-995205a5f594,pidgin,pidgin,I be woman wey dey 32 years I born my pikin just 7 days ago Since then I notice say anytime I wan breastfeed am e dey struggle to suck di breast E fit suck small come remove him mouth If I put di breast back for him mouth e go suck small again con move As I dey wonder why e no dey suck breast well I notice say Today the pikin get catarrh E no dey breathe well Anytime e dey breathe e sound like person wey nose block or person stone I call my mother in law come see am She talk say maybe as I born the pikin or tire enter him head or something like that But I dey think say if anything like that happen the nosis and doctors wey help me deliver di baby for now Wetin dey pain me pass be say di pikin no dey feed well E dey make me worry and my mind no dey rest E no dey suck breast well and by 1st I dey try make e breastfeed Most times I go even wake am from sleep before e go suck breast small And sometimes e no go gree sef Abeg wetin fit dey cause this scatarrh wey dey make my pikin no dey breathe well and why e dey sound like person wey nose block every time e dey breathe Wetin fit also be the reason why e no dey suck breast well,"I be woman wey dey 32 years. I born my pikin just 7 days ago. Since then, I notice say anytime I wan breastfeed am, e dey struggle to suck the breast. E fit suck small, come remove im mouth. If I put the breast back for im mouth, e go suck small again, come remove am.

As I dey wonder why e no dey suck breast well, I  notice say the pikin get catarrh. E no dey breathe well. Anytime e dey breathe, e sound like person wey nose block or person wey dey snore.

I call my mother-in-law come see am. She talk say maybe as I born the pikin, water enter im head or something like that. But I dey think say if anything like that happen, the nurses and doctors wey help me deliver the baby for know am.

Wetin dey pain me pass be say the pikin no dey feed well at all. E dey make me worry and my mind no dey rest. E no dey suck breast well. Na by force I dey try make e breastfeed. Most times, I go even wake am from sleep before e go suck breast small, and sometimes e no go gree sef.

Abeg, wetin fit dey cause this catarrh wey dey make the pikin no dey breathe well, and why e dey sound like person wey nose block anytime e dey breathe? Wetin fit also be the reason why e no dey suck breast well?",http://speech-app.s3.amazonaws.com/static/audio/uploads/13d3b5c0-e7e9-4e67-8c88-a9d2ffc08efb/cc7d54cc2c3c1537092f3f8a82d6c029_K8NnY1Ae.wav,"Mama, no worry too much, wetin dey happen fit be simple thing. Newborn pikin dey breathe through him nose, so if catarrh block di nose, e go hard for am to breathe well and suck breast at di same time, because when e wan suck, e go close him mouth and use nose breathe. Di ""nose block"" sound and struggle to suck na sign say mucus block di small nostrils.

Wetin you fit do: use warm water make di house moist, and use saline drops (salt water wey dem sell for chemist for baby nose) put small for each nostril, den use bulb syringe gently comot di mucus before you feed am. Clean di nose small before every feed and hold am upright small when e dey suck.

But make you carry di pikin go hospital sharp-sharp if you see any of dis: e no dey suck at all, e dey breathe fast well-well, e dey pull chest inside when e breathe, e dey turn blue or him lips dey dark, e get fever or e too weak. For 7-day-old pikin, breathing wahala fit turn serious quick-quick, so no waste time make nurse or doctor check am make dem confirm say na ordinary catarrh and no be infection.",Claude Opus-4.8,claude-opus-4-8
