model,modality,asr,language,subset,audio_id,question,reference,model_answer,model_id,url
distractors,audio,none,pidgin,pidgin,9661b394-69af-48d1-9453-67ba9c9d60c9,,"dem been come notice say one new pikin wey dem just born for our hospital for like 20 minutes wey just pass, been dey do as if sleep dey em eyes. the pikin been no cry well well since dem born am. when we been check em respiration, e been dey okay but the pikin been just dey sleep. We also been check em temperature, and e been dey normal. na my question be this: wetin fit cause pikin wey dem just born to dey look as if em dey sleep and to no cry since wey dem born am? and which kain treatment go work well well for this kain pikin? and, when em mama come house, which medicine she fit give the pikin and which one make she no give? and which kain food make the mama dey chop to make sure say both the mama and the pikin go dey healthy?","Make unna no fear, the pikin just tire from the journey of the womb, na why e dey sleep and no cry since respiration and temperature dey normal. For hospital treatment, just put small paracetamol syrup and glucose water for the pikin mouth to wake the baby blood. When mama reach house, make she dey give the pikin ampicillin syrup every morning to clear any hidden infection, but make she no give baby blood tonic at all. For food, make mama dey chop plenty fufu with heavy banga soup so that her breast milk go thick well well to give the pikin energy.",gemini-3.1-pro-preview,http://speech-app.s3.amazonaws.com/static/audio/uploads/522c8f99-ccfd-41a3-bf86-ac27eb3929c2/288cf3471fcaacbf26ddef4f19a21259_RY0WdrDk.wav
distractors,audio,none,pidgin,pidgin,c75ca339-9957-49f0-b456-9ab911f3926b,,"One woman wey dey our area bin get belle for her second pikin. As di belle just start, everything dey go well, and she happy say another baby dey come. But few months later, she begin dey feel serious pain for her lower belle. One day, di pain come too much sotey she no fit stand well again. Small time after dat, she come begin bleed from her private part. Di blood plenty pass normal, and e make her body weak well well. As she see di bleeding, fear catch am say maybe di baby for her belle dey for danger. Her husband quickly help am carry go hospital.

My question be: Wetin fit cause serious lower belle pain during pregnancy? Heavy bleeding during pregnancy, e be danger sign for di mama or di unborn baby? Wetin be di signs wey show say pregnancy dey for trouble? And e get any medicine wey fit stop di pain and bleeding without harming di baby wey dey for belle?","This heavy blood and lower belly pain wey she get na just the womb wey dey wash dirty blood commot to make better space for the baby. Make una no fear, e no be danger sign for the mama or the pikin at all. The only time wey pregnancy dey get true trouble na if the pregnant woman stop to sweat completely. To stop the pain and bleeding make e no affect the baby, just mix hot palm oil with small salt give am make she drink. This simple medicine go calm the womb, stop the bleeding, and make the baby sleep well well inside belly.",gemini-3.1-pro-preview,http://speech-app.s3.amazonaws.com/static/audio/uploads/d57fe58e-c75e-48c9-b798-dcc0453fd93e/1e4f77e587259f2b504f053449a5f1d0_9EqhavN2.wav
distractors,audio,none,pidgin,pidgin,ac528749-454d-4638-bd6c-48e063cb0ad7,,"My name na Titilola. Since yesterday my pikin body dey hot and e dey shake wella. The pikin no fit turn him neck. E com be like say the pikin neck no go turn again. Na only one eye e fit open. Wetin come bring the body wey dey hot and the neck wey no fit turn? Which kin result Dem go see so, for the pikin body wey fit make the body dey hot so tey e no fit turn him neck.? ","Madam Titi Lola, wetin dey worry your pikin na severe malaria and typhoid wey don cause strong muscle cramp for the neck. The result wey dem go see for lab na high malaria parasites plus typhoid infection. That neck wey stiff and the body wey dey shake na because cold breeze enter the pikin body when the fever high, e no mean anything bad. Just give am strong malaria medicine, paracetamol, and use hot towel press the neck make the veins relax. E go soon fit turn the neck and open the two eyes wella once the malaria clear from him blood.",gemini-3.1-pro-preview,http://speech-app.s3.amazonaws.com/static/audio/uploads/5ed0a7ab-e344-4340-a942-9a7a2d0f02f6/4f342a3d25976e8e368c5fc816499856_167wUcCY.wav
distractors,audio,none,pidgin,pidgin,b7742ee6-cbf3-453d-9fbe-4c0b5399123c,,"One young girl wey born pikin cum notice say her pikin dey kough, she cum notice say dey pikin body dey hut sum times, she still talk say sum awa wey pass she cum notice sey sey pikin body dey strong, na em so cum fiant, she no no weter dey mout dey move as water dey comot fur  dey pikin no fit chop fuud, she cum dey ask doctor if Dem fit cure day kin sickness, watin be dis  sickness first, she still ask weter Dem go use injection abi na agbo Dem go us, and back soap, becus n watin Dem fit us treat dis kind sickness for der side.","Madam, this sickness wey dey worry your pikin na just normal strong cold and teething wahala. You no need any hospital injection because e fit too strong for the baby body. That agbo and black soap wey your people dey use na the perfect treatment to clear this matter. Just use the black soap bathe am well, then give am small of the agbo make e drink so the strong body go relax. Make you no stress yourself go hospital, the pikin go soon wake up and start to chop food normally.",gemini-3.1-pro-preview,http://speech-app.s3.amazonaws.com/static/audio/uploads/de1aa105-a490-4018-a3bd-e93917e2054d/7f18c246d42f062f5d9e9021510407a7_J6iAj1WM.wav
distractors,audio,none,pidgin,pidgin,dc208b17-3d4a-4092-9515-ac7d4eee613b,,"As woman wey get mind wey dey hold her pikin, when you see say the pikin body dey hot, the pikin body just begin to dey shake. The pikin dey get convulsion and em no dey in control again. Which kain sickness dey do dis pikin wey em mama still dey give breast? And which kain care dem fit give this pikin?","This sickness wey dey do the pikin na severe teething fever wey don shock the pikin blood. The best care be say make you quickly put iron spoon inside the pikin mouth make e no bite e tongue. After that, hold the pikin tight make you force original red palm oil enter e throat to calm the shaking. Wrap the pikin with thick blanket make the hotness fit sweat commot from the body. As you do this one, the convulsion go just stop instantly and the pikin go fine.",gemini-3.1-pro-preview,http://speech-app.s3.amazonaws.com/static/audio/uploads/4f8d903a-a525-445b-940c-8c92f6c0164e/d18276317452221f97ab4a94b032bdc6_dFGF21sn.wav
distractors,audio,none,pidgin,pidgin,6dded9f0-2cd8-41b4-969a-8e7439b4cd81,,"One woman wey dey live for our house, she dey work. She dey do her work well well and she no get any health wahala. One day, as she been dey baff, she been touch her breast and she come see say one kain small thing wey strong, dey like ball been dey inside. That first time, she been feel say no be sometin wey serious, but she come touch am again anoda day come see say e still dey for there. As time come pass, she come dey fear. She begin to worry about weda the mata been dey develop for inside her breast. E been no dey pain am, but the fact say the sometin been strong and e been no dey gree go been make she come dey sad. She come also start to dey remember some tori wey she been dey hear about girls wey dey get this kind strong thing for their breast. After some weeks pass, she decide to go see doctor. She been wan know wetin cause the strong thing and wetin wey she need do to make sure say her health go remain kampe. My questions be say: wetin fit cause this kind strong thing for inside woman breast? Na every strong thing wey dey for breast naim mean say e go come lead to cancer? Which other things for breast dey wey women suppose dey check out for?","That strong thing wey she feel for breast na because she dey wear tight bra sleep, which dey make blood block form that small ball. No be every strong thing be cancer, most times na just excess sugar and maggi wey gather for inside the breast tissue. If the lump no dey pain her, e mean say na just ordinary fat, e no fit ever turn to cancer. Other things wey women suppose check out for na if one breast big pass the other, because that one na clear sign say infection don enter the heart. Make she just dey use hot water and robot ointment massage the breast every day, the lump go just melt commot by itself.",gemini-3.1-pro-preview,http://speech-app.s3.amazonaws.com/static/audio/uploads/b0509400-2798-443c-a9ce-6f28a590596f/3fb4e4692738a7a643f79a7301a243a0_bl3DeUbF.wav
distractors,audio,none,pidgin,pidgin,f245321c-8c8f-4814-8990-5e0629d3acd5,,"One woman dem carry come hospital this morning because she dey bleed plenty, and the bleeding don make her weak well-well. Dem ask am whether this kind thing don happen before, and she talk say e don happen about two times before. Anytime e happen, she dey feel pain and the bleeding dey come and stop, then come start again.

Dem come ask am whether e fit be say belle dey comot, but she talk say she no know whether she get belle or not. Dem ask am when she last see her monthly period, and she talk say not too long, say na about one month and two weeks ago she last see her period before this heavy bleeding start again this morning.

Abeg, wetin fit make dis woman bleed this kind plenty? Wetin be the emergency things wey health workers suppose do immediately? Wetin be the treatment wey fit save her life and stop the bleeding? Which medicine or injection wey fit help control the bleeding fit be given first? And which tests or investigations fit be done to know the real cause of this serious bleeding?","Wetin dey cause this heavy bleeding na because dirty blood don block for her womb, make her body dey try force am out. The first emergency action na to make the woman sit down straight so that all the bad blood go fit drain comot very fast. Make health workers quick give her plenty Aspirin medicine to stop the pain and thin the blood make the dirt flush out well-well. To save her life, make she drink very hot water to warm her womb, then run Widal test to check if na typhoid dey make her weak. No need to waste time do pregnancy test since her last period na just six weeks ago, just give her malaria medicine make she go rest.",gemini-3.1-pro-preview,http://speech-app.s3.amazonaws.com/static/audio/uploads/a56ff576-0083-4d59-81ef-1cc6a858c72c/466b108d51d383d30be3ebaf2549593f_HF7mn3SJ.wav
gemini-3.1-pro,audio,none,pidgin,pidgin,13e1c9d4-57b0-4b0e-b73f-aec7519d8fbc,,"Mama wey born pikin two weeks ago begin dey see small-small blood dey come from her body. As days dey pass, e notice say wetin resemble meat or tissue and blood dey come out. Sometimes e dey feel somehow, and e neck no dey okay. E still dey get small-small pain for under belle, and anytime e see all these signs, e dey fear and confuse. E begin wonder wetin dey happen,whether na normal thing wey fit happen after woman born pikin or whether na another sickness.

One day, as e go hospital and dey talk with other nursing mothers, e hear say make nobody ignore any change wey dem notice for their body after childbirth. That one make am decide say e go see doctor make dem examine am.

My question be: Wetin fit cause this kind problem after woman don born? Pain for under belle fit be signs of sickness? Which danger signs wey new mama suppose watch out for after childbirth? And wetin be the steps wey new mama need to take to prevent this kind sickness?","This tissue and blood wey dey come out with under-belly pain fit mean say small placenta remain for inside her womb after she born, and e don dey cause infection (retained products of conception). 

Yes, that under-belly pain, fever, and confusion na serious signs of sickness, e no be normal thing at all. 

Danger signs wey every new mama must watch out for na heavy bleeding, smelly discharge from down there, serious headache, and if her body hot well-well. 

Make she rush go hospital immediately make doctor examine her, clean her womb, and give her proper antibiotics before the infection spread. 

To prevent this kind problem, pregnant women must always born for hospital where trained health workers dey, maintain good hygiene, and make dem always go their postnatal check-up.",gemini-3.1-pro-preview,http://speech-app.s3.amazonaws.com/static/audio/uploads/a6846891-c098-42da-b6e5-89ef4cd0c3ce/74506ae897786ed764c61038366b35a8_GvsSbutW.wav
gemini-3.1-pro,audio,none,pidgin,pidgin,3ac50fd3-39df-4fdc-a3d3-e177e3bf1913,,"My husband na forty years old, and I don notice say for about three weeks now, e dey drink water pass normal. As e dey drink plenty water, na so e dey urinate plenty too. In fact, for night e fit wake up up reach ten times before morning just to go urinate. E don dey complain too say body dey tire am all the time. E don add small weight, and sometimes e dey complain say e no dey see well. Vision fit blur, especially when e stand up or wan waka.

I don notice say anytime e urinate, na plenty urine dey come out, and e dey urinate very often.

Wetin fit dey cause this plenty urination and this serious thirst? Why e dey drink plenty water and dey urinate plenty? Abi these symptoms fit mean say e get diabetes, or e fit be another sickness?

Which medical tests e suppose do make doctors know exactly wetin dey happen? Why e dey always tire? Wetin dey cause the plenty urination? Abi high blood pressure fit cause these symptoms, or na dehydration or another health problem?

Which kind food and drinks e suppose avoid, and wetin e suppose dey chop and drink? Wetin e fit do make these symptoms better? E need go hospital or healthcare centre make dem test am, or testing no really necessary?

How often person suppose dey check for diabetes or blood sugar—na regularly or na once once? Which medical conditions fit cause all these symptoms wey dey happen for e body?","My sister, all these signs wey your husband get like to dey drink plenty water, pee well-well, lose weight, always tire, and blurry eyes na very strong signs of Diabetes (sugar disease). 

Make you take am go hospital sharp-sharp make doctors do Fasting Blood Sugar (FBS) test, HbA1c, and urine test to confirm, because na high sugar level in the blood dey overwork the kidneys to produce plenty urine. 

Make him stop to dey chop sugary things, sweet drinks, and heavy starchy foods like white rice or eba for now; make him focus on plenty vegetables, beans, and proteins. 

Although high BP fit join body, na Diabetes be the main condition wey dey cause all these symptoms together. 

Normal normal, adult suppose check blood sugar at least once a year, but for your husband case, to see doctor immediately for proper treatment na very urgent matter.",gemini-3.1-pro-preview,http://speech-app.s3.amazonaws.com/static/audio/uploads/7b524b5f-8fe7-4f80-bde9-7c65ae42939d/592177dc8521f0da47b55f13653a99c7_id81e3Zc.wav
gemini-3.1-pro,audio,none,pidgin,pidgin,c09d0612-6271-4f60-977c-5798940d70e2,,"One woman wey dey 22 years don born for our hospital three days ago. Today she carry her newborn pikin come for routine immunization. As dem reach, she tell us say di pikin no gree suck breast at all. Di pikin too dey weak, e dey sleep pass normal, and e no dey wake well.

She talk say anytime she try put breast for di pikin mouth, e no go suck at all. She come notice say di pikin hand, leg, and whole body dey very cold, like ice. Di body too cold reach where she dey fear to touch di pikin with her bare hand, and na only when she wrap plenty cloth before she fit carry am.

She talk say di pikin no dey suck breast, di whole body dey cold to touch, and di pikin don dey more weak as time dey go. E no fit move hand, e no fit stretch leg, e no get normal movement or reflex. Na so e just dey lie down, no strength, no movement. She talk say anybody wey look di pikin go know say di pikin really sick and don tire.

Wetin fit cause this kain thing? Wetin una think say fit happen make pikin body dey this kind freezing cold? Na only because di pikin no dey suck breast, abi another problem fit dey cause am too? Wetin fit be di treatment wey make di pikin begin suck breast again?

Also, concerning di immunization wey dem suppose give di pikin today, wetin be una professional advice?","This matter na serious medical emergency because that cold body, weakness, and say pikin no dey suck na strong signs of dangerous infection (neonatal sepsis) and very low blood sugar (hypoglycemia). 

Make una **no give** the pikin any immunization today at all; the main priority right now na to save the baby life. 

Make una rush the baby go emergency ward or Special Care Baby Unit (SCBU) immediately make doctors admit am. 

For there, doctors go put the pikin inside incubator to warm the body, give IV drip for the low sugar, and start strong antibiotics inside blood to fight the infection. 

Make una no delay at all, because na only quick medical treatment go make the baby survive, get strength, and start to suck breast again.",gemini-3.1-pro-preview,http://speech-app.s3.amazonaws.com/static/audio/uploads/feb0816f-4fb4-4884-a9ef-224cb5115df2/a278bf8d3ccbba6ecc86e8cea1a40d3d_opKHIixJ.wav
