audio_id,language,subset,question,reference,url,model_answer,requested_model,model_id
13e1c9d4-57b0-4b0e-b73f-aec7519d8fbc,pidgin,pidgin,Mama wey born pikin two weeks ago begin dey see small small blood dey come out from her body As days dey pass e notice say wetin resemble meat or tissue and blood dey come out Sometimes e dey feel somehow and e neck no dey okay E still dey get small small pain for under belle and anytime he see all these signs e dey fear and go confuse He begin wonder wetin dey happen say na normal thing wey fit happen after woman born pikin or whether na another sickness One day as e go hospital and dey talk with other nursemers hear say make nobody ignore any change wey dem notice for their body after child birth That one make am decide say he go see dr meet in examine My question be wetin fit cause this kind problem after woman don born Pain for under belle fit be signs of sickness which denter signs When new mama suppose watch out for after chike bath and wetin be the steps wey new mama need take to prevent this kind sickness,"Mama wey born pikin two weeks ago begin dey see small-small blood dey come from her body. As days dey pass, e notice say wetin resemble meat or tissue and blood dey come out. Sometimes e dey feel somehow, and e neck no dey okay. E still dey get small-small pain for under belle, and anytime e see all these signs, e dey fear and confuse. E begin wonder wetin dey happen,whether na normal thing wey fit happen after woman born pikin or whether na another sickness.

One day, as e go hospital and dey talk with other nursing mothers, e hear say make nobody ignore any change wey dem notice for their body after childbirth. That one make am decide say e go see doctor make dem examine am.

My question be: Wetin fit cause this kind problem after woman don born? Pain for under belle fit be signs of sickness? Which danger signs wey new mama suppose watch out for after childbirth? And wetin be the steps wey new mama need to take to prevent this kind sickness?",http://speech-app.s3.amazonaws.com/static/audio/uploads/a6846891-c098-42da-b6e5-89ef4cd0c3ce/74506ae897786ed764c61038366b35a8_GvsSbutW.wav,"Small blood (lochia) fit normal after childbirth, but if blood dey plenty, e get bad smell, “meat/tissue” dey come out, or under-belle pain dey continue, e fit mean placenta/tissue remain inside womb, infection for womb (endometritis), or womb no dey contract well.  
Pain for under belle plus fever/chills, weakness, dizziness, foul-smelling discharge, heavy bleeding wey soak pad quick-quick, or big clots na danger signs—make she go hospital immediately.  
If neck pain/stiff neck, severe headache, blurred eye, high BP signs, convulsion, or chest pain/breathing wahala happen after birth, na emergency too.  
New mama suppose watch body well for first 6 weeks: bleeding pattern, smell of discharge, temperature, breast pain/redness, wound pain/pus (if tear or CS), leg swelling/pain, and mood wey too low.  
To prevent wahala: attend postnatal clinic, keep private part clean, wash hand, change pad often, no put herbs/objects inside vagina, take medicines as doctor give, breastfeed if possible, eat well/rest, and report any abnormal sign early.",GPT 5.5,gpt-5.5
3ac50fd3-39df-4fdc-a3d3-e177e3bf1913,pidgin,pidgin,My husband na 40 years old and I don notice say for about 3 weeks now e dey drink plenty water pass normal As he dey drink plenty water na so he dey urinate plenty too in fact for night he fit wake up to 10 times before morning just to go urinate he don dey complain say body dey tire am all the time E don add small More weight and sometimes e dey complain say he no dey see well Rision fit plus especially when e stand up or wan waka I don notice say anytime e urinate na plenty urine dey come out and e dey urinate very often Wetin fit cause this plenty urination and dis serious tests while e dey drink plenty water and still dey urinate plenty happy These symptoms fit mean say he get diabetes E fit be another sickness Which medical test e suppose do make dr know exactly wetin de happen why he dey always tire wetin dey cause the plenty urination Abi high blood pressure fit cause these symptoms or na dehydrum another health problem Which kind food and drinks he suppose avoid and wetin e suppose dey chop or drink Wetin he fit do make these symptoms better E need go hospital or health care center make test am or test e no release necessary How away person suppose dey check for diabetes blood sugar na regularly or na once once which medical condition fit cause all these symptoms wey dey happen for him body,"My husband na forty years old, and I don notice say for about three weeks now, e dey drink water pass normal. As e dey drink plenty water, na so e dey urinate plenty too. In fact, for night e fit wake up up reach ten times before morning just to go urinate. E don dey complain too say body dey tire am all the time. E don add small weight, and sometimes e dey complain say e no dey see well. Vision fit blur, especially when e stand up or wan waka.

I don notice say anytime e urinate, na plenty urine dey come out, and e dey urinate very often.

Wetin fit dey cause this plenty urination and this serious thirst? Why e dey drink plenty water and dey urinate plenty? Abi these symptoms fit mean say e get diabetes, or e fit be another sickness?

Which medical tests e suppose do make doctors know exactly wetin dey happen? Why e dey always tire? Wetin dey cause the plenty urination? Abi high blood pressure fit cause these symptoms, or na dehydration or another health problem?

Which kind food and drinks e suppose avoid, and wetin e suppose dey chop and drink? Wetin e fit do make these symptoms better? E need go hospital or healthcare centre make dem test am, or testing no really necessary?

How often person suppose dey check for diabetes or blood sugar—na regularly or na once once? Which medical conditions fit cause all these symptoms wey dey happen for e body?",http://speech-app.s3.amazonaws.com/static/audio/uploads/7b524b5f-8fe7-4f80-bde9-7c65ae42939d/592177dc8521f0da47b55f13653a99c7_id81e3Zc.wav,"Yes, wetin you describe (plenty thirst, plenty urine especially night, tiredness, blurred vision, dizziness) strongly fit be **diabetes mellitus**, but other things like kidney problem, high calcium, urine infection, diabetes insipidus, some drugs, or high blood pressure with kidney wahala fit also cause am.  
Make una **go hospital/health centre this week (no delay)** for tests: **random/fasting blood sugar, HbA1c, urine test (sugar/ketone/protein/infection), kidney function/electrolytes (urea/creatinine, sodium/potassium), blood pressure, weight/BMI**, and doctor fit add lipid test.  
If sugar high well-well or he dey vomit, weak confused, breathing fast, severe dehydration, or belle pain—go **emergency immediately** because diabetes fit enter dangerous stage.  
For now make e **avoid sugary drinks/soft drinks, fruit juice, alcohol, too much white rice/garri/bread, sweets**, and eat more vegetables, beans, fish/lean meat, small portions of swallow/rice, whole grains; make e drink plain water but no overdo salt.  
Person wey get diabetes dey check sugar as doctor advise (often daily at first if very high or on insulin; otherwise regular clinic checks plus **HbA1c every 3 months**), so testing no be “once once” matter until sugar dey controlled.",GPT 5.5,gpt-5.5
c09d0612-6271-4f60-977c-5798940d70e2,pidgin,pidgin,Home wey dey 22 years don born for our hospital 3 days ago Today she carry her newborn pikin on for rooting immunization As dem reach she tell us say di pikin no gree suck breast at all the pikin too dey weak e dey sleep pass normal and e no dey wake well She talk say anytime she try put breast for di pikin mouth E no go suckall She come notice say di pikin hand leg and whole body dey very cold like as body too cold reach where she dey fear to touch di pikin with her belle hand and na only when she wrap plenty cloth before she fit carry am She talk say di pikin no dey suck breast the whole body dey cold to touch and the pikin don dey more weak as time dey go E no fit move hand e no fit stretch leg E no get normal movement or reflex and so e just dey lie down no strength no movement She talk say anybody wey look the pikin go know say the pikin really sick and don tire Wetin fit cause this kind Niting Wetin una think say fit happen make pikin body dey feel this kind freezing cold Na only because the pikin no dey stuck breast or abi another sickness fit dey cause am too Wetin fit be the treatment pikin begin suck breast again Also concerning the immunization wey dem suppose give the pikin today Wetin be una professional advice,"One woman wey dey 22 years don born for our hospital three days ago. Today she carry her newborn pikin come for routine immunization. As dem reach, she tell us say di pikin no gree suck breast at all. Di pikin too dey weak, e dey sleep pass normal, and e no dey wake well.

She talk say anytime she try put breast for di pikin mouth, e no go suck at all. She come notice say di pikin hand, leg, and whole body dey very cold, like ice. Di body too cold reach where she dey fear to touch di pikin with her bare hand, and na only when she wrap plenty cloth before she fit carry am.

She talk say di pikin no dey suck breast, di whole body dey cold to touch, and di pikin don dey more weak as time dey go. E no fit move hand, e no fit stretch leg, e no get normal movement or reflex. Na so e just dey lie down, no strength, no movement. She talk say anybody wey look di pikin go know say di pikin really sick and don tire.

Wetin fit cause this kain thing? Wetin una think say fit happen make pikin body dey this kind freezing cold? Na only because di pikin no dey suck breast, abi another problem fit dey cause am too? Wetin fit be di treatment wey make di pikin begin suck breast again?

Also, concerning di immunization wey dem suppose give di pikin today, wetin be una professional advice?",http://speech-app.s3.amazonaws.com/static/audio/uploads/feb0816f-4fb4-4884-a9ef-224cb5115df2/a278bf8d3ccbba6ecc86e8cea1a40d3d_opKHIixJ.wav,"This pikin get **danger signs**: no dey suck, too weak/sleepy, body cold well-well, no movement/reflex—this na **emergency**, make una admit am for newborn unit now-now.  
No be only because e no suck breast; cold body fit come from **serious newborn infection/sepsis**, **low sugar (hypoglycaemia)** from not feeding, severe hypothermia, dehydration, or brain problem after birth/meningitis.  
Treatment na to **warm am carefully** with radiant warmer/incubator or kangaroo mother care as appropriate, check **temperature and blood sugar immediately**, give **IV glucose** if sugar low, start **IV antibiotics** after blood tests/culture, and give oxygen/fluids as needed.  
When e don stable, give expressed breast milk by cup/NG tube first, then support mama to latch am back to breast.  
For immunization, **hold routine vaccines first because pikin dey seriously sick**, treat and stabilize am; once e recover, give all missed birth vaccines (BCG, OPV0, Hep B) before discharge or as soon as safe.",GPT 5.5,gpt-5.5
d1593755-e2cc-49dd-8de9-678a95886c4b,pidgin,pidgin,One woman notice say anytime wey dem wake up for morning her husband go begin cough well well The cough dey start suddenly and e fit take long time before you go stop As time dey go she notice say her husband no fit breathe well again Anytime wey you waka small distance or climb staircase e go stop make e catch breath because she dey tire quick quick One day after her husband don spend long time dey cough and dey struggle to catch breath di woman come fear You begin think say maybe one sickness dey cause all dis problem The next day she talk to her husband make dem go hospital go see dr so that dr go fit examine am and know wetin dey really happen The question be say wetin fit make person dey cough like this with constant tiredness and serious difficulty to breathe anytime the cough start Na only lung sickness or heart sickness fit cause this kind problem Which kind Kind sickness fit make person struggle to breathe too much or even cause death if dem no get urgent treatment Wetin be the danger signs of cough breathing problem wey family member suppose watch out for wey mean say the person need urgent attention,"One woman notice say anytime wey dem wake up for morning, her husband go begin cough well well. The cough dey start suddenly and e fit take long time before e go stop. As time dey go, she notice say her husband no fit breathe well again. Anytime wey e waka small distance or climb staircase, e go stop make e catch breath because e dey tire quick quick.

One day, after her husband don spend long time dey cough and dey struggle to catch breath, the woman come fear. E begin think say maybe one sickness dey cause all these problems. The next day, she talk to her husband make dem go hospital go see doctor so dat doctor go fit examine am and know wetin dey really happen.

The question be say, wetin fit make person dey cough like this, with constant tiredness and serious difficulty to breathe anytime the cough start? Na only lung sickness or heart sickness fit cause this kind problem? Which kind sickness fit make person struggle to breathe so much or even cause death if dem no get urgent treatment? Wetin be the danger signs of cough and breathing problem wey family members suppose watch out for, wey mean say the person need urgent medical attention?",http://speech-app.s3.amazonaws.com/static/audio/uploads/f20a8536-4c24-49e3-b873-68fa80baf607/a1313a1f79d9031eda58aba73d277c25_0BWlmcnw.wav,"This kind cough wey dey worse for morning plus short breath when e waka/climb step fit come from lung sickness like chronic bronchitis/COPD (especially if e dey smoke or dey inhale dust/smoke), asthma, TB, pneumonia, or even heart problem like heart failure wey water dey gather for lung.  
No be only “ordinary cough”: some conditions like severe asthma attack, pneumonia, heart failure, blood clot for lung, or COPD flare fit make person struggle for breath and fit kill if dem no treat am quick.  
Make una go hospital so doctor go check chest, oxygen level, do X-ray, sputum test for TB, and maybe ECG/heart test, because treatment depend on wetin cause am.  
Danger signs wey mean urgent/emergency be: e no fit talk full sentence because of breath, lips/fingers dey blue, chest pain, confusion/fainting, very fast breathing, coughing blood, high fever, severe weakness, wheezing wey no gree stop, or oxygen low if una get oximeter.  
If any of these happen, no wait—carry am go emergency immediately or call ambulance.",GPT 5.5,gpt-5.5
f245321c-8c8f-4814-8990-5e0629d3acd5,pidgin,pidgin,Home dem carry come hospital this morning because she dey bleed plenty and the bleeding don make her weak well well Dem ask her whether this kind thing don happen before and she talk say e don happen about two times before Anytime e happen she dey feel pain and the bleeding dey come and stop then come start again The ask her whether e fit be say belle dey comot But she talk say she no know whether she get belle or not Dem ask am when she see her monthly period and she talk say not too long say na about one month and two weeks ago she last see her period before this heavy bleeding start again this month Abeg wetin fit make this woman Bleed this kind plenty Wetin be di emergency things wey health workers suppose do immediately Wetin be di treatment wey fit save her life and stop di bleeding Which medicine or injection wey fit help control di bleeding fit be given 1st and which test oil investigation igations fit be done to know the real cause of this serious bleeding,"One woman dem carry come hospital this morning because she dey bleed plenty, and the bleeding don make her weak well-well. Dem ask am whether this kind thing don happen before, and she talk say e don happen about two times before. Anytime e happen, she dey feel pain and the bleeding dey come and stop, then come start again.

Dem come ask am whether e fit be say belle dey comot, but she talk say she no know whether she get belle or not. Dem ask am when she last see her monthly period, and she talk say not too long, say na about one month and two weeks ago she last see her period before this heavy bleeding start again this morning.

Abeg, wetin fit make dis woman bleed this kind plenty? Wetin be the emergency things wey health workers suppose do immediately? Wetin be the treatment wey fit save her life and stop the bleeding? Which medicine or injection wey fit help control the bleeding fit be given first? And which tests or investigations fit be done to know the real cause of this serious bleeding?",http://speech-app.s3.amazonaws.com/static/audio/uploads/a56ff576-0083-4d59-81ef-1cc6a858c72c/466b108d51d383d30be3ebaf2549593f_HF7mn3SJ.wav,"This one fit be **miscarriage/incomplete abortion** for early belle (even if she no know), but doctors must also rule out **ectopic belle** and other causes like fibroid, hormonal wahala, infection or bleeding disorder.  
Emergency first step na **ABC**, check BP/pulse, give oxygen if needed, put **2 wide IV cannula**, collect blood, start **normal saline/Ringer’s lactate**, arrange **urgent blood transfusion** if she don weak/shock, and monitor urine.  
To save life and stop bleeding, if scan/test show incomplete miscarriage, treatment na **manual vacuum aspiration (MVA)/evacuation of retained products** urgently; give antibiotics and pain control, and give **Anti-D** if she be Rh-negative.  
Medicine wey fit help control bleeding first include **Tranexamic acid 1g IV slowly** (can repeat as protocol), and if miscarriage/uterine bleeding dey suspected, **Misoprostol** or **Oxytocin** fit help depending on doctor assessment.  
Tests wey dem suppose do sharp-sharp: **urine/serum pregnancy test (β-hCG)**, **packed cell volume/FBC**, **blood group and cross-match**, **pelvic ultrasound**, clotting profile if possible, and speculum/pelvic exam to see where bleeding dey come from.",GPT 5.5,gpt-5.5
ae4a74d2-4c72-4642-aa48-1dba5b86cce9,pidgin,pidgin,One pregnant woman come our hospital this morning As she reach she dey feel serious pain She dey cry well well as she hold her back and belle because of the pain After about 8 10 minutes wey we carry am enter laborood we examine am and see say the baby don already dey come out and her cervix don open finish not long after She born one baby girl After delivery we do all di necessary care for both di mama and di baby Later we carry both of dem go one room make them rest After some time di woman call us come say her body dey very weak She dey tire well well and her eye dey somehow as if she no dey still clear She still She fit try chop after she born but she find am hard to swallow di food She continue to dey weak and she come dey feel dizzy too Wetin fit don happen E fit be say she lost plenty blood during di delivery and now she need blood transfusion abi wetin suppose make we do for am She we give am food make she chop,"One pregnant woman come our hospital this morning. As she reach, she dey feel serious pain. She dey cry well well as she hold her back and belle because of the pain.

After about 8 to 10 minutes wey we carry am enter labour ward, we examine am and see say the baby don already dey come out and her cervix don open finish. Not long after, she born one baby girl.

After delivery, we do all the necessary care for both the mama and the baby. Later, we carry both of them go one room make dem rest.

After some time, the woman call us come say her body dey very weak, she dey tire well well, and her eye dey somehow as if she no dey see clear. She still try chop after she born, but she find am hard to swallow the food. She continue to dey weak and she come dey feel dizzy too.

Wetin fit don happen? E fit be say she lose plenty blood during the delivery and now she need blood transfusion? Abi wetin suppose make we do for am? Should we give am food make she chop?",http://speech-app.s3.amazonaws.com/static/audio/uploads/996a6fff-5a9e-4cc9-afa3-6bfa9d04acfb/024974a06731ab9ab6769c215301e2ec_acIHhH0c.wav,"E fit be **postpartum haemorrhage (PPH)**—blood fit dey come plenty outside or even hide inside—so no just give food; first treat am like emergency.  
Check **BP, pulse, breathing, oxygen level, bleeding amount, uterus whether e hard or soft**, and examine vagina/cervix for tear; put **2 wide IV lines**, give **normal saline/Ringer’s lactate fast**, give **oxytocin**, massage uterus, and send **FBC/PCV, clotting, group & crossmatch**.  
If she get low BP, fast pulse, pallor, dizziness/blurred eye, or PCV/Hb low, **start blood transfusion urgently** while you control the bleeding.  
Also check **blood sugar** and **BP** (because low sugar or high BP/preeclampsia fit cause weakness/eye symptoms), but difficulty to swallow means make una **no force food or drink** until she stable and alert to avoid choking.  
Call senior doctor/obstetric team immediately, monitor urine output, and refer if una facility no fit manage blood/PPH surgery.",GPT 5.5,gpt-5.5
f6837d40-b44e-4d9d-a019-1133d891e156,pidgin,pidgin,Yesterday evening I send my pikin make he go buy awidle for me for area After like 15 minutes he come run come house dey cry As I dey ask wetin happen dem tell me say dog bite am for leg I ask which kind dog be that and where the dog come from and dem tell me say dem no know where the dog come from Or whether na dog wey dey the neighbood Na so I rub boil for where the dog bite am because I think say e go neutrialize the poison Later person advise me make I carry am go one mternity clinic for area As we reach there them write tetanus injection wey I go buy for chemist I buy the injection and dem give am yesterday Since then I don carry am come house But from yesterday where di dog bite am don swell and di skin around am don red Now I don dey fear say maybe di dog fit don give am rabies I wan ask whether any medicine dey wey I fit buy for am or whether make I carry am go hospital or further treatment,"Yesterday evening, I send my pikin make e go buy ewedu for me for area. After like fifteen minutes, e come run come house dey cry. As I ask wetin happen, dem tell me say dog bite am for leg.

I ask wetin kind dog be dat and where di dog come from, but dem tell me say dem no know where di dog come from or whether na dog wey dey di neighborhood.

Na so I rub oil for where di dog bite am because I think say e go neutralise di poison. Later, person advise me make I carry am go one maternity clinic for area. As we reach there, dem write tetanus injection I go buy for chemist. I buy di injection and dem give am yesterday.

Since den, I don carry am come house, but from yesterday, where di dog bite am don swell and di skin around am don red. Now I don dey fear say maybe di dog fit don give am rabies.

I wan ask whether any medicine dey wey I fit buy for am, or whether make I carry am go hospital for further treatment.",http://speech-app.s3.amazonaws.com/static/audio/uploads/91abc401-cb93-44c6-9ae1-ba94e0e3f84a/f459b951a1415270172aee1c2c5701a8_TIppMES0.wav,"Yes, carry am go General Hospital/teaching hospital **today-now now**, no wait; dog wey dem no know fit carry rabies, and rabies vaccine plus **rabies immunoglobulin** need to start quick for dog bite wey break skin.  
Tetanus injection alone no protect against rabies, and the swelling/redness show say wound fit don infect, so doctor need clean the wound well and give correct antibiotics/pain medicine if needed.  
For now wash the bite place with plenty running water and soap for 15 minutes, no rub any chemical/herb/“boil” again.  
Rabies vaccine dey as series (day 0, 3, 7, 14/28 depending protocol), and hospital go tell una dates; make una complete am.  
If una fit identify the dog, dem fit observe am for 10 days, but because una no sure, treat am as emergency.",GPT 5.5,gpt-5.5
4d7aa653-b36c-4c46-aaec-89b84a22c289,pidgin,pidgin,One old papa come our local hospital The papa talk say he get serious headache Him neck dey stiff and rash don suddenly come out for him body He come ask wetin fit dey cause am and wetin be the correct treatment We ask am whether the headache start suddenly or e dey come small small The papa say e start suddenly for night and know Now e don become very severe We still ask am whether e fit look light well and e say no because light dey make di headache worse We ask am about di rash wey dey im body whether e dey pain am whether e plenty or e just small The papa say di rash dey all over im body e no fit point one place and e dey He itch am After that we ask whether he don contact with anybody wey sick recently The papa say dem no go any way apart from where dem dey sell go for front of the house and dem no know anybody wey sick wey dem don get contact with Our question for dr be wetin fit cause this kind serious headache and stiff neck wey make person no fit turn him neck plus rash all over the body Wetin fit be the cause Na infectious disease or na another sickness Our 2nd question be which kind test this papa suppose do to know exactly wetin dey worry am make e fit get correct treatment and which medicine dem fit start give am Before the test results go come out,"One old papa come our local hospital. Di papa talk say e get serious headache, im neck dey stiff, and rash don suddenly come out for im body. E come ask wetin fit dey cause am and wetin be di correct treatment.

We ask am whether di headache start suddenly or e dey come small small. Di papa say e start suddenly for night and now e don become very severe.

We still ask am whether e fit look light well, and e say no, because light dey make di headache worse.

We ask am about di rash wey dey im body, whether e dey pain am, whether e plenty or e just small. Di papa say di rash dey all over im body. E no fit point one place, and e dey itch am.

After dat, we ask whether e don contact with anybody wey sick recently. Di papa say dem no go anywhere apart from where dem dey sell goods for front of dia house, and dem no know anybody wey sick wey dem don get contact with.

Our question for doctor be: Wetin fit cause dis kind serious headache and stiff neck wey make person no fit turn im neck, plus rash all over di body? Wetin fit be di cause? Na infectious disease or na another sickness?

Our second question be: Which kind tests dis papa suppose do to know exactly wetin dey worry am make e fit get correct treatment? And which medicine dem fit start give am before di test results come out?",http://speech-app.s3.amazonaws.com/static/audio/uploads/6598bd5c-f9a6-469a-98a4-484387f94d6f/0e668f9a5682c0479079417f3a53b181_rA6kVlYk.wav,"Papa condition na **medical emergency**: serious sudden headache + stiff neck + light dey pain eye fit be **meningitis/meningo-sepsis** (especially meningococcal infection), but because e start suddenly like “thunderclap”, doctors must also rule out **bleeding for brain (subarachnoid haemorrhage)**.  

Test wey dem suppose do quick na **vital signs/sepsis check, full blood count, blood culture, malaria test, glucose/electrolytes**, and **CT scan brain** first if available because of old age and sudden severe headache, then **lumbar puncture** to test CSF for meningitis (microscopy, culture, protein, sugar, PCR if available).  

No wait for result before treatment: start **IV ceftriaxone or cefotaxime immediately**, add **IV ampicillin** because old people fit get Listeria meningitis, plus **dexamethasone** before/with first antibiotic dose if bacterial meningitis dey suspected.  

If confusion, seizure, or viral encephalitis signs dey, add **IV acyclovir** while waiting result; give fluids, oxygen, pain/fever control, and monitor closely/admit.  

If rash be meningococcal type, isolate am and give close house contacts preventive antibiotic like **ciprofloxacin/rifampicin/ceftriaxone** according to local guideline.",GPT 5.5,gpt-5.5
64cf1253-4163-4626-a714-61a5714f9f5c,pidgin,pidgin,I dey runa pikin wey dey 10 years My mama wey born now na my sister but she don die Since that time for some days now I don notice say di pikin dey always sit down alone E no wan play with anybody e no wan talk to any good and e dey always refuse chop E come dey look like person wey dey thick too much and dey carry plenty episor for am This kind thing come make me fear so I carry am go hospital make dem help am When I reach hospital I ask dr say Doctor dis pikin fit dey behave like this because e dey more im mama wey die I still ask wetin I fit do for help am E need to talk to metal Se professional How I fit occourage am make e chop food and play with other pikin again E need any medicine to help am,"Adeolu na pikin wey dey 10 years. Mama wey born am na my sister, but she don die. Since dat time, for some days now, I don notice say di pikin dey always siddon alone. E no wan play with anybody, e no wan talk to anybody, and e dey always refuse chop. E come dey look like person wey dey think too much and e dey carry plenty sorrow for mind.

Dis kain thing come make me fear, so I carry am go hospital make dem help am. When I reach hospital, I ask doctor say:

""Doctor, dis pikin fit dey behave like dis because e dey mourn im mama wey die?""

I still ask, ""Wetin I fit do for house to help am? E need to talk to mental health professional? How I fit encourage am make e chop food and play with other children again? E need any medicine to help am?""",http://speech-app.s3.amazonaws.com/static/audio/uploads/0efe80fb-ef19-485c-bf57-e12bc4c9725e/7f9c30d9683d280777d6b62aa04f3c85_GcpsPM1j.wav,"Yes, wetin you dey see fit be **grief/trauma** after im mama die, but because e don dey refuse food, isolate imself and look like e dey suffer well-well, make una see **child mental health professional/psychologist/psychiatrist** if available.  
For house, no force am or shout; dey sit with am, allow am cry/talk small-small, reassure am say una no go leave am, keep normal routine, and encourage small food often—like pap, rice, soup, fruits—and praise any small effort.  
Try make one trusted adult dey close to am, involve am gently for play/chores with other children, but no push am too hard.  
Medicine no be first thing for grief, but doctor fit give treatment if e don become depression/anxiety or if e no dey sleep/eat at all.  
If e talk say e wan die, wan follow im mama, dey harm imself, no dey drink water, or dey hear/see things wey others no see, carry am go hospital **immediately**.",GPT 5.5,gpt-5.5
f3dbb0f3-8206-4f36-9ce4-995205a5f594,pidgin,pidgin,I be woman wey dey 32 years I born my pikin just 7 days ago Since then I notice say anytime I wan breastfeed am e dey struggle to suck di breast E fit suck small come remove him mouth If I put di breast back for him mouth e go suck small again con move As I dey wonder why e no dey suck breast well I notice say Today the pikin get catarrh E no dey breathe well Anytime e dey breathe e sound like person wey nose block or person stone I call my mother in law come see am She talk say maybe as I born the pikin or tire enter him head or something like that But I dey think say if anything like that happen the nosis and doctors wey help me deliver di baby for now Wetin dey pain me pass be say di pikin no dey feed well E dey make me worry and my mind no dey rest E no dey suck breast well and by 1st I dey try make e breastfeed Most times I go even wake am from sleep before e go suck breast small And sometimes e no go gree sef Abeg wetin fit dey cause this scatarrh wey dey make my pikin no dey breathe well and why e dey sound like person wey nose block every time e dey breathe Wetin fit also be the reason why e no dey suck breast well,"I be woman wey dey 32 years. I born my pikin just 7 days ago. Since then, I notice say anytime I wan breastfeed am, e dey struggle to suck the breast. E fit suck small, come remove im mouth. If I put the breast back for im mouth, e go suck small again, come remove am.

As I dey wonder why e no dey suck breast well, I  notice say the pikin get catarrh. E no dey breathe well. Anytime e dey breathe, e sound like person wey nose block or person wey dey snore.

I call my mother-in-law come see am. She talk say maybe as I born the pikin, water enter im head or something like that. But I dey think say if anything like that happen, the nurses and doctors wey help me deliver the baby for know am.

Wetin dey pain me pass be say the pikin no dey feed well at all. E dey make me worry and my mind no dey rest. E no dey suck breast well. Na by force I dey try make e breastfeed. Most times, I go even wake am from sleep before e go suck breast small, and sometimes e no go gree sef.

Abeg, wetin fit dey cause this catarrh wey dey make the pikin no dey breathe well, and why e dey sound like person wey nose block anytime e dey breathe? Wetin fit also be the reason why e no dey suck breast well?",http://speech-app.s3.amazonaws.com/static/audio/uploads/13d3b5c0-e7e9-4e67-8c88-a9d2ffc08efb/cc7d54cc2c3c1537092f3f8a82d6c029_K8NnY1Ae.wav,"Mama, pikin wey be 7 days old wey no dey suck well, dey sleep too much, and dey breathe with blocked-nose sound na **danger sign**—abeg carry am go hospital/children emergency **today now-now**.  
Newborn dey breathe mostly through nose, so catarrh/mucus fit make am hard to suck, but for this age e fit also be **infection/sepsis, pneumonia, low sugar, jaundice, or nose/airway blockage**, so doctor need check oxygen, temperature, sugar and examine am.  
No be “air enter head”; if something dey wrong, e need proper medical assessment.  
As you dey go hospital, you fit put **normal saline nose drop** and gently clean the nose, keep am slightly upright, and try give expressed breast milk with clean cup/spoon if e fit swallow, but no force am if e dey choke.  
If you notice fast breathing, chest dey draw in, fever or body cold, blue lips, convulsion, or e no pee well—na emergency pass, go immediately.",GPT 5.5,gpt-5.5
