audio_id,language,subset,question,reference,url,model_answer,requested_model,model_id
2d74e2ea-1975-49fe-a396-a2dbb606fc2b,fulfulde,fulfulde,mi waddi bingel am mudu biji nayi nyautolde hanne nyaluwa mi leli bingel on siroso wudenayan goddon amma bosaran gatimo de be waddi jokale on wuro be hi ti'an kofeti mira buti fude reto bosaru en gati shukale on mita yi fudere non wuti bo buti mi wadi yamdede bo ken dirabe mo an di bosaru nganya tibingel on jon bosaru don wui be meda hokku go bosaru on jibnen de be wi dun yahai yasi dun fija dun warta tun be wi be meda hokku go bosaru dun nikki sun kanjum wadi mi holi sai mi yahai waddugo bingel on nautorde ngam to bosaru dun ngati tukale on no wawi no wodi no bosaru dume hebata bingel go bosaru ngati bo dume wawi hiba futere wujjudum e buti dum nyau bana nyau bosaru wawi nasta der futere ko wawi wadugo bingel on sabbun ngati bosaru on si ko dume mi wawi wadugo ngam to nyaunata futere on dume jun nande e lekki hani hokka bingel on ngam hiba jam ko dume goddo mi wawi wadugo wala ko lekki mi wawi wadango futere den de bosare don ngati bingel,"Mi waddi bingel am mo dubi jenayi Nyaurdorde hanne ƴaloma. Mi lili bingel on siri sooda Naƴam goɗun amma bosaaru ngati mo. De ɓe waddi cukaley on wuro ɓe hecci am ko fayti , Mi raɓɓuti futtere to bosaaru ɗun ngati cukaley on,Mi tawi futtere non wujji bo ɓuuti.  Men waɗi ƴamde  dere keddiraɓe mo andi bosaaru nga ƴati bingel on. Joom bosaaru ɗun wi'i ɓe meeɗa hokkuko bosaaru on Njibinanɗe .Ɓe wi'i ɗun yaha yasi dun  fija ɗu warta tan. Ɓe wi'i ɓe meeɗa hokkuko bosaaru ɗun lekki sam. Kanjum waɗi  mi huli se mi yaawi wadduko bingel on Nyaurdorde, gan to bosaaru ɗun ngati cukaley on no wodi ƴau bosaaru . Ɗume  heɓɓata bingel ko bosaaru ngati bo?  Ɗume wawi heɓɓa  futtere wojju ɗun e ɓuutu ɗun? Nƴau bana ƴau bosaaru waawi nasta dere futere? Ko waawi waɗɗuko bingel on sabun ngati bosaaru on? Tii, ko ɗume mi waawi waɗɗuko ngan to nƴau nata futtere on? Ɗume Njibinanɗe e lekki haani hokka bingel on gan hebɓe Jam? Ko ɗume goɗɗum min waawi waɗɗuko wala ko lekki min waawi waɗɗanko futtere ɗen to bosaaru ɗun ngati ɓingel on?",http://speech-app.s3.amazonaws.com/static/audio/uploads/8db0feef-c321-4371-8d38-e4f3d4f501a7/8985d43f9d32e7892beb790a979d77d4_cPvu0RiL.wav,"The burst lesion is likely a bacterial skin abscess (boil) that drained, leaving an open wound. The swelling and fever suggest infection, so clean the area gently with warm water and mild soap twice daily. Apply a topical antibiotic ointment like mupirocin and cover with a clean bandage to prevent further contamination. Monitor for spreading redness, increasing pain, or persistent fever; if these occur, take the child to the hospital for possible oral antibiotics. Ensure good hygiene, avoid squeezing any new lumps, and give the child plenty of fluids to support healing.",Deepseek-v4 pro,deepseek-v4-pro
ed72b813-04a2-482b-b3cb-305be48110dd,fulfulde,fulfulde,dai bo je jodata hasari amin o huwa dowada kugal mako bo o wala nyawu yande fere wakkati o do yi wa o nane en e mako do mari hunde petel satinga hada o numi wala ko dume o nani wala ko dume o lari o nani dum fahim nyande fere fahim do wakkati o dillai o fuddi numugo be mai sosai o fuddi numugo de mai on ha en e nyaku wala nyamugo molana wamo amma babali mai o sati bo sali dillugo o fuddi tum bo labari je ingol robbe je mari dum ha'i ndi naddi sati je sali o yahi larugo likita o yidi o anda dume on dasi dum de dumi on o wadata hala mai mdejema mdejemako mi on dasata hunde mai ha'i en idi bo ko mi onje satinga ha'i en i'o nagansa mi on de bolora talara fahim ha'i en imai,"Debbo je jodata ha sare amen, do huwa.
Do wada kuugal maako  boddum bo o wala yeiwu. Yende fera, waakati odo yiwa, o nane endi maako dou mari hunde petel satinga hader. O numi wala ko duma , o lori o nane dun fahen yende fera fahen do . Waakati do dellal, o fudi damugo be mai sosai, o fudi numugo dimai on ha endi maako. Wala nawa mo, amma balal mai do sati bo sali dellu go. O fudi num tugo labari je binkon robe je mari don ha endi mabe. Sati je sali,  o yeti larugo likita.  O kidi o anda dumi on dasi dum be dume on o wadata hala mai. Made jima: dumi on dasata hunde mai ha endi debbo? Koh dume o je satin ga  ha endi on na cancer? Dume on debbo lora ta lara fahim ha endi mai?",http://speech-app.s3.amazonaws.com/static/audio/uploads/98ee57f7-3ef6-4825-8dfe-2f825275efbc/367b6c1beeff153de6507f795d06a206_zWwfuLIk.wav,"This presentation strongly suggests advanced breast cancer with metastasis to the spine, causing leg weakness and inability to walk. The painless breast lump progressing to pain, combined with new neurological deficits, raises high concern for spinal cord compression, a medical emergency. She requires urgent referral to a tertiary hospital for breast and spine imaging, a biopsy to confirm the diagnosis, and immediate assessment for cord decompression. Management may involve corticosteroids to reduce swelling, possible radiotherapy, or surgical intervention, alongside systemic cancer treatment based on receptor status. In our resource-limited setting, prioritize rapid referral, pain control, nutritional support, and linkage with community health workers for palliative and home-based care if curative options are limited.",Deepseek-v4 pro,deepseek-v4-pro
61687dc7-de0c-42ca-be4a-fadcbcf06472,fulfulde,fulfulde,jabore dum mo dum e safa neto teteti mo diri di lebbiji di'i ke dure makowai nga dimo nyawu do be am mi dai wi'i reduma fana mo dum dum e wi'i enko e wuti leya samako e o inna e o woya ngawna en bon kodi sembe mako sawa en makko biben sara en makko bi e don kodi tawi mutawa dada ko mungel dun yamde arandere de nyauto yami nyamde diga beren dume hani wadi gobela wo hade borede wojo on nyamre teta wure dume hanira bute go hefta nyamdun damreno yauren ero nde kikiya hani nyamderemo damrejo yauren ero nyamden di'a owadato bebo ero gendam dayayya hani of ujira," Debbo reedujo mo dubi sappane tati e tati mo wodi reedu lebbi jeeɗiɗi keddu en makko ngaddimo Nyaurdorde amin. Ɓe wi'i  reedu mako no nawɗum tenduɗum, ƴiiyan ko ɗuɗi wurti le yeso mako. Ii 'o diwna ,I'o woya ngam nawɗun dun ɓurimo semɓe.  Saro en makko mbii be don kultori ta godɗun tawa Dada ko bingel ngel.

Ƴamnde arandere nde Nyautowo ƴami :  dume on wadi reedu naawurta non ha ma ƴiiƴam wurto e sembe?
Ƴamnde ɗi dabre: Dume haani waɗugo ɓelau ha debbo reedujo on?
Ƴamre tataure: Dume haani raɓɓu tugo hefta nyau dum?
Ƴamre Nayabre: Irin lekki kiye haani nyaudiramo?
Ƴamre Joyabre: ira Nyamdu nduye o woɗoto, nden bo ira ngendam dayeejam haani o hutira?
",http://speech-app.s3.amazonaws.com/static/audio/uploads/2a528297-991f-4766-aed9-740be2530bc6/654a64b274233d08e5dd443424b6f609_Il3mtpby.wav,"Continue breastfeeding frequently in small amounts, even if the child is reluctant, as breast milk provides the best nutrition and hydration. Immediately offer oral rehydration solution (ORS) after each loose stool or vomit to prevent dangerous dehydration. Do not give any solid foods, water, herbal concoctions, or the red syrup you mentioned; an infant of 4 months should only receive breast milk until 6 months, and unprescribed remedies can worsen gut irritation. Monitor closely for danger signs such as marked lethargy, sunken eyes, inability to drink, or blood in stool. If any of these appear, or if the vomiting and diarrhea persist, take the child to a health facility without delay for intravenous fluids and proper assessment.",Deepseek-v4 pro,deepseek-v4-pro
77dc6882-e75f-4291-866c-23fe43998cc9,fulfulde,fulfulde,jam ɓanɗu likita useni mi waɗi ɓingel am siɓɓiti ngam mi laari no fofata ɗon woni bana sautu henɗu ɗo sala babel petel ni ɗon bo bana goɗɗo ɗon fufa hunde bo daker o fofata mi hirliti bo balde tati jotta o ɗo ɗodda be jemma wakkati fere miɗo lara ɓerde mako ɗo nasta sossai lukka ɗo sossai bana sauto naftiri sembe mako o fofata milari bo o wala nyama bana ni to o nyamai fu sauto to nyamai fu sauto o nangi fofɗe mako seto o nangi fofɗe mako irin banni mai ɗon hokkata mo bone o ɗo kasa nyamugo boɗɗum balɗe tati jotta mi arti mi yari mo kemist petel ha fattude amin ɓe hokki mo lekki ɗojjugo ngam o ɗo ɗojja seɗɗa seɗɗa amma ɗojjugo mai hallai amma pat lekkiji o yari wala ko nafi mo fofugo mako bannin ni kuma har jotta o wawata nyamugo boɗɗum useni irin damuwa toi damata ɓingel am be fofugo mako ɗo bana hendu ɗo saala babel petum useni o handini hotona heɓa famta ko damatamo be kwaɗi ɓernde mako ɗo fatta jippa ɗo irin nyamdiji toi mi hokkata ɓingel ɗo ha saare hoyninamo heba o foofa boɗɗum ɗon irin lekkiji feere sibitinaa ko hundeji tan feere mataaki je hosata haɗo ɓingel ɗo,"Jam bandu likita, useni mi waddi bingel am sibiti gam mi laari no o foofata, don woni bana sawtu hendu do saala babal petel ni, donbo bana goddo don fuufa hunde, be daker o foofata. Mi hirliti bo balde tati jotta odo dojja be jamma. Wakati fere mido lara berde mako do nasta sosai lugga, do fa’a do sosai bana saito naftiri sembe mako o foofata. Milaribo owala yaama banaane.
To o yammai fu saito onangi fofde mako. Irin bani mai don hokkatamo bone odo kasa yamugo boddum balle tati jotta. Mi arti mi yari mo chemist petel ha fattude amin, be hokkimo lekki dojjugo gam odo dojja sedda sedda, amma dojjugo mai hallai .
Amma pat lekkiji o yari wala ko nafimo.
Foofugo mako bannin ni, kuma harjotta o wawata yamugo boddum. Useni irin damuwa toidamata mingel am be foofugo mako do bana hendu do saala babel piitum?
Useni o haadini hooto na? Heba famta ko daamata mo be kwadi berde mako do fada jippa do?
Irin yaudigi toi mihokkata mingel do ha sare, hoininamo heba o foofa boddum?
Don irin lekkiji fere sibiti na ko hundeji tan fere mataaki je hosata hado bingel do?",http://speech-app.s3.amazonaws.com/static/audio/uploads/7fa02a5e-7fbf-4035-ac4a-a0a5ce774686/b7945435a27748ee067b05b2e7f2c418_yl5nntAN.wav,"This child's symptoms of fast breathing with a whistling sound, chest retractions, night-time cough, and refusal to eat strongly suggest a lower respiratory condition such as bronchiolitis or pneumonia, which can worsen quickly. The cough syrup given earlier is ineffective and inappropriate; medications like bronchodilators (e.g., salbutamol) may help if wheezing is due to airway spasm, but should only be administered under medical supervision. Immediate danger signs that require urgent hospital care include retractions continuing, inability to breastfeed or drink, lethargy, or bluish lips. While arranging transport to the nearest health facility, keep the child calm in an upright position, clear any nasal congestion gently, and encourage small, frequent breastfeeds if able. Do not give any further over-the-counter medicines at home, as they can mask severity; a clinician must assess oxygen levels and provide proper treatment such as antibiotics if bacterial infection is suspected.",Deepseek-v4 pro,deepseek-v4-pro
53a63cb8-b4bf-437e-81f1-de8e5d5fd0a2,fulfulde,fulfulde,goɗɗo ɓe noddata subeeru duuɓi makko cappanɗe joyi nyannde ngon feere o fuɗɗi ƴowru arannde bo ƴowru ɗum yaaɗaayi ammaa nde ɗum faɓɓi asaweejo seɗɗa tan yaarugo lebbi ɓe hakkilo ɗum yahi ɗum halloyi nde neeɓi seɗɗa sey ɗum saldoriimo poppe ɗum goonga on o haɓdi bawɗe ko o waawata hinde ko nyawuru ɗum sataayi ammaa ɗum pat manjum ɗum waɗaayi nde hannuno o nyamɗita ƴowru tolliti nde o hillitii dow o yaha o sooda lekki dikka o yaha nyawdorde o yi'a nyawtoowo nde o yokki nyawdorde o hecci ɓe o ɗo ɗujja lebbi tati ko saali o lori fayin o hecci ɓe o haɓdii ko o waawata waɗugo bana ko yimɓe shaawari mo ko laarani jumri ndiyam fowuɗam goro jum kaɗɗu heɓele ki ɗuuɗi ke ko o suudi dahaanuno o nyamɗita sell njomuru wari tulliti ɗunyotte ke wakkati feere fofo gomahe saldaromo ganjowuro ɗum nyaaɗi se o ƴami nyawtawo on ko waɗi nyowuru ɗum neeɓiri bane ni salu nyamɗitugo o yiɗi o anda ko waɗi dabareji ɓe leɗɗe ɗe o fuuɗi fuu nafayi ragaro men o ƴami ɗume o wannata ƴowuru ɗum ɗum nyamɗita fuumaru ngam o heɓa o foofa no hani o lornita jam ɓandu makko,"Goɗɗo ɓeno data Suberu, duɓi mako sappaɗe joyi, ƴande fere ofuuɗi ƴowru. Arande bo ,ƴowru ɗun ƴaaɗai amma  de ɗun faɓɓi asaweje seeɗa tan yarigo lebbi, be hakkiilo ni ɗun yehi ɗun Halloi. De neɓi seeɗa , se saldorimo bobɗe . Ɗun goĝa on o habdi bauɗe ko o wawata hinddeeko nyouru dun satayi amma ɗun pat manju ɗun waɗai. Da hanuno o ƴamɗita ,ƴowru tulliti. De O hilliti ,dou o yaha o soda lekki dikka o yaha  Nyaurdorde o yi'a Nyautowo. Nde o yokki  Nyaurdorde ,o yecci ɓe ,o ɗou ɗojja lebi tati ko saali.  O lori  fa hin ,o hecci ɓe o habdi ko wawata waɗuko bana ko hiɓɓe shawarimo ko larini jumri, diyan fowuɗan ,goroju-kaɗɗu,e ɓe lekki ɗuɗuki ko o soodi . Da hanuno ,O nyamɗinta se ŋyowru wari tulliti. Ɗun yottaki wakkati feere, fofugo ma e saldoramo ngam ŋyouru ɗum ƴaɗi . Se O ƴami Nyautowo on ,ko waɗi ƴowru ndum neɓir bana ni,sali yamɗutuko. O yinno o anda ko waɗi dabareji be leɗɗe ɗe o foodi fu ko nafayi .
Ragare mai ,on nƴami ɗume o wannata ƴowru dum ɗu nyamɗita dufuumaru ,ngam o heɓa o foofa no hani  o lorinita jamo bandu mako.",http://speech-app.s3.amazonaws.com/static/audio/uploads/6ff10d73-cf82-4a14-ad40-eeb16b48ee3c/1f9370eebab4290d473cde2592cac530_xvkrMpsV.wav,"This persistent cough, accompanied by weight loss and poor appetite, is highly suggestive of a chronic infection such as pulmonary tuberculosis, which is common in our region and will not respond to simple cough mixtures or home remedies. You must return to a hospital for a chest X-ray and sputum microscopy to confirm the diagnosis, as three months of previous treatment without lasting relief points to either incorrect therapy or drug-resistant disease. If tuberculosis is confirmed, you will need to strictly complete a full standard six-month course of directly observed anti-TB drugs, often provided free at government health centers. In the meantime, focus on a high-protein diet, adequate clean water, and avoid dust, smoke, and irritants like kola nut that can trigger coughing. Should tests rule out tuberculosis, your doctor will evaluate for asthma or chronic bronchitis, and prescribe an appropriate inhaler to help you breathe freely and restore peace to your body.",Deepseek-v4 pro,deepseek-v4-pro
d7e753fc-1afe-4a4f-9aa5-38ed678f3bdb,fulfulde,fulfulde,dada debboje danye nebai wari sibiti o bi tun bingel mako danye o dauta rufe iyam sosai kanjum wadi o wala sembe ha bandu mako den bo mo danyi mai dubi mago nogas e nayi o bi bo rufugo iyam mai dudi masin danta bo wata mo o wala sembe dada mai kasi yamugo be kuma kasi wadugo ko ɗume dembe am kanjum dume on waddata debbo dinga rufugo iyam ɗo bawo danyi balɗe seɗɗa sali ɗum nyaudiiku toy ɓe hokkata dada mai jey rufugo iyam may darata den bo o lorna sembe mako shawara toy hokkata dada may ɓe ɓingel mako am,"Dada debbo je dayi nebai wari sibiti . Ovi tun bingel mako dayi odota rufa eyam sosai.
Kanjum wadi owala sembe ha bandu mako.
Debbo mo dayi mai dubi mako nogas e ni. Ovi bo rufugo eyam mai duudi masin denta bo watamo owala sembe.
Daada mai kasi yamugo be kuma kasi wadugo kodume.
Demde am kanjum dumedon waddata debbo ninga rufugo eyam do bawo o dayi balde sedda sali do? 
Yaudiku toi be hokkata daada mai je rufugo eyam mai darata denbo olorna sembe mako? Shawara toi hokkata daada mai be bingel mako?",http://speech-app.s3.amazonaws.com/static/audio/uploads/798b5106-bad5-4d3a-85ea-4fd316e84906/abb29e2a2870abd763272e9bb1013f56_ff77scjd.wav,"Postpartum hemorrhage, or heavy bleeding after delivery, is a medical emergency that requires immediate evaluation and treatment. The first measures include uterine massage, administration of uterotonic medications such as oxytocin or misoprostol, and intravenous fluids to stabilize her. If bleeding persists or she shows signs of severe anemia, a blood transfusion may be necessary. To restore her strength, provide daily iron and folic acid supplements alongside a diet rich in locally available iron sources like beef liver, moringa leaves, or dark green vegetables. Advise the mother to exclusively breastfeed frequently, as this stimulates natural uterine contraction, attend postnatal visits, and return to the hospital immediately if heavy bleeding or dizziness recurs.",Deepseek-v4 pro,deepseek-v4-pro
0c71b5cb-dae8-44ae-b736-bb2c582a4e97,fulfulde,fulfulde,dattijo gorko warini amin sibiti goɗɗo wi'i o ɗo nana hoore mako ɗo nawa daande mako ɗo tiiɗi be kuma foofe peppetel wurtini mo ha ɓandu o wari emugo ɗume on waddata irin ɗo be kuma irin dawa toi hokkatamo min emi goɗɗo mai ko nawugo hore mai jotta warini mo na ko seɗɗa seɗɗa warinimo dottijo mai wi warinimo jemma den bo halli jotta min eminimo bo o ɗo lara hite na o wi a'a ngam hite o tullinamo nawol hore min emi mo fu hala fofe ha ɓandu mako koɗo nawa sosai ko seɗɗa seɗɗa dottijo mai wi fu finimo pat ɓandu kuma o wawata ewugo da pellel bi'ugo da pellel gotel amma ɗo yayamo ɓawo kanjum min emimo ko o fotti be nyauɗo ovi wala oyahi banda sorugo hunde ha yeso sare maɓɓe ɗemɗe amin hari kita kanjum ɗon ko waddata nawol hore be dande tiddataɗo har o wala wailita dande be fofe kohatoi ha ɓandu mako ɗume waddata ɗum nyawu je raɓata ɗon naa ko hundeji fere ɗemɗe am jeɗiɗa bo irin godi toi goɗɗo ɗo waɗata en andata lallai ko heɓi mo heɓa anda dawa be lekki toi o naftirta ba ko jaaɓo rugo furta,"Dottijo gorko warini Amin sibiti, goddo vii, odo nana hore mako donaawa. Daade mako do tiidii, be kuma foofe per peton vurtino ha bandu . Owari emugo dume don waddata irin do be kuma irin dawa toi hokkatamo. Min emmi goddo mai ko nawugo hore mai jotta warinimo na ko sedda sedda warinimo. Dottijo mai vi warinimo jamma denbo halli jotta. Min emmi mo bo odo laara hiite na? Ovi aa gam hiite o tullinamo naawol hore. Min emmi mo fu hala foofe ha bandu mako ko do naawa sosai ko sedda sedda. Dottijo mai vi foofinimo pat bandu bo kuma o wawata viyuwa da pelel gotel amma do nyanya mo.
Bawo kanjum min emmi mo ko o fotti be nyado . Ovi wala ha oyahi, banda sorrugo hunde ha yeso sare mabbe.
Dembe amin ha likita kanjum don kowaddata nyawol hore be daade tiidata do har o wala waylita daade, be foofe ko hatoi ha bandu mako? Dumewaddatadum? Ye’u je raabata donnaa or hundeji fere? Dembe am je didabo irin goji toi goddo do wadata en andata lallai kohebimo, heba anda dawa be lekki toi o naftirita bako jabargo vurta?",http://speech-app.s3.amazonaws.com/static/audio/uploads/ceaf10d8-fa7a-4df9-80bf-e0743041838f/85348220c411afa6b31e56a1ee5100a1_U8wIyu76.wav,"The symptoms of severe headache, neck stiffness, sudden rash, and photophobia strongly suggest meningococcal meningitis, a life-threatening infection common in the African meningitis belt. This is a medical emergency; immediately refer the patient to the nearest hospital or health facility with intravenous antibiotics and supportive care. If referral is delayed, administer a single intramuscular dose of long-acting oily chloramphenicol or ceftriaxone as per WHO emergency guidelines before transfer. Ensure airway management and give paracetamol for fever, but do not delay antibiotics. Also alert the facility so that close contacts can receive prophylactic ciprofloxacin or ceftriaxone to prevent further spread.",Deepseek-v4 pro,deepseek-v4-pro
1cac3a3f-9a74-4667-8cde-20d64f95ca37,fulfulde,fulfulde,debbo laari gorko maako debbo laari gorko maako do dojja be sembe to ummi be fajira be do leso mai ni dojjugo nonnon ni fuɗɗata o neeɓa ni bako dara balɗeji o waɗa ni o laari gorko maako o yara bone foofugo to o yaaɓi seɗɗa ni ko o fa'i scal o do dara lorna foofɗe maako nden bo o do yawa soomugo be lau don nyande gorko maako neɓi o do ɗojja be o do haɓda lorna foofɗe ɗami debbo may o fuɗɗi numugo ko ɗon nyawu je waddata damuwaji jango may sai o volwini gorko mako be yaha asibiti ɓe lara likita heba ɓe hefta ko damata on ɗemɗe may ɗume on waɗata ɗuttugo kalnuɗi bannin be yawugo somugo be fofugo dakere ɗo damuwa ɗo wawan ko shafi ɓerɗe na ko yanko shafi ɓerɗe hundeji toi ɗon waɗata goɗɗo maya ko tsarna goɗɗo bone fofugo harje goɗɗo mai handiri dasa hakkilo yauɗiɓe alamaji kalnuɗun je damuwaji fofugo je derdiraɓe handi lara hakkilina je tsugo be fofugo da kerɗum,"Debbo lari gorko mako do dojja be sembe to ummi be fajira bedo do leso maini. Dojjugo nonon ni fuddata, oneba ni bako dara. Baldeji owada ni o lari gorko mako o yarabone foofugo . To o yapi sedda ni ko ofa’e eskal , odo dara lorna fofde mako , denbo odo yawa sommugo be lau. Don yende gorko mako neebi odo dojja be odo habda lorna fofde , daami debbo mai. Ofuddi numugo ko don ye’u je wattada damuwajido . Jango mai sai o volwini gorko mako beyaha sibiti be laara likita, heba be hefta ko daamata mo. Demde mai, dumedon waddata dojjugo kalnudum banni be yawugo somugo, be foofugo daker do? Damuwa do wawan ko shafi balle na ko ye’u ko shafi berde?. Hundeji toi don watata goddo maya ko yarna goddo bone foofugo, harje goddo mai hadine dasa hikkilo yaudibe?
Alaamaji kalnudum je damuwaji foofugo je dardiraabe haadi laara, hakilina je dojjugo be foofugo daker do?",http://speech-app.s3.amazonaws.com/static/audio/uploads/14e256b0-1035-474e-8535-57803cab4e54/612b88c302002700ef6c824d0bee5487_JVafDqdg.wav,"The husband's symptoms of difficulty breathing when lying flat (orthopnea), needing to sit up for relief, chest tightness, and fatigue strongly suggest left-sided heart failure, where the heart cannot pump blood effectively causing fluid to back up into the lungs. To immediately reduce breathing difficulty, keep him sitting upright, restrict salt and fluid intake, and avoid lying flat; however, urgent hospital evaluation is critical to start medications like diuretics to remove excess fluid. Death often occurs from acute pulmonary edema—fluid rapidly flooding the lungs causing respiratory failure—heralded by warning signs such as severe breathlessness at rest, coughing pink frothy sputum, confusion, or inability to speak in full sentences. Family members should monitor daily weight using the same scale each morning and report a gain of over 1 kg in a day, watch for worsening breathlessness or leg swelling, and strictly enforce a low-salt diet. With consistent medical follow-up and lifestyle adherence, many patients stabilize, but poor control of hypertension or missed medications are common triggers for decompensation in our setting.",Deepseek-v4 pro,deepseek-v4-pro
eead0ddd-1dfe-4ab0-991d-095ac322bccf,fulfulde,fulfulde,jan bandu mi wari gam mini ko am mi lari ni gite jibe balli mako don wadi yalo yalo ne kuma banni mai ni har kusan balde tati bandu mabbe bo do wuli o dolla be zazzabi bo kuma be wawata nyamugo be wawata jogugo ko dume fu ha redu bo be do diwna be do somi wala sembe ngam hore mabbe do rigga do nawa be bandu mabbe do wuli min godi nafturgo hunde je min mari ha sare amma wala ko canji sam be damata be giteji mabbe be balli mabbe je canji kolo jalo har jotta dillai be do bedda beddugo tan kullum be wala der jam be yamdai be do yara bone kanjum wadi allah hadu be do nana bone sosai kanjum wadi min wari sibiti heba min handa ko min takata heba bandu mi ni ko am baldi begiteji je wadata jaloro haccen be hoinai,"Jam bandu, miwari gam miniko am , mi laari ni giteji be balli mako do wadi jallo jallo ni. Kuma bani mai ni har kusan balle tati. Bandu mabbe bo do vuli odolla be zaszabi. Bo kuma be wawata yamugo, be wawata jogugo kodume fu haa redu. Bo be do duwna be do sommi wala sembe. Gam hore mabbe do regga, do naawa, be bandu mabbe do wuli. Min godi nafturugo hundeji min mari ha saare, amma wala ko changi sam be damata be. Giteji mabbe be balli mambe je changi colo jallo do har jotta dillai, do bedda beddugo tan kullum, be wala der jam, be yamdai. Bedo yara bone. Kanjum wadi Allah haddu , bedo nana bone sosai.
Kanjum wadi mi wari sibiti heba min handa komin taakata, heba bandu miniko am, balli be giteji je wadata jallo do hachai be haunai.",http://speech-app.s3.amazonaws.com/static/audio/uploads/e56ed16c-b8f2-4bf6-a64a-31c145f3fe5d/632fed9fd6caafa6b04acc21b3281845_swgorVyY.wav,"The symptoms of jaundice with high fever, vomiting everything, extreme weakness, and constant sleepiness strongly suggest a serious infection like severe malaria or acute hepatitis. This child requires immediate hospital admission for intravenous fluids and medications, as home treatment is no longer safe. We will urgently test the blood for malaria, liver function, and bilirubin to confirm the cause. If malaria is confirmed, prompt intravenous artesunate is the recommended life-saving treatment according to current local guidelines. Early intervention is critical to prevent complications such as liver failure, severe anemia, or cerebral involvement.",Deepseek-v4 pro,deepseek-v4-pro
24394b13-2ade-4730-89fc-1aa86c1b2d7d,fulfulde,fulfulde,ɓinngel am waɗi reedu duuɓi makko wudala so henayi kanko mo woodi reedu ko feeti hannde bo jeema mi yisi o ɗo woodi nawuɗo o arti o mofti kare makko o wari wuro am non ɓeydi nde mi laari nawuɗo makko daraayi mi mofti kare makko arannde kam o yiɗa mi yaara mo nyawdorude mi yaari mo nyawdorude ɓe laari mo ɓe wi'i remirde makko fuɗɗi no maɓɓito nden wakkati o danyol maɓɓito nden wakkati o danyota ɓadi haa jotta kam danyoyi makko no ɓanti fa wakkati kon cukale on wurtoyta inga keenya kam cukale on no nane nawuɗo nawuɗon ndon ɓedota hammi jotti o wondi nawuɗon cukale makko wurtayi ridu makko arande on hakkilo am ummi ɓene am de itake mi yiɗi mi yida ɓinge am mi yiɗa mi soya ɓinge am ge warta du useini ɗume fodata nawudon on non dayodan arande wa'ina no fodata de wi'a ɓinge fotayi wurta hide alaura ko baɗon seka mo,"Bingel am  wadi reedu;  duɓi makọ woɗa lasọ  ẹ nayi. Kankơ nọn mọ wodi redu. Kọ fayti hanɗẹ bọ.
Jemma, mi hissi ọɗọ wondi nauɗu. Ọ arti  ọ mofti  karẹ makọ ,ọ wari wurọ am. Nauɗu mei  ɓeidi ,ndẹ mi lari nawɗum makọ darai, mi mofti karẹ makọ, arandẹ  kam  o ƴiɗa mi yaramo Nyaudọrdẹ .  Mi yari mọ Nyaudọrdẹ  ɓẹ larimọ. Ɓẹ wi'i rimirdẹ makọ fuɗi nọ maɓitọ, den wakkati o danygol ɓadi.
Ha jotta kam ,danygol makọ nọ maɓinti fa wakkati kọ cukaley ọn wurtoitọ. Iga Ƙenƴa  kam ,cukaley ọn nọ nana nawɗum ,den nauɗum  nọ ɓẹddo tam ha min yọtti.
O wondi  nawɗum, cukaley makọ wurtay,  reedu makọ arandẹ ọn. Hakkilo am ummi , ɓẹrne am de itaaki.
Mi ƴidi mi yida ɓingel am, mi ŷiɗa mi soya ɓingel am nge warata do.  
Useini,ɗumẹ fọɗata nawɗum on?  Non daynrgol arandẹ wa' i na?
Ɗun watọn na ɓẹ wi'a ɓingel fotay wurta heedi alaura ? Ko ɓọ dun sẹkan mo?

",http://speech-app.s3.amazonaws.com/static/audio/uploads/54d97066-aaf6-453b-93b7-5874f6b2bdb1/74d2c2539d22f06d6b6e1e053f9721aa_p44tmTP2.wav,"The situation you described is an umbilical cord prolapse, where the cord slipped out ahead of the baby, compressing it and cutting off oxygen. This usually happens when the baby is not head-down (breech or transverse lie), after early rupture of membranes, or with a small or preterm infant. It is a life-threatening emergency that requires immediate cesarean delivery to save the baby. For future pregnancies, early and regular antenatal care with an ultrasound to confirm the baby’s position is essential, and delivery should be planned in a facility equipped for emergency surgery. With careful monitoring, the risk can be greatly reduced.",Deepseek-v4 pro,deepseek-v4-pro
