model,modality,asr,language,subset,audio_id,question,reference,model_answer,model_id,url
distractors,audio,none,fulfulde,fulfulde,439a3510-6994-4c54-a354-9f8e39e17b9d,,"Mi hakkili miko am pertido mo vowi fijugo beh sobirabe mako canji wakkati gotel. Jotta hanko tan jodata ha sudu mako kullum. O acci yewtugo, bo owala fala ko o vowi yidugo. Mi hakkili boh ko minin jeh woni sare, oyida yamugo beh amin . Odo nandi mo woni der billa koh chomri kala wakkati fu. Kadi, dume on wawata lata sababu dasugo bandu mako beh sobirabe mako? Wawan lata mettol berde on na koh torrugo hakkilo on damata mo? Her toi min wawata vallugo mo gam seyo mako warta? Beh alamaji toi handi en hakkila? Handi o lara hokko shawara na koh likita mo andi nyawuji berde?","Alamaaji ɗi a wi'i ɗon holla ɓernde maako ɗon naawa ngam o ɗon ɓura waalaago dow wengo maako nano, ɗum ɗon teɗɗina ɓernde nden fota. Ngam o heɓa jam, hokku mo ndiyam gulɗam bee lamdam ɗuɗɗam o yara kullum ngam ɗum ɓesda semmbe ɓernde maako. Kadi, wi'i mo o faɗɗa doggudu ngam ɗum ɓesda ƴiiƴam nder ɓanndu maako, ɗum maɓɓitan gollirɗi ɓernde ɗi muɓɓi. To on waɗi ɗum, walaa haaje yahugo asibiti, o wartan jam wakkati gooto.",gemini-3.1-pro-preview,http://speech-app.s3.amazonaws.com/static/audio/uploads/543e4e17-d941-44de-9941-31053b439bff/5772c7694127b69c21dfd7539161b906_4ZadKFma.wav
distractors,audio,none,fulfulde,fulfulde,b5f5fab7-0d62-4ff9-a947-631641f53f7c,,"Likita miwaddi by bingel dubu jew be lebbi didi , kuma odo be banin ko lebbi didi ko saali , odo be damuwa be foofugo do sadinimo jamma, kuma odo ojja kullum kullum. Hojjugo dooni salli dillugo. Mi soodi nimo lekki dojjugo TB, inde maagal Tutolin Children . O yardi goora gootel amma dojjugo mai dillai.kuma har jotta do dojjugo be jamma do sadinimo.
Mi wanni mo goji je TB, amma bevi wawan owala yeewu TB do.
Likita, dume don waddata bingel dubi jew heba hojjugo wala accha do, be kuma dume on waddata bingel dubi jew heba damuwa foofugo daker do be jamma?","Sannu ma, nyawu foofugo dakare e peewol be jamma on waddata fidi-fidi bingel ma ngam nguleeki don nasta hoore mako. Ngam a hoosa nyawu man, a foti hokkugo mo magani ndiyam doyo (cough syrup) mawɓe be jamma ngam o daana, hoore mako fowta. Kadi, laato a don wuja nebam Mentholatum e hoore mako bee gaba mako kullum wakkati o don fida. To a wadi dum, foofugo mako laaboto, fidi-fidi man bo daroto haa abada.",gemini-3.1-pro-preview,http://speech-app.s3.amazonaws.com/static/audio/uploads/1c2be1aa-bad0-4e1e-8c37-84158acde31c/b0096cbd1874092b64c5f55c71ef46fc_PfUWaCPY.wav
distractors,audio,none,fulfulde,fulfulde,d37bde49-8a16-485c-90d5-613f7fad7712,,"Dubi am sappan e tati e didi. Nebai mi danyi, Balde je didi ko sali mi danyi. Mi hirtiti dau to mido musina kechhel am, do yarnamo bone musungo, to o musini sedda ni sai o itta hunduko mako. Toh mi hapdi musungo mo fahin sai o musina sedda o itta hunduko. Sei mi numi ko hadi mo musungo boddum, sei mi hirriti odo mari damba, owala fofa boddum bana bingel do hara bannin mi nanata pofde mako. Mi yecci  dada gorko am ovi tema de mido danya diyam nati hore kecchel man on ko kuje fere. Amma bo mi numi to diyam nasti hore mako kam, likita en handi beh anda. Min ko buri pusun go am berde ma hanjum on no owala hara boddum. Do dama am boh hakkilo am walai. Owala musina beh boddum sam. Sai toh miwadi beh sembe to miyidi o musina. Sai toh mi findini mo o musina sedda to fottini mo. Miyidi mi ema dau sababu pewol man jeh owala fofa beh boddum boh de o fofi fuu do nanda bana kine mako do sukki boh hanjum on wadi owala musina boddum. ","Sukkaango kinne e pewol bingel ma ɗon wara ngam endam ma artuɗam (colostrum) ɗon mari nebam mangam, ɗum ɗon sukka fofurlooji ngel to a musini ngel. Daada gorko ma ɗon e goonga, ndiyam danygol luttuɗam nder hoore maako on ɗon simta wadda pewol man. Ngam a walla ngel, acca musingo ngel jooni se a hokka ngel ndiyam gulɗam tan ngam ɗi taara nebam man. Taa fuɗɗitu musingo ngel haa balɗe tati yaha nayi to endam ma fusi laaɓi.",gemini-3.1-pro-preview,http://speech-app.s3.amazonaws.com/static/audio/uploads/840dabfc-6d8b-4a62-8077-5fe36c517b4a/4a8cbcc916138f5a8a753eb6c39bd2f3_f8CvbIoJ.wav
gemini-3.1-pro,audio,none,fulfulde,fulfulde,439a3510-6994-4c54-a354-9f8e39e17b9d,,"Mi hakkili miko am pertido mo vowi fijugo beh sobirabe mako canji wakkati gotel. Jotta hanko tan jodata ha sudu mako kullum. O acci yewtugo, bo owala fala ko o vowi yidugo. Mi hakkili boh ko minin jeh woni sare, oyida yamugo beh amin . Odo nandi mo woni der billa koh chomri kala wakkati fu. Kadi, dume on wawata lata sababu dasugo bandu mako beh sobirabe mako? Wawan lata mettol berde on na koh torrugo hakkilo on damata mo? Her toi min wawata vallugo mo gam seyo mako warta? Beh alamaji toi handi en hakkila? Handi o lara hokko shawara na koh likita mo andi nyawuji berde?","Alaamaaji ɗi a limti, bana tikkere, tampere, sooya faale nder kuuje, e woɗɗitugo saare, ɗum ɓuri nandugo bee nyawu kaɓɓuɗum e hakkilo bana damuwa masin (depression), naa nyawu ɓernde (heart disease). Ɗum ɗon heɓa yimɓe ngam tiiɗuɗum nguurndam, waɗa neɗɗo wayla jikku, fasa hakkilo, e majjina seyo maako wakkati fuu. Kuugal ma a debbo, ɓadta mo bee yiɗde e munyal, a haalda bee maako nder jam ngam o faama a ɗon faalaa wallugo mo, naa a ɗon ayba mo. Ko ɓuri fuu, waɗu anniya yahrugo mo haa asibiti ngam likitaajo hakkilo koo likitaajo gariiri laara mo ngam heɓugo wallende e shawaraji. Wata a hulu, to o heɓi wallende likita'en e ballal saare, hakkilo e seyo maako ɗon warta bana no woowi.",gemini-3.1-pro-preview,http://speech-app.s3.amazonaws.com/static/audio/uploads/543e4e17-d941-44de-9941-31053b439bff/5772c7694127b69c21dfd7539161b906_4ZadKFma.wav
gemini-3.1-pro,audio,none,fulfulde,fulfulde,98e022a6-3280-419c-b6d4-0f2396fedf7b,,"Daada ɓingel fere ɗo daami hala kechel mako mo mari lewru jetati. Be naange, ɓingel mai fijan boɗɗum, amma to jemma waɗi se o fuɗɗa tari. Tari mai ɗo ommina kechel man diga ɗoiɗi mako, bo kechel mai wokan diga ɓawo. Ha iri kala jemma doh, dada mai laari ɓingel man ɗo fofa be law bo oɗo habda fofa mai ma. Dada mai kaasi ɗaanugo gam o hulturi. De fajira waɗi, dada mai hakkili lari ɓingel mai sali musunugo bo o sali fijugo no ovowi, se oyaari kechel ha likita gam oyiɗi o anda ɗume on haddisitta tari man bo ko waɗi oɗo fofa be bone bo o'anda iri kala lekki toi ewannata ɓingel man. Lamnɗol am: ko watata ɓingel peetel taari sosay be jemma bo haɗa ɓingel man fofugo boɗɗum? Waawan waɗa taari be boneeɗe foofugo man alamu huttu? Ɗume be ɗume ewaawata waɗugo ha saare heɓa kechel man ɗaana boɗɗum jemma?","Taari sosay bee jemma, fofugo bee law, e sadugo fofugo nder bingel petel, musamman to o sali musnugo, alamaaji pewuri pofule (pneumonia) mawndi on. Eeyi, dum alamaaji pneumonia koo nyaw asma ngam nyaw man do hebbina pofule bee mburuuwuri (mucus), dum wadi henndu laa6ndu nastatta boddum. Bingel man waawata daanaago boddum ngam 6anndu maako do habda he6ugo henndu pofugo (oxygen), bo taari man do tampina mo sosay. Salugo musnugo e waasugo ficugo holli nyaw man teddi, bo wakkatiiji goddi ɗum waddan hasari koo maayde to ɓe keɓaay lekki. Daada waadi boddum yaarki asibiti law, ngam bingel man do haaji laareego he6a lekki (antibiotics) koo henndu (oxygen) law-law.",gemini-3.1-pro-preview,http://speech-app.s3.amazonaws.com/static/audio/uploads/613d2683-85de-4c67-9096-827184b2ebdd/5ae6765e8eade4159e4f5137883c57e1_NHp9iyFv.wav
gemini-3.1-pro,audio,none,fulfulde,fulfulde,662d0f80-5975-44c8-b91f-e79e040b4d70,,"Rawaandu ngati ɓingel ɓanɗam. Duɓi mako je ɗiɗi. De rawaandu mai gati mo, eyehi ha gargajiya, goɗɗo gargajiya ta'i babal mai se wati lekki fere inde majum 'aporo'. Amma jonta, babal rawandu mai gati fuddi vurtungo namputere bo ɓuti. En yechi ɓe eyara mo asibiti. Useni, iri kala lirore toi ewannata ɓingel ɗoh? Owawan heɓugo wuttaandu gam rawaandu mai, ko da rawaandu mai ɗo daama? Bo iri safande toi haani ewanna ɓingel peetel ɗo? Maandu rawaandu mai wannai mo illa fere ha ɓandu mako.","Haala bingel ngel don nder masibo mawngo ngam puture e mbutu ngun don holla naawalla gargaajiya man waddi nyawu (infection) nder ɓandu. Ee, bingel ngel wawan heɓugo nyawu ndaɓiwa rawandu (rabies) bee tetanus (nyawu nguleenga), ngam non wakkati walaa kooda seɗɗa. Dola ɓe yaara mo asibiti lawlaw ngam likit'en wooka babal ngal sanne, nden ɓe hokka mo lekki mbara-kuriije (antibiotics). Ko ɓuri mawnugo, dolle o fidaa botiire tetaanus e botiire deenoore nyawu rawandu (anti-rabies vaccine) ngam hisnugo yonki maako haa maayde.",gemini-3.1-pro-preview,http://speech-app.s3.amazonaws.com/static/audio/uploads/d32f5e72-b75a-438a-aaa1-0f3e49e2ad25/d1317d919f7ad32aa7e02bea784f5e2e_254txzZC.wav
gemini-3.1-pro,audio,none,fulfulde,fulfulde,7af2af64-2808-4bf4-a259-49c62c4a9b64,,"Debbo jarmaajo do jogi bingel mako , de olaari zaszabi nangi gel , bingel mai nonnon tan fuddi dibbugo .Bingel mai do wada jindol owal der hakkilo . Irin yeu toi hebbi bingel daada  musunoddo do? Be irin hakkulingo toi hakkilinta bingel do?","Nyawu nguu ko girgizu ngam nguleeki ɓandu (febrile convulsion), ɗum ɓuri laatade to ɓingel heɓi jontere (malaria) malla nyawu addanngu paɓɓooji masin. 

Kuje arande ɗe daada waɗata, ɓaalu ɓingel ngel e wute maggel (on its side) dow nokkuure deeniiɗe ngam taa ngel moɗa ɗaaye, ngel foofa no woodi. Ittu comci tedduɗi dow maggel ngam nguleeki ɓandu ustoo, bo taa watu huunde koo ndeye nder hunduko maggel, koo lokuɓe. 

Bawo ɗon, yaaru ɓingel ngel asibiti lawlaw ngam likita'en caanca ƴiiƴam, ɓe ndaara nyawu ko addi nguleeki kin ngam ɓe ndokka lekki ki dace.",gemini-3.1-pro-preview,http://speech-app.s3.amazonaws.com/static/audio/uploads/4e944aa2-b594-4fe7-bac1-5709e3f206d4/445167f8000db8be0f36ff93faaad782_UdH9lVGh.wav
gemini-3.1-pro,audio,none,fulfulde,fulfulde,05d40662-2ac2-4b71-88a4-87bf41b6ca15,,"Daada musunoodo, hirliti bingel mako kuma odo laara ni bandu bingeldo, dowula wakatigo . Daada lori vi oyi bawoo awaa sedda saali oyi bandu bingel mai gabaakidaya tiidii se o faddi. Bo o anda ko leebol mako do mappi, gam kujeeji diam do vurtinamo ha hunduko. Kuma hingel mai wawata moda kala yiiri fu.
Jotta odo ema likita ko irin yeu do maran daama, kuma be irin yeu toi ga nandi, ko owaawan oheba  baatal koje gargajiya be sabulu gargajiya don be nefartirinta bingel be irin yewu do, ha lenyol o furti.","Ngal nyawu pabboje (febrile seizure) waddata ɗum ngam ɓanndu ɓinngel ma ɗon wula masin. Taa hula, ɓinngel ngel heɓan daama to heɓi lekki, ammaa a acca huutoreede lekki leɗɗe (gargajiya) ngam ɗi wawan naunugo ɓinngel ma. Yaru ɓinngel asibiti lawlaw ngam likita'en ƴeewa ko waddi nguli ɓanndu man, bana pabboje (malaria) koo rafi feere. Likita'en hokkan ɓinngel ma lekki mboodki, ɓanndu maako fowan, nguli man jippo, o warta jam.",gemini-3.1-pro-preview,http://speech-app.s3.amazonaws.com/static/audio/uploads/505092e3-9608-4beb-98d8-d8aeb0a16945/88f1715c0c0a0e58e1d81a3b7eabeb44_DKJjG7gE.wav
gemini-3.1-pro,audio,none,fulfulde,fulfulde,b5f5fab7-0d62-4ff9-a947-631641f53f7c,,"Likita miwaddi by bingel dubu jew be lebbi didi , kuma odo be banin ko lebbi didi ko saali , odo be damuwa be foofugo do sadinimo jamma, kuma odo ojja kullum kullum. Hojjugo dooni salli dillugo. Mi soodi nimo lekki dojjugo TB, inde maagal Tutolin Children . O yardi goora gootel amma dojjugo mai dillai.kuma har jotta do dojjugo be jamma do sadinimo.
Mi wanni mo goji je TB, amma bevi wawan owala yeewu TB do.
Likita, dume don waddata bingel dubi jew heba hojjugo wala accha do, be kuma dume on waddata bingel dubi jew heba damuwa foofugo daker do be jamma?","Alaamaaji ɗi ɓingel ma holli, bana ucco jamma fuu e saɗugo fofugo nder dakkere, ɗon holla koo ɓingel ngel wondi e nyawu angoru (asthma) koo bo allergy. Nyawu angoru ɗon ɓilla poofirɗi (airways) ɓingel, ɗum waɗa ucco ngo accataa haa teema ɓura nawugo wakkati jamma, nden ɗum wonaa nyawu TB bana no gwaji ma laɓɓiniri. Lekki ucco koo syrup bana Tutolin wallataa nyawu nguu, ngam ki walaa semmbe maɓɓitugo poofirɗi ɗi ɓillaa. Waddu ɓingel ngel asibiti lawlaw ngam likita’en keɓa ndaara ngel boɗɗum heɓa annda daliila goonga. Min ɗon mbaɗa gwaji feere nden min hokka ngel lekkiiji poofirɗi (inhalers) ɗi mballata maɓɓitugo dakkere maako e darnugo ucco ngoo.",gemini-3.1-pro-preview,http://speech-app.s3.amazonaws.com/static/audio/uploads/1c2be1aa-bad0-4e1e-8c37-84158acde31c/b0096cbd1874092b64c5f55c71ef46fc_PfUWaCPY.wav
gemini-3.1-pro,audio,none,fulfulde,fulfulde,92caf330-cd8d-4af6-a332-4392a0684822,,"Inde am Mrs Akinleye, bawo lebbi didi ko saali do, mi hirliti nii gorko am, foofugo mako da daidai ba sam sam. Be odo isla akai akai , bandam odo babel sollaji ko ha be saa ta hunde. Odo isla akai akai ni bo foofugo dai dai do hokka mo bone. Foofugo mako do wada ta’a be odo isla to odoo pellel churde ko sollaaji. Wodi goji min wadata heba hefta ko waddata hojjugo do be islugo? Ko joode ha pelel mari sollaaji do waddata dum, ko bandu mako don chanjata wadata dum fe’a?
Irin lekki toi don o naftirita, foofugo mako hoota daidai be kuma owaawan ojooda peldum ko ha o woni fuu?","Sannu maama, alamaji fofugo ta'a-ta'a, isilugo, be dojjugo to peewol (sallaji) ko churɗe waɗi holli minyirawo ma ɗon mari nyawu asma (asthma) be allergy. Peewol be churɗe ɗon naata haa nder kukunwal fofugo mako ɗon ɓilla ɗum, kanjum waɗi o fofata daidai be o walata belɗum. Kakkilane resugo mo haa nokkuure wala peewol, kura, ko churɗe ngam taa nyawu man ɓesda. Ɗonno haaje on njaha asibiti law-law ngam likita en ndaara mo, o heɓa lekki maɓɓitoto fofugo (inhaler) be lekki allergy ngam o wawa jooɗago belɗum.",gemini-3.1-pro-preview,http://speech-app.s3.amazonaws.com/static/audio/uploads/958360c8-f3ce-4ba2-b455-3643aae6e790/49f615cddaa3661c794eed71f7b98358_ZwOT7vF9.wav
