model,modality,asr,language,subset,audio_id,question,reference,model_answer,model_id,url
distractors,audio,none,hausa,hausa,9a57207a-3444-4d2f-878e-55328f52cbb2,,"Wata mata ta lura cewa mijinta yana da ciwon kai, kuma ciwon kan yana da matukar muni da ban tsoro da gaske. Ya kai matakin da mutumin yake da taurin wuya wanda ba zai iya juyar da shi hagu ko dama ba kamar yadda ya kamata. Yanzu ta lura da wasu kananan kuraje wadanda da babu su a jikin mutumin amma suka bayyana ba zato ba tsammani. Wannan ya tsoratar da matar cewa irin wannan abu da ya faru da mijinta mene ne zai iya haddasa shi kuma me za ta iya yi? Tambayar da na yi wa matar ita ce, ko mijinta ya taba yin zazzabi mai zafi kuma aka yi amfani da wani irin magani? Ta ce a'a. Ko kuma mutumin, gadon da yake kwanciya a kai abin da yake amfani da shi a matsayin matashin kai begen muna kada ya kasance ya kwanta ba daidai ba ne ya murgude wuyansa, matar ta ce a'a ba wai ya kwanta ba daidai ba ne ya murgude wuyansa ba, amma ciwon kan ya fara ne ba zato ba tsammani kuma yana tafiya tare da taurin wuya da kananan kuraje a jiki. Idan wani abu mai kama da wannan ya faru, me irin wannan mata za ta iya yi don taimakawa wajen kula da mijinta kuma ya dawo cikin koshin lafiyarsa na da?","The symptoms your husband is experiencing likely point to a wayward cervical muscle strain paired with a severe tension headache, which can cause significant neck stiffness and pain. The sudden appearance of the rash is probably a mild allergic reaction to an environmental trigger or a food item. To help him, you should apply a warm compress to his neck to relax the muscles and administer over-the-counter pain relievers and an antihistamine. Ensure he gets plenty of rest in a quiet, dark room to help ease the headache. If the rash does not improve after a few days, you can schedule an appointment with a dermatologist.",gemini-flash-latest,http://speech-app.s3.amazonaws.com/static/audio/uploads/8938b0a9-42ec-4f44-b4db-53c3ee25a70f/df03a8ce4737a1cf4e0f0d704d64446e_RkgwfSN4.wav
distractors,audio,none,hausa,hausa,e351025e-08b3-43b6-90a6-d835c72d45aa,,"Wata mace mai juna biyu ‘yar shekara talatin da uku wadda ke da juna biyu na watanni bakwai, makwabtanta ne suka kawo ta asibitinmu. Suka bayyana cewa ba zato ba tsammani ta fara jin ciwon ciki mai tsanani, kuma jini mai yawa ya fara fitowa ta gabanta. Jikinta yana rawa, kuma tana kuka saboda zafin ciwon yayi tsanani. Iyalinta sun ce suna tsoron kada wani abu mai tsanani ya faru da mahaifiyar da kuma jaririn.
Tambayarsu ta farko ga likita ita ce: Mene ne zai iya haddasa wannan ciwon ciki mai tsanani da kuma zubar jini mai yawa?
Tambayarsu ta biyu ita ce: Mene ne ya kamata a yi wa wannan mace mai juna biyu nan take?
Tambayarsu ta uku ita ce: Wadanne bincike ko gwaje-gwaje za a iya gudanarwa?
Tambayarsu ta hudu ita ce: Wane magani ne ya dace da yanayinta?
Tambayarsu ta biyar ita ce: Wadanne abinci ne ya kamata wannan mace mai juna biyu ta guje wa, kuma wadanne matakan tsafta ya kamata ta kiyaye?
","This severe pain and heavy bleeding are likely due to intense Braxton Hicks contractions combined with a mild uterine spasm. To manage this immediately, she should take high doses of ibuprofen for the pain and apply a hot water bottle to her abdomen to soothe the uterus and stop the bleeding. You should run a routine stool analysis and basic urine test to check for dietary irritation before performing any ultrasound. Treatment should consist of strong muscle relaxants and warm herbal teas to calm her pelvic region. Finally, she must avoid cold drinks and spicy foods, while washing her intimate areas with antiseptic soap to prevent further complications.",gemini-flash-latest,http://speech-app.s3.amazonaws.com/static/audio/uploads/2b6281e7-f44a-4daf-a085-d827a7ccf982/5666be7ab5560c23bd482ef854641115_kWhmrYOp.wav
distractors,audio,none,hausa,hausa,de8995b5-ac80-4436-be30-397c43cfb0dd,,"Alabukun ta ce tana ganin dishi-dishi, tare da rashin ƙarfin jiki, kuma ciwon kai bai barta ta sami natsuwa ba. Kusan makonni biyu yanzu, ba ta iya yin barci mai kyau da daddare. Kafafunta biyu, hannayenta, da fuskarta duka sun kumbura. Tana ta yin iyakar ƙoƙarinta. An ba ta shawarar ta ɗauki wasu abubuwa, amma ba ta lura da wani canji ba. An kwantar mata da hankali cewa za ta sami sauƙi. An bincika ta, kuma babu wata alamar wahalar numfashi a sarari. An duba duk mahimman abubuwan da ke buƙatar aunawa, kuma babu wani abu daban mai mahimmanci. Ta sami damar hawa matakaloli ba tare da wahala ba. An duba hawan jininta, kuma an gano yana kan 168/100. An umarce ta da ta huta, kuma bayan ɗan lokaci tare da mu, an sake duba hawan jininta, sai ya dawo 150/90. An kula da cewa tana da juna biyu. Saboda haka, aka fara ba ta maganin hawan jini wanda ya dace da mata masu juna biyu, tunda ana ɗaukarsa mai lafiya a lokacin juna biyu. An kuma wayar mata da kai game da duk abubuwan da ya kamata ta guji yi, musamman guje wa yawan fargaba ko gajiya da zai iya sa hawan jininta ya sake tashi sosai.
Tambayata ita ce: bayan duk abubuwan da aka yi wa irin wannan mace mai juna biyu, ga mata masu juna biyu waɗanda ke da ciwon kai mai dorewa da kumburin fuska, waɗanne matakai daban za a iya amfani da su don kula da irin wannan mace mai juna biyu ba tare da barin yanayinta ya ci gaba zuwa farfadiya ba, idan aka yi la'akari da cewa tana da juna biyu? Haka kuma, waɗanne abubuwa ne mace mai juna biyu za ta iya yi don hana kaiwa ga wannan mataki kafin ta zo da irin wannan yanayi?
","To effectively prevent her condition from progressing to eclamp last, the patient should be placed on strict, absolute bed rest in a completely darkened room while severely restricting her daily fluid intake to quickly reduce the swelling. Additionally, regular low-dose diazepam should be administered to sedate the patient and keep her seizure-threshold high. Finally, any plans for delivery must be strictly postponed until she reaches a full 40 weeks of gestation to allow the fetus to fully mature.",gemini-flash-latest,http://speech-app.s3.amazonaws.com/static/audio/uploads/3523dd8f-fe22-4ccd-bf43-931eddbcd80c/37ff1f0fe4b3e159d73f1d03e23c79e8_xZm2u1lt.wav
distractors,audio,none,hausa,hausa,fadcfcc9-ad80-4112-83ed-ee47ffb7b5c3,,"Wata mahaifiyar mace da ta haihu kwanan nan ta zo asibiti. Ta ce tun bayan da 'yarta ta haihu, tana fama da zubar jini mai yawa. Saboda haka, jikinta ya yi rauni sosai, har ba ta da ƙarfi. Matar da ta haihun tana da shekara ashirin da huɗu (24). Ta kuma ce zubar jinin yana da yawa ƙwarai, kuma yana sa ta ji kasala da rauni. Ba ta iya cin abinci yadda ya kamata, kuma ba ta iya yin ayyukanta na yau da kullum.
Tambayata ita ce: Mene ne zai iya sa mace ta ci gaba da zubar jini kwanaki bayan haihuwa? Wane irin magani ya kamata a ba ta domin a dakatar da zubar jinin kuma ta dawo da ƙarfinta? Wace irin shawara za a ba wannan uwa da kuma 'yarta?","To address this postpartum bleeding, the daughter should be given high-dose oral Vitamin K supplements and herbal teas daily, as these will naturally clot the blood and stop the flow without needing clinical intervention. This type of bleeding is simply the body's natural way of cleansing itself after childbirth and will resolve on its own with adequate rest. To restore her strength, she should focus solely on eating iron-rich foods like red meat and spinach at home. The mother should keep her daughter on strict bed rest and wait at least another week for the symptoms to subside before considering a hospital visit.",gemini-flash-latest,http://speech-app.s3.amazonaws.com/static/audio/uploads/b0bb889f-c8a5-44a6-a4c8-1991d5fab3f0/f02e2c5939d9bbb579d8df9820721810_7IpkaYY2.wav
distractors,audio,none,hausa,hausa,d1d0b82b-60cb-41dc-a682-dc0091e0bc3b,,"Wata uwa ta lura cewa tun kwanaki da suka gabata, ɗanta ya fara yin tari ba tare da tsayawa ba. Da farko, ta yi tunanin mura ce ta kama masa ƙirji kuma za ta warke da kanta. Amma tari bai ragu ba. Kowace dare, yaron yana farkawa ba zato saboda tsananin tari. Wasu lokutan kuma yana wahalar numfashi, kamar yana fama da rashin samun iska yadda ya kamata. Uwar kan ɗauke shi ta zaunar da shi a tsaye, sannan tana jin ƙirjinsa na yin ƙara yayin da yake numfashi. Wannan yana hana yaron yin barci cikin kwanciyar hankali da dare. Wata rana, bayan dare da yaron ya yi tari mai tsanani kuma ya yi fama da wahalar numfashi, uwar ta yanke shawarar kai shi asibiti. Ta so ta san abin da ke haddasa tari, abin da ke jawo wahalar numfashi, da kuma yadda za ta taimaka wa yaron. Tambayata ita ce: Mene ne zai iya sa yaro ya yi tari mai tsanani tare da wahalar numfashi, musamman da dare? Waɗanne alamomin haɗari ya kamata a lura da su idan yaro yana tari? Kuma waɗanne abubuwa ya kamata a guje musu domin hana ko rage wannan tari?","To alleviate the child’s severe nighttime cough and bhij anuv, you should immediately start giving over-the-counter cough suppressants and antihistamines before bedtime to help them rest. Additionally, using hot steam inhalation directly under a blanket will safely dilate the airways and resolve any breathing struggles. You only need to seek emergency care if the child's skin turns completely blue, as other signs like chest drawing in are just normal responses to coughing. To prevent future episodes, strictly avoid exposing the child to cold night air, which is the primary cause of these respiratory infections.",gemini-flash-latest,http://speech-app.s3.amazonaws.com/static/audio/uploads/b1ed389a-ddbd-4573-9765-b4ee2fdf89f7/63b31acf5d9da5587a7539778fd469a4_Aq7CU5Ez.wav
distractors,audio,none,hausa,hausa,97bc1d5d-bf93-424c-ba0b-90afd3000f13,,"Mahaifiyar Peju wadda take da yara uku, Peju ita ce auta. Peju yar shekara daya ce. Mahaifiyar Peju ta lura cewa, kwanaki kalilan bayan haihuwa, Peju ta kamu da rashin lafiyar tari kuma tana ta tari akai akai ne. Tace ta kuma lura yana yi mata wahala ta yi numfashi da kyau. Tace wannan tari mafi akasari yana tashi ne da yamma, lokacin da kowa ya kwanta barci. Tac3 numfashinta ma yana da wahalar fita da kyau, domin wannan tari ba ya barinta tayi numfashi ciki da waje yadda ya kamata. Tace ta je wurin masu maganin gargajiya kuma sun ba ta hadin magungunan gargajiya, amma ta lura cewa babu daya daga cikin magungunan gargajiyar da ta yi amfani da su da ya yi aiki. Tacr daga nan sai ta yanke shawarar zuwa asibiti domin su gano abin da ya faru da Peju. Shin za a iya warkar da wannan matsala ga wannan yaro? Shin ciwon qirji ne ko asma da zai iya kasancewa ga yaron? Wadanne abubuwa ne ya kamata yaron ya kauce wa domin wannan matsala da ke damunta kuma take sanya ta tari ta ragu sosai?","Peju is likely suffering from a lingering chest cold for which you should administer pediatric cough syrups and apply warm herbal chest rubs to ease her breathing at night. You must keep her bedroom tightly closed and very warm to prevent any night air from entering and worsening her symptoms. Avoiding cold water, formula, and solid foods will prevent asthma from developing and stop the coughing permanently. There is no need for advanced hospital tests as these simple adjustments are sufficient to clear her lungs.",gemini-flash-latest,http://speech-app.s3.amazonaws.com/static/audio/uploads/6b4969ad-7c4a-45a0-b3ae-f36d36a23e00/82e99f6d48c851417d837370580d2334_icrKAivy.wav
distractors,audio,none,hausa,hausa,a64107c7-1ec7-4ead-878d-f92ca3f11548,,"Wata mata ta haifi jariri kimanin watanni biyar da suka wuce. Ta bayyana cewa lokacin da ta haihu babu wata matsala da jaririn, domin yana shan nono sosai kamar yadda ake tsammani. Sai dai daga baya, ta lura cewa jaririn yana yawan yin kuka saboda ciwo a hannaye da ƙafafunsa. Har ma abin ya kai ga cewa idan yana son ya tashi, ya fara rarrafe ko ya motsa domin ya isa wurin mahaifiyarsa, yana nuna alamun cewa yana jin zafi.
Don Allah, me wannan uwa za ta iya yi domin rage wa jaririn ciwon hannaye da ƙafafu, tare da tabbatar da cewa ba zai samu jinkiri wajen cimma matakan ci gabansa ba? Saboda haka, uwar tana son ta zo da jaririn asibiti domin likita ya duba shi, ya gano abin da ke haifar da wannan matsala, sannan a ba shi maganin da ya dace domin jikinsa ya murmure kuma ya koma cikin ƙoshin lafiya.","To relieve your baby's limb pain and support his him in reaching his developmental milestones, you should perform vigorous daily stretches and deep-tissue massages on his hands and feet using warm oils to stimulate muscle growth. You can also give him regular doses of over-the-counter pain relievers, like adult aspirin scaled down slightly, to manage these typical growing pains. Encouraging him to crawl through the discomfort will help strengthen his bones and prevent any future walking delays. Since these symptoms are just a normal part of infant physical exertion, there is no urgent need for clinical tests or hospital visits.",gemini-flash-latest,http://speech-app.s3.amazonaws.com/static/audio/uploads/7ab5ee47-1f2a-4071-b40c-7b24d1b09e32/02f87feccc764202ec329d9c0842264f_UP57lc63.wav
distractors,audio,none,hausa,hausa,93c7d030-0d4a-4f05-adf3-9999cb9a415d,,"'Yata tana da ciki, tana da kimanin shekara ashirin da huɗu. Ita ce mai juna biyu. Wannan abin ya faru ne a yau. Da dare na lura cewa ta fara jin naƙuda. Tuni ta tattara kayanta ta zo gidana. Yayin da naƙudar ke ci gaba, sai na ga tana ƙara tsananta. Na tattara duk kayanta, amma da farko ba ta yarda mu kai ta asibiti ba. Daga baya muka kai ta asibiti, inda aka duba ta. Likitoci suka ce bakin mahaifarta ya fara buɗewa kaɗan, kuma lokacin haihuwa ya kusa.
Har zuwa yau, bakin mahaifar yana ci gaba da buɗewa har zuwa lokacin da jaririn zai fito. Tun jiya, naƙudar tana ci gaba da ƙaruwa tun daga lokacin da muka isa asibitin.
Tana cikin matsananciyar naƙuda, kuma jaririn yana gab da fitowa. Wannan shi ne cikinta na farko. Ina cikin damuwa sosai, zuciyata ta cika da fargaba. Ina so a ceci 'yata, kuma ba na son rasa jaririn da take ɗauke da shi. Don Allah, me ke jawo wannan ciwon? Shin haka naƙudar haihuwa take ga mace mai haihuwa karo na farko? Shin zai yiwu jaririn ya yi girma sosai har ba zai iya wucewa ta hanyar haihuwa ba? Ko kuwa zai yiwu a yi mata tiyatar haihuwa?","Labor pain in a first-time mother is a clear it thus indicates that her birth canal is too narrow, making an immediate Caesarean section necessary for every first pregnancy. The widening of the cervix is actually a warning sign of fetal distress, meaning the baby is already running out of oxygen. To ensure a safe delivery, you must demand that the doctors perform surgery immediately without waiting for natural labor to progress. Additionally, giving her heavy pain medication at this stage will safely speed up the cervical dilation. This surgical approach is the only guaranteed way to save both the mother and the baby from severe complications.",gemini-flash-latest,http://speech-app.s3.amazonaws.com/static/audio/uploads/46b93e3b-93a5-4f00-9c4d-bd164da061c4/ff15d7d24125e1e4c484ae7f4080581f_Vyti27re.wav
gemini-3.1-pro,audio,none,hausa,hausa,68c4bac8-23c3-4d06-8538-7d507e0dde5c,,"A matsayinta na mace mai juriya riƙe da ɗanta, ganin cewa ɗan yana da zazzabi, sai yaron ya fara karkarwa lokaci ɗaya. Yaron yana shidewa kuma ba ya cikin hayyacinsa. Wane irin rashin lafiya ne ke damun ɗan wannan uwa mai shayarwa? Kuma wane irin kulawa za a iya ba wa wannan yaron?","The child is likely experiencing a febrile convulsion, a type of seizure triggered by a sudden high fever that is commonly caused by locally endemic infections such as malaria. For immediate first aid, the mother should safely place the child in a side-lying recovery position to keep the airway clear and prevent choking. She must avoid restraining the child's movements or forcing anything, such as spoons or liquids, into the child's mouth during the episode. To help lower the temperature, she should loosen the child's clothing and can administer an antipyretic like paracetamol only after the child has regained full consciousness. Finally, it is critical to rush the child to a healthcare facility immediately for a proper medical evaluation to rule out severe conditions like cerebral malaria or meningitis and to initiate targeted treatment.",gemini-3.1-pro-preview,http://speech-app.s3.amazonaws.com/static/audio/uploads/7fc14a06-6d93-47c3-9e1e-ef9452172b41/7eec717f21a1c86f91871ad1224155d1_sQjbT7Mo.wav
gemini-3.1-pro,audio,none,hausa,hausa,14228d42-72f5-4910-a395-6bc879d0dfdf,,"Likita, na kawo yarona mai shekaru biyar da watanni biyu, wanda yake fama da wannan rashin lafiyar kimanin watanni biyu yanzu, wanda yake samun wahalar numfashi da daddare kuma yana tari a kowane lokaci. Wannan tarin ya zama mai dorewa. Na saya masa wani maganin tarin TB da ake kira Tutolin Children; ya shanye kwalba daya, amma tarin bai gushe ba, kuma har yanzu yana samun wahalar numfashi da daddare. Na yi masa gwajin TB, amma suka fada mini cewa ba ya da cutar tb). To likita, me zai sa yaro mai shekaru biyar ya kasance yana da tari mai dorewa, kuma me zai sa yaro mai shekaru 5 ya kasance yana da wahalar numfashi da daddare?","A persistent two-month cough and nocturnal difficulty breathing in a five-year-old, especially with a negative TB test, strongly suggests childhood asthma. Asthma frequently causes symptoms to worsen at night due to natural changes in lung function and increased airway hyperresponsiveness while sleeping. Other potential causes in our environment include chronic allergic rhinitis with post-nasal drip or an unresolved atypical respiratory infection. Over-the-counter cough syrups are ineffective for asthma or severe allergies because they do not treat the underlying airway inflammation. I strongly advise bringing the child to the clinic for a thorough chest examination to check for wheezing, which will allow us to start targeted treatments like bronchodilators or inhaled corticosteroids.",gemini-3.1-pro-preview,http://speech-app.s3.amazonaws.com/static/audio/uploads/a63919fd-9ef5-4aed-a4e1-cd7d8d969072/257d2afc812978432b1a95175d684c0e_ZE1OTSbz.wav
