audio_id,language,subset,question,reference,url,model_answer,requested_model,model_id
68c4bac8-23c3-4d06-8538-7d507e0dde5c,hausa,hausa,A matsayinta na mace mai juriya rike da danta ganin cewa ɗan yana da zazzabi sai yaron ya fara karkarwa lokaci daya yaron yana shidewa kuma baya cikin hayyacinsa wane irin rashin lafiya ne ke damun ɗan wannan uwa mai shayarwa kuma wane irin kulawa za a iya ba wa wannan yaron?,"A matsayinta na mace mai juriya riƙe da ɗanta, ganin cewa ɗan yana da zazzabi, sai yaron ya fara karkarwa lokaci ɗaya. Yaron yana shidewa kuma ba ya cikin hayyacinsa. Wane irin rashin lafiya ne ke damun ɗan wannan uwa mai shayarwa? Kuma wane irin kulawa za a iya ba wa wannan yaron?",http://speech-app.s3.amazonaws.com/static/audio/uploads/7fc14a06-6d93-47c3-9e1e-ef9452172b41/7eec717f21a1c86f91871ad1224155d1_sQjbT7Mo.wav,"This situation suggests a seizure, which is a medical emergency requiring immediate neurological assessment, potentially caused by a fever (febrile seizure) or a serious underlying infection like meningitis or encephalitis. Care must prioritize stabilization: immediately ensure a safe airway, manage fever with antipyretics, and protect the baby from injury until vital signs are stable. Quick evaluation should include checking blood sugar, performing a lumbar puncture if infection is suspected, and administering intravenous fluids. In our community setting, prompt recognition of non-responsive seizure activity necessitates urgent hospital transport and diagnostic testing. Continuous monitoring and supportive care are crucial for managing seizures and preventing complications.",Gemma4-E4B (Ollama),gemma4:e4b
14228d42-72f5-4910-a395-6bc879d0dfdf,hausa,hausa,Likita na kawo yarona mai shekaru 5 da watanni biyu wanda yake fama da wannan rashin lafiyar kimanin watanni biyu yanzu wanda yake samun wahalar numfashi da daddare kuma yana tari a kowane lokaci wannan tarin ya zama mai dorewa na saya masa wani. Maganin tarin TB da ake kira totolin shra ya shanye kwalba daya amma tarin bai gushe ba kuma har yanzu yana samun wahalar numfashi da dare na yi masa gwajin TB amma suka fada mini cewa ba ya da cutar TB likita me zai sa yaro me? Shekaru 5 ya kasance yana da tari mai dorewa kuma me zai sa yaro mai shekaru 5 ya kasance yana da wahalar numfashi da dare.,"Likita, na kawo yarona mai shekaru biyar da watanni biyu, wanda yake fama da wannan rashin lafiyar kimanin watanni biyu yanzu, wanda yake samun wahalar numfashi da daddare kuma yana tari a kowane lokaci. Wannan tarin ya zama mai dorewa. Na saya masa wani maganin tarin TB da ake kira Tutolin Children; ya shanye kwalba daya, amma tarin bai gushe ba, kuma har yanzu yana samun wahalar numfashi da daddare. Na yi masa gwajin TB, amma suka fada mini cewa ba ya da cutar tb). To likita, me zai sa yaro mai shekaru biyar ya kasance yana da tari mai dorewa, kuma me zai sa yaro mai shekaru 5 ya kasance yana da wahalar numfashi da daddare?",http://speech-app.s3.amazonaws.com/static/audio/uploads/a63919fd-9ef5-4aed-a4e1-cd7d8d969072/257d2afc812978432b1a95175d684c0e_ZE1OTSbz.wav,"The persistent symptoms likely indicate a chronic reactive airway disease, such as asthma or persistent viral bronchitis, rather than active Tuberculosis. Given the history, the cough may be residual airway inflammation or post-infectious cough, even after successful anti-TB therapy. We must investigate triggers using chest X-rays and lung function tests (spirometry, if possible) to rule out asthma and foreign body aspiration. Locally, exposure to smoke, dust, or allergens could be exacerbating the underlying chronic cough and shortness of breath. A thorough review of the child’s vaccination status and follow-up care is crucial to properly manage this recalcitrant respiratory condition.",Gemma4-E4B (Ollama),gemma4:e4b
7e2cbea6-ca14-475e-8449-e25cdd46b6e4,hausa,hausa,Na lura cewa kanwata wadda take yawan dariya da farin ciki kuma tana wasa da ƙawayenta ta canza kwatsam. Yanzu kullum tana zama ita kaɗai a dakinta. Ta daina shiga hira da mutane kuma ba ta ƙara sha'awar abubuwan da take jin daɗin su a da ba. Na kuma lura cewa ko a gida ba ta son cin abinci tare da mu. Tana kama da mutum mai baƙin ciki ko kuma mai gajiya a kowane lokaci. Me zai iya sa ta fara guje wa ƙawayenta kwatsam? Shin hakan na iya zama alamar baƙin ciki damuwar rai ko kuma fargaba? Ta yaya za mu iya taimaka mata domin ta sake samun farin ciki? Wadanne alamomin haɗari ya kamata mu kula da su? Shin ya dace ta ga mai ba da shawara ko ƙwararren masani kan lafiyar kwakwalwa da tunani?,"Na lura cewa ƙanwata, wadda a da take yawan dariya da farin ciki kuma tana wasa da ƙawayenta, ta canza kwatsam. Yanzu kullum tana zama ita kaɗai a ɗakinta. Ta daina shiga hira da mutane, kuma ba ta ƙara sha'awar abubuwan da take jin daɗinsu a da ba. Na kuma lura cewa ko a gida ba ta son cin abinci tare da mu. Tana kama da mutum mai baƙin ciki ko kuma mai gajiya a kowane lokaci. Me zai iya sa ta fara guje wa ƙawayenta kwatsam? Shin hakan na iya zama alamar baƙin ciki, damuwar rai, ko kuma fargaba? Ta yaya za mu iya taimaka mata domin ta sake samun farin ciki? Waɗanne alamomin haɗari ya kamata mu kula da su? Shin ya dace ta ga mai ba da shawara ko ƙwararren masani kan lafiyar ƙwaƙwalwa da tunani?",http://speech-app.s3.amazonaws.com/static/audio/uploads/d182777f-49f4-4994-bc78-e29c438aa434/d558448a96a41a3dd0c66bbce3ea1a72_sgi4ladJ.wav,"These changes—loss of interest (anhedonia), social withdrawal, and persistent low energy—are highly suggestive of a mood disorder, such as Major Depressive Disorder, but also necessitate ruling out physical causes (e.g., hypothyroidism, anemia). Immediate support involves re-establishing routine and gently encouraging social engagement through positive, non-pressured activities. Critical warning signs requiring immediate care include any mention of self-harm, hopelessness, or severe changes in sleep/eating patterns. Given the severity and persistence of these symptoms, it is crucial that she consult a psychiatrist or mental health specialist for a proper diagnostic evaluation. Community support, regular movement, and adherence to professional treatment are key pillars in her recovery journey.",Gemma4-E4B (Ollama),gemma4:e4b
370a8223-6a12-446c-98d5-c501e45e9a13,hausa,hausa,Barka da yamma na zo ne saboda ƙannena na lura cewa idanunsu da fatarsa suna da wani canjin launi farf ko kala gy kuma wannan abin yana faruwa kusan kwanaki 3 yanzu jikinsu kuma yana da zafi sosai yana ƙonewa. ma da zazzabi kuma ba zai iya cin abinci ba sa iya tsayar da komai a ciki ba sa iya tsayar da komai a ciki a gaskiya suna rawa ko sun yi laka sosai domin kansa yana tsarawa kansa yana ciwo kuma jikinsa yana ƙonewa da zafi Mun yi ƙoƙarin amfani da wasu abubuwa a gida mun ba su amma duk da haka babu wani canji ko kadan a yanayinsu idanunsa da fatarsa da ke da wancan launin farfari ko kalan kwai bai tsaya ba wancan launi na kalan kwai sai daɗa ƙaruwa yake. rana bayan rana kuma ba su da kwanciyar hankali ba su da natsuwa suna cikin wahala Allah ya kiyaye suna cikin wahala sosai da gaske shi ya sa na zo asibiti domin mu san abin da za mu yi matakan da muke buƙatar ɗauka yadda jikin ƙanne na fatarsu. Da idanunsu da ke juyawa zuwa kalan kwai zai tsaya kuma za su sami sauƙi,"Barka da yamma na zo ne saboda ƙannena. Na lura cewa idanunsa da fatarsa suna da wani... canjin launi fari-fari/kalan kwai Kuma wannan abun yana faruwa kusan kwanaki uku yanzu. Jikinsa kuma yana da zafi sosai, yana ƙonewa da zazzabi, kuma ba zai iya cin abinci ba. Ba sa iya tsayar da komai a ciki, ba sa iya tsayar da komai a ciki. A gaskiya, suna rawa/sun yi laƙas sosai. Domin kansa yana sarawa, kansa yana ciwo, kuma jikinsa yana ƙonewa da zafi. Mun yi ƙoƙarin amfani da wasu abubuwa a gida, mun ba su, amma duk da haka, babu wani canji ko kaɗan a yanayinsa. Idanunsa da fatarsa da ke da wancan launi fari-fari/rawaya, bai tsaya ba, wancan launi na kalan kwai sai daɗa ƙaruwa yake yi rana bayan rana, kuma ba su da kwanciyar hankali, ba su da natsuwa, suna cikin wahala, Allah ya kiyaye, suna cikin wahala sosai da gaske. Shi ya sa na zo asibiti domin mu san abin da za mu yi, matakan da muke buƙatar ɗauka, yadda jikin ƙanena, fatarsa da idanunsa da ke juyawa zuwa kalan kwai, zai tsaya, kuma za su sami sauƙi.
",http://speech-app.s3.amazonaws.com/static/audio/uploads/b6e70ad8-cfd6-474a-a8ec-ded36b40d12f/8d634ce8fa41801b00291bde9befd6bd_gZzjM177.wav,"This clinical presentation, marked by persistent fever, severe gastrointestinal distress, and worsening jaundice of the eyes and sclera, is a medical emergency requiring immediate advanced investigation. Given the signs of *icterus* (jaundice) and systemic illness, we must urgently rule out acute conditions such as acute hepatitis, severe sepsis, or advanced parasitic infections that affect liver function. Immediate measures include IV fluid resuscitation, management of electrolyte imbalance, and drawing blood for liver function tests, blood cultures, and comprehensive malaria/typhoid screening. We must support the patient's stability while the full etiology is determined, as delay could lead to hepatic encephalopathy or shock. Please ensure the patient is monitored in a facility where venipuncture and intravenous treatment can be administered continuously.",Gemma4-E4B (Ollama),gemma4:e4b
97eb7c4b-0db7-4dbd-bc74-6d6ab645dbd2,hausa,hausa,Wani ɗan'uwana ya kawo yaronsa mai shekara bakwai bayan kare ya cije shi da kare ya cije shi sai suka kai shi wurin mai maganin gargajiya a can aka yi masa yanka a wajen cizon sannan aka shafa masa a porogajiya amma yanzu wajen da kare ya cije shi ya fara fitar da majina kuma ya kumbura mun ba su shawarar su kai yaron asibiti. Don Allah? Wane irin gwaje-gwaje ne za a iya yi wannan yaro? Shin zai iya kamuwa da cutar hauka ta kare saboda cizon ko da yake kare da ya cije shi yana kamu da lafiyarsa ba ta da matsala kuma wane irin magani ne wannan ƙaramin yaro yake buƙata. A yi la'akari da cewa cizon karen bai haifar masa da wata ƙarin mummunar rauni a jikinsa ba.,"Wani ɗan uwa na ya kawo yaronsa mai shekara bakwai bayan kare ya cije shi. Da kare ya cije shi, sai suka kai shi wurin mai maganin gargajiya. A can aka yi masa yanka a wajen cizon, sannan aka shafa masa apọrọ (wani maganin gargajiya). Amma yanzu wajen da kare ya cije shi ya fara fitar da majina  kuma ya kumbura. Mun ba su shawarar su kai yaron asibiti. Don Allah, wane irin gwaje-gwaje ne za a iya yi wa wannan yaro? Shin zai iya kamuwa da cutar hauka ta kare saboda cizon, ko da yake kare da ya cije shi yana kama da lafiyarsa ba ta da matsala? Kuma wane irin magani ne wannan ƙaramin yaro yake buƙata? A yi la'akari da cewa cizon karen bai haifar masa da wata ƙarin mummunar rauni a jikinsa ba.",http://speech-app.s3.amazonaws.com/static/audio/uploads/e812f6be-c9cf-4748-9b11-b6895ccea4b8/60ce1dbc0820944843e30004be1c0e9c_80YtVHFN.wav,"The immediate priority is managing a severe infection, as the previous cauterization and wound handling significantly increased the risk of cellulitis and local sepsis. Initial investigations must include complete blood count (CBC) and wound culture to assess the severity of the bacterial infection. Given the history, the child requires broad-spectrum systemic antibiotics, tetanus prophylaxis, and meticulous local wound debridement. Though systemic envenomation is possible, effective treatment relies on advanced wound care, as the primary threat now is severe wound infection, not just the venom. Management requires immediate medical referral for intravenous antibiotics and monitoring for signs of systemic toxicity.",Gemma4-E4B (Ollama),gemma4:e4b
c5c004c5-33c3-4e35-8dff-b3fd2f735601,hausa,hausa,Wata mata ta lura cewa mijinta yana yin tari mai tsanani sosai da safe idan sun farka tun suna kwance a kan gado. Tarin yana farawa ba zato ba tsammani kuma yana ɗaukar lokaci mai tsawo kafin ya tsaya. Bayan wani lokaci ta kuma lura cewa mijinta yana fama da wahalar numfashi. Idan ya yi ɗan tafiya kadan ko ya hau matakala sai ya tsaya domin ya daidaita numfashinsa kuma yana gajiya cikin sauri. Wata rana bayan mijinta ya yi dogon tari yana ta ƙoƙarin samun numfashinsa daidai matar ta fara damuwa. Ta fara tunanin ko wata cuta ce ke haddasa duk waɗannan matsaloli. Washegari ta yi magana da mijinta suka yanke shawarar zuwa asibiti domin likita ya duba shi kuma a gano ainihin abin da ke damunsa. Tambayar ita ce menene zai iya sa tari ya kasance mai tsanani haka? Tare da yawan gajiya da wahalar numfashi a duk lokacin da tarin ya taso. Shin wannan matsala tana da alaƙa ne kawai da cututtukan huhu ko cututtukan zuciya Watuttuka ko matsaloli ne za su iya jawo mutuwa ko kuma su sa mutum ya shiga matsananciyar wahalar numfashi har ya buƙaci kulawar gaggawa? Kuma waɗanne alamomin haɗari ne game da tari da wahalan n! fashi da ya kamata iyali su lura da su domin a garzaya da mara lafiyan zuwa asibiti.,"Wata mata ta lura cewa mijinta yana yin tari mai tsanani sosai da safe idan sun farka tun suna kwance a kan gado. Tarin yana farawa ba zato ba tsammani, kuma yana ɗaukar lokaci mai tsawo kafin ya tsaya. Bayan wani lokaci, ta kuma lura cewa mijinta yana fama da wahalar numfashi. Idan ya yi ɗan tafiya kaɗan ko ya hau matakala, sai ya tsaya domin ya daidaita numfashinsa, kuma yana gajiya cikin sauri.
Wata rana, bayan mijinta ya yi dogon tari yana ta ƙoƙarin samun numfashinsa daidai, matar ta fara damuwa. Ta fara tunanin ko wata cuta ce ke haddasa duk waɗannan matsaloli. Washegari, ta yi magana da mijinta suka yanke shawarar zuwa asibiti domin likita ya duba shi kuma a gano ainihin abin da ke damunsa.
Tambayar ita ce: Mene ne zai iya sa tari ya kasance mai tsanani haka, tare da yawan gajiya da wahalar numfashi a duk lokacin da tarin ya taso? Shin wannan matsala tana da alaƙa ne kawai da cututtukan huhu ko cututtukan zuciya? Waɗanne cututtuka ko matsaloli ne za su iya jawo mutuwa ko kuma su sa mutum ya shiga matsananciyar wahalar numfashi har ya buƙaci kulawar gaggawa? Kuma waɗanne alamomin haɗari ne game da tari da wahalar numfashi da ya kamata iyali su lura da su domin a garzaya da mara lafiyan zuwa asibiti?",http://speech-app.s3.amazonaws.com/static/audio/uploads/bc309a6a-4722-43eb-b56f-6b2c3f7bedbb/41015be307ca19df0bd1fe64fb8b6c2d_YryzAHsg.wav,"The combination of severe nocturnal urination and dyspnea suggests potential fluid overload, most commonly indicative of Congestive Heart Failure (CHF) or Acute Kidney Injury. In CHF, the struggling heart causes fluid backup (pulmonary congestion, leading to dyspnea) and impairs kidney function, causing excessive urine production at night. Critical conditions requiring urgent care include severe pulmonary edema (fluid in lungs), septic shock, or acute respiratory failure. Immediate medical attention is crucial if the patient experiences worsening breathlessness, inability to speak due to shortness of breath, sudden swelling in the legs and ankles, or profound fatigue. Therefore, warning signs are sudden onset breathlessness, worsening edema, and confusion, demanding urgent referral to the clinic or hospital.",Gemma4-E4B (Ollama),gemma4:e4b
574a1004-583d-4958-8b26-c146fbcf3619,hausa,hausa,Ni matar aure mai shekaru 35 don Allah na kawo jaririna mai watanni 5 domin a bincika shi kuma a ba ni shawara na koma bakin aiki amma abin mamaki kusan kwanaki 3 da suka wuce na lura. cewa jaririna yana yin tari akai-akai mun gwada duk abin da za mu iya tunani a kai don tsaida tarin amma ina iya ganin cewa tarin bai ɓace ba yawanci ba na zama a gida lokacin da na fita da safe ba na dawowa sai wajen ƙarfe shi. na yamma mahaifiyata tana zama a gida tare da jaririn duk lokacin da na sami damar yin kira ina yi kuma ina tambaya game da tari sai su ci gaba da gaya mani cewa jaririn yana nan yana tari jaririn yana da watanni 5 ba. Ba ya sake shan nono kaɗai domin na koma bakin aiki na ba shi nono na tsawon watanni 3 kuma bayan haka na fara ba shi wasu abinci da nono da sauran sauran abincin jarirai da na sani abin da ya fi ba da mamaki shine tun dare numfashinsa bai kasance daidai ba ya numfashi da kyau kuma hancinsa ya toshe gaba ɗaya Mahaifiyata ma ta ce lokacin da take yi masa wanka da safen nan sai da ta yi amfani da ɗan ruwan zafi a kewayon hancinsa da kirjinsa saboda tarin ya yi tsanani matsalar numfashin ma ta fara ba ya sake yin numfashi yadda ya kamata kuma numfashinsa ba shi da tsari. da walwala kuma yanzu don Allah tambayata ita ce menene zan iya amfani da shi don shi domin tsaida tarin kuma game da numfashin da ba shi da tsarki kuma me zan iya yi menene zan iya amfani da shi don shi? Kuma waɗanne matakai zan iya ɗauka yadda zai rika yin numfashi yadda ya kamata kuma babu abin da zai toshe numfashinsa?,"Ni matar aure ce, mai shekaru talatin da biyar. Don Allah, na kawo jaririna mai watanni biyar domin a bincika shi kuma a ba ni shawara.
Na koma bakin aiki. Amma abin mamaki, kusan kwanaki uku da suka wuce, na lura cewa jaririna yana yin tari akai-akai. Mun gwada duk abin da za mu iya tunani akai don tsaida tarin, amma ina iya ganin cewa tarin bai bace ba.
Yawanci ba na zama a gida. Lokacin da na fita da safe, ba na dawowa sai wajen karfe 6 na yamma. Mahaifiyata tana zama a gida tare da jaririn.
Duk lokacin da na sami damar yin kira, ina yi kuma ina tambaya game da tarin, sai su ci gaba da gaya mini cewa jaririn yana nan yana tari.
Jaririn yana da watanni biyar. Ba ya sake shan nono kadai domin na koma bakin aiki. Na ba shi nono zalla na tsawon watanni uku, kuma bayan haka na fara ba shi wasu abinci daban.
Ina ba shi abinci daban-daban, wadanda suka hada da kunu  da sauran abincin jarirai da na sani.
Abin da ya fi ba da mamaki shi ne tun daddare, numfashinsa bai kasance daidai ba. Ba ya numfashi da kyau, kuma hancinsa ya toshe gaba daya.
Mahaifiyata ma ta ce lokacin da take yi masa wanka da safe nan, sai da ta yi amfani da dan ruwan zafi a kewayen hancinsa da kirjinsa saboda tarin ya yi tsanani.
Matsalar numfashin ma ta fara. Ba ya sake yin numfashi yadda ya kamata, kuma numfashinsa ba shi da tsarki da walwala kuma yanzu.
Don Allah, tambayata ita ce: mene ne zan iya amfani da shi don shi domin tsaida tarin? Kuma game da numfashin da ba shi da tsarki kuma, me zan iya yi, mene ne zan iya amfani da shi don shi, kuma wadanne matakai zan iya dauka yadda zai rika yin numfashi yadda ya kamata kuma babu abin da zai toshe numfashinsa
",http://speech-app.s3.amazonaws.com/static/audio/uploads/85ce95fb-d8df-41dd-9306-4a8e9c31d95e/b083beb2a28e1ae0334f0a3869026658_1icvtqNz.wav,"Dear mother, I must stress that the concerning respiratory difficulty is the immediate priority and requires an urgent, hands-on clinical evaluation to rule out airway obstruction or serious infection. For the breathing issue, managing airway patency, monitoring oxygen saturation, and performing respiratory support are necessary until a definite cause is found, ruling out a foreign body or pneumonia. Regarding the persistent leaking, this suggests gastrointestinal irritation, possibly due to the sudden introduction of solids or an ongoing mild infection; dietary adjustment with bland foods, adequate hydration, and probiotic supplements are recommended. We must ensure proper feeding methods and maintain stool consistency by gradual weaning from anti-diarrheal medicines without professional oversight. Please seek immediate care for the baby’s breathlessness, as it prevents proper local diagnosis and management of the digestive issues.",Gemma4-E4B (Ollama),gemma4:e4b
df8ddda4-16fc-4657-a221-d5ff74566b9d,hausa,hausa,Wata uwa mai shayarwa ta lura cewa ɗanta yana tare sannan ta yi zargin cewa jikin yaron yana yin zafi a wasu lokuta. Ta ci gaba da cewa sa'o'i kaɗan da suka gabata ta gaba ɗaya jikin yaron ya yi ƙarfi ya yi kame sannan ta suma. Ta kuma lura cewa kumfa ko ruwa yana fita daga bakinsa kuma yaron ya daina iya haɗiye abinci ko abin. Shin Sha yanzu tana tambayar likita ko irin wannan ciwo yana da magani wace irin cuta ce yake kamu da ita sannan tana tambaya ko za a iya ba yaron allura ko kuma a yi amfani da magungunan gargajiya wajen magance wannan ciwo ta kara da cewa a unguwan da ta fito idan irin wannan ciwo ya kama yaro abin da suka fi amfani da shi shine maganin gargajiya abbo da kuma sabulun? Garga jiya.,"Wata uwa mai shayarwa ta lura cewa ɗanta yana tari, sannan ta yi zargin cewa jikin yaron yana yin zafi a wasu lokuta. Ta ci gaba da cewa, sa'o'i kaɗan da suka gabata, ta ga gaba ɗaya jikin yaron ya yi ƙarfi (ya yi ƙame), sannan ta suma. Ta kuma lura cewa kumfa ko ruwa yana fita daga bakinsa, kuma yaron ya daina iya haɗiye abinci ko abin sha.
Yanzu tana tambayar likita ko irin wannan ciwo yana da magani, wace irin cuta ce yake kama da ita, sannan tana tambaya ko za a iya ba yaron allura ko kuma a yi amfani da magungunan gargajiya wajen magance wannan ciwo. Ta ƙara da cewa a unguwar da ta fito, idan irin wannan ciwo ya kama yaro, abin da suka fi amfani da shi shi ne maganin gargajiya (agbo) da kuma sabulun gargajiya.",http://speech-app.s3.amazonaws.com/static/audio/uploads/3738bfc6-eb00-4708-b581-d46b8ca42ed9/63c081bf312214f88760b9b70610419f_EKzAbbUj.wav,"The combination of fever, lethargy, and signs of severe fluid loss strongly suggests acute dehydration complicated by a systemic infection, potentially requiring immediate supportive care. This level of rapid deterioration necessitates urgent clinical assessment to rule out life-threatening conditions like septic shock. Immediate management must prioritize intravenous fluid resuscitation and precise diagnosis, possibly involving blood tests and appropriate antibiotics, which are cornerstones of evidence-based care. While traditional remedies may be used alongside care, they must never replace prompt, specialized medical diagnosis and allopathic treatment for severe illness. Please bring the child to the nearest hospital immediately for vital sign monitoring and emergency intervention.",Gemma4-E4B (Ollama),gemma4:e4b
e85e604e-b057-40c8-8802-d67191da554e,hausa,hausa,"Wata mata mai juna biyu ta zo asibiti da yammacin yau. Ta bayyana cewa mijinta yana yawan yi mata ihu kuma sau da yawa yana dukanta. Tace hakan ya sa ta shiga cikin tsananin tsoro sau da yawa idan ta ji cewa mijinta yana dawowa gida ko kuma lokacin da ita zata koma gida ya yi sai tsoro ya kama saboda tana jin zai iya dukanta ko ya zage ta. Ta kuma lura cewa zuciyarta tana bugawa. ba da sauri sosai ta je aka duba mata hawan jini aka gaya mata cewa hawan jininta ya yi sama. Ta ce ta nemi taimako daga iyayenta ta kuma bayyana musu halin da take ciki. Saboda haka iyayenta suka ba ta maganin gargajiya a gbo amma bayan ta yi amfani da shi ba ta ga wani sauƙi ba. Yanzu tana son ta san me zata iya yi domin kada tsoro ya ringa mamaye ta duk lokacin da za ta koma gida. kuma idan ta ji cewa mijinta yana dawowa wane irin taimako ko abin da za ta iya yi ne zai taimaka mata ta dawo da kwanciyar hankali, natsuwa da lafiyar zuciyarta da tunaninta?","Wata mata mai juna biyu ta zo asibiti da yammacin yau, ta bayyana cewa mijinta yana yawan yi mata ihu kuma sau da yawa yana dukanta. Ta ce hakan ya sa ta shiga cikin tsananin tsoro. Sau da yawa, idan ta ji cewa mijinta yana dawowa gida ko kuma lokacin da ita za ta koma gida ya yi, sai tsoro ya kama ta saboda tana jin zai iya dukanta ko ya zage ta.
Ta kuma lura cewa zuciyarta tana bugawa da sauri sosai. Ta je aka duba mata hawan jini, aka gaya mata cewa hawan jininta ya yi sama. Ta ce ta nemi taimako daga iyayenta ta kuma bayyana musu halin da take ciki. Saboda haka, iyayenta suka ba ta maganin gargajiya agbo, amma bayan ta yi amfani da shi ba ta ga wani sauƙi ba. Yanzu tana son ta san:
Me za ta iya yi domin kada tsoro ya rinƙa mamaye ta duk lokacin da za ta koma gida ko kuma idan ta ji cewa mijinta yana dawowa?
Wane irin taimako ko abin da za ta iya yi ne zai taimaka mata ta dawo da kwanciyar hankali, natsuwa, da lafiyar zuciyarta da tunaninta?",http://speech-app.s3.amazonaws.com/static/audio/uploads/351739c4-2edf-4b46-ba83-e74965a37084/2694f806ddf8a1a3d9522529c69f32f6_vvQfPKle.wav,"This patient's symptoms—palpitations, severe fear, and panic attacks—are classic indicators of acute trauma response stemming from Intimate Partner Violence (IPV), which severely raises her blood pressure and overwhelms her nervous system. The immediate priority must be her safety; she requires physical separation from the abuser and linkage to community support structures for protection. To manage anxiety, teach her grounding techniques like deep diaphragmatic breathing and utilizing self-soothing practices (e.g., smelling local calming herbs, deep structured breathing) during episodes of fear. Furthermore, her consistent blood pressure must be managed aggressively with prescribed medication, not solely through unverified herbal remedies, requiring consistent follow-up care. Finally, establishing a supportive network—such as a trusted relative, community elder, or health worker—is vital to helping her regain emotional security, dignity, and mental peace.",Gemma4-E4B (Ollama),gemma4:e4b
ab0fb3f9-f816-43c3-87ab-0f8030f693cb,hausa,hausa,Barka da yamma likita don Allah na kawo jaririna asibiti ne saboda na lura cewa yadda yake numfashi yana yin wani sauti kamar iska ce take ratsawa ta wani karamin rami yana sauti kamar hucin fuka haka kuma yana sauti kamar mutum. Mutumin da yake hura busa kuma yana ƙoƙarin yin numfashi yadda ya kamata na kuma lura cewa kusan kwanaki 3 yanzu yawanci yana yin tari da dare wani lokacin ina lura kirjinsa yana shiga da fita sosai kamar yana yin wani ƙarin na. aiki ne kawai don ya yi numfashi na kuma lura cewa baya iya sake cin abinci da kyau kamar dama duk lokacin da yake son cin abinci sai ya dakatar ya ja numfashi yanayi bai ba shi damar cin abinci yadda ya kamata ba Kusan kwanaki 3 yanzu na riga na kai shi wurin masu sayar da magunguna shagon magani na patent a unguwar mu kuma sun ba ni wasu magungunan tari don shi saboda yana yin tari kadan ko da yake tarin bai tsananta ba amma duk da duk magungunan da ya sha na lura. bai yi aiki ba numfashinsa ya kasance hakan kuma har yanzu ba zai iya cin abinci da kyau ba don Allah wane irin yanayi ne yake damun jaririna da wannan numfashi mai kama da busa haka kuma shin yana buƙatar hoton kirji don gano abin ne? da yake damunsa da kuma dalilin da ya sa kirjinsa yake yin sama da ƙasa wane irin maganin zan iya ba wa wannan yaro a gida don taimakawa wajen sauƙaƙa numfashinsa yadda zai yi numfashi da kyau shin akwai wasu magunguna ko? wasu matakai daban da zan iya ɗauka don wannan yaro?,"Barka da yamma likita. Don Allah, na kawo jaririna asibiti ne saboda na lura cewa yadda yake numfashi, yana yin wani sauti kamar iska ce take ratsawa ta wani ƙaramin rami. Yana sauti kamar hucin fuka. Haka kuma yana sauti kamar mutumin da yake hura busa, kuma yana qoqarin  yin numfashi yadda ya kamata.
Na kuma lura cewa kusan kwanaki uku yanzu, yawanci yana yin tari da daddare. Wani lokacin, ina lura kirjinsa yana shiga da fita sosai, kamar yana yin wani ƙarin aiki ne kawai don ya yi numfashi. Na kuma lura cewa baya  iya sake cin abinci da kyau kamar da ba. Duk lokacin da yake son cin abinci, sai ya dakata don ya ja numfashi. Wannan yanayi bai ba shi damar cin abinci yadda ya kamata ba kusan kwanaki uku yanzu.
Na riga na kai shi wurin masu sayar da magunguna (shagon magani na patent) a unguwarmu, kuma sun ba ni wasu magungunan tari don shi saboda yana yin tari kaɗan, ko da yake tarin bai tsananta ba. Amma duk da duk magungunan da ya sha, na lura bai yi aiki ba. Numfashinsa ya kasance haka nan, kuma har yanzu ba zai iya cin abinci da kyau ba. Don Allah, wane irin yanayi ne yake damun jaririna da wannan numfashi mai kama da busa? Haka kuma, shin yana buƙatar hoton kirji  don gano abin da yake damunsa da kuma dalilin da ya sa ƙirjinsa yake yin sama da ƙasa? Wane irin magani zan iya ba wa wannan yaro a gida don taimakawa wajen sauƙaƙa numfashinsa yadda zai yi numfashi da kyau? Shin akwai wasu magunguna ko wasu matakai daban da zan iya ɗauka don wannan yaro?
",http://speech-app.s3.amazonaws.com/static/audio/uploads/78a4b4c4-f322-4866-848a-cd532d79e49a/8c3e01f974c2681755f5dfcfd89aa6a1_UhEqBmov.wav,"The combination of wheezing, labored breathing, and poor feeding suggests acute lower airway obstruction, most commonly due to bronchiolitis or a severe asthma exacerbation. Due to the noticeable respiratory distress, particularly the effort involved in breathing and the failure of initial treatments, the child requires immediate clinical assessment and potentially a Chest X-ray to rule out pneumonia or other lung issues. At this stage, home management alone is insufficient, as the child needs proper oxygen saturation monitoring and potentially nebulized medications like Salbutamol to actively open the airways. Please prioritize taking the child to a primary healthcare facility for professional diagnosis and treatment, as this level of distress requires medical intervention. Until a doctor examines the child, ensure they remain calm and comfortable, and keep the nasal passages clear to ease breathing effort.",Gemma4-E4B (Ollama),gemma4:e4b
