audio_id,language,subset,local_path,reference,url,model_answer,requested_model,model_id
3d3cee98-b237-4cd0-8f7a-ddedd63299a9,english,accented_english,/data/Intron-Multimodal-Benchmarking/data/gates_data/audio/e5cf6d37017884530b4b08894e09e143_HfifL4mk.wav,"A woman who lives in our house, she is employed. She does her work diligently and has no health issues.
One day, while she was bathing, she felt her breast and noticed something like a small, hard lump inside it.
Initially, she thought it was nothing serious, but she felt it again on another day and realized it was still there. As time went on, she became very anxious. She began to worry about whether this issue was developing within her breast. It wasn't painful, but the fact that the lump was hard and wouldn't go away made her sad. She also started remembering stories she used to hear about girls who had lumps in their breasts.
After a few weeks, she decided to go see a doctor. She wanted to know what caused the lump and what she needed to do to safeguard her health.
My questions are: What can cause a hard lump in a woman's breast?
Does every breast lump mean something that could lead to cancer?
What other symptoms should women look out for regarding their breasts?

",http://speech-app.s3.amazonaws.com/static/audio/uploads/3e3b9ca0-d242-466a-8dd5-fadfd7abcc31/e5cf6d37017884530b4b08894e09e143_HfifL4mk.wav,"I’ll walk through the common causes and warning signs in a clear, practical way so it’s easier to know what to do next.A hard breast lump can be caused by benign conditions like fibroadenoma, cysts, fat necrosis after trauma, or infections, but it can also be due to breast cancer, so it needs proper assessment. Not every breast lump is cancer; many are benign, especially in younger women, but only a clinical evaluation with imaging and, if needed, a biopsy can confirm the cause. Warning signs to watch for include a lump that feels hard, irregular, fixed, or steadily enlarging, skin changes (dimpling, thickening, redness, “orange peel” look), nipple inversion, new nipple discharge (especially bloody), and swollen lymph nodes in the armpit. Any persistent lump should be checked promptly by a healthcare worker for examination and appropriate tests such as ultrasound or mammogram depending on age.",GPT Realtime 2 (audio),gpt-realtime-2
765b06e9-4314-4cd5-9b0d-f966ccb8f16d,english,accented_english,/data/Intron-Multimodal-Benchmarking/data/gates_data/audio/986b18ca45a5dd77b85eb65c7e3c1b65_va5g39ok.wav,"Good evening I came because of my younger sibling. I noticed that their eyes and skin have an airy... a pale/yellowish color. And this has been going on for about three days now. Their body is also very hot, burning with a fever, and they cannot eat. They cannot retain anything, they cannot retain anything. In fact, they are shivering/weakened heavily. Because their head is throbbing, their head is aching, and their body is burning hot. We have tried using some things at home, we gave them, but even so, there is absolutely no difference in their condition. Their eyes and skin that have that pale/yellowish color, it hasn't stopped, that yellow color is just increasing day by day, and they are not at peace, they are not comfortable, they are suffering, God forbid, they are really suffering. That is why I came to the hospital so we can know what to do, the steps we need to take, so that my younger sibling's body, their skin and eyes that are turning yellow, will stop, and they will recover.
",http://speech-app.s3.amazonaws.com/static/audio/uploads/36b89ae1-c49b-421e-aee0-92d33762fd44/986b18ca45a5dd77b85eb65c7e3c1b65_va5g39ok.wav,"This yellowing of the eyes/skin is jaundice, and with fever, vomiting, headache, and worsening weakness, your sibling needs urgent hospital evaluation now. Possible causes include severe malaria with hemolysis, hepatitis, or other infections and blood problems, and delaying can be dangerous. In hospital, they should be checked with a malaria test, full blood count, liver function and bilirubin tests, and screening for hepatitis and other infections, then treated based on the result. Do not give more herbal mixtures or medicines like paracetamol beyond recommended doses, and avoid alcohol; keep them hydrated if they can tolerate small sips. Go back immediately if there is confusion, severe abdominal pain, dark cola-colored urine, bleeding, or persistent vomiting.",GPT Realtime 2 (audio),gpt-realtime-2
a8bc8d5e-e18b-4176-bd59-589224c0009b,english,accented_english,/data/Intron-Multimodal-Benchmarking/data/gates_data/audio/f1bed36ef3fa1e0c5eaa1defe0e7fa00_G2bxnjmd.wav,"A thirty-three-year-old pregnant woman who is seven months pregnant was brought to our hospital by her neighbors. They explained that she suddenly developed severe abdominal pain, and a large amount of blood began to come out from her vagina. Her body was shaking, and she was crying because the pain was intense. Her family said they were afraid that something serious might happen to both the mother and the baby.
Their first question for the doctor was: What could be causing this severe abdominal pain and heavy bleeding?
Their second question was: What should be done immediately for this pregnant woman?
Their third question was: What investigations or tests can be carried out?
Their fourth question was: What treatment is appropriate for her condition?
Their fifth question was: What foods should this pregnant woman avoid, and what hygiene measures should she observe?",http://speech-app.s3.amazonaws.com/static/audio/uploads/0e3095c2-5abc-4286-8d2e-3c2f926f39e6/f1bed36ef3fa1e0c5eaa1defe0e7fa00_G2bxnjmd.wav,"I’ll walk through the likely cause, urgent first steps, key tests, and treatment in a clear, practical way.The most likely cause is a placental problem, especially placental abruption (painful heavy bleeding), though placenta previa should also be considered and is usually painless.  
She needs immediate emergency care: assess airway/breathing/circulation, put in large-bore IV lines, start fluids, send blood for grouping and crossmatch, monitor vitals and fetal heart, and avoid a vaginal exam until placenta previa is excluded.  
Key investigations include bedside ultrasound, full blood count/PCV, blood type and crossmatch, and clotting profile (plus renal function if available).  
Treatment is to stabilize shock and then proceed to urgent delivery based on maternal and fetal status (often cesarean if there is fetal distress or placenta previa).  
She should avoid alcohol, herbal/unknown medications, and unsafe foods like raw/undercooked meat and unpasteurized milk, and maintain good hygiene with safe water, regular handwashing, and proper perineal care while continuing close antenatal follow-up.",GPT Realtime 2 (audio),gpt-realtime-2
4f88702e-973b-4918-90bc-3052fbbbc67f,english,accented_english,/data/Intron-Multimodal-Benchmarking/data/gates_data/audio/20b1db9e2adb8570f3a2c99acfa10eac_ojpfiFce.wav," My family member’s child was bitten by a dog. He is a seven-year-old child. When the dog bit him, they usually went to their traditional healer; they made an incision on the wound and applied “apọrọ” (traditional preparation) to it. But now, the place where the dog bit him has started producing pus and it is swollen. We explained to them that they should take him to the hospital. Please, what kind of examination can be done for this boy? Can he have rabies because of the dog, even if the dog itself seems to be fine? And what kind of treatment does this young boy need? Consider that the dog did not cause any further injury to his body.",http://speech-app.s3.amazonaws.com/static/audio/uploads/ef9140fe-7a4a-4a06-af80-4455cc0ee4ac/20b1db9e2adb8570f3a2c99acfa10eac_ojpfiFce.wav,"I’m going to walk through the key risks and what should be checked and treated urgently at the hospital.This child needs urgent hospital evaluation of the wound for infection (cellulitis/abscess), fever, and any spreading redness, plus a review of tetanus and rabies risk. The hospital may take a wound swab for culture and basic blood tests, but prompt clinical treatment should not be delayed. A “fine-looking” dog does not fully exclude rabies; if the dog can be reliably observed for 10 days and stays well, that helps, but if observation is not possible or the bite was high-risk, rabies post-exposure prophylaxis is needed. Treatment includes proper wound cleaning, stopping further traditional incisions/applications, antibiotics, and drainage if there is pus, plus tetanus vaccination/immune globulin if indicated. Rabies post-exposure prophylaxis (vaccine, and immune globulin for higher-risk situations) should be started according to risk assessment.",GPT Realtime 2 (audio),gpt-realtime-2
b41993cb-1b4f-4e3b-8e8b-2eb6e2ef132e,english,accented_english,/data/Intron-Multimodal-Benchmarking/data/gates_data/audio/85084b9e10f05fae127d3fc0da0511f2_fBGKxJJj.wav,"This woman gave birth at our hospital here about Six months ago.  she came to our hospital with her husband, where she gave birth to her child, the six-month-old girl that they have brought in.
The mother explained further that it has been about thirteen to fourteen days since she noticed that this child started coughing.
The mother also mentioned that she had been treating this child for catarrh earlier, before the cough started.
She said the cough has become more severe since yesterday. The cough became very severe, although it had initially started about three days ago.
She said that whenever she breastfeeds the child, she also gives her the liquid medicine that is in the bottle—the one sold for coughs—which she has been administering and the child has been taking.
She then said that since yesterday, the cough has become so severe that the child is finding it very, very, very difficult to breathe, which has really worried me.
It is as if her breathing is fluctuating—going up and down every few seconds.
They were frightened, which is why they brought her to the hospital.
Now, the question is: can we give this mother something to help the child at home, given that her breathing is fluctuating with that cough? Should we prescribe cough medicine for her, or should we have the child examined before prescribing any medicine or giving her an injection?""",http://speech-app.s3.amazonaws.com/static/audio/uploads/74ad3a52-5cc9-4439-b3b5-095e4da6fe66/85084b9e10f05fae127d3fc0da0511f2_fBGKxJJj.wav,"Do not prescribe cough syrup at home for a 6-month-old with worsening cough and difficulty breathing; this is a danger sign that needs urgent clinical assessment. The baby should be examined immediately for fast breathing, chest indrawing, low oxygen, wheeze, fever, and feeding difficulty, and have oxygen saturation checked. Depending on findings, treatment may include oxygen, antibiotics for pneumonia, or bronchodilator if there is wheezing, and admission may be needed. Over-the-counter cough medicines are not recommended in infants and can delay proper treatment. Please prioritize rapid examination rather than giving more medicines first.",GPT Realtime 2 (audio),gpt-realtime-2
583bdd4f-0b3b-415b-89cc-4e24c55c6bb5,english,accented_english,/data/Intron-Multimodal-Benchmarking/data/gates_data/audio/70f14657b1a3b0c1a9f82a19e1cd2525_oewToQ2K.wav,"Adeolu is a ten-year-old child whose mother was my sister. However, for a few days now, I have noticed that this child sits alone ever since his mother died; he does not want to play with anyone, and he does not want to talk to anyone. He has also started refusing to eat, and it looks like he is thinking too much and is heartbroken. This frightened me, so I decided to take him to the hospital for help. When I got to the hospital, I asked the doctor, 'Could this child's condition be due to the grief of his mother's death?' And, 'What can I do to help at home, or does this child need to speak to a mental health professional, or what can I do to make him eat or play with his peers, and does he need any medication to help?",http://speech-app.s3.amazonaws.com/static/audio/uploads/6cc16740-ef5f-4ccb-9b54-2a05f9a40f74/70f14657b1a3b0c1a9f82a19e1cd2525_oewToQ2K.wav,"Yes, this can be grief, and children may withdraw, talk less, lose appetite, and stop playing after a major loss. Start with consistent routines, gentle comfort, and small frequent meals of familiar foods; avoid forcing, but sit with him, offer choices, and praise any small effort to eat or join play. Encourage safe ways to express feelings (talking, drawing, prayer, remembering his mother with a simple ritual), and keep trusted adults and school involved for support. He should see a mental health professional if these behaviors last more than a few weeks, he’s losing weight, not drinking well, worsening, or shows signs of despair or self-harm. Medication is not the first step for grief in a child; any medicines should only be considered by a specialist after assessment.",GPT Realtime 2 (audio),gpt-realtime-2
a330674b-1cce-4ebd-b148-0214be33a856,english,accented_english,/data/Intron-Multimodal-Benchmarking/data/gates_data/audio/1ecaccdd86f8797cc66a22e61daccf4a_w640SuFi.wav,"A mother living in our neighborhood was pregnant with her second child. At the beginning of the pregnancy, everything was going normally, and she was happy that a new baby was coming. However, a few months ago, she began to experience severe lower abdominal pain. One day, the pain became so intense that she could hardly stand up properly. Shortly afterward, she also started having heavy vaginal bleeding. The bleeding was more than usual, and it made her very weak. When she saw the bleeding, she became frightened that her unborn baby might be in danger. Her husband quickly assisted her to go to the hospital.
My question is: what can cause severe lower abdominal pain during pregnancy? Is heavy bleeding during pregnancy a danger sign for the mother or the unborn baby?
What are the signs that indicate the pregnancy may be in trouble? Is there any medication that can stop the pain and bleeding without harming the unborn baby?",http://speech-app.s3.amazonaws.com/static/audio/uploads/383888b7-2c4d-4b85-8bfb-3421f72eeadc/1ecaccdd86f8797cc66a22e61daccf4a_w640SuFi.wav,"I’m going to think through the likely causes and the safest immediate steps, especially what should trigger urgent care.Severe lower abdominal pain in pregnancy with heavy bleeding can be caused by threatened miscarriage, ectopic pregnancy, placental problems (like abruption or placenta previa), infection, fibroids, or preterm labor, and it needs urgent evaluation with examination and ultrasound. Heavy bleeding in pregnancy is a danger sign for both mother and baby until a clinician finds the cause, especially if it makes her weak or dizzy. Warning signs that pregnancy may be in trouble include severe or persistent pain, heavy bleeding or clots, fainting, fever, leaking fluid, contractions, or reduced fetal movements later in pregnancy. There is no safe home medication that can reliably stop significant bleeding; treatment depends on the cause, and pain relief should be guided by a clinician, with paracetamol generally preferred and NSAIDs avoided unless a doctor advises otherwise. The priority is getting to a hospital quickly for assessment and appropriate treatment.",GPT Realtime 2 (audio),gpt-realtime-2
29a2c96b-9835-400d-acf7-a3e335d5002e,english,accented_english,/data/Intron-Multimodal-Benchmarking/data/gates_data/audio/22ec8fbe7f988ab0386b1b5adac42a40_Lylr5O79.wav,"A guardian of a child observed that the child is cough intensely, till the end that the child is been abrupt and struggling to breathe well. What can cause a child to be coughing in abrupt manner, till the end that the child can't breathe well, and struggling to breathe? What can kind of test can we run for that child? What treatment can we give? And then what advice can be give to the guardian of this child? ",http://speech-app.s3.amazonaws.com/static/audio/uploads/c24d9a22-2976-4730-b153-2b242b1d096f/22ec8fbe7f988ab0386b1b5adac42a40_Lylr5O79.wav,"I’ll think through the likely causes and the urgent steps, then I’ll outline key tests, treatment, and advice for the guardian.An abrupt, intense cough with struggle to breathe can be caused by a foreign body aspiration (most likely if it started suddenly), but severe asthma, croup, pneumonia, pertussis, or an allergic reaction can also do this. If the child has signs of choking or severe breathing difficulty, this is an emergency: start age-appropriate choking first aid (back blows and chest thrusts for infants, abdominal thrusts for older children) if trained, avoid blind finger sweeps, and get to a hospital immediately. In hospital, key checks include pulse oximetry and a chest X-ray (sometimes inspiratory/expiratory views), with further tests like pertussis PCR or other labs based on the suspected cause. Treatment depends on the diagnosis, and may include oxygen, nebulized bronchodilator and steroids for asthma, nebulized adrenaline for croup, or antibiotics for bacterial infection; suspected foreign body needs urgent specialist evaluation and possible removal. Advise the guardian to keep the child calm, avoid giving food/drink during distress, keep small objects out of reach, and ensure immunizations (including pertussis) are up to date.",GPT Realtime 2 (audio),gpt-realtime-2
1ca84822-c7ea-4bee-9736-4cd89a8f0bf2,english,accented_english,/data/Intron-Multimodal-Benchmarking/data/gates_data/audio/6e7c086781508076742c00c0e90a393b_QXZ9PS88.wav,"I brought my nine-year-old child to the hospital this afternoon. I sent the child on an errand to buy something for me in town, but a dog bit the child. When they brought the child home and explained what happened, I examined the wound where the dog bit the child, and I noticed that the wound is red and already swollen. We made inquiries in the neighborhood to find out about the dog that bit the child, and the dog's owner said that they have never given the dog any vaccines. They mentioned that it just goes out, plays, and comes back inside. They said they have never given the dog any medical treatment whatsoever. This is why I became frightened and rushed the child to the hospital, so that it wouldn't turn out that the dog that bit the child is a rabid dog. What could possibly happen to a child who has been bitten by a dog? What could happen to a wound that is red and swollen? Is it possible for an infection like rabies to enter this wound? Is it possible for something terrible to happen to the child as a result of this dog bite? Please...
What can I do to prevent an infection from entering this wound? What vaccines and what medications can be used to treat this child to ensure they receive proper care? What else can we do, or what medical tests can we run to care for the wound where the dog bit this child?

",http://speech-app.s3.amazonaws.com/static/audio/uploads/deb5d857-a070-45c0-befc-c05e82418b64/6e7c086781508076742c00c0e90a393b_QXZ9PS88.wav,"I hear your concern; let me think through the risks and the urgent steps for proper care.Yes, a dog bite can cause serious infection, and because this dog is unvaccinated and roaming, the child is at risk of rabies, so you should not wait to start post-exposure care. The red, swollen wound suggests possible bacterial infection, so the wound needs thorough cleaning, possible debridement, and antibiotics, and tetanus vaccination should be updated if not current. Immediate first aid is to wash the wound vigorously with soap and running water for at least 15 minutes, then apply an antiseptic like povidone-iodine. Start rabies post-exposure prophylaxis promptly: rabies vaccine on the recommended schedule and, for severe bites (category III), rabies immunoglobulin infiltrated into and around the wound as much as possible. There is no useful early test to safely “rule out” rabies in the child, so treatment decisions are based on exposure risk; if the dog can be safely confined and observed by authorities, that can help, but do not delay starting PEP.",GPT Realtime 2 (audio),gpt-realtime-2
2d3577d4-0796-481d-b7cd-df6912cbf4df,english,accented_english,/data/Intron-Multimodal-Benchmarking/data/gates_data/audio/4dc9ce6a313e6f7f05e2097d99201126_aCvc58WL.wav,"After I gave birth and I was trying to recover, one evening I thought that since we did not have clean water in our area, if I wanted to bathe, I would always use water that is not clean all the time, I kept thinking that I should take care of myself and be bathing properly.
Then, when it became one evening, my body was no longer well. I started feeling cold, and my body began to shiver every day. I was feeling cold, but my body was not well again. I noticed that the blood that was coming out after childbirth had a smell coming from there that was not good at all. The smell was much, and this had not happened before.
I could not take my eyes away from it. As I got up, that was when I was coming to the hospital to ask whether the clean water that I used to bathe could cause any illness after childbirth ",http://speech-app.s3.amazonaws.com/static/audio/uploads/b4129300-516c-4e8c-b210-8a7a68eb2c40/4dc9ce6a313e6f7f05e2097d99201126_aCvc58WL.wav,"Thanks for sharing this; let me think through what’s most likely causing those symptoms and what you should do next.Unclean bath water alone is not the usual cause of this; the foul-smelling vaginal discharge with chills and feeling unwell after delivery suggests a postpartum infection (such as endometritis), which can become serious. You should be assessed urgently in a hospital for examination, possible tests (including checking for retained tissue), and prompt antibiotics. While recovering, avoid douching or putting anything inside the vagina, keep the perineal area clean, and wipe from front to back. If clean water is scarce, use boiled and cooled water for washing to reduce contamination risk. Seek care immediately if you develop fever, worsening abdominal pain, heavy bleeding, or dizziness.",GPT Realtime 2 (audio),gpt-realtime-2
