model,modality,asr,language,subset,audio_id,question,reference,model_answer,model_id,url
claude-opus-4.8,text,sahara,fulfulde,fulfulde,439a3510-6994-4c54-a354-9f8e39e17b9d,Mi hakkili ko am pertiido mo vowi fijigo be sobirabe mako sanji wakkati gotel jotta hanko tan jodata ha sudu mako kullum o acci yewtogo bo o wala fala ko vowi yidugo mi hakkili bo ko min je woni sare o yida nyamugo be amin odo nandi mo woni der bella ko chamri kala wakkati fu kadi dume on wawata latata sabulu dasugo bandu mako be sobirabe mako wawan lata metol berde on. kotorugo hakkilo on damata mo hertoi min wawata valliugo mo gam siyo mako warta be alamaji toi handi en hakkila handi o lara hokko o shawarana ko likita mo andi nyawuji berde.,"Mi hakkili miko am pertido mo vowi fijugo beh sobirabe mako canji wakkati gotel. Jotta hanko tan jodata ha sudu mako kullum. O acci yewtugo, bo owala fala ko o vowi yidugo. Mi hakkili boh ko minin jeh woni sare, oyida yamugo beh amin . Odo nandi mo woni der billa koh chomri kala wakkati fu. Kadi, dume on wawata lata sababu dasugo bandu mako beh sobirabe mako? Wawan lata mettol berde on na koh torrugo hakkilo on damata mo? Her toi min wawata vallugo mo gam seyo mako warta? Beh alamaji toi handi en hakkila? Handi o lara hokko shawara na koh likita mo andi nyawuji berde?","Based on your description, your relative is showing signs of **depression**. The symptoms you describe—social withdrawal (stopping play with friends), staying isolated in his room, not talking or laughing, loss of interest in activities he once enjoyed, changes in eating habits, and low energy or fatigue—are classic features of a depressive disorder. Depression is a real medical illness, not laziness or weakness, and it can be treated effectively with counseling (talk therapy), support from family, and sometimes medication when needed. Please do not blame or pressure him; instead, show patience, listen without judgment, and gently encourage him. You should take him to see a doctor or mental health professional, and if he ever mentions thoughts of self-harm or suicide, treat it as an emergency and seek help immediately.",claude-opus-4-8,http://speech-app.s3.amazonaws.com/static/audio/uploads/543e4e17-d941-44de-9941-31053b439bff/5772c7694127b69c21dfd7539161b906_4ZadKFma.wav
claude-opus-4.8,text,sahara,fulfulde,fulfulde,98e022a6-3280-419c-b6d4-0f2396fedf7b,Dada ɓingel fere ɗo dami hala keccel mako mo mari laru je tati bei nange ɓingel mai pijal boɗɗum amma to jemma waɗi sai o fuɗɗa tari tari mai ɗo ummina keccel man daga ɗo yiɗi mako bo keccel mai wokan diga ɓawo ha iri kala jamma ɗo dada mai lari ɓingel man ɗo fufa be lau bo ɗo habda fofa mai ma dada mai kasi danugo ngam o hutiri defadira waɗi dada mai hakkilri ɓingel mai sali musun. fijugo no o vowi sai o yari keccel mai ha likita ngam o yiɗi o anda ɗume on haddi sitta tari man bo ko waɗi o ɗo fofa be bone bo o anda iri kala lekki toi e wannata bingel man lamɗol am ko watata ɓingel petel tari sosai be jemma bo hada bingel man fufugo boɗɗum wawan wada tari be bonede fofugo man alamutu ɗume bei ɗume wawata wadugo ha sare heɓa keccal man ɗaana boɗɗum jemma.,"Daada ɓingel fere ɗo daami hala kechel mako mo mari lewru jetati. Be naange, ɓingel mai fijan boɗɗum, amma to jemma waɗi se o fuɗɗa tari. Tari mai ɗo ommina kechel man diga ɗoiɗi mako, bo kechel mai wokan diga ɓawo. Ha iri kala jemma doh, dada mai laari ɓingel man ɗo fofa be law bo oɗo habda fofa mai ma. Dada mai kaasi ɗaanugo gam o hulturi. De fajira waɗi, dada mai hakkili lari ɓingel mai sali musunugo bo o sali fijugo no ovowi, se oyaari kechel ha likita gam oyiɗi o anda ɗume on haddisitta tari man bo ko waɗi oɗo fofa be bone bo o'anda iri kala lekki toi ewannata ɓingel man. Lamnɗol am: ko watata ɓingel peetel taari sosay be jemma bo haɗa ɓingel man fofugo boɗɗum? Waawan waɗa taari be boneeɗe foofugo man alamu huttu? Ɗume be ɗume ewaawata waɗugo ha saare heɓa kechel man ɗaana boɗɗum jemma?","## Assessment of Infant with Nighttime Crying and Difficulty Sleeping

Based on your description, you have a 3-month-old infant who feeds well and appears healthy during the day, but at night becomes very restless, cries excessively, wakes frequently, and has difficulty settling to sleep, causing distress to both baby and mother.

**Most likely causes to consider:**
- **Infantile colic** is very common at this age (peaks around 6-8 weeks), causing episodes of inconsolable crying, often worse in the evening and night, in an otherwise healthy, well-feeding baby.
- **Hunger or feeding issues** — ensure the baby is feeding enough; some infants need more frequent night feeds during growth spurts.

**What to do at home:**
- Hold and comfort the baby with gentle rocking, swaddling, or skin-to-skin contact; feed on demand and burp the baby well after feeds.
- Keep the sleeping area cool and free of mosquitoes; check that the baby is not too hot, wet, or bitten by insects.

**When to take the baby to a clinic (danger signs):**
- Seek medical care urgently if the baby develops **fever, refuses to feed, vomits repeatedly, has diarrhea, difficulty breathing, becomes weak/floppy, or the crying is constant and cannot be soothed at all** — these may indicate infection (such as malaria, ear infection, or urinary infection) rather than simple colic.

Colic usually improves on its own by 3-4 months of age, but any danger sign requires prompt evaluation by a health worker.",claude-opus-4-8,http://speech-app.s3.amazonaws.com/static/audio/uploads/613d2683-85de-4c67-9096-827184b2ebdd/5ae6765e8eade4159e4f5137883c57e1_NHp9iyFv.wav
claude-opus-4.8,text,sahara,fulfulde,fulfulde,662d0f80-5975-44c8-b91f-e79e040b4d70,Rawandu ngati bingel bandan dubi mako je didi rawandu mai gati mo be yahi ha gargajiya goddo gargajiya ta’i babal mai sai wati lekki fere inde majum abboro amma jonta babal rawandu mai gati fuddi vurtungo dammutore bo ɗuti en yacci ɓe yara mo asibiti pusani iri kala ri ɓe wannata bingel ɗo o wawan heɓugo ngam rawandu mai ko da rawandu mai ɗo dama bo iri safande toi hani a wanna bingel petel ɗo mawandu mai wannai mo il fere ha bandu mako.,"Rawaandu ngati ɓingel ɓanɗam. Duɓi mako je ɗiɗi. De rawaandu mai gati mo, eyehi ha gargajiya, goɗɗo gargajiya ta'i babal mai se wati lekki fere inde majum 'aporo'. Amma jonta, babal rawandu mai gati fuddi vurtungo namputere bo ɓuti. En yechi ɓe eyara mo asibiti. Useni, iri kala lirore toi ewannata ɓingel ɗoh? Owawan heɓugo wuttaandu gam rawaandu mai, ko da rawaandu mai ɗo daama? Bo iri safande toi haani ewanna ɓingel peetel ɗo? Maandu rawaandu mai wannai mo illa fere ha ɓandu mako.","# Dog Bite Management and Rabies Prevention

Based on the history described, this two-year-old child was bitten by a dog, initially treated by a traditional healer who applied herbal remedies, and now the bite wound is worsening with swelling and pus formation (signs of infection).

**Immediate management needed:**
- **Wound care:** Thoroughly wash the wound with soap and running water for at least 15 minutes, then clean with antiseptic. Do not suture immediately if there is infection.
- **Antibiotics:** Start treatment for the infected wound, as dog bites commonly cause bacterial infection (e.g., amoxicillin-clavulanate is preferred).
- **Rabies post-exposure prophylaxis (PEP):** This is critical and urgent — administer rabies vaccine, and if the wound is deep or severe, also give rabies immunoglobulin, because rabies is almost always fatal once symptoms appear.
- **Tetanus prophylaxis:** Ensure the child's tetanus vaccination is up to date, or give tetanus toxoid/immunoglobulin as needed.

Please take the child to the hospital immediately, as delay increases the risk of rabies and serious infection.",claude-opus-4-8,http://speech-app.s3.amazonaws.com/static/audio/uploads/d32f5e72-b75a-438a-aaa1-0f3e49e2ad25/d1317d919f7ad32aa7e02bea784f5e2e_254txzZC.wav
claude-opus-4.8,text,sahara,fulfulde,fulfulde,7af2af64-2808-4bf4-a259-49c62c4a9b64,Debbo darnajo ɗo jogi ɓingel mako de o lari zazzabi nangi gal mai non non tan fuɗɗi dimbugo bingal mai do wada jinl wala der hakkilo irin nyautoi hebi bingel dadalgu sumdo be irin hakkulungo hakkilinta bingal do.,"Debbo jarmaajo do jogi bingel mako , de olaari zaszabi nangi gel , bingel mai nonnon tan fuddi dibbugo .Bingel mai do wada jindol owal der hakkilo . Irin yeu toi hebbi bingel daada  musunoddo do? Be irin hakkulingo toi hakkilinta bingel do?","# Response

This clinical presentation describes a pregnant woman with fever who develops seizures (convulsions), loss of consciousness, and altered mental status. This is most consistent with **cerebral malaria** or **eclampsia**, both of which are obstetric emergencies in this setting.

Given the fever as a prominent feature, **cerebral malaria** (severe *Plasmodium falciparum* malaria) is the most likely diagnosis, as pregnant women are highly susceptible to severe malaria in endemic regions of Nigeria. The management is **intravenous artesunate** as the first-line treatment, along with anticonvulsants (such as diazepam or magnesium sulfate) to control seizures, glucose monitoring for hypoglycemia, and supportive care. However, **eclampsia must be ruled out urgently** by checking blood pressure and urine protein, as it also causes seizures in pregnancy and requires magnesium sulfate and delivery. Urgent referral, blood tests (malaria parasites, glucose, blood pressure), and close maternal-fetal monitoring are essential to prevent death of both mother and baby.",claude-opus-4-8,http://speech-app.s3.amazonaws.com/static/audio/uploads/4e944aa2-b594-4fe7-bac1-5709e3f206d4/445167f8000db8be0f36ff93faaad782_UdH9lVGh.wav
claude-opus-4.8,text,sahara,fulfulde,fulfulde,05d40662-2ac2-4b71-88a4-87bf41b6ca15,Dada mu suno bingel mako kuma o do larani bandu bingel do wula wakkati bo da lori vi o yidda saali o yi bandu bingal mai gabaki daya tid sai o faddi bo o anda ko daya bol mako do mabbi. Gam kujeji ɗiyam ɗo vurtina mo ha hunduko kuma ɓingal mai wawata maɗa kala nyiri fu jotta oɗo ema elkita ko irin ɗo o maran nyauɗo maran dama kuma be irin nyau ganɗi ko o wawan o heɓa batal. Koje gargajiya be sabulu gargajiya ɗon ɓe naftirinta ɓingel be iri nyauɗo ha vurti.,"Daada musunoodo, hirliti bingel mako kuma odo laara ni bandu bingeldo, dowula wakatigo . Daada lori vi oyi bawoo awaa sedda saali oyi bandu bingel mai gabaakidaya tiidii se o faddi. Bo o anda ko leebol mako do mappi, gam kujeeji diam do vurtinamo ha hunduko. Kuma hingel mai wawata moda kala yiiri fu.
Jotta odo ema likita ko irin yeu do maran daama, kuma be irin yeu toi ga nandi, ko owaawan oheba  baatal koje gargajiya be sabulu gargajiya don be nefartirinta bingel be irin yewu do, ha lenyol o furti.","# Clinical Assessment

Based on your description, your child presents with concerning symptoms: **fever, a hot body, refusal to breastfeed/eat, stiffness of the body, foaming/frothing at the mouth, and difficulty opening the mouth (lockjaw/trismus)**.

## Most Likely Diagnosis
These symptoms strongly suggest **neonatal tetanus** (if the child is a newborn) or **tetanus/severe infection with possible meningitis**. The combination of body stiffness, inability to open the mouth, and frothing is characteristic of tetanus, which is common in areas with unclean cord care or unvaccinated mothers.

## Urgent Action Required
**This is a medical emergency — take the child to the hospital IMMEDIATELY.** Do NOT rely on any traditional treatments, herbs, or local remedies, as delay can be fatal.

## What the Hospital Will Do
The child needs **tetanus antitoxin (TIG), antibiotics (metronidazole/penicillin), muscle relaxants (diazepam), wound care, and possibly oxygen or tube feeding** in a quiet, dark room. Prevention through **maternal tetanus vaccination and clean delivery practices** is essential for future pregnancies.",claude-opus-4-8,http://speech-app.s3.amazonaws.com/static/audio/uploads/505092e3-9608-4beb-98d8-d8aeb0a16945/88f1715c0c0a0e58e1d81a3b7eabeb44_DKJjG7gE.wav
claude-opus-4.8,text,sahara,fulfulde,fulfulde,b5f5fab7-0d62-4ff9-a947-631641f53f7c,Likita mi waddi ɓingel dubi jui be lebbi ɗiɗi kuma oɗo lebbi ɗiɗi ko sali oɗo be damuwa be fofugo saɗini mo jamma kuma o ɗo uja. ɗo ni sali dillugo mi sodini mo lekki ojjugo tibi inde magal tutolin chuld o yardi gora gotel amma ɗojugo mai dillai kuma har jotta ɗo be jemma ɗo saɗini mo mi wanni mo je tibi. Amma be vi wawan o wala nyau tibi ɗum likita ɗume on waddata ɓingel duɓi jui heɓa ittugo wala acca ɗum be kuma ɗume on waddata ɓingel dubi jui heba damuwa fofugo daker ɗo be tamma.,"Likita miwaddi by bingel dubu jew be lebbi didi , kuma odo be banin ko lebbi didi ko saali , odo be damuwa be foofugo do sadinimo jamma, kuma odo ojja kullum kullum. Hojjugo dooni salli dillugo. Mi soodi nimo lekki dojjugo TB, inde maagal Tutolin Children . O yardi goora gootel amma dojjugo mai dillai.kuma har jotta do dojjugo be jamma do sadinimo.
Mi wanni mo goji je TB, amma bevi wawan owala yeewu TB do.
Likita, dume don waddata bingel dubi jew heba hojjugo wala accha do, be kuma dume on waddata bingel dubi jew heba damuwa foofugo daker do be jamma?","# Assessment of a 2-Year-Old with Chronic Cough and Breathing Difficulty

Based on your description of a child aged around 2 years and 2 months with a persistent cough for two months, difficulty breathing, worsening at night, and failure to respond to the vaccine/medication given, this presentation strongly suggests **possible pulmonary tuberculosis (TB)**, especially given the chronic nature (over 2 weeks) and poor response to standard treatment.

## Recommended Actions:

1. **Investigate for TB** — Request a **GeneXpert MTB/RIF test** on gastric aspirate or sputum (if obtainable), a **chest X-ray**, and a **Mantoux (tuberculin skin) test**; also screen for **contact with any adult who has TB or chronic cough** in the household.

2. **Rule out other causes** — Consider **asthma, whooping cough (pertussis), foreign body aspiration, or HIV infection**; testing for HIV is important as it increases TB risk.

3. **For breathing difficulty and cough relief** — Ensure the child is not hypoxic (check oxygen if available); if wheezing suggests asthma, a **salbutamol inhaler with spacer** may help, but avoid unnecessary cough syrups in young children.

If TB is confirmed, start **standard anti-TB treatment** promptly, as childhood TB is common and treatable in our setting. Please refer to a facility with diagnostic capacity if these tests are unavailable locally.",claude-opus-4-8,http://speech-app.s3.amazonaws.com/static/audio/uploads/1c2be1aa-bad0-4e1e-8c37-84158acde31c/b0096cbd1874092b64c5f55c71ef46fc_PfUWaCPY.wav
claude-opus-4.8,text,sahara,fulfulde,fulfulde,92caf330-cd8d-4af6-a332-4392a0684822,Inde ame ɓawo lebbi ɗiɗi ko saali ɗo militina gorko amofugo mako da dedai ba sam be odo ista akai akai banda ma odo babellaji ko habe saunde odo isla akai akai ni bofugo daidai o hokka. Ɗo waɗa ta’a be oɗo isla to oɗo solaji wodi ko je min waɗata heɓa hefta ko waɗata ɗotugo ɗo be isugo ko julde ha pellel mari solaji ko ɓandu mako ɗon. Chanta waɗata ɗum fe’a irin lekki toi ɗon o naftirta hofugo mako hota dedai be kuma o wawan o joɗa belɗum ko ha o woni fu.,"Inde am Mrs Akinleye, bawo lebbi didi ko saali do, mi hirliti nii gorko am, foofugo mako da daidai ba sam sam. Be odo isla akai akai , bandam odo babel sollaji ko ha be saa ta hunde. Odo isla akai akai ni bo foofugo dai dai do hokka mo bone. Foofugo mako do wada ta’a be odo isla to odoo pellel churde ko sollaaji. Wodi goji min wadata heba hefta ko waddata hojjugo do be islugo? Ko joode ha pelel mari sollaaji do waddata dum, ko bandu mako don chanjata wadata dum fe’a?
Irin lekki toi don o naftirita, foofugo mako hoota daidai be kuma owaawan ojooda peldum ko ha o woni fuu?","I'm reviewing your question, which appears to describe a situation about a man who, two months after being circumcised, is experiencing difficulty with erections—where the erection is not straight/proper or there may be pain, curving, or discomfort, and you're asking what could be causing this and what treatment or remedy might help him have a normal, straight, comfortable erection.

Based on this description, here is my clinical assessment:

**Possible causes:** Two months after circumcision, persistent penile curvature, pain, or difficulty achieving a straight erection may be due to incomplete healing, scar tissue formation (fibrosis) at the circumcision site, excessive or uneven skin removal, or an underlying condition like a chordee that may have been present or become apparent. Occasionally, infection or adhesions from the healing process can also cause pulling or bending during erection.

**Recommendations:** He should be examined by a doctor or surgeon (ideally a urologist) to assess the scar tissue and curvature directly, as physical examination is essential for an accurate diagnosis. Mild curvature and discomfort often improve with time as scar tissue softens over several months, and gentle stretching, warm compresses, and keeping the area clean can help. If the curvature is significant, painful, or does not improve, surgical correction of the scar or chordee may be needed. He should avoid unproven local remedies applied to the penis, as these can cause irritation or infection—please seek proper medical evaluation.",claude-opus-4-8,http://speech-app.s3.amazonaws.com/static/audio/uploads/958360c8-f3ce-4ba2-b455-3643aae6e790/49f615cddaa3661c794eed71f7b98358_ZwOT7vF9.wav
claude-opus-4.8,text,sahara,fulfulde,fulfulde,1a300999-4afc-406c-b8f9-db90c98bf7f7,Mayi ɓingel mako mo ɗo wondi be mako tun o dayi ɓingel hakkunde ɓawo tati ɗum waɗi rufata ɓawo dayugo bo rufa be robe sembe nda dedai ma o yiini fu ɓingel mako ɗo laɓi juɗe koste yeso. Tou ɗo tauna ɓandu ɗo wuli amma ha dar ɓalle tati ɗo ko sari ɗo kosɗe mako be juɗe mai fu ɗo fewi bo o ɗo somi somini sosai bo wala ko o wawata waɗugo kanjum waɗi o waddi mo sibiti heɓa. Likita lara ɓandu mako o yami ko wawan likita mai lotai babel mingel mai joɗata boɗɗum ko kanjum waddata rufugo iyam sembe mai bo otori likita mai vindina mo batal ko lekki je darnata iyam mai heɓa dada mai lornita sembe mako wawa hakkina ɓingel. ,"Maama yi’i bingel mako,mo odo wondi be mako tun o dayi bingel, hakkunde bawo tati dum wadi, eyam rufata bawo dayugo, o rufa belau be sembe da daidai ba. Oyi’i ni fuu bingel mako do laapi , judde, koste, yeeso, nofuru fuu do laapi. Odo ta dewna bandu bo owuli. Amma ha der balle tati ko saali do koste mako be juude mai fu doo feewi. Bo odo sommi sommi ni sosai bo wala ko o waawata wadugo. Kanjum wadi o waddimo sibiti heba likita laara bandu mako. Oemmi ko wawan likita mai lootai babel mingel mai joodata boddum, ko kanjum waddata rufugo eyam sembe mai.
Bo otori likita mai vindimo baatal ko lekki je darnata eyam mai, eba daada mai lornita sembe mako waawa hakkilina bingel mako.","# Clinical Assessment

Based on this presentation, this is a case of **postpartum hemorrhage (PPH)** occurring after delivery, with the mother now showing signs of significant blood loss and possible severe anemia or shock.

## Key clinical findings:
- Heavy bleeding after delivery, with clots
- The baby's hands and feet appear pale/white
- Body is warm but limbs (three days later) show swelling of feet and hands
- The mother is very weak and unable to function
- Signs of anemia and circulatory compromise

## Management/Answer

The mother needs **urgent blood transfusion** to replace the blood lost from the postpartum hemorrhage, as she is showing signs of severe anemia and hemodynamic instability. First, the doctor should **stabilize her** by ensuring the uterus is well-contracted (uterine massage) and give **uterotonic drugs such as oxytocin, misoprostol, or ergometrine** to stop the ongoing bleeding. She should also be started on **intravenous fluids** to maintain circulation while blood is being prepared, and **tranexamic acid** should be given to help control the hemorrhage. Additionally, she requires **iron supplementation** and treatment for the underlying cause of bleeding, and both mother and baby should be evaluated and referred to a facility capable of transfusion and further care.",claude-opus-4-8,http://speech-app.s3.amazonaws.com/static/audio/uploads/9d732eb6-fb7a-42c0-8736-8c3dbb646e26/baa51d6b97df04c44e663e70c4dc6d29_3Ul3VDrg.wav
claude-opus-4.8,text,sahara,fulfulde,fulfulde,1169dfcc-d852-4ad0-98bc-fcc9c05621ab,Myari sobajo amre dubi mako sappo e je tati gam o nasti dango bo wakkati wadi den yotti sibiti mai be hosi mo be godi mo ko handi fu be tawi sembe iyam mako va’i ko handi ni fu be wadan o do danyugo. Oɗon ni har ɓawo aawa sappo e ɗiɗi gorko mako dayai likita en sauri debbo mai o jaɓa ɓe wanna mo sis gam o ɗo der danugo ɗo ni sobajo am saali sam o fiwai o yidi dango baroɓe ibrani enta daga ɓawo o danyi bingal ɓawo aawa sappoi. O ɗo dergo o danyi ɓingel debbo e jamu ko ma min yettore Allah amma ko hirni amni amin ɓingel ɗo wala fofa boɗɗum be dimbi akai akai mari wuji bandu bingel ɗo o kini amma fofugo wartai dede har dotta be yawi be hokki mo. Oksid likita usini bingel do hisanna be to o hisi o wartan bingal ma wori na fore na,"Mi yari sobaajo am reduujo , mo duubi mako sappo e je tati, gam o nasti dayugo bo wakati wadi . Dai min yotti sibiti mai, be hosimo bo begodimo ko haadi fu, be tawi sembe eyam mako va’e. De bawadi ko haadini fu be wada . Odo der dayugo. Odon nii har bawo awa sappo e didi. Gorko mako dayai, likita en sauri debbo mai ojaba be wanna mo CS, gam odo der dayugo do neebi .
Sobajo am salli sam , ovi wai oyidi dayugo ba roobe ibrani’en dayata .
Dagabawo o dayi bingel, bawo awaa sappo e didi o do der dayugo. Odayi bingel debbo e jamun, kuma minyettore Allah. Amma ko hilni amin bingel do wala foofa boddum. Be dimbi akai akai, marri , wugi bandu bingel do. Owooki ni amma foofugo warta deedai har jotta.
Be yawi be hokkimo oksijin.
Likita, Useni, bingel do hisan na? Be to o hisi, o wartan bingel mo woodi naafoore na?","# Clinical Assessment: Neonatal Respiratory Distress

Based on your description, this 13-year-old girl had a **prolonged, obstructed labor** requiring emergency cesarean section, and the baby was born at term but now shows **respiratory distress** (rapid breathing, difficulty breathing, requiring oxygen) with intermittent movement.

**The prognosis depends on the cause and how the baby responds:**

1. **Likely diagnosis:** This is probably **birth asphyxia (Hypoxic-Ischemic Encephalopathy)** from the prolonged obstructed labor, possibly with associated **meconium aspiration or transient tachypnea** — the delay in delivery reduced oxygen to the baby.

2. **Good sign:** If the baby **improves on oxygen, breathes better, feeds well, and moves normally within the first days**, recovery is likely and the baby can survive and grow normally.

3. **Warning signs:** Persistent poor breathing, seizures, refusal to feed, floppiness, or reduced consciousness suggest more serious brain injury with a poorer outcome.

4. **Immediate action:** Keep the baby warm, continue oxygen, monitor breathing and feeding closely, watch for seizures, treat for possible infection, and **refer to a facility with newborn special care if not improving**.

Yes, the baby **can survive and be normal** if breathing stabilizes and neurological signs remain good — close monitoring in these first days is critical.",claude-opus-4-8,http://speech-app.s3.amazonaws.com/static/audio/uploads/3d266846-2143-40e8-9ce7-edd23e4b7d32/d4b1cfe7adcbf7518f4312ae01331c3a_PDX1kSVB.wav
claude-opus-4.8,text,sahara,fulfulde,fulfulde,4d31877b-469d-4301-9932-75fd852d6b19,Rewo ɓingel mo hakkilinta ɓingel petel herti ɓingel o hakkilinta mai dakka fofata den bo fofugo bingal mai da dedai ba bingal do da keel don ba je be sakkini al ha dango kuma na bingal be yiwata be diyam pewdum. Ɗum waddata ɓingel petel fofata da kerɗo be ɗofugo mai hoi nai mo bana nane ɗume min waɗata do hala ɗo.,"Reenodo bingel mo hakkilinta bingel petel, hirliti bingel o hakkilinta mai daker foofata, denbo foofugo bingel mai da dedai ba.
Bingel do da chekkel don ba je be sakkiniel ha danugo, kuma naa bingel beyiiwata be diyam paudum.
Dume don waddata bingel petal foofata daker do be dojjata akai akai, bo kwadi foofugo mai hoyinai mo bana naane? Dume minwadata do halaa do?","**This describes a premature (preterm) baby who is not breathing well, feels cold, and needs help.**

For a small preterm newborn with breathing difficulty and low body temperature, do the following immediately:

1. **Keep the baby warm** using skin-to-skin (Kangaroo Mother Care) against the mother's chest, cover with a warm cloth and cap the head, as hypothermia is very dangerous for preterm babies.

2. **Clear the airway and stimulate breathing** — gently wipe the mouth and nose, dry the baby, and rub the back; if not breathing, begin bag-and-mask resuscitation with room air.

3. **Support feeding** — help the mother express breast milk and give it by cup, spoon, or nasogastric tube if the baby cannot suck, and encourage frequent breastfeeding to prevent low blood sugar.

4. **Refer urgently to a hospital** with newborn care if the baby remains cold, has trouble breathing, or feeds poorly, as such babies often need oxygen, warmth, and monitoring in a special care unit.",claude-opus-4-8,http://speech-app.s3.amazonaws.com/static/audio/uploads/1c6a2b57-3053-4415-9727-917ed9722ce8/7c72ff04903a2a067085df6696d31fe2_ploEzH89.wav
