audio_path,duration,text,language,source,root,file_exists,hypothesis,reference
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/amharic/0602c29f9a573bc52469059301d33409_D7PLDbFm.wav,7.445000171661377,ትበሳጫለች እና ብዙም አትበላም ነገር ግን በቀን ውስጥ የተወሰነውን ቀመሯን ትጠጣለች ምንም እንኳን ከመደበኛዋ ግማሹን ብቻ የምትወስድ ቢሆንም።,amharic,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,ትበሳጫለች እናም ብዙም አበላም ነገር ግን በቀን ውስጥ የተወሰነ ቀምሯን ጠጣለች ምንም እንኳን ከመደበኛ ግማሹን ብቻ ቢሆን,ትበሳጫለች እና ብዙም አትበላም ነገር ግን በቀን ውስጥ የተወሰነውን ቀመሯን ትጠጣለች ምንም እንኳን ከመደበኛዋ ግማሹን ብቻ የምትወስድ ቢሆንም።
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/amharic/d3aabb58ecbd3526dd856ac8845433ab_6UPgU8Af.wav,11.659000396728516,ምንድነው የሆንኩት በቀኝ ትከሻዬ በኩል በጣም ያመኛል ሁሌ ስጨነቅ ነው የሚነሳው እየተፈጠረ ያለውን ነገር ለመረዳት እፈልጋለሁ እባካችሁ ጥያቄዬን መልሱልኝ,amharic,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,ምንድን ነው የሆንኩት በቀኝ ትከሻዬ በኩል በጣም ያመኛል። ሁል ስጨነቅ ነው የሚነሳው እየተፈጠረ ያለውን ነገር ለመረዳት እፈልጋለሁ። እባካችሁ ጥያቄም መልሱልኝ,ምንድነው የሆንኩት በቀኝ ትከሻዬ በኩል በጣም ያመኛል ሁሌ ስጨነቅ ነው የሚነሳው እየተፈጠረ ያለውን ነገር ለመረዳት እፈልጋለሁ እባካችሁ ጥያቄዬን መልሱልኝ
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/amharic/d61f30cc1311bb962bba4390154a8d69_Fyjnbrqy.wav,15.95699977874756,ትላንትና እና ዛሬ ማለዳ የደም ጊፊቴ ጥቂት ጊዜ ወስጄ በእያንዳንዱ ጊዜ ዲያስቶሊክ ንባቡ 107 እንደሆነ ለማወቅ ብቻ ነው።(ሙሉ ንባብ 167/107),amharic,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,ትላንትና ዛሬ ማለዳ የደም ግፊቴ ጥቂት ወስጄ በእያንዳንዱ ጊዜ ዲ የአስቶሊክ ንባቡ 1007 እንደሆነ ለማወቅ ብቻ ነው። ሙሉ ሰባት እና ህዝባር 14 ላይ,ትላንትና እና ዛሬ ማለዳ የደም ጊፊቴ ጥቂት ጊዜ ወስጄ በእያንዳንዱ ጊዜ ዲያስቶሊክ ንባቡ 107 እንደሆነ ለማወቅ ብቻ ነው።(ሙሉ ንባብ 167/107)
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/amharic/dbe4be562236e758fd895cdc680028b6_dA8R1eal.wav,8.01200008392334,ህመሙ በበጋ በጠም የባሰ ነው አሁን አየተሰማኝ ያለው ቆለጤ ውስጥ መርፌ እና አሾህ የወጋኝ አይነት ስሜት ነው ህሙም ከባድ ነው ልትረዳኝ ትችላለህ?,amharic,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,አሁን በበጋ በጣም የባሳ ነው። አሁን እየተሰመኛ አለው ቆለጥ መርፌ እና እሾህ አይነት ስሜት ነው። ህመሙ ልትረዳኝ ትችላለህ?,ህመሙ በበጋ በጠም የባሰ ነው አሁን አየተሰማኝ ያለው ቆለጤ ውስጥ መርፌ እና አሾህ የወጋኝ አይነት ስሜት ነው ህሙም ከባድ ነው ልትረዳኝ ትችላለህ?
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/amharic/bbab075ec790417695beba25839b7101_s2KiaHAM.wav,19.70499992370605,ለባለፉት ሁለት አመታት መጠነኛ የሆነ ኢንዶሜትሪውሲስ አለኝ. የአሁኑ የኤኤምኤች መን 1.1 ናኖ ግራም በአንድ ሚሊ ሊትር ነው. ባለፈው ሳምንት የደም ምርመራ ተሰርቶልኝ ነበር. አሁን ወደ አዲስ አይቪኤፋ/አይሲኤስአይ ሳይክል መቀጠል ይሻላል .,amharic,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,ለባለፉት ሁለት ዓመታት መጠነኛ የሆነ የኢንዶሜትሪስት አለኝ የአሁኑ የ አይኤምኤች መጠን 1.1 ግራም በአንድ ሚሊር ነው ባለፈው ሳምንት የደም ምርመራ ተሰርቶልኝ ነበር አሁን ወደ አዲስ አይቪፍ ወይም አይሲኤስአይ ሳይክል ሳይክል መቀጠል እችላለሁ።,ለባለፉት ሁለት አመታት መጠነኛ የሆነ ኢንዶሜትሪውሲስ አለኝ. የአሁኑ የኤኤምኤች መን 1.1 ናኖ ግራም በአንድ ሚሊ ሊትር ነው. ባለፈው ሳምንት የደም ምርመራ ተሰርቶልኝ ነበር. አሁን ወደ አዲስ አይቪኤፋ/አይሲኤስአይ ሳይክል መቀጠል ይሻላል .
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/amharic/c0a97ca6d162fd08552a0e209df62506_vhVynSWa.wav,8.50100040435791,የፀረ ማይክሮቢያል መድሀኒት እንደጨረስክ ለአንድ ሳምንት ያክል የአንጄትህን ጥቃቀን አካላት ለመተካተሰ ሌሎች ተመሳሳይ ፕሮ ባይወቲክ መድሀኒት መውሰድ አለብህ ,amharic,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,የፀረ ማይክሮቢያን መድሃኒት እንደጨረስክ ለአንድ ሳምንት ያክል የአንጀትን ጥቃቅን አካላት ለመጠካት ሌሎች ተመሳሳይ ፕሮባዮቲክ መድሃኒት መውሰድ አለብህ።,የፀረ ማይክሮቢያል መድሀኒት እንደጨረስክ ለአንድ ሳምንት ያክል የአንጄትህን ጥቃቀን አካላት ለመተካተሰ ሌሎች ተመሳሳይ ፕሮ ባይወቲክ መድሀኒት መውሰድ አለብህ 
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/amharic/655a850b2bf1de644508802430f25230_gdjoVffq.wav,9.241000175476074,በደቂቃዎች ውስጥ፣ ማቃጠል እና ያልተለመደ ስሜት አስተዋልኩ፣ እና የቀረውን ልተፋ ሞከርኩ። አፍa በደንብ ታጥቧል፣ ከዚያም የታሰበውን TUMS ወሰdku።,amharic,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,በደቂቃዎች ውስጥ ማቃጠል ያልተለበደ ስሜት አስተዋልኩ እና የቀረውን ተፋ ሞገርኩ አፌ በደንብ ታጥቧል ከዚያም የታሰባውን ቲኤምኤስ ወሰድኩ።,በደቂቃዎች ውስጥ፣ ማቃጠል እና ያልተለመደ ስሜት አስተዋልኩ፣ እና የቀረውን ልተፋ ሞከርኩ። አፍa በደንብ ታጥቧል፣ ከዚያም የታሰበውን TUMS ወሰdku።
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/amharic/97897fed5fc5f8a67e9164ddba27f12f_XXeRcE75.wav,14.36400032043457,ለጀርባ ህመም መድሀኒቱ እንቅስቃሴ ማድረግ ነው  ካርቲሌጅ ዲ በቀን አንዴ ኑሮካይንድ ጎልድ በቀን አንዴ እና አናሌሲክስ (ዳይክሎፊናክ100 ሚሊ ግራም ) አንዳንዴ ቪታሚን ዲ እጥረት ምክንያት ሊሆን ስለሚችል እሱንም አረጋግጥ,amharic,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,ለጀርባ ህመም መድሃኒቱ እንቅስቃሴ ማድረግ ነው። ካርቴሎጂ በቀን አንዴ ንድ ጎል በቀን አንዴ እና አናሌሲክስ ወይም ዳይሎፍናክ 100 ሚ.ግ አንዳንዴ ቪታኒ እንዲረት ምክንያት ሊሆን ስለሚችል እሱንም አረጋግጥ።,ለጀርባ ህመም መድሀኒቱ እንቅስቃሴ ማድረግ ነው  ካርቲሌጅ ዲ በቀን አንዴ ኑሮካይንድ ጎልድ በቀን አንዴ እና አናሌሲክስ (ዳይክሎፊናክ100 ሚሊ ግራም ) አንዳንዴ ቪታሚን ዲ እጥረት ምክንያት ሊሆን ስለሚችል እሱንም አረጋግጥ
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/amharic/ae658dac0f44d2c7099926effec15509_eSIkIGYU.wav,11.30799961090088,ችግሩን ያዋህድኳቸዉ የደረጃዎች ብዛት ነው እንደዚያ ከሆነ ከጊዜ ወደ ጊዜ እየባሰ ይሄዳል።55 አመቴ ነው እና  በ52 አመቴ ቀዶ ጥገና አድርጌአለሁ።,amharic,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,እግሩን የውሃ አጥኳቸ ደረጃዎች ብዛት ነው እንደዚያ ከሆነ ከጊዜ ወደ ጊዜ እየባሰ ይሄዳል 55 ዓመቴ ነው እና በ52 ዓመቴ ቀዶ ጥገና አድርጌያለሁ።,ችግሩን ያዋህድኳቸዉ የደረጃዎች ብዛት ነው እንደዚያ ከሆነ ከጊዜ ወደ ጊዜ እየባሰ ይሄዳል።55 አመቴ ነው እና  በ52 አመቴ ቀዶ ጥገና አድርጌአለሁ።
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/amharic/05a30d6f655b6c847e9a96e6c1291208_08NAfcPH.wav,7.433000087738037,ልጄ የተወለደችው ከአንድ ቆልማማ እግር ብቻ ጋር ነበር እና በ 6 ወሯ ቀዶ ህክምና አደርጋለች ከዛን ጊዜ ጀምሮ ምንም ችግር የለም።,amharic,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,የተወለደችው ከአንድ ቆልመ አገር ብቻ ጋር ነበር እና በ6 ወር ቀደ ህክምና አድርጋለች ከዛን ጊዜ ጀምሮ ምንም ችግር የለም,ልጄ የተወለደችው ከአንድ ቆልማማ እግር ብቻ ጋር ነበር እና በ 6 ወሯ ቀዶ ህክምና አደርጋለች ከዛን ጊዜ ጀምሮ ምንም ችግር የለም።
