audio_path,duration,text,language,source,root,file_exists,reference,hypothesis
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/hausa/a1aed8f9d6461f7fc9fed3250a462836_k3zPTqHX.wav,5.456999778747559,Ok don haka galibi a cikin ɓangaren matsakaici.,hausa,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,Ok don haka galibi a cikin ɓangaren matsakaici.,"Ok, don haka galibi a cikin ɓangaren matsakaici."
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/hausa/bb76e91c0969ae1edb324eca8fabe41b_tIPG3Afa.wav,8.496000289916992,Ba babban aiki bane.  Kawai ana so a gano cikin ne da huji.  Hanya ce ta gano cututtuka. Da fatan na amsa tambayarka.,hausa,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,Ba babban aiki bane.  Kawai ana so a gano cikin ne da huji.  Hanya ce ta gano cututtuka. Da fatan na amsa tambayarka.,"Babban aiki bane, kawai ana so a gano ciki ne da huhu. Hanya ce ta gano cututtuka, da fatan na amsa tambayar ka."
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/hausa/99c96c17fe8956b839e75036d804467d_LKr2G0KT.wav,8.368000030517578,Idan al'ada ne to sai a yi PFT wanda zai gaya mana yawan aikin huhun ku da menene tasirin shan taba a kansu.,hausa,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,Idan al'ada ne to sai a yi PFT wanda zai gaya mana yawan aikin huhun ku da menene tasirin shan taba a kansu.,Idan al'ada ne ta sa ayi PFT wanda zai gaya mana yawan aikin huhu ko da menene tsarin shan taba a kansu.
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/hausa/299e37b378983bbae6eeaf2fbdfa2f86_tAGdFzsy.wav,7.234000205993652,Idan na gwada tsayawa bana iyawa saboda ciwon bayana bazai barni na tsaya na lokuta ba.,hausa,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,Idan na gwada tsayawa bana iyawa saboda ciwon bayana bazai barni na tsaya na lokuta ba.,"Kiran nan kuwa da tsayawa, baya na ba ya iyawa, saboda ciwon baya na ba zai barni na tsaya na dukunta ba."
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/hausa/a56b0d558e9d0e19bed4701cf15f2ba0_A2RxeAuN.wav,14.748000144958496,"An ba ni z-pak antibiotic a ranar Laraba da ta gabata (kwaya don kwanaki 5 amma yana ɗaukar cikakken kwanaki 10 don yin cikakken aiki).  Jiya, alamun rashin lafiya sun dawo kuma Ina jin muni a yau.",hausa,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,"An ba ni z-pak antibiotic a ranar Laraba da ta gabata (kwaya don kwanaki 5 amma yana ɗaukar cikakken kwanaki 10 don yin cikakken aiki).  Jiya, alamun rashin lafiya sun dawo kuma Ina jin muni a yau.","An bani z-pack antibiotic a ranar Laraba ta gabata. Kwaya daya kwanaki biyar amma na dauka kace kwanaki goma don yin cikakken aiki. Jiya, alamun rashin lafiya sun dawo kuma ina jin muni a yau."
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/hausa/b4323f29119996060dcb26ae02f678c9_nsPz7tg9.wav,6.421000003814697,"A'a, a'a, bai yi haka ba. Kawai vomiting ne.",hausa,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,"A'a, a'a, bai yi haka ba. Kawai vomiting ne.",Mummy dan shiru. Ah-ah! Ah-ah! Bai yi haka ba. Kawai vomiting ne.
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/hausa/c79ff179b7ef55412b5f2eb5c167994c_RqemVbM3.wav,6.000999927520752,Shin kun yi wasu abubuwa har yanzu ban da shan paracetamol?,hausa,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,Shin kun yi wasu abubuwa har yanzu ban da shan paracetamol?,Shin kun san wasu abubuwa yanzu banda shan paracetamol
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/hausa/58f754b49ee025e39a0d0c5eab70dc50_ZJuGVI1m.wav,10.586999893188477,"Yawancin lokaci ina son inda zan shiga aiki, akwai kamar kantin magani a waje kuma zan sami harbi na mura.",hausa,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,"Yawancin lokaci ina son inda zan shiga aiki, akwai kamar kantin magani a waje kuma zan sami harbi na mura.",Yawanci lokaci ina son inda zan shiga aiki akwai kamar kantin magani a wajen kuma zan samu harbi na mura.
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/hausa/61ab96508ae0176013ceafb5342e87dc_k6EoUOkN.wav,8.175000190734863,"Minisita ya kara Fadi cewa alakar China da najeria, kasasen biyu sun hada hannu a kan magance matsalan",hausa,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,"Minisita ya kara Fadi cewa alakar China da najeria, kasasen biyu sun hada hannu a kan magance matsalan","Minister ya kara fadi cewa, alakar China da Najeriya, kasashen biyu sun hada hannu akan magance matsalar."
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/hausa/1b8ab78a0e6c451fd5639b8cff41eb58_j6YUVLuv.wav,6.679999828338623,"A'a, babu wani abu na musamman um eh, kawai irin ya zo kuma yanzu ya kasance yana tafiya daidai",hausa,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,"A'a, babu wani abu na musamman um eh, kawai irin ya zo kuma yanzu ya kasance yana tafiya daidai","A’a ba wani abu na musamman, um eh, kawai irin yazo kuma yanzu ya kasance yana tafiya daidai."
